hanzi,tl
糠,Khong
糠,Khng
翼,I̍k
薄,Po̍k
賽,Sài
賽,Sè
鍾,Tsing
鍾,Tsiong
霞,Hâ
霞,Hê
鮮,Sian
叢,Tsâng
舊,Kū
藍,Nâ
豐,Hong
瓊,Khiông
瓊,Khîng
繩,Sîng
繩,Tsîn
藤,Tîng
藤,Tîn
藩,Phuan
藩,Huan
蟻,Gí
蟻,Hiā
籃,Nâ
贏,Îng
鐵,Thih
鶴,Ho̍h
糴,Tô
讓,Jiōng
讓,Liōng
讓,Niū
讓,Giōng
讓,Niōo
一,Tsi̍t
乙,It
丁,Ting
七,Tshit
了,Liáu
人,Jîn
人,Lîn
人,Gîn
入,Ji̍p
入,Li̍p
入,Gi̍p
刀,To
刁,Tiau
卜,Poh
丸,Uân
丸,Huân
么,Io
也,Iá
凡,Huân
凡,Huān
土,Tōo
士,Sū
寸,Tshùn
干,Kan
才,Tsâi
不,Put
丑,Thiú
丹,Tan
仁,Jîn
仁,Lîn
仁,Gîn
仇,Siû
仇,Kiû
允,Ún
允,Ín
勾,Kau
化,Huà
化,Huè
厄,Eh
厄,Ik
友,Iú
壬,Jîm
壬,Lîm
壬,Gîm
太,Thài
夫,Hu
引,Ín
心,Sim
戶,Hōo
文,Bûn
日,Ji̍t
日,Li̍t
日,Gi̍t
比,Pí
王,Ông
乎,Hoo
仕,Sū
付,Hù
仙,Sian
令,Lîng
以,Í
出,Tshut
包,Pau
包,Pâu
卌,Siap
卌,Siak
占,Tsiàm
占,Tsiam
卯,Báu
古,Kóo
句,Kù
台,Thai
布,Pòo
打,Tánn
甘,Kam
由,Iû
申,Sin
示,Kî
立,Li̍p
亦,Ia̍h
任,Jîm
任,Līm
任,Jīm
任,Lîm
任,Gîm
任,Gīm
伊,I
兆,Tiāu
兆,Tiō
刑,Hîng
列,Li̍h
印,Ìn
吉,Kiat
回,Huê
回,Hê
因,In
多,To
多,Too
如,Jû
如,Lû
如,Jî
字,Jī
字,Lī
字,Gī
庄,Tsng
朱,Tsu
次,Tshù
江,Kang
池,Tî
米,Bí
考,Khó
考,Khónn
臣,Sîn
自,Tsū
佈,Pòo
位,Uī
克,Khik
兵,Ping
冷,Líng
君,Kun
吼,Háu
吼,Hóo
吼,Hió
坎,Khám
夾,Kiap
妙,Biāu
宋,Sòng
宋,Sàng
完,Uân
尾,Bué
尾,Bé
局,Kio̍k
局,Ki̍k
志,Tsì
抄,Tshau
改,Ké
改,Kué
李,Lí
村,Tshun
束,Sok
步,Pōo
每,Muí
求,Kiû
沃,Ak
罕,Hán
角,Kak
言,Giân
言,Gân
豆,Tāu
辛,Sin
辰,Sîn
里,Lí
來,Lâi
制,Tsè
制,Tsì
刺,Tshì
刺,Tshiah
取,Tshú
取,Tshí
受,Siū
味,Bī
妹,Muī
姑,Koo
季,Kuì
屈,Khut
帕,Phè
帖,Thiap
幸,Hīng
底,Té
底,Tué
府,Hú
延,Iân
忠,Tiong
念,Liām
所,Sóo
所,Sé
拖,Thua
旺,Ōng
服,Ho̍k
杮,Phuè
杮,Phè
杮,Huì
板,Pán
枋,Pang
武,Bú
河,Hô
油,Iû
治,Tī
法,Huat
波,Pho
波,Po
炎,Iām
社,Siā
者,Tsiá
肯,Khíng
虎,Hóo
近,Kīn
近,Kūn
金,Kim
非,Hui
保,Pó
保,Póo
信,Sìn
冠,Kuan
勇,Ióng
南,Lâm
卻,Khiok
哀,Ai
哈,Gap
奕,I̍k
巷,Hāng
帝,Tè
度,Tōo
律,Lu̍t
拜,Pài
施,Si
