"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KipDictHanjiTaibunOthers","KipDictWordProperty","HoaBun","KaisoehHanLoPoj","KaisoehHanLoKip","KipDictDialects","Synonym","Opposite"
"9568","tn̄g-tio̍h","","tng7-tioh8","","tn̄g-tio̍h","","tng7-tioh8","","搪著","","","相遇、碰見、碰到、遇見、遇到、遭遇","【動】遇到。語氣完結時唸作tn̄g--tio̍h。例：伊定定來遮，我不時佇路裡搪著。I tiāⁿ-tiāⁿ lâi chia, góa put-sî tī lō͘--lí  tn̄g--tio̍h. (他常來這裡，我也常在路上遇到他。)　","【動】遇到。語氣完結時唸作tn̄g--tio̍h。例：伊定定來遮，我不時佇路裡搪著。I tiānn-tiānn lâi tsia, guá put-sî tī lōo--lí  tn̄g--tio̍h. (他常來這裡，我也常在路上遇到他。)　","","拄著、遇著",""
"9569","sin-chìn","","sin-chin3","","sin-tsìn","","sin-tsin3","","新進","","","新人、新進","【形】剛被任用的。例：伊是新進的員工。I sī sin-chìn ê oân-kang. (他是剛到任的員工。)　","【形】剛被任用的。例：伊是新進的員工。I sī sin-tsìn ê uân-kang. (他是剛到任的員工。)　","","新人",""
"9570","sún-siong","","sun2-siong","","sún-siong","","sun2-siong","","損傷","","","損傷","【動】損壞、傷害。例：這擺的地動佳哉攏無造成損傷。Chit pái ê tē-tāng ka-chài lóng bô chō-sêng sún-siong. (這次的地震幸好都沒有造成損傷。)　","【動】損壞、傷害。例：這擺的地動佳哉攏無造成損傷。Tsit pái ê tē-tāng ka-tsài lóng bô tsō-sîng sún-siong. (這次的地震幸好都沒有造成損傷。)　","","",""
"9571","khiú-khiú-la̍k-la̍k","","khiu2-khiu2-lak8-lak8","","khiú-khiú-la̍k-la̍k","","khiu2-khiu2-lak8-lak8","","搝搝搦搦","扭扭搙搙","","拉拉扯扯","【熟】拉拉扯扯。一方抓住不放，另一方想奮力掙脫。例：為著一屑仔錢佇街仔路搝搝搦搦，敢會看口得？Ūi-tio̍h chi̍t-sut-á chîⁿ tī ke-á-lō͘ khiú-khiú-la̍k-la̍k, kám ē khòaⁿ-kháu--tit? (為了一點點錢在街道上拉拉扯扯，難道不羞恥嗎？)　","【熟】拉拉扯扯。一方抓住不放，另一方想奮力掙脫。例：為著一屑仔錢佇街仔路搝搝搦搦，敢會看口得？Uī-tio̍h tsi̍t-sut-á tsînn tī ke-á-lōo khiú-khiú-la̍k-la̍k, kám ē khuànn-kháu--tit? (為了一點點錢在街道上拉拉扯扯，難道不羞恥嗎？)　","","",""
"9572","poaⁿ-ōe","","poann-oe7","","puann-uē","","puann-ue7","","搬話","盤話","","中傷、搬弄是非","【動】搬弄是非、中傷他人。例：你毋通烏白搬話，害人拍歹感情。Lí m̄-thang o͘-pe̍h poaⁿ-ōe, hāi lâng phah-pháiⁿ kám-chêng. (你不要胡亂搬弄是非，害別人傷了感情。)　","【動】搬弄是非、中傷他人。例：你毋通烏白搬話，害人拍歹感情。Lí m̄-thang oo-pe̍h puann-uē, hāi lâng phah-pháinn kám-tsîng. (你不要胡亂搬弄是非，害別人傷了感情。)　","","",""
"9573","poaⁿ-ūn","","poann-un7","","puann-ūn","","puann-un7","","搬運","","","移動、搬動、搬移、搬運","【動】把東西移動或運送到別的地方。","【動】把東西移動或運送到別的地方。","","搬徙、移徙",""
"9574","tah-kau-á","","tah-kau-a2","","tah-kau-á","","tah-kau-a2","","搭鉤仔","","","","【名】用來鉤取布袋便於背上肩的器具。","【名】用來鉤取布袋便於背上肩的器具。","","",""
"9575","iô-kó͘-long","","io5-koo2-long","","iô-kóo-long","","io5-koo2-long","","搖鼓瑯","","","波浪鼓、博浪鼓","【名】波浪鼓。一種兒童玩具。在小鼓兩邊用短線各拴一顆墜子，握住手把轉動，鼓面會因墜子敲擊而發出咚咚的聲響。以前賣貨郎也拿來搖弄，以代替叫賣。","【名】波浪鼓。一種兒童玩具。在小鼓兩邊用短線各拴一顆墜子，握住手把轉動，鼓面會因墜子敲擊而發出咚咚的聲響。以前賣貨郎也拿來搖弄，以代替叫賣。","","玲瑯鼓",""
"9576","kòng-thûi-á","","kong3-thui5-a2","","kòng-thuî-á","","kong3-thui5-a2","","摃槌仔","","","榔頭、錘子","【名】榔頭、錘子。敲打東西的工具。","【名】榔頭、錘子。敲打東西的工具。","","",""
"9577","sin-bûn","","sin-bun5","","sin-bûn","","sin-bun5","","新聞","","","報紙、新聞","1.【名】報社、廣播電臺、電視臺等，對國內外發生的重要事件所做的最新報導。2.【名】報紙。","1.【名】報社、廣播電臺、電視臺等，對國內外發生的重要事件所做的最新報導。2.【名】報紙。","","",""
