tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
niau-pi-pa,貓卑巴,16,niau-pi-pa,niau1pi1pa1,niau1pi1pa1,niaupipa,niaupipa,npp,npp
niau-pì-pà,貓卑巴,16,niau-pì-pà,niau1pi3pa3,niau1pi3pa3,niaupipa,niaupipa,npp,npp
bâ-tshe-á,貓叉仔,16,bâ-chhe-á,ba5tshe1a2,ba5chhe1a2,batshea,bachhea,bta,bca
niau-suá-siū,貓徙巢,16,niau-sóa-siū,niau1sua2siu7,niau1soa2siu7,niausuasiu,niausoasiu,nss,nss
niau-pan-tiám,貓斑點,16,niau-pan-tiám,niau1pan1tiam2,niau1pan1tiam2,niaupantiam,niaupantiam,npt,npt
niau--ê,貓的,16,niau--ê,niau1e5,niau1e5,niaue,niaue,ne,ne
niau--khoo,貓箍,16,niau--kho͘,niau1khoo1,niau1khoo1,niaukhoo,niaukhoo,nk,nk
niau-pà-pà,貓豹豹,16,niau-pà-pà,niau1pa3pa3,niau1pa3pa3,niaupapa,niaupapa,npp,npp
niau-niau-á,貓貓仔,16,niau-niau-á,niau1niau1a2,niau1niau1a2,niauniaua,niauniaua,nna,nna
niau-niau-siòng,貓貓相,16,niau-niau-siòng,niau1niau1siong3,niau1niau1siong3,niauniausiong,niauniausiong,nns,nns
niau-niau-khuànn,貓貓看,16,niau-niau-khòaⁿ,niau1niau1khuann3,niau1niau1khoann3,niauniaukhuann,niauniaukhoann,nnk,nnk
niau-niau-niau,貓貓貓,16,niau-niau-niau,niau1niau1niau1,niau1niau1niau1,niauniauniau,niauniauniau,nnn,nnn
niau-thâu-tsiáu,貓頭鳥,16,niau-thâu-chiáu,niau1thau5tsiau2,niau1thau5chiau2,niauthautsiau,niauthauchiau,ntt,ntc
niau-thâu-ing,貓頭鷹,16,niau-thâu-eng,niau1thau5ing1,niau1thau5eng1,niauthauing,niauthaueng,nti,nte
puè-to-lô,貝多羅,16,pòe-to-lô,pue3to1lo5,poe3to1lo5,puetolo,poetolo,ptl,ptl
puè-jī-pîng,貝字旁,16,pòe-jī-pêng,pue3ji7ping5,poe3ji7peng5,puejiping,poejipeng,pjp,pjp
puè-jī-kha,貝字腳,16,pòe-jī-kha,pue3ji7kha1,poe3ji7kha1,puejikha,poejikha,pjk,pjk
tsing-tông-hue,貞桐花,16,cheng-tông-hoe,tsing1tong5hue1,cheng1tong5hoe1,tsingtonghue,chengtonghoe,tth,cth
