tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tshí-lí-tsō,處女座,16,chhí-lí-chō,tshi2li2tso7,chhi2li2cho7,tshilitso,chhilicho
tshír-lír-tsō,處女座,16,chhír-lír-chō,tshir2lir2tso7,chhir2lir2cho7,tshirlirtso,chhirlircho
tshú-lú-tsō,處女座,16,chhú-lú-chō,tshu2lu2tso7,chhu2lu2cho7,tshulutso,chhulucho
hi--ê,虛的,16,hi--ê,hie5,hie5,hie,hie
hi-hua-sim,虛華心,16,hi-hoa-sim,hihuasim,hihoasim,hihuasim,hihoasim
khiû-si̍t-pēnn,虯翼病,16,khiû-si̍t-pēⁿ,khiu5sit8penn7,khiu5sit8penn7,khiusitpenn,khiusitpenn
khiû-si̍t-pīnn,虯翼病,16,khiû-si̍t-pīⁿ,khiu5sit8pinn7,khiu5sit8pinn7,khiusitpinn,khiusitpinn
khiû-koh-siap,虯閣澀,16,khiû-koh-siap,khiu5kohsiap,khiu5kohsiap,khiukohsiap,khiukohsiap
ô-á-koo,蚵仔菇,16,ô-á-ko͘,o5a2koo,o5a2koo,oakoo,oakoo
ham-á-piánn,蚶仔餅,16,ham-á-piáⁿ,hama2piann2,hama2piann2,hamapiann,hamapiann
ham-á-pháng,蚶仔麭,16,ham-á-pháng,hama2phang2,hama2phang2,hamaphang,hamaphang
ham-kā-ham,蚶咬蚶,16,ham-kā-ham,hamka7ham,hamka7ham,hamkaham,hamkaham
tsiù-tshuì-khí,蛀喙齒,16,chiù-chhùi-khí,tsiu3tshui3khi2,chiu3chhui3khi2,tsiutshuikhi,chiuchhuikhi
tsiù-khut-á,蛀窟仔,16,chiù-khut-á,tsiu3khuta2,chiu3khuta2,tsiukhuta,chiukhuta
tsuâ-peh-á,蛇伯仔,16,chôa-peh-á,tsua5peha2,choa5peha2,tsuapeha,choapeha
kap-á-siû,蛤仔泅,16,kap-á-siû,kapa2siu5,kapa2siu5,kapasiu,kapasiu
kap-á-lân,蛤仔蘭,16,kap-á-lân,kapa2lan5,kapa2lan5,kapalan,kapalan
kap-á-thiàu,蛤仔跳,16,kap-á-thiàu,kapa2thiau3,kapa2thiau3,kapathiau,kapathiau
kap-á-lān,蛤仔難,16,kap-á-lān,kapa2lan7,kapa2lan7,kapalan,kapalan
phang-á-phàu,蜂仔炮,16,phang-á-phàu,phanga2phau3,phanga2phau3,phangaphau,phangaphau
phang-siū-ing,蜂岫癰,16,phang-siū-eng,phangsiu7ing,phangsiu7eng,phangsiuing,phangsiueng
phang-ông-ling,蜂王奶,16,phang-ông-leng,phangong5ling,phangong5leng,phangongling,phangongleng
giâ-kang-kā,蜈蚣咬,16,giâ-kang-kā,gia5kangka7,gia5kangka7,giakangka,giakangka
giâ-kang-lūn,蜈蚣崙,16,giâ-kang-lūn,gia5kanglun7,gia5kanglun7,giakanglun,giakanglun
giâ-kang-sau,蜈蚣蛸,16,giâ-kang-sau,gia5kangsau,gia5kangsau,giakangsau,giakangsau
giâ-kang-koh,蜈蚣閣,16,giâ-kang-koh,gia5kangkoh,gia5kangkoh,giakangkoh,giakangkoh
ngôo-khî-tuà,蜈蜞帶,16,ngô͘-khî-tòa,ngoo5khi5tua3,ngoo5khi5toa3,ngookhitua,ngookhitoa
ngôo-khî-sok,蜈蜞束,16,ngô͘-khî-sok,ngoo5khi5sok,ngoo5khi5sok,ngookhisok,ngookhisok
ngôo-khî-sann,蜈蜞衫,16,ngô͘-khî-saⁿ,ngoo5khi5sann,ngoo5khi5sann,ngookhisann,ngookhisann
ngôo-khî-bue̍h,蜈蜞襪,16,ngô͘-khî-boe̍h,ngoo5khi5bueh8,ngoo5khi5boeh8,ngookhibueh,ngookhiboeh
ti-tu-kiap,蜘蛛俠,16,ti-tu-kiap,titukiap,titukiap,titukiap,titukiap
ti-tu-mo̍oh,蜘蛛膜,16,ti-tu-mo̍͘h,titumooh8,titumooh8,titumooh,titumooh
bi̍t-hi-kóo,蜜希古,16,bi̍t-hi-kó͘,bit8hikoo2,bit8hikoo2,bithikoo,bithikoo
bi̍t-tshú-lí,蜜處理,16,bi̍t-chhú-lí,bit8tshu2li2,bit8chhu2li2,bittshuli,bitchhuli
he-á-phuê,蝦仔皮,16,he-á-phôe,hea2phue5,hea2phoe5,heaphue,heaphoe
hê-á-tsìnn,蝦仔糋,16,hê-á-chìⁿ,he5a2tsinn3,he5a2chinn3,heatsinn,heachinn
hê-koo-tsháu,蝦蛄草,16,hê-ko͘-chháu,he5kootshau2,he5koochhau2,hekootshau,hekoochhau
hê-huân-hê,蝦還蝦,16,hê-hoân-hê,he5huan5he5,he5hoan5he5,hehuanhe,hehoanhe
ôo-tia̍p-siû,蝴蝶泅,16,ô͘-tia̍p-siû,oo5tiap8siu5,oo5tiap8siu5,ootiapsiu,ootiapsiu
ia̍h-á-siû,蝶仔泅,16,ia̍h-á-siû,iah8a2siu5,iah8a2siu5,iahasiu,iahasiu
ia̍h-á-kiû,蝶仔球,16,ia̍h-á-kiû,iah8a2kiu5,iah8a2kiu5,iahakiu,iahakiu
ia̍h-á-kat,蝶仔結,16,ia̍h-á-kat,iah8a2kat,iah8a2kat,iahakat,iahakat
îng-kong-pit,螢光筆,16,êng-kong-pit,ing5kongpit,eng5kongpit,ingkongpit,engkongpit
lê-á-tshì,螺仔刺,16,lê-á-chhì,le5a2tshi3,le5a2chhi3,leatshi,leachhi
lê-á-piánn,螺仔餅,16,lê-á-piáⁿ,le5a2piann2,le5a2piann2,leapiann,leapiann
lê-á-pháng,螺仔麭,16,lê-á-pháng,le5a2phang2,le5a2phang2,leaphang,leaphang
lê-khak-kuài,螺殼怪,16,lê-khak-koài,le5khakkuai3,le5khakkoai3,lekhakkuai,lekhakkoai
lôo-si-pue,螺絲桮,16,lô͘-si-poe,loo5sipue,loo5sipoe,loosipue,loosipoe
siān-thâng-á,蟮蟲仔,16,siān-thâng-á,sian7thang5a2,sian7thang5a2,sianthanga,sianthanga
giô--ê,蟯的,16,giô--ê,gio5e5,gio5e5,gioe,gioe
ngia̍uh-ngia̍uh-tsǹg,蟯蟯鑽,16,ngia̍uh-ngia̍uh-chǹg,ngiauh8ngiauh8tsng3,ngiauh8ngiauh8chng3,ngiauhngiauhtsng,ngiauhngiauhchng
tsîm-bī-liâu,蟳味條,16,chîm-bī-liâu,tsim5bi7liau5,chim5bi7liau5,tsimbiliau,chimbiliau
tsîm-bī-tshiam,蟳味簽,16,chîm-bī-chhiam,tsim5bi7tshiam,chim5bi7chhiam,tsimbitshiam,chimbichhiam
than--ni,蟶呢,16,than--ni,thanni,thanni,thanni,thanni
than--ê,蟶的,16,than--ê,thane5,thane5,thane,thane
giat-á-thâng,蠍仔蟲,16,giat-á-thâng,giata2thang5,giata2thang5,giatathang,giatathang
báng-á-tsuí,蠓仔水,16,báng-á-chúi,bang2a2tsui2,bang2a2chui2,bangatsui,bangachui
báng-á-tiān,蠓仔電,16,báng-á-tiān,bang2a2tian7,bang2a2tian7,bangatian,bangatian
báng-tiān-á,蠓電仔,16,báng-tiān-á,bang2tian7a2,bang2tian7a2,bangtiana,bangtiana
hô-kiànn-thang,蠔鏡窗,16,hô-kiàⁿ-thang,ho5kiann3thang,ho5kiann3thang,hokiannthang,hokiannthang
hueh-ap-kuân,血壓懸,16,hoeh-ap-koân,huehapkuan5,hoehapkoan5,huehapkuan,hoehapkoan
hiat-sió-pán,血小板,16,hiat-sió-pán,hiatsio2pan2,hiatsio2pan2,hiatsiopan,hiatsiopan
hueh-thn̂g-kē,血糖低,16,hoeh-thn̂g-kē,huehthng5ke7,hoehthng5ke7,huehthngke,hoehthngke
kiânn-tsi̍t-liàn,行一輾,16,kiâⁿ-chi̍t-liàn,kiann5tsit8lian3,kiann5chit8lian3,kianntsitlian,kiannchitlian
