"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HoaBun","EngBun","PageNumber"
"43878","sīⁿ kiâm-bah","sinn7 kiam5-bah","sīnn kiâm-bah","sinn7 kiam5-bah","醃鹹肉","salt pork",""
"43879","siⁿ-siⁿ soāiⁿ-soāiⁿ","sinn-sinn soainn7-soainn7","sinn-sinn suāinn-suāinn","sinn-sinn suainn7-suainn7","磨擦的聲音","rickety, shaky",""
"43880","sia","sia","sia","sia","賒","buy or sell on credit",""
"43881","Góa sia i chi̍t koàn chiú.","Goa2 sia i chit8 koan3 chiu2.","Guá sia i tsi̍t kuàn tsiú.","Gua2 sia i tsit8 kuan3 tsiu2.","我賒他一瓶酒。","I sold him a bottle of wine on credit.",""
"43882","Bô sia put-sêng tiàm, sia liáu tiàm put-sêng.","Bo5 sia put-seng5 tiam3, sia liau2 tiam3 put-seng5.","Bô sia put-sîng tiàm, sia liáu tiàm put-sîng.","Bo5 sia put-sing5 tiam3, sia liau2 tiam3 put-sing5.","無賒不成店，賒了店不成。","Without giving credit one can't do business, but yet giving credit is ruinous.",""
"43883","siá","sia2","siá","sia2","捨","give alms, give in charity, bestow, give up, forsake, to reject",""
"43884","i-i put-siá","i-i put-sia2","i-i put-siá","i-i put-sia2","依依不捨","unwilling to part (with loved ones)",""
"43885","kiû-siá","kiu5-sia2","kiû-siá","kiu5-sia2","求捨","beg alms",""
"43886","sì-siá gō͘-ji̍p","si3-sia2 goo7-jip8","sì-siá gōo-ji̍p","si3-sia2 goo7-jip8","四捨五入","fractions less than half not reckoned, more than one-half round off to the next higher integer",""
"43887","siá","sia2","siá","sia2","寫","write, compose",""
"43888","chhau-siá","chhau-sia2","tshau-siá","tshau-sia2","抄寫","copy",""
"43889","hok-siá","hok-sia2","hok-siá","hok-sia2","複寫","reproduce, duplication",""
"43890","kán-siá","kan2-sia2","kán-siá","kan2-sia2","簡寫","write contracted forms, write briefly, abbreviate",""
"43891","sià","sia3","sià","sia3","舍","house, inn, cottage, shed, polite phrase for ""my"" in speaking of junior relatives, affix to the names of men who are very rich or come of noble families",""
"43892","hân-sià","han5-sia3","hân-sià","han5-sia3","寒舍","my poor residence",""
"43893","hāu-sià","hau7-sia3","hāu-sià","hau7-sia3","校舍","school buildings, school premises",""
"43894","mâu-sià","mau5-sia3","mâu-sià","mau5-sia3","茅舍","hut, my home",""
"43895","siok-sià","siok-sia3","siok-sià","siok-sia3","宿舍","residence of officials, school dormitory",""
"43896","sià","sia3","sià","sia3","赦","amnesty, to pardon, forgive",""
"43897","khoan-sià","khoan-sia3","khuan-sià","khuan-sia3","寬赦","act in a lenient manner",""
"43898","tāi-sià","tai7-sia3","tāi-sià","tai7-sia3","大赦","general pardon or amnesty",""
"43899","te̍k-sià","tek8-sia3","ti̍k-sià","tik8-sia3","特赦","special pardon, amnesty",""
"43900","siâ (chhiâ, chhoa̍h)","sia5 (chhia5, chhoah8)","siâ (tshiâ, tshua̍h)","sia5 (tshia5, tshuah8)","斜","oblique, slanting, sloping",""
"43901","siâ","sia5","siâ","sia5","邪","evil, wicked, vicious, depraved",""
"43902","hong-siâ","hong-sia5","hong-siâ","hong-sia5","風邪","ailments caused by cold",""
"43903","iau-siâ","iau-sia5","iau-siâ","iau-sia5","妖邪","evil spirits",""
"43904","khì-siâ kui-chèng","khi3-sia5 kui-cheng3","khì-siâ kui-tsìng","khi3-sia5 kui-tsing3","棄邪歸正","reject evil ways and start on the right track, to cast away the heterodox and return to orthodox beliefs, turn over a new leaf",""
"43905","siā","sia7","siā","sia7","社","association, organization, corporation, society, community, god of the land",""
"43906","hoan-siā","hoan-sia7","huan-siā","huan-sia7","蕃社","aborigines village",""
"43907","hok-lī-siā","hok-li7-sia7","hok-lī-siā","hok-li7-sia7","福利社","store doing business on the premises of a school, factory, government agency, a canteen",""
"43908","kiat-siā","kiat-sia7","kiat-siā","kiat-sia7","結社","form an association, society",""
"43909","siā","sia7","siā","sia7","射","shoot out, to project",""
"43910","chù-siā","chu3-sia7","tsù-siā","tsu3-sia7","注射","injection, to inject",""
"43911","hoán-siā","hoan2-sia7","huán-siā","huan2-sia7","反射","reflect light, deflection of light or sound waves",""
"43912","hoat-siā","hoat-sia7","huat-siā","huat-sia7","發射","launch, to shoot, to catapult",""
"43913","hòng-siā","hong3-sia7","hòng-siā","hong3-sia7","放射","radiate, radiation",""
"43914","siā","sia7","siā","sia7","謝","thank, to decline, to fade, wither",""
"43915","Hoe siā khì à.","Hoe sia7 khi3 a3.","Hue siā khì à.","Hue sia7 khi3 a3.","花謝了。","The flowers have withered",""
"43916","kám-siā","kam2-sia7","kám-siā","kam2-sia7","感謝","feel grateful, thank you",""
"43917","soeh-siā","soeh-sia7","sueh-siā","sueh-sia7","道謝","give thanks",""
"43918","tap-siā","tap-sia7","tap-siā","tap-sia7","答謝","express thanks for a favor (by returning or repaying it)",""
"43919","to-siā","to-sia7","to-siā","to-sia7","多謝","many thanks",""
