tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
hó-tshiò-sîn,好笑神,16,hó-chhiò-sîn,ho2tshio3sin5,ho2chhio3sin5,hotshiosin,hochhiosin,hts,hcs
hó-io-tshī,好育飼,16,hó-io-chhī,ho2iotshi7,ho2iochhi7,hoiotshi,hoiochhi,hit,hic
hó-thâu-tshuì,好頭喙,16,hó-thâu-chhùi,ho2thau5tshui3,ho2thau5chhui3,hothautshui,hothauchhui,htt,htc
hó-thâu-tshái,好頭彩,16,hó-thâu-chhái,ho2thau5tshai2,ho2thau5chhai2,hothautshai,hothauchhai,htt,htc
hó-gia̍h-lâng,好額人,16,hó-gia̍h-lâng,ho2giah8lang5,ho2giah8lang5,hogiahlang,hogiahlang,hgl,hgl
hó-giā-lâng,好額人,16,hó-giā-lâng,ho2gia7lang5,ho2gia7lang5,hogialang,hogialang,hgl,hgl
hór-gia̍h-lâng,好額人,16,hór-gia̍h-lâng,hor2giah8lang5,hor2giah8lang5,horgiahlang,horgiahlang,hgl,hgl
hór-giā-lâng,好額人,16,hór-giā-lâng,hor2gia7lang5,hor2gia7lang5,horgialang,horgialang,hgl,hgl
hó-hong-ji̍t,好風日,16,hó-hong-ji̍t,ho2hongjit8,ho2hongjit8,hohongjit,hohongjit,hhj,hhj
hó-hong-li̍t,好風日,16,hó-hong-li̍t,ho2honglit8,ho2honglit8,hohonglit,hohonglit,hhl,hhl
hó-tsia̍h-khùn,好食睏,16,hó-chia̍h-khùn,ho2tsiah8khun3,ho2chiah8khun3,hotsiahkhun,hochiahkhun,htk,hck
hó-phīnn-sai,好鼻獅,16,hó-phīⁿ-sai,ho2phinn7sai,ho2phinn7sai,hophinnsai,hophinnsai,hps,hps
jû-hu-jîn,如夫人,16,jû-hu-jîn,ju5hujin5,ju5hujin5,juhujin,juhujin,jhj,jhj
lû-hu-lîn,如夫人,16,lû-hu-lîn,lu5hulin5,lu5hulin5,luhulin,luhulin,lhl,lhl
ki-lí-hōo,妓女戶,16,ki-lí-hō͘,kili2hoo7,kili2hoo7,kilihoo,kilihoo,klh,klh
ki-lír-hōo,妓女戶,16,ki-lír-hō͘,kilir2hoo7,kilir2hoo7,kilirhoo,kilirhoo,klh,klh
ki-lú-hōo,妓女戶,16,ki-lú-hō͘,kilu2hoo7,kilu2hoo7,kiluhoo,kiluhoo,klh,klh
ki-lú-īnn,妓女院,16,ki-lú-īⁿ,kilu2inn7,kilu2inn7,kiluinn,kiluinn,kli,kli
ḿ--á,姆仔,16,ḿ--á,m2a2,m2a2,ma,ma,ma,ma
tsé--á,姊仔,16,ché--á,tse2a2,che2a2,tsea,chea,ta,ca
tsí--á,姊仔,16,chí--á,tsi2a2,chi2a2,tsia,chia,ta,ca
tsí-bē-á,姊妹仔,16,chí-bē-á,tsi2be7a2,chi2be7a2,tsibea,chibea,tba,cba
