hanzi,tl
心肌梗窒,sim-ki-kénn-that
心肌梗窒,sim-ki-kínn-that
易科罰金,i̍k-kho-hua̍t-kim
人工智慧,jîn-kang-tì-huī
伸勼工時,tshun-kiu-kang-sî
彗星,huī-tshenn
彗星,huī-tshinn
個資漏洩,kò-tsu-lāu-sia̍p
石滬,tsio̍h-hōo
海洛因,hái-lo̍k-in
安非他命,an-hui-tha-bīng
焚化爐,hûn-huà-lôo
牛棚,gû-pênn
牛棚,gû-pînn
台積電,tâi-tsik-tiān
聯合國,liân-ha̍p-kok
惡性腫瘤,ok-sìng-tsíng-liû
淨零排放,tsīng-lîng-pâi-hòng
溫室氣體,un-sik-khì-thé
溫室效應,un-sik-hāu-ìng
跔厝經濟,ku-tshù-king-tsè
網紅,bāng-âng
網衝,bāng-tshìng
外役監,guā-i̍k-kann
邊境,pian-kíng
視神經,sī-sîn-king
角膜,kak-mo̍oh
疫情翻箍,i̍k-tsîng-huan-khoo
疫情轉和,i̍k-tsîng-tńg-hô
疫情較坐,i̍k-tsîng-khah-tsē
游擊隊,iû-kik-tuī
製程,tsè-thîng
挖人才,óo-jîn-tsâi
挖人才,óo-lîn-tsâi
轉翕,tsuán-hip
分析師,hun-sik-su
山友,suann-iú
徛槳,khiā-tsiúnn
鋒面,hong-bīn
大雨特報,tuā-ú-ti̍k-pò
豪雨特報,hô-ú-ti̍k-pò
大豪雨特報,tuā-hô-ú-ti̍k-pò
大水雨,tuā-tsuí-hōo
摧死,tshui--sí
糋路,tsìnn-lōo
分道,pun-tō
分道喙,pun-tō-tshuì
室友,sik-iú
阿茲海默症,a-tsu-hái-bi̍k-tsìng
和絃,hô-hiân
乳突病毒,jú-tu̍t-pēnn-to̍k
乳突病毒,lú-tu̍t-pīnn-to̍k
越位,ua̍t-uī
ok-sái,ok-sái
甲烷,kah-uân
甲醇,kah-sûn
崁名者,khàm-miâ-tsiá
匿名者,li̍k-miâ-tsiá
崁名,khàm-miâ
匿名,li̍k-miâ
鬚鯨類,tshiu-king-luī
穆斯林,bo̍k-su-lîm
婚外情,hun-guā-tsîng
外遇,guā-gū
煮食,tsú-tsia̍h
防呆機制,hông-tai-ki-tsè
置入性行銷,tì-ji̍p-sìng-hîng-siau
置入性行銷,tì-li̍p-sìng-hîng-siau
傭兵,iông-ping
巡弋飛彈,sûn-ik-hui-tuânn
機械手骨,ki-hāi-tshiú-kut
復刻,ho̍k-khik
迷眾頁,bê-tsiòng-ia̍h
工課場,khang-khuè-tiûnn
職場,tsit-tiûnn
最低工資法,tsuè-kē-kang-tsu-huat
性騷擾,sìng-so-jiáu
霸凌,pà-lîng
充電柱,tshiong-tiān-thiāu
截圖,tsia̍t-tôo
蓄水,thiok-tsuí
蓄水率,thiok-tsuí-lu̍t
蓄水池,thiok-tsuí-tî
蓄水量,thiok-tsuí-liōng
存檔,tsûn-tóng
太陽能枋,thài-iông-lîng-pang
寄養家庭,kià-ióng-ka-tîng
偵查氣球,tsing-tsa-khì-kiû
面大細䫌症,bīn-tuā-sè-phué-tsìng
小耳症,sió-hīnn-tsìng
助聽器,tsōo-thiann-khì
番鼠,huan-tshí
番鼠,huan-tshú
公論,kong-lūn
果凍,kó-tàng
共融公園,kiōng-iông-kong-hn̂g
共融遊戲場,kiōng-iông-iû-hì-tiûnn
跤後筋,kha-āu-kin
跤後筋,kha-āu-kun
中人,tiong-lâng
物聯網,bu̍t-liân-bāng
少子化,siáu-tsú-huà
視網膜,sī-bāng-mo̍oh
龍骨髓,liông-kut-tshué
龍骨髓,lîng-kut-tshé
鷹派,ing-phài
鴿派,kap-phài
瀏覽器,liû-lám-khì
面罩,bīn-tà
級差,kip-tsha
掰會,pué-huē
坉海造地,thūn-hái-tsō-tē
坉海造地,thūn-hái-tsō-tuē
臍帶,tsâi-tuà
叨撚批,lo-lián-phue
口碑,kháu-pi
觱卡,pi-khah
焐卡,ù-khah
鑢卡,lù-khah
熊市,hîm-tshī
牛市,gû-tshī
帶風向,tài-hong-hiòng
邊緣人,pian-iân-jîn
演算法,ián-suàn-huat
茶米卵,tê-bí-nn̄g
碳跤跡,thuànn-kha-jiah
碳跤跡,thuànn-kha-liah
制衡,tsè-hîng
收 khoo-mí-sióng,siu-khoo-mí-sióng
栓窒,sng-that
血角,hueh-kak
收烏西錢,siu-oo-se-tsînn
收賄,siu-hué
做散工,tsò-suánn-kang
做散工,tsuè-suánn-kang
散工換蹛,suánn-kang-uānn-tuà
揹仔客,phāinn-á-kheh
社畜,siā-thiok
房貸,pâng-tāi
厝貸,tshù-tāi
柴角仔,tshâ-kak-á
書迷,tsu-bê
天然氣,thian-jiân-khì
天然氣,thian-liân-khì
液化,i̍k-huà
澄清,tîng-tshing
人面辨識,lâng-bīn-piān-sik
可蘭經,khó-lân-king
大使館,tāi-sài-kuán
失智症,sit-tì-tsìng
伊斯蘭,i-su-lân
移工,î-kang
外籍勞工,guā-tsi̍k-lô-kang
冰風暴,ping-hong-pō
巡洋艦,sûn-iûnn-lām
閣活節,koh-ua̍h-tseh
閣活節,koh-ua̍h-tsueh
復活節,ho̍k-ua̍h-tseh
復活節,ho̍k-ua̍h-tsueh
空心磚,khang-sim-tsng
電鋸,tiān-kì
電鋸,tiān-kù
舍利子,sià-lī-tsú
魁北克,khue-pak-khik
營養午餐,îng-ióng-ngóo-tshan
豁免,hat-bián
網路防火牆,bāng-lōo-hông-hué-tshiûnn
網路防火牆,bāng-lōo-hông-hé-tshiûnn
鼻胃管,phīnn-uī-kóng
共伴效應,kiōng-phuān-hāu-ìng
入數,ji̍p-siàu
入數,li̍p-siàu
虛擬貨幣,hi-gí-huè-pè
虛擬貨幣,hi-gí-hè-pè
加密貨幣,ka-bi̍t-huè-pè
加密貨幣,ka-bi̍t-hè-pè
人熊,lâng-hîm
狒狒,huì-huì
衝鋒銃,tshiong-hong-tshìng
