tl,hanzi,frequency,poj,tl_num,poj_num
sí,死,11257,sí,si2,si2
lóng,攏,11219,lóng,long2,long2
sin,身,10865,sin,sin,sin
suann,山,10820,soaⁿ,suann,soann
tshia,車,10763,chhia,tshia,chhia
thiann,聽,10741,thiaⁿ,thiann,thiann
bu̍t,物,10612,bu̍t,but8,but8
hiong,鄉,10443,hiong,hiong,hiong
kè,過,10205,kè,ke3,ke3
siann,聲,10175,siaⁿ,siann,siann
in,因,10098,in,in,in
sin,新,10069,sin,sin,sin
uan,灣,9981,oan,uan,oan
ba̍k,目,9818,ba̍k,bak8,bak8
khui,開,9713,khui,khui,khui
sing,生,9626,seng,sing,seng
si̍t,實,9621,si̍t,sit8,sit8
hong,風,9297,hong,hong,hong
tsîng,情,9238,chêng,tsing5,cheng5
kám,感,9228,kám,kam2,kam2
pe̍h,白,9226,pe̍h,peh8,peh8
king,經,9218,keng,king,keng
jī,字,9159,jī,ji7,ji7
huat,發,9126,hoat,huat,hoat
kim,金,9080,kim,kim,kim
iánn,影,9036,iáⁿ,iann2,iann2
bóo,某,9022,bó͘,boo2,boo2
siū,受,8975,siū,siu7,siu7
tshù,厝,8959,chhù,tshu3,chhu3
iáu,猶,8915,iáu,iau2,iau2
tsóng,總,8896,chóng,tsong2,chong2
tsai,知,8879,chai,tsai,chai
tíng,頂,8873,téng,ting2,teng2
oo,烏,8830,o͘,oo,oo
tuē,地,8822,tōe,tue7,toe7
tē,地,8822,tē,te7,te7
tōng,動,8786,tōng,tong7,tong7
sîn,神,8753,sîn,sin5,sin5
lo̍h,落,8749,lo̍h,loh8,loh8
nih,呢,8729,nih,nih,nih
sió,小,8653,sió,sio2,sio2
huà,化,8649,hòa,hua3,hoa3
hun,分,8581,hun,hun,hun
tsū,自,8553,chū,tsu7,chu7
im,音,8544,im,im,im
kah,甲,8530,kah,kah,kah
sinn,生,8389,siⁿ,sinn,sinn
tsînn,錢,8339,chîⁿ,tsinn5,chinn5
hái,海,8273,hái,hai2,hai2
tng,當,8208,tng,tng,tng
bîng,明,8206,bêng,bing5,beng5
siánn,啥,8104,siáⁿ,siann2,siann2
tsok,作,8045,chok,tsok,chok
siá,寫,7896,siá,sia2,sia2
hàn,漢,7881,hàn,han3,han3
mn̂g,門,7855,mn̂g,mng5,mng5
