tl,hanzi,frequency,poj,tl_num,poj_num
oo-thâng,烏蟲,25,o͘-thâng,oothang5,oothang5
oo-uē,烏話,25,o͘-ōe,ooue7,oooe7
oo-tāu,烏豆,25,o͘-tāu,ootau7,ootau7
oo-niau,烏貓,25,o͘-niau,ooniau,ooniau
oo-huè,烏貨,25,o͘-hòe,oohue3,oohoe3
oo-tshiah,烏赤,25,o͘-chhiah,ootshiah,oochhiah
oo-tō,烏道,25,o͘-tō,ooto7,ooto7
oo-ná,烏那,25,o͘-ná,oona2,oona2
oo-tshòo,烏醋,25,o͘-chhò͘,ootshoo3,oochhoo3
oo-kim,烏金,25,o͘-kim,ookim,ookim
oo-tsînn,烏錢,25,o͘-chîⁿ,ootsinn5,oochinn5
oo-im,烏陰,25,o͘-im,ooim,ooim
oo-hûn,烏雲,25,o͘-hûn,oohun5,oohun5
oo-tshenn,烏青,25,o͘-chheⁿ,ootshenn,oochhenn
oo-hia,烏靴,25,o͘-hia,oohia,oohia
oo-kú,烏韭,25,o͘-kú,ooku2,ooku2
oo-thâu,烏頭,25,o͘-thâu,oothau5,oothau5
oo-hiánn,烏顯,25,o͘-hiáⁿ,oohiann2,oohiann2
oo-bé,烏馬,25,o͘-bé,oobe2,oobe2
oo-tsang,烏鬃,25,o͘-chang,ootsang,oochang
oo-kuí,烏鬼,25,o͘-kúi,ookui2,ookui2
oo-hî,烏魚,25,o͘-hî,oohi5,oohi5
oo-hang,烏魴,25,o͘-hang,oohang,oohang
oo-bián,烏鮸,25,o͘-bián,oobian2,oobian2
oo-ngôo,烏鯃,25,o͘-ngô͘,oongoo5,oongoo5
oo-sua,烏鯊,25,o͘-soa,oosua,oosoa
oo-tshiunn,烏鯧,25,o͘-chhiuⁿ,ootshiunn,oochhiunn
oo-liu,烏鰡,25,o͘-liu,ooliu,ooliu
oo-liân,烏鰱,25,o͘-liân,oolian5,oolian5
oo-muâ,烏鰻,25,o͘-môa,oomua5,oomoa5
oo-a,烏鴉,25,o͘-a,ooa,ooa
oo-tshiok,烏鵲,25,o͘-chhiok,ootshiok,oochhiok
oo-tshiu,烏鶖,25,o͘-chhiu,ootshiu,oochhiu
oo-muâ,烏麻,25,o͘-môa,oomua5,oomoa5
oo-tiám,烏點,25,o͘-tiám,ootiam2,ootiam2
oo-liông,烏龍,25,o͘-liông,ooliong5,ooliong5
oo-ku,烏龜,25,o͘-ku,ooku,ooku
oo-kui,烏龜,25,o͘-kui,ookui,ookui
hang-ta,烘ta,25,hang-ta,hangta,hangta
hang-tshiú,烘手,25,hang-chhiú,hangtshiu2,hangchhiu2
hang-hué,烘火,25,hang-hóe,hanghue2,hanghoe2
hang-hang,烘烘,25,hang-hang,hanghang,hanghang
hang-khó,烘烤,25,hang-khó,hangkho2,hangkho2
hang-sio,烘燒,25,hang-sio,hangsio,hangsio
hang-lôo,烘爐,25,hang-lô͘,hangloo5,hangloo5
hang-bah,烘肉,25,hang-bah,hangbah,hangbah
lō-lō,烙烙,25,lō-lō,lo7lo7,lo7lo7
pok-hun,烞薰,25,pok-hun,pokhun,pokhun
khó-siunn,烤箱,25,khó-siuⁿ,kho2siunn,kho2siunn
phing-iû,烹油,25,pheng-iû,phingiu5,phengiu5
phing-tiāu,烹調,25,pheng-tiāu,phingtiau7,phengtiau7
hong-hué,烽火,25,hong-hóe,honghue2,honghoe2
huānn-io̍h,焊藥,25,hōaⁿ-io̍h,huann7ioh8,hoann7ioh8
huānn-io̍k,焊藥,25,hōaⁿ-io̍k,huann7iok8,hoann7iok8
hān-póo,焊補,25,hān-pó͘,han7poo2,han7poo2
huānn-siah,焊錫,25,hōaⁿ-siah,huann7siah,hoann7siah
hûn-huí,焚毀,25,hûn-húi,hun5hui2,hun5hui2
hiânn-tsuí,焚水,25,hiâⁿ-chúi,hiann5tsui2,hiann5chui2
hiânn-hué,焚火,25,hiâⁿ-hóe,hiann5hue2,hiann5hoe2
hiânn-tê,焚茶,25,hiâⁿ-tê,hiann5te5,hiann5te5
tsioh-ji̍t,焟日,25,chioh-ji̍t,tsiohjit8,chiohjit8
tsioh-hué,焟火,25,chioh-hóe,tsiohhue2,chiohhoe2
tsioh-sio,焟燒,25,chioh-sio,tsiohsio,chiohsio
bô-phā,無phā,25,bô-phā,bo5pha7,bo5pha7
bô-poh,無poh,25,bô-poh,bo5poh,bo5poh
bô-tè,無tè,25,bô-tè,bo5te3,bo5te3
bô-tānn,無tānn,25,bô-tāⁿ,bo5tann7,bo5tann7
bû-put,無不,25,bû-put,bu5put,bu5put
bô-kú,無久,25,bô-kú,bo5ku2,bo5ku2
bô-kâng,無仝,25,bô-kâng,bo5kang5,bo5kang5
bô-piān,無便,25,bô-piān,bo5pian7,bo5pian7
