tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
tsit,這,9622,chit,tsit4,chit4,tsit,chit,,,True,False
si̍t,實,9621,si̍t,sit8,sit8,sit,sit,,,True,False
tshuì,喙,9364,chhùi,tshui3,chhui3,tshui,chhui,,,True,False
hong,風,9297,hong,hong1,hong1,hong,hong,,,True,False
tsîng,情,9238,chêng,tsing5,cheng5,tsing,cheng,,,True,False
kám,感,9228,kám,kam2,kam2,kam,kam,,,True,False
pe̍h,白,9226,pe̍h,peh8,peh8,peh,peh,,,True,False
king,經,9218,keng,king1,keng1,king,keng,,,True,False
jī,字,9159,jī,ji7,ji7,ji,ji,,,True,False
lī,字,9159,lī,li7,li7,li,li,,,True,False
huat,發,9126,hoat,huat4,hoat4,huat,hoat,,,True,False
kim,金,9080,kim,kim1,kim1,kim,kim,,,True,False
iánn,影,9036,iáⁿ,iann2,iann2,iann,iann,,,True,False
bóo,某,9022,bó͘,boo2,boo2,boo,boo,,,True,False
siū,受,8975,siū,siu7,siu7,siu,siu,,,True,False
tshù,厝,8959,chhù,tshu3,chhu3,tshu,chhu,,,True,False
iáu,猶,8915,iáu,iau2,iau2,iau,iau,,,True,False
tsóng,總,8896,chóng,tsong2,chong2,tsong,chong,,,True,False
tsai,知,8879,chai,tsai1,chai1,tsai,chai,,,True,False
tíng,頂,8873,téng,ting2,teng2,ting,teng,,,True,False
leh,咧,8857,leh,leh4,leh4,leh,leh,,,True,False
oo,烏,8830,o͘,oo1,oo1,oo,oo,,,True,False
khì,氣,8829,khì,khi3,khi3,khi,khi,,,True,False
tuē,地,8822,tōe,tue7,toe7,tue,toe,,,True,False
tē,地,8822,tē,te7,te7,te,te,,,True,False
tōng,動,8786,tōng,tong7,tong7,tong,tong,,,True,False
sîn,神,8753,sîn,sin5,sin5,sin,sin,,,True,False
lo̍h,落,8749,lo̍h,loh8,loh8,loh,loh,,,True,False
nih,呢,8729,nih,nih4,nih4,nih,nih,,,True,False
sió,小,8653,sió,sio2,sio2,sio,sio,,,True,False
huà,化,8649,hòa,hua3,hoa3,hua,hoa,,,True,False
hun,分,8581,hun,hun1,hun1,hun,hun,,,True,False
tsū,自,8553,chū,tsu7,chu7,tsu,chu,,,True,False
im,音,8544,im,im1,im1,im,im,,,True,False
kah,甲,8530,kah,kah4,kah4,kah,kah,,,True,True
senn,生,8389,seⁿ,senn1,senn1,senn,senn,,,True,False
sinn,生,8389,siⁿ,sinn1,sinn1,sinn,sinn,,,True,False
tsînn,錢,8339,chîⁿ,tsinn5,chinn5,tsinn,chinn,,,True,False
hái,海,8273,hái,hai2,hai2,hai,hai,,,True,False
ē,會,8235,ē,e7,e7,e,e,,,True,False
tng,當,8208,tng,tng1,tng1,tng,tng,,,True,False
bîng,明,8206,bêng,bing5,beng5,bing,beng,,,True,False
siánn,啥,8104,siáⁿ,siann2,siann2,siann,siann,,,True,False
sio,相,8098,sio,sio1,sio1,sio,sio,,,True,False
gín,囡,8068,gín,gin2,gin2,gin,gin,,,True,False
tsok,作,8045,chok,tsok4,chok4,tsok,chok,,,True,False
uân,灣,7984,oân,uan5,oan5,uan,oan,,,True,False
siá,寫,7896,siá,sia2,sia2,sia,sia,,,True,False
hàn,漢,7881,hàn,han3,han3,han,han,,,True,False
mn̂g,門,7855,mn̂g,mng5,mng5,mng,mng,,,True,False
guân,原,7811,goân,guan5,goan5,guan,goan,,,True,False
kiò,叫,7760,kiò,kio3,kio3,kio,kio,,,True,False
tè,帝,7740,tè,te3,te3,te,te,,,True,False
ná,若,7721,ná,na2,na2,na,na,,,True,False
hue,花,7690,hoe,hue1,hoe1,hue,hoe,,,True,False
an,安,7594,an,an1,an1,an,an,,,True,False
kiàn,見,7496,kiàn,kian3,kian3,kian,kian,,,True,False
siūnn,想,7440,siūⁿ,siunn7,siunn7,siunn,siunn,,,True,False
sîng,成,7428,sêng,sing5,seng5,sing,seng,,,True,False
kiánn,囝,7404,kiáⁿ,kiann2,kiann2,kiann,kiann,,,True,False
ti,知,7399,ti,ti1,ti1,ti,ti,,,True,False
bí,美,7337,bí,bi2,bi2,bi,bi,,,True,False
tsiūnn,上,7319,chiūⁿ,tsiunn7,chiunn7,tsiunn,chiunn,,,True,False
sìn,信,7276,sìn,sin3,sin3,sin,sin,,,True,False
tē,第,7248,tē,te7,te7,te,te,,,True,False
tīng,定,7244,tēng,ting7,teng7,ting,teng,,,True,False
kín,緊,7239,kín,kin2,kin2,kin,kin,,,True,False
thian,天,7219,thian,thian1,thian1,thian,thian,,,True,False
kú,久,7160,kú,ku2,ku2,ku,ku,,,True,False
tshài,菜,7141,chhài,tshai3,chhai3,tshai,chhai,,,True,False
ka,加,7091,ka,ka1,ka1,ka,ka,,,True,True
ti̍t,直,7087,ti̍t,tit8,tit8,tit,tit,,,True,False
tō,道,7076,tō,to7,to7,to,to,,,True,False
bé,馬,7067,bé,be2,be2,be,be,,,True,False
ua̍h,活,7040,oa̍h,uah8,oah8,uah,oah,,,True,False
tiám,點,7036,tiám,tiam2,tiam2,tiam,tiam,,,True,False
sióng,想,7002,sióng,siong2,siong2,siong,siong,,,True,False
hiān,現,6999,hiān,hian7,hian7,hian,hian,,,True,False
giân,言,6993,giân,gian5,gian5,gian,gian,,,True,False
bú,母,6956,bú,bu2,bu2,bu,bu,,,True,True
lah,啦,6933,lah,lah4,lah4,lah,lah,,,True,False
li̍k,力,6904,le̍k,lik8,lek8,lik,lek,,,True,False
kháu,口,6893,kháu,khau2,khau2,khau,khau,,,True,False
kiann,驚,6862,kiaⁿ,kiann1,kiann1,kiann,kiann,,,True,False
uī,位,6819,ūi,ui7,ui7,ui,ui,,,True,False
phah,拍,6781,phah,phah4,phah4,phah,phah,,,True,False
pháinn,歹,6780,pháiⁿ,phainn2,phainn2,phainn,phainn,,,True,False
bó,母,6773,bó,bo2,bo2,bo,bo,,,True,False
lâm,南,6771,lâm,lam5,lam5,lam,lam,,,True,False
tsú,子,6716,chú,tsu2,chu2,tsu,chu,,,True,False
sìng,性,6699,sèng,sing3,seng3,sing,seng,,,True,False
tiān,電,6698,tiān,tian7,tian7,tian,tian,,,True,False
thinn,天,6685,thiⁿ,thinn1,thinn1,thinn,thinn,,,True,False
tsá,早,6579,chá,tsa2,cha2,tsa,cha,,,True,False
àm,暗,6574,àm,am3,am3,am,am,,,True,False
