tl,hanzi,frequency,poj,tl_num,poj_num
kuan-iú-bu̍t,官有物,16,koan-iú-bu̍t,kuan1iu2but8,koan1iu2but8
kuann-tsng-tsoo,官莊租,16,koaⁿ-chng-cho͘,kuann1tsng1tsoo1,koann1chng1choo1
tīng-kè-tuann,定價單,16,tēng-kè-toaⁿ,ting7ke3tuann1,teng7ke3toann1
tīng-kè-pió,定價表,16,tēng-kè-pió,ting7ke3pio2,teng7ke3pio2
tīng-hong-hiòng,定方向,16,tēng-hong-hiòng,ting7hong1hiong3,teng7hong1hiong3
tīng-kî-siàu,定期賬,16,tēng-kî-siàu,ting7ki5siau3,teng7ki5siau3
tīng-king-tsháu,定經草,16,tēng-keng-chháu,ting7king1tshau2,teng7keng1chhau2
tīng-hong-kî,定風旗,16,tēng-hong-kî,ting7hong1ki5,teng7hong1ki5
tīng-hong-tsiam,定風針,16,tēng-hong-chiam,ting7hong1tsiam1,teng7hong1chiam1
gî-ngôo-tsháu,宜梧草,16,gî-ngô͘-chháu,gi5ngoo5tshau2,gi5ngoo5chhau2
gî-lâm-tsháu,宜男草,16,gî-lâm-chháu,gi5lam5tshau2,gi5lam5chhau2
kheh-hiann-kong,客兄公,16,kheh-hiaⁿ-kong,kheh1hiann1kong1,kheh1hiann1kong1
kheh-hiann-ko,客兄哥,16,kheh-hiaⁿ-ko,kheh1hiann1ko1,kheh1hiann1ko1
kheh-tsiáu-hue,客鳥花,16,kheh-chiáu-hoe,kheh1tsiau2hue1,kheh1chiau2hoe1
suan-tik-lôo,宣德爐,16,soan-tek-lô͘,suan1tik1loo5,soan1tek1loo5
suan-lôo-kí,宣爐几,16,soan-lô͘-kí,suan1loo5ki2,soan1loo5ki2
suan-lôo-thuàn,宣爐篆,16,soan-lô͘-thoàn,suan1loo5thuan3,soan1loo5thoan3
suan-sè-su,宣誓書,16,soan-sè-su,suan1se3su1,soan1se3su1
suan-tō-huē,宣道會,16,soan-tō-hōe,suan1to7hue7,soan1to7hoe7
sik-hé-ti,室火豬,16,sek-hé-ti,sik1he2ti1,sek1he2ti1
kiong-lāi-síng,宮內省,16,kiong-lāi-séng,kiong1lai7sing2,kiong1lai7seng2
kiong-lú-tà,宮女罩,16,kiong-lú-tà,kiong1lu2ta3,kiong1lu2ta3
kiong-tiān-hā,宮殿下,16,kiong-tiān-hā,kiong1tian7ha7,kiong1tian7ha7
hāi--lâng,害人,16,hāi--lâng,hai7lang5,hai7lang5
hāi--khì,害去,16,hāi--khì,hai7khi3,hai7khi3
hāi--loh,害嘮,16,hāi--loh,hai7loh1,hai7loh1
hāi-hāi-khì,害害去,16,hāi-hāi-khì,hai7hai7khi3,hai7hai7khi3
hāi-tháng-tháng,害桶桶,16,hāi-tháng-tháng,hai7thang2thang2,hai7thang2thang2
hāi-sí-lâng,害死人,16,hāi-sí-lâng,hai7si2lang5,hai7si2lang5
hāi-tòng-tòng,害當當,16,hāi-tòng-tòng,hai7tong3tong3,hai7tong3tong3
hāi-tsháu-uê,害草鞋,16,hāi-chháu-ôe,hai7tshau2ue5,hai7chhau2oe5
ka-sū-siōng,家事上,16,ka-sū-siōng,ka1su7siong7,ka1su7siong7
ke-hé-tué,家伙底,16,ke-hé-tóe,ke1he2tue2,ke1he2toe2
ke-hé-tshìn,家伙稱,16,ke-hé-chhìn,ke1he2tshin3,ke1he2chhin3
ke-hé-thâu,家伙頭,16,ke-hé-thâu,ke1he2thau5,ke1he2thau5
ka-pik-hū,家伯父,16,ka-pek-hū,ka1pik1hu7,ka1pek1hu7
ka-pik-tsóo,家伯祖,16,ka-pek-chó͘,ka1pik1tsoo2,ka1pek1choo2
ke-lāi-tshioh,家內尺,16,ke-lāi-chhioh,ke1lai7tshioh1,ke1lai7chhioh1
ke-sì-bé,家勢尾,16,ke-sì-bé,ke1si3be2,ke1si3be2
ka-tsik-tsím,家叔嬸,16,ka-chek-chím,ka1tsik1tsim2,ka1chek1chim2
ka-tsik-hū,家叔父,16,ka-chek-hū,ka1tsik1hu7,ka1chek1hu7
ka-tsik-tsóo,家叔祖,16,ka-chek-chó͘,ka1tsik1tsoo2,ka1chek1choo2
ka-guā-tsóo,家外祖,16,ka-gōa-chó͘,ka1gua7tsoo2,ka1goa7choo2
ka-tāi-jîn,家大人,16,ka-tāi-jîn,ka1tai7jin5,ka1tai7jin5
ka-tāi-bóo,家大母,16,ka-tāi-bó͘,ka1tai7boo2,ka1tai7boo2
ka-tāi-hū,家大父,16,ka-tāi-hū,ka1tai7hu7,ka1tai7hu7
ka-tsí-hu,家姊夫,16,ka-chí-hu,ka1tsi2hu1,ka1chi2hu1
ka-î-hu,家姨夫,16,ka-î-hu,ka1i5hu1,ka1i5hu1
ka-ga̍k-bú,家岳母,16,ka-ga̍k-bú,ka1gak8bu2,ka1gak8bu2
ka-ga̍k-hū,家岳父,16,ka-ga̍k-hū,ka1gak8hu7,ka1gak8hu7
ka-sù-bóo,家庶母,16,ka-sù-bó͘,ka1su3boo2,ka1su3boo2
ke-kuè-thâu,家械頭,16,ke-kòe-thâu,ke1kue3thau5,ke1koe3thau5
ka-bú-kīm,家母妗,16,ka-bú-kīm,ka1bu2kim7,ka1bu2kim7
ka-bú-kū,家母舅,16,ka-bú-kū,ka1bu2ku7,ka1bu2ku7
ke-kah-pâng,家甲枋,16,ke-kah-pâng,ke1kah1pang5,ke1kah1pang5
ke-kah-pâi,家甲牌,16,ke-kah-pâi,ke1kah1pai5,ke1kah1pai5
ke-kah-phōo,家甲簿,16,ke-kah-phō͘,ke1kah1phoo7,ke1kah1phoo7
ka-tsóo-bóo,家祖母,16,ka-chó͘-bó͘,ka1tsoo2boo2,ka1choo2boo2
ka-tsóo-hū,家祖父,16,ka-chó͘-hū,ka1tsoo2hu7,ka1choo2hu7
ke-sîn-pâi,家神牌,16,ke-sîn-pâi,ke1sin5pai5,ke1sin5pai5
ke-si-thâu,家私頭,16,ke-si-thâu,ke1si1thau5,ke1si1thau5
ka-kū-bó,家舅母,16,ka-kū-bó,ka1ku7bo2,ka1ku7bo2
ka-piáu-hing,家表兄,16,ka-piáu-heng,ka1piau2hing1,ka1piau2heng1
ka-tiúnn-huē,家長會,16,ka-tiúⁿ-hōe,ka1tiunn2hue7,ka1tiunn2hoe7
ke-tiúnn-huē,家長會,16,ke-tiúⁿ-hōe,ke1tiunn2hue7,ke1tiunn2hoe7
siok-kun-tsháu,宿根草,16,siok-kun-chháu,siok1kun1tshau2,siok1kun1chhau2
kià--khì,寄去,16,kià--khì,kia3khi3,kia3khi3
