hanzi,tl,frequency,poj,tl_num,poj_num
擠金,tsik-kim,25,chek-kim,tsikkim,chekkim
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2
放枋,pàng-pang,25,pàng-pang,pang3pang,pang3pang
敲仔,khà-á,25,khà-á,kha3a2,kha3a2
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7
斧頭,póo-thâu,25,pó͘-thâu,poo2thau5,poo2thau5
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5
時鐘,sî-tsing,25,sî-cheng,si5tsing,si5cheng
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2
暗號,àm-hō,25,àm-hō,am3ho7,am3ho7
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5
朝天,tiâu-thian,25,tiâu-thian,tiau5thian,tiau5thian
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh,bok8chhioh
本尊,pún-tsun,25,pún-chun,pun2tsun,pun2chun
杜英,tōo-ing,25,tō͘-eng,too7ing,too7eng
束冠,sok-kuan,25,sok-koan,sokkuan,sokkoan
松膠,siông-ka,25,siông-ka,siong5ka,siong5ka
枇杷,gî-pê,25,gî-pê,gi5pe5,gi5pe5
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2
染色,ní-tsik,25,ní-chek,ni2tsik,ni2chek
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu,thiau7chu
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam,chha5tiam
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5
