hanzi,tl,frequency,poj,tl_num,poj_num
鯦,kiū,50,kiū,kiu7,kiu7
鯦,kiǔ,50,kiǔ,kiu6,kiu6
鯶,hūn,50,hūn,hun7,hun7
鯶,hǔn,50,hǔn,hun6,hun6
鯺,tsir,50,chir,tsir1,chir1
鯺,tsu,50,chu,tsu1,chu1
鰝,hō,50,hō,ho7,ho7
鰝,hǒ,50,hǒ,ho6,ho6
鰤,sir,50,sir,sir1,sir1
鰤,su,50,su,su1,su1
鰦,tsir,50,chir,tsir1,chir1
鰾,piǒ,50,piǒ,pio6,pio6
鱈,seh,50,seh,seh4,seh4
鱈,serh,50,serh,serh4,serh4
鱓,siān,50,siān,sian7,sian7
鱓,siǎn,50,siǎn,sian6,sian6
鱓,tshuānn,50,chhōaⁿ,tshuann7,chhoann7
鱓,tshuǎnn,50,chhǒaⁿ,tshuann6,chhoann6
鱔,tshuǎnn,50,chhǒaⁿ,tshuann6,chhoann6
鱝,hūn,50,hūn,hun7,hun7
鱝,hǔn,50,hǔn,hun6,hun6
鱭,tsē,50,chē,tse7,che7
鱭,tsě,50,chě,tse6,che6
鱮,sīr,50,sīr,sir7,sir7
鱮,sǐr,50,sǐr,sir6,sir6
鱱,lerē,50,lēre,lere7,lere7
鱱,luē,50,lōe,lue7,loe7
鱻,sian,50,sian,sian1,sian1
鳸,hōo,50,hō͘,hoo7,hoo7
鳸,hǒo,50,hǒ͘,hoo6,hoo6
鳾,sir,50,sir,sir1,sir1
鳾,su,50,su,su1,su1
鴒,nuī,50,nūi,nui7,nui7
鴘,piān,50,piān,pian7,pian7
鴘,piǎn,50,piǎn,pian6,pian6
鴙,tī,50,tī,ti7,ti7
鴙,tǐ,50,tǐ,ti6,ti6
鴜,tsir,50,chir,tsir1,chir1
鴜,tsu,50,chu,tsu1,chu1
鴜,tsîr,50,chîr,tsir5,chir5
鴜,tsû,50,chû,tsu5,chu5
鴡,tshir,50,chhir,tshir1,chhir1
鴡,tshu,50,chhu,tshu1,chhu1
鴽,jîr,50,jîr,jir5,jir5
鴽,lîr,50,lîr,lir5,lir5
鴽,lû,50,lû,lu5,lu5
鵨,sir,50,sir,sir1,sir1
鵨,su,50,su,su1,su1
鶅,tsir,50,chir,tsir1,chir1
鶅,tsu,50,chu,tsu1,chu1
鶋,kir,50,kir,kir1,kir1
鶳,sir,50,sir,sir1,sir1
鶳,su,50,su,su1,su1
鶿,tsîr,50,chîr,tsir5,chir5
鷀,tsîr,50,chîr,tsir5,chir5
鷄,kere,50,kere,kere1,kere1
鷄,kue,50,koe,kue1,koe1
鷠,gîr,50,gîr,gir5,gir5
鷠,gû,50,gû,gu5,gu5
鸒,îr,50,îr,ir5,ir5
鸒,û,50,û,u5,u5
麔,kiǔ,50,kiǔ,kiu6,kiu6
麮,khìr,50,khìr,khir3,khir3
麮,khù,50,khù,khu3,khu3
鼁,khìr,50,khìr,khir3,khir3
鼁,khù,50,khù,khu3,khu3
鼈,pih,50,pih,pih4,pih4
鼒,tsir,50,chir,tsir1,chir1
鼒,tsu,50,chu,tsu1,chu1
鼶,sir,50,sir,sir1,sir1
鼶,su,50,su,su1,su1
鼸,hiām,50,hiām,hiam7,hiam7
鼸,hiǎm,50,hiǎm,hiam6,hiam6
齊,tsir,50,chir,tsir1,chir1
齊,tsu,50,chu,tsu1,chu1
齍,tsir,50,chir,tsir1,chir1
齎,tsir,50,chir,tsir1,chir1
齎,tsu,50,chu,tsu1,chu1
齗,gîrn,50,gîrn,girn5,girn5
齜,tsir,50,chir,tsir1,chir1
齟,tsīr,50,chīr,tsir7,chir7
齟,tsū,50,chū,tsu7,chu7
齟,tsǐr,50,chǐr,tsir6,chir6
齦,gîrn,50,gîrn,girn5,girn5
齦,khírn,50,khírn,khirn2,khirn2
齧,kherè,50,khère,khere3,khere3
齨,kiū,50,kiū,kiu7,kiu7
齨,kiǔ,50,kiǔ,kiu6,kiu6
齬,gír,50,gír,gir2,gir2
齹,tshir,50,chhir,tshir1,chhir1
齹,tshu,50,chhu,tshu1,chhu1
龍,nguî,50,ngûi,ngui5,ngui5
鿫,ò,50,ò,o3,o3
鿫,òo,50,ò͘,oo3,oo3
鿬,tiân,50,tiân,tian5,tian5
𠕇,tirīnn,50,tīriⁿ,tirinn7,tirinn7
𠕇,tuīnn,50,tūiⁿ,tuinn7,tuinn7
𠠝,li̍k,50,le̍k,lik8,lek8
𡻕,hèr,50,hèr,her3,her3
𢓜,koh,50,koh,koh4,koh4
𣍐,buē,50,bōe,bue7,boe7
𣍐,buě,50,bǒe,bue6,boe6
𣍐,bē,50,bē,be7,be7
𤏸,to̍h,50,to̍h,toh8,toh8
𤲍,khereh,50,khereh,khereh4,khereh4
𤺅,tserè,50,chère,tsere3,chere3
𤺅,tsheh,50,chheh,tsheh4,chheh4
𤺅,tshe̍h,50,chhe̍h,tsheh8,chheh8
𤺅,tsuè,50,chòe,tsue3,choe3
𤺅,tsè,50,chè,tse3,che3
𤺅,tsèr,50,chèr,tser3,cher3
𥑮,kió,50,kió,kio2,kio2
𥳑,kán,50,kán,kan2,kan2
𧾷,tsiok,50,chiok,tsiok4,chiok4
𧿿,tshír,50,chhír,tshir2,chhir2
𧿿,tshú,50,chhú,tshu2,chhu2
𨧀,tiō,50,tiō,tio7,tio7
𨧀,tōo,50,tō͘,too7,too7
𨧀,tǒo,50,tǒ͘,too6,too6
𨨏,pho,50,pho,pho1,pho1
𨭆,hik,50,hek,hik4,hek4
𨭎,hí,50,hí,hi2,hi2
𨿴,tsir,50,chir,tsir1,chir1
𨿴,tsu,50,chu,tsu1,chu1
𫝙,tshiò,50,chhiò,tshio3,chhio3
𫝛,sâng,50,sâng,sang5,sang5
𫝛,sāng,50,sāng,sang7,sang7
𫝞,bū,50,bū,bu7,bu7
𫞳,kàng,50,kàng,kang3,kang3
𫟊,sio̍h,50,sio̍h,sioh8,sioh8
𫟣,sōm,50,sōm,som7,som7
𫟣,sōng,50,sōng,song7,song7
𰹬,tsn̄g,50,chn̄g,tsng7,chng7
𲓖,mài,50,mài,mai3,mai3
あげ,á-geh,25,á-geh,a2geh4,a2geh4
お田,oo-lián,25,o͘-lián,oo1lian2,oo1lian2
かな,khá-nah,25,khá-nah,kha2nah4,kha2nah4
がら,gá-lah,25,gá-lah,ga2lah4,ga2lah4
すし,sú-sih,25,sú-sih,su2sih4,su2sih4
たこ,thak-khooh,25,thak-kho͘h,thak4khooh4,thak4khooh4
たび,that-bí,25,that-bí,that4bi2,that4bi2
のり,nóo-lih,25,nó͘-lih,noo2lih4,noo2lih4
ふろ,hú-looh,25,hú-lo͘h,hu2looh4,hu2looh4
みそ,mí-soh,25,mí-soh,mi2soh4,mi2soh4
みそ,mí-sooh,25,mí-so͘h,mi2sooh4,mi2sooh4
やみ,iá-mih,25,iá-mih,ia2mih4,ia2mih4
ゆり,iú-lih,25,iú-lih,iu2lih4,iu2lih4
よび,ió-bih,25,ió-bih,io2bih4,io2bih4
ガス,gá-suh,25,gá-suh,ga2suh4,ga2suh4
キロ,khí-looh,25,khí-lo͘h,khi2looh4,khi2looh4
ハム,há-muh,25,há-muh,ha2muh4,ha2muh4
バス,bá-sirh,25,bá-sirh,ba2sirh4,ba2sirh4
バス,bá-suh,25,bá-suh,ba2suh4,ba2suh4
㤉潲,gêr-siâu,25,gêr-siâu,ger5siau5,ger5siau5
上人,siōng-jîn,25,siōng-jîn,siong7jin5,siong7jin5
上人,siōng-lîn,25,siōng-lîn,siong7lin5,siong7lin5
上尾,siōng-bér,25,siōng-bér,siong7ber2,siong7ber2
上師,siōng-sir,25,siōng-sir,siong7sir1,siong7sir1
上書,siōng-sir,25,siōng-sir,siong7sir1,siong7sir1
上書,siōng-su,25,siōng-su,siong7su1,siong7su1
上書,siǒng-sir,25,siǒng-sir,siong6sir1,siong6sir1
上書,tsiūnn-tsir,25,chiūⁿ-chir,tsiunn7tsir1,chiunn7chir1
上書,tsiūnn-tsu,25,chiūⁿ-chu,tsiunn7tsu1,chiunn7chu1
上書,tsiǔnn-tsir,25,chiǔⁿ-chir,tsiunn6tsir1,chiunn6chir1
上等,jió-toh,25,jió-toh,jio2toh4,jio2toh4
不如,put-jîr,25,put-jîr,put4jir5,put4jir5
不如,put-lîr,25,put-lîr,put4lir5,put4lir5
世事,sè-sīr,25,sè-sīr,se3sir7,se3sir7
乾燥,kha̋n-sóo,25,khăn-só͘,khan1soo2,khan9soo2
予備,ió-bih,25,ió-bih,io2bih4,io2bih4
事主,sīr-tsú,25,sīr-chú,sir7tsu2,sir7chu2
事事,sīr-sīr,25,sīr-sīr,sir7sir7,sir7sir7
事理,sīr-lí,25,sīr-lí,sir7li2,sir7li2
事路,sīr-lōo,25,sīr-lō͘,sir7loo7,sir7loo7
事路,sū-lōo,25,sū-lō͘,su7loo7,su7loo7
人事,jîn-sīr,25,jîn-sīr,jin5sir7,jin5sir7
人事,lîn-sīr,25,lîn-sīr,lin5sir7,lin5sir7
人参,li̋n-jín,25,lĭn-jín,lin1jin2,lin9jin2
代書,tāi-sir,25,tāi-sir,tai7sir1,tai7sir1
代賠,tāi-puê,25,tāi-pôe,tai7pue5,tai7poe5
代賠,tāi-pê,25,tāi-pê,tai7pe5,tai7pe5
代賠,tāi-pêr,25,tāi-pêr,tai7per5,tai7per5
仮名,khá-nah,25,khá-nah,kha2nah4,kha2nah4
休憩,khiű-khé,25,khiŭ-khé,khiu1khe2,khiu9khe2
何如,hô-jîr,25,hô-jîr,ho5jir5,ho5jir5
何如,hô-jû,25,hô-jû,ho5ju5,ho5ju5
何如,hô-lîr,25,hô-lîr,ho5lir5,ho5lir5
何如,hô-lû,25,hô-lû,ho5lu5,ho5lu5
佛公,pu̍t-kong,25,pu̍t-kong,put8kong1,put8kong1
