tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
ge̍h-niû,月娘,185,ge̍h-niû,geh8niu5,geh8niu5,gehniu,gehniu,gn,gn,True
gue̍h-niû,月娘,185,goe̍h-niû,gueh8niu5,goeh8niu5,guehniu,goehniu,gn,gn,True
siū-khì,受氣,174,siū-khì,siu7khi3,siu7khi3,siukhi,siukhi,sk,sk,True
tshut-guā,出外,172,chhut-gōa,tshut4gua7,chhut4goa7,tshutgua,chhutgoa,tg,cg,True
tâi-uân-lâng,台灣人,169,tâi-oân-lâng,tai5uan5lang5,tai5oan5lang5,taiuanlang,taioanlang,tul,tol,True
pak-tóo,腹肚,164,pak-tó͘,pak4too2,pak4too2,paktoo,paktoo,pt,pt,True
peh,百,162,peh,peh4,peh4,peh,peh,,,True
tiong-kok,中國,152,tiong-kok,tiong1kok4,tiong1kok4,tiongkok,tiongkok,tk,tk,True
hiong,兇,150,hiong,hiong1,hiong1,hiong,hiong,,,True
ki,吱,150,ki,ki1,ki1,ki,ki,,,True
khòng,壙,150,khòng,khong3,khong3,khong,khong,,,True
tshe,妻,150,chhe,tshe1,chhe1,tshe,chhe,,,True
hàinn,幌,150,hàiⁿ,hainn3,hainn3,hainn,hainn,,,True
phôo,扶,150,phô͘,phoo5,phoo5,phoo,phoo,,,True
am,掩,150,am,am1,am1,am,am,,,True
tshiám,攕,150,chhiám,tshiam2,chhiam2,tshiam,chhiam,,,True
thuann,攤,150,thoaⁿ,thuann1,thoann1,thuann,thoann,,,True
thuā,汰,150,thōa,thua7,thoa7,thua,thoa,,,True
iû,游,150,iû,iu5,iu5,iu,iu,,,True
lông,濃,150,lông,long5,long5,long,long,,,True
tsuànn,炸,150,chòaⁿ,tsuann3,choann3,tsuann,choann,,,True
siāu,紹,150,siāu,siau7,siau7,siau,siau,,,True
hak,蓄,150,hak,hak4,hak4,hak,hak,,,True
sian,鉎,150,sian,sian1,sian1,sian,sian,,,True
tân,霆,150,tân,tan5,tan5,tan,tan,,,True
jī,餌,150,jī,ji7,ji7,ji,ji,,,True
kán,𡢃,150,kán,kan2,kan2,kan,kan,,,True
tòo,𪐞,150,tò͘,too3,too3,too,too,,,True
tsia̍h-pn̄g,食飯,144,chia̍h-pn̄g,tsiah8png7,chiah8png7,tsiahpng,chiahpng,tp,cp,True
bô-huat-tōo,無法度,143,bô-hoat-tō͘,bo5huat4too7,bo5hoat4too7,bohuattoo,bohoattoo,bht,bht,True
tsóng-sī,總是,140,chóng-sī,tsong2si7,chong2si7,tsongsi,chongsi,ts,cs,True
tāi-sing,代先,134,tāi-seng,tai7sing1,tai7seng1,taising,taiseng,ts,ts,True
tshing-khì,清氣,130,chheng-khì,tshing1khi3,chheng1khi3,tshingkhi,chhengkhi,tk,ck,True
tâi-bûn,台文,128,tâi-bûn,tai5bun5,tai5bun5,taibun,taibun,tb,tb,True
thàu-tsá,透早,128,thàu-chá,thau3tsa2,thau3cha2,thautsa,thaucha,tt,tc,True
tsìn-tsîng,進前,123,chìn-chêng,tsin3tsing5,chin3cheng5,tsintsing,chincheng,tt,cc,True
tshiū-nâ-á,樹林仔,110,chhiū-nâ-á,tshiu7na5a2,chhiu7na5a2,tshiunaa,chhiunaa,tna,cna,True
lâm,嵐,101,lâm,lam5,lam5,lam,lam,,,True
khan-tshiú,牽手,101,khan-chhiú,khan1tshiu2,khan1chhiu2,khantshiu,khanchhiu,kt,kc,True
bē-īng-tit,袂用得,101,bē-ēng-tit,be7ing7tit4,be7eng7tit4,beingtit,beengtit,bit,bet,True
gê,㤉,100,gê,ge5,ge5,ge,ge,,,True
tsi̍t-ê,一个,100,chi̍t-ê,tsit8e5,chit8e5,tsite,chite,te,ce,True
tsi̍t-pah,一百,100,chi̍t-pah,tsit8pah4,chit8pah4,tsitpah,chitpah,tp,cp,True
tshit-tiám,七點,100,chhit-tiám,tshit4tiam2,chhit4tiam2,tshittiam,chhittiam,tt,ct,True
sam-put-gōo-sî,三不五時,100,sam-put-gō͘-sî,sam1put4goo7si5,sam1put4goo7si5,samputgoosi,samputgoosi,spgs,spgs,True
e-tsái-á,下早仔,100,e-chái-á,e1tsai2a2,e1chai2a2,etsaia,echaia,eta,eca,True
jī-tsa̍p,二十,100,jī-cha̍p,ji7tsap8,ji7chap8,jitsap,jichap,jt,jc,True
tsoh-sit,作穡,100,choh-sit,tsoh4sit4,choh4sit4,tsohsit,chohsit,ts,cs,True
piān-sóo,便所,100,piān-só͘,pian7soo2,pian7soo2,piansoo,piansoo,ps,ps,True
piān-tong,便當,100,piān-tong,pian7tong1,pian7tong1,piantong,piantong,pt,pt,True
tò-tshiú,倒手,100,tò-chhiú,to3tshiu2,to3chhiu2,totshiu,tochhiu,tt,tc,True
uá-tàu,倚晝,100,óa-tàu,ua2tau3,oa2tau3,uatau,oatau,ut,ot,True
thîng-tshia-tiûnn,停車場,100,thêng-chhia-tiûⁿ,thing5tshia1tiunn5,theng5chhia1tiunn5,thingtshiatiunn,thengchhiatiunn,ttt,tct,True
khing,傾,100,kheng,khing1,kheng1,khing,kheng,,,True
bián-kheh-khì,免客氣,100,bián-kheh-khì,bian2kheh4khi3,bian2kheh4khi3,biankhehkhi,biankhehkhi,bkk,bkk,True
la̍k-tiám,六點,100,la̍k-tiám,lak8tiam2,lak8tiam2,laktiam,laktiam,lt,lt,True
kā-guá,共我,100,kā-góa,ka7gua2,ka7goa2,kagua,kagoa,kg,kg,True
kàu-tann,到今,100,kàu-taⁿ,kau3tann1,kau3tann1,kautann,kautann,kt,kt,True
khiàng,勥,100,khiàng,khiang3,khiang3,khiang,khiang,,,True
tsa̍p-peh,十八,100,cha̍p-peh,tsap8peh4,chap8peh4,tsappeh,chappeh,tp,cp,True
kóo-tsui,古錐,100,kó͘-chui,koo2tsui1,koo2chui1,kootsui,koochui,kt,kc,True
tâi-uân-uē,台灣話,100,tâi-oân-ōe,tai5uan5ue7,tai5oan5oe7,taiuanue,taioanoe,tuu,too,True
tâi-phiò,台票,100,tâi-phiò,tai5phio3,tai5phio3,taiphio,taiphio,tp,tp,True
ànn,向,100,àⁿ,ann3,ann3,ann,ann,,,True
tiat,哲,100,tiat,tiat4,tiat4,tiat,tiat,,,True
siânn,唌,100,siâⁿ,siann5,siann5,siann,siann,,,True
pho̍k,噗,100,pho̍k,phok8,phok8,phok,phok,,,True
kok-bîn-tóng,國民黨,100,kok-bîn-tóng,kok4bin5tong2,kok4bin5tong2,kokbintong,kokbintong,kbt,kbt,True
tsāi-tē,在地,100,chāi-tē,tsai7te7,chai7te7,tsaite,chaite,tt,ct,True
huāi,壞,100,hoāi,huai7,hoai7,huai,hoai,,,True
guā-síng-lâng,外省人,100,gōa-séng-lâng,gua7sing2lang5,goa7seng2lang5,guasinglang,goasenglang,gsl,gsl,True
hó-sè,好勢,100,hó-sè,ho2se3,ho2se3,hose,hose,hs,hs,True
hiâu,嬈,100,hiâu,hiau5,hiau5,hiau,hiau,,,True
kheh-gí,客語,100,kheh-gí,kheh4gi2,kheh4gi2,khehgi,khehgi,kg,kg,True
kià-hù,寄付,100,kià-hù,kia3hu3,kia3hu3,kiahu,kiahu,kh,kh,True
siâm,尋,100,siâm,siam5,siam5,siam,siam,,,True
tuì-bīn,對面,100,tùi-bīn,tui3bin7,tui3bin7,tuibin,tuibin,tb,tb,True
khiáu,巧,100,khiáu,khiau2,khiau2,khiau,khiau,,,True
kuí-hō,幾號,100,kúi-hō,kui2ho7,kui2ho7,kuiho,kuiho,kh,kh,True
kuí-tiám,幾點,100,kúi-tiám,kui2tiam2,kui2tiam2,kuitiam,kuitiam,kt,kt,True
sìng-tē,性地,100,sèng-tē,sing3te7,seng3te7,singte,sengte,st,st,True
siūnn-khuànn-māi,想看覓,100,siūⁿ-khòaⁿ-māi,siunn7khuann3mai7,siunn7khoann3mai7,siunnkhuannmai,siunnkhoannmai,skm,skm,True
siūnn-bē-kàu,想袂到,100,siūⁿ-bē-kàu,siunn7be7kau3,siunn7be7kau3,siunnbekau,siunnbekau,sbk,sbk,True
kám-un,感恩,100,kám-un,kam2un1,kam2un1,kamun,kamun,ku,ku,True
kng,扛,100,kng,kng1,kng1,kng,kng,,,True
pài-sann,拜三,100,pài-saⁿ,pai3sann1,pai3sann1,paisann,paisann,ps,ps,True
pài-jī,拜二,100,pài-jī,pai3ji7,pai3ji7,paiji,paiji,pj,pj,True
pài-gōo,拜五,100,pài-gō͘,pai3goo7,pai3goo7,paigoo,paigoo,pg,pg,True
pài-la̍k,拜六,100,pài-la̍k,pai3lak8,pai3lak8,pailak,pailak,pl,pl,True
tsíng-thâu-á,指頭仔,100,chéng-thâu-á,tsing2thau5a2,cheng2thau5a2,tsingthaua,chengthaua,tta,cta,True
tsiap-siū,接受,100,chiap-siū,tsiap4siu7,chiap4siu7,tsiapsiu,chiapsiu,ts,cs,True
tshiau,搜,100,chhiau,tshiau1,chhiau1,tshiau,chhiau,,,True
tiah,摘,100,tiah,tiah4,tiah4,tiah,tiah,,,True
tsik,擠,100,chek,tsik4,chek4,tsik,chek,,,True
tioh,擢,100,tioh,tioh4,tioh4,tioh,tioh,,,True
pàng-jiō,放尿,100,pàng-jiō,pang3jio7,pang3jio7,pangjio,pangjio,pj,pj,True
pàng-sái,放屎,100,pàng-sái,pang3sai2,pang3sai2,pangsai,pangsai,ps,ps,True
hòng-sàng,放送,100,hòng-sàng,hong3sang3,hong3sang3,hongsang,hongsang,hs,hs,True
sàn-tshiah,散赤,100,sàn-chhiah,san3tshiah4,san3chhiah4,santshiah,sanchhiah,st,sc,True
phóo-thong,普通,100,phó͘-thong,phoo2thong1,phoo2thong1,phoothong,phoothong,pt,pt,True
huē-sit-lé,會失禮,100,hōe-sit-lé,hue7sit4le2,hoe7sit4le2,huesitle,hoesitle,hsl,hsl,True
sim,森,100,sim,sim1,sim1,sim,sim,,,True
tsìng-siông,正常,100,chèng-siông,tsing3siong5,cheng3siong5,tsingsiong,chengsiong,ts,cs,True
tsiànn-káng,正港,100,chiàⁿ-káng,tsiann3kang2,chiann3kang2,tsiannkang,chiannkang,tk,ck,True
khuì-la̍t,氣力,100,khùi-la̍t,khui3lat8,khui3lat8,khuilat,khuilat,kl,kl,True
thài,汰,100,thài,thai3,thai3,thai,thai,,,True
tsù-bûn,注文,100,chù-bûn,tsu3bun5,chu3bun5,tsubun,chubun,tb,cb,True
tsuānn,濺,100,chōaⁿ,tsuann7,choann7,tsuann,choann,,,True
oo-pe̍h-kóng,烏白講,100,o͘-pe̍h-kóng,oo1peh8kong2,oo1peh8kong2,oopehkong,oopehkong,opk,opk,True
bô-būn-tê,無問題,100,bô-būn-tê,bo5bun7te5,bo5bun7te5,bobunte,bobunte,bbt,bbt,True
bô-tik-khak,無的確,100,bô-tek-khak,bo5tik4khak4,bo5tek4khak4,botikkhak,botekkhak,btk,btk,True
sio-kāng,相仝,100,sio-kāng,sio1kang7,sio1kang7,siokang,siokang,sk,sk,True
khuànn-ū,看有,100,khòaⁿ-ū,khuann3u7,khoann3u7,khuannu,khoannu,ku,ku,True
khuànn-māi,看覓,100,khòaⁿ-māi,khuann3mai7,khoann3mai7,khuannmai,khoannmai,km,km,True
bîn-bāng,眠夢,100,bîn-bāng,bin5bang7,bin5bang7,binbang,binbang,bb,bb,True
kuáinn,稈,100,koáiⁿ,kuainn2,koainn2,kuainn,koainn,,,True
tshīng-sann,穿衫,100,chhēng-saⁿ,tshing7sann1,chheng7sann1,tshingsann,chhengsann,ts,cs,True
bí-kok,米國,100,bí-kok,bi2kok4,bi2kok4,bikok,bikok,bk,bk,True
muâi,糜,100,moâi,muai5,moai5,muai,moai,,,True
