漢字,異用字,TL
牛奶色,牛乳色,gû-ling-sik/gû-ni-sik
牛奶喙仔,牛乳喙仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛奶嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛乳嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶糖,牛乳糖,gû-ling-thn̂g/gû-ni-thn̂g
牛牢,牛椆,gû-tiâu
牛牢,牛稠,gû-tiâu
火金蛄,火金姑,hué-kim-koo/hé-kim-koo
牛捽仔,牛摔仔,gû-sut-á
王梨,鳳萊,ông-lâi
牛喙罨,牛喙籠,gû-tshuì-am
牛喙罨,牛嘴罨,gû-tshuì-am
牛喙罨,牛嘴籠,gû-tshuì-am
牛犅,牛牨,gû-káng
火燒厝,火燒茨,hué-sio-tshù/hé-sio-tshù
火薰,火熏,hué-hun/hé-hun
火薰,火煙,hué-hun/hé-hun
仙,銑,
仝,同,kāng
仝,共,kāng
代,事,
主人,主儂,tsú-lâng
代先,事先,tāi-sing
兄弟姊妹,兄弟姐妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē
仙拚仙,仙拼仙,sian-piànn-sian
仝爸各母,同爸各母,kāng-pē-koh-bú
世俗人,世俗儂,sè-sio̍k-lâng
仝款,同款,kāng-khuán
仝款,共款,kāng-khuán
世間人,世間儂,sè-kan-lâng
代誌,事志,tāi-tsì
凹,坳,
叨,嘮,lo
外人,外儂,guā-lâng
司公,師公,sai-kong
叫毋敢,叫不敢,kiò-m̄-kánn
北爿,北旁,pak-pîng
四爿,四旁,sì-pîng
半世人,半世儂,puànn-sì-lâng
加車,枷車,ka-tshia
出氣,出喟,tshut-khuì
半桶師仔,半桶司仔,puànn-tháng-sai-á
四淋垂,四湳垂,sì-lâm-suî
出喙,出嘴,tshut-tshuì
卯喙,卯嘴,mauh-tshuì
外媽,外嬤,guā-má
古意人,古意儂,kóo-ì-lâng
出業,卒業,tshut-gia̍p
半節,半截,puànn-tsat
四跤仔,四骹仔,sì-kha-á
四跤仔,四腳仔,sì-kha-á
四跤仔泅,四骹仔泅,sì-kha-á-siû
四跤仔泅,四腳仔泅,sì-kha-á-siû
四跤杜定,四骹杜定,sì-kha-tōo-tīng
四跤杜定,四腳杜定,sì-kha-tōo-tīng
半路師,半路司,puànn-lōo-sai
可憐代,可憐事,khó-liân-tāi
加擔,椵擔,ka-tann
加擔,枷擔,ka-tann
加薦仔,茭薦仔,ka-tsì-á/ka-tsù-á
召鏡,吊鏡,tiàu-kiànn
奶,乳,
扒,𢻷,
本人,本儂,pún-lâng
失人禮,失儂禮,sit-lâng-lé
尻川,腳倉,kha-tshng
尻川䫌,腳倉䫌,kha-tshng-phué
尻川口,腳倉口,kha-tshng-kháu
打扎,打紮,tánn-tsah
正手爿,正手旁,tsiànn-tshiú-pîng
正爿,正旁,tsiànn-pîng
母仔囝,母仔子,bú-á-kiánn
奶母,乳母,ling-bú/ni-bú
奶母車,乳母車,ling-bú-tshia/ni-bú-tshia
本份,本分,pún-hūn
幼囝,幼子,iù-kiánn
母囝椅,母子椅,bú-kiánn-í
奶帕仔,乳帕仔,ling-phè-á/ni-phè-á
尻脊,加脊,kha-tsiah
打馬膠路,點仔膠路,tá-má-ka-lōo
奶喙仔,乳喙仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,奶嘴仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,乳嘴仔,ling-tshuì-á/ni-tshuì-á
扒飯,𢻷飯,pe-pn̄g
失電,熄電,sit-tiān
布機,布規,pòo-kui
奶頭,乳頭,ling-thâu/ni-thâu
奶癌,乳癌,ling-gâm/ni-gâm
幼麵麵,幼咪咪,iù-mī-mī
生,青,
田,塍,
田,堘,
甲,𢓜,
甲,徦,
甲,到,
犯人,犯儂,huān-lâng
生仔,鍟仔,senn-á/sinn-á
生份,生分,senn-hūn/sinn-hūn
生份,青份,senn-hūn/sinn-hūn
生份,青分,senn-hūn/sinn-hūn
生份人,生份儂,senn-hūn-lâng/sinn-hūn-lâng
生份人,生分人,senn-hūn-lâng/sinn-hūn-lâng
生囝,生子,senn-kiánn/sinn-kiánn
生冷,青冷,tshenn-líng/tshinn-líng
白汫無味,白𩟗無味,pe̍h-tsiánn-bô-bī
生狂,青狂,tshenn-kông/tshinn-kông
石枋,石板,tsio̍h-pang
目空,目孔,ba̍k-khang
瓦厝,瓦茨,hiā-tshù
生疏,青疏,tshenn-soo/tshinn-soo
生理人,生理儂,sing-lí-lâng
生番,生蕃,tshenn-huan/tshinn-huan
生菇,生菰,senn-koo/sinn-koo
目睭,目珠,ba̍k-tsiu
目睭仁,目珠仁,ba̍k-tsiu-jîn/ba̍k-tsiu-lîn
目睭皮,目珠皮,ba̍k-tsiu-phuê/ba̍k-tsiu-phê
白跤蹄,白骹蹄,pe̍h-kha-tê
白跤蹄,白腳蹄,pe̍h-kha-tê
生鉎,生銹,senn-sian/sinn-sian
生鉎,生鏥,senn-sian/sinn-sian
石榴,榭榴,
瓦窯,瓦窰,hiā-iô
甲箬笠,甲笚笠,kah-ha̍h-le̍h
甲箬笠,甲籜笠,kah-ha̍h-le̍h
白頭鵠仔,白頭殼仔,pe̍h-thâu-khok-á
生鍋,鍟鍋,senn-ue/sinn-e
生鐵,鍟鐵,senn-thih/sinn-thih
生驚,青驚,tshenn-kiann/tshinn-kiann
白鑠鑠,白晰晰,pe̍h-siak-siak
交,加,
份,分,hūn
伨,媵,thīn
先生媽,先生嬤,sian-sinn-má
兇狂,凶狂,hiong-kông
交懍恂,加懍恂,ka-lún-sún
交懍恂,交懍損,ka-lún-sún
交懍恂,加懍損,ka-lún-sún
份額,分額,hūn-gia̍h
共,給,
囝,子,kiánn
各人,各儂,kok-lâng
在人,在儂,tsāi-lâng
吐大氣,吐大喟,thóo-tuā-khuì
囡仔,囝仔,gín-á
囡仔人,囡仔儂,gín-á-lâng
囡仔款,囝仔款,gín-á-khuán
在地人,在地儂,tsāi-tē-lâng/tsāi-tuē-lâng
吐肉箭,吐肉搢,thóo-bah-tsìnn
囝兒,子兒,kiánn-jî/kiánn-lî
囝孫,子孫,kiánn-sun
吐氣,吐喟,thóo-khuì
向望,映望,ǹg-bāng
合喙,合嘴,ha̍p-tshuì
囝婿,子婿,kiánn-sài
吐腸頭,凸腸頭,thóo-tn̂g-thâu
