漢字,異用字,羅馬字
某乜人,某乜儂,bóo-mí-lâng
某乜人,某物儂,bóo-mí-lâng
某大姊,某大姐,bóo-tuā-tsí
拇,母,bú
母仔囝,母仔子,bú-á-kiánn
母囝椅,母子椅,bú-kiánn-í
末趁,沒趁,bua̍t-thàn
尾仔囝,尾仔子,bué-á-kiánn/bé-á-kiánn
尾蝶,尾蛾,bué-ia̍h/bé-ia̍h
尾蝶,美蝶,bué-ia̍h/bé-ia̍h
尾脽,尾錐,bué-tsui/bé-tsui
襪仔,袜仔,bue̍h-á
文光尺,門公尺,bûn-kong-tshioh
挨絃仔,挨弦仔,e hiân-á
下暗,兮暗,e-àm
鞋抿仔,鞋笢仔,ê-bín-á/uê-bín-á
鞋抿仔,鞋刡仔,ê-bín-á/uê-bín-á
下昏,兮昏,e-hng
下昏暗,兮昏暗,e-hng-àm
下跤,下骹,ē-kha
下跤,下腳,ē-kha
下跤手人,下跤手儂,ē-kha-tshiú-lâng
下跤手人,下骹手儂,ē-kha-tshiú-lâng
下跤手人,下腳手儂,ē-kha-tshiú-lâng
挨粿,挨餜,e-kué/e-ké
矮人,矮儂,é-lâng/ué-lâng
下晡,兮晡,ē-poo
會當,會凍,ē-tàng
下晝,兮晝,ē-tàu
下早仔,今早仔,e-tsái-á
呃,噎,eh
𠢕,賢,gâu
𠢕,爻,gâu
𠢕人,𠢕儂,gâu-lâng
𠢕人,賢儂,gâu-lâng
𠢕人,賢人,gâu-lâng
𠢕早,賢早,gâu-tsá
嚙,囓,gè
攑,揭,gia̍h
攑,舉,gia̍h
攑,擧,gia̍h
攑箸,舉箸,gia̍h tī/gia̍h tū
攑箸,擧箸,gia̍h tī/gia̍h tū
攑旗軍仔,揭旗軍仔,gia̍h-kî-kun-á
攑旗軍仔,舉旗軍仔,gia̍h-kî-kun-á
攑旗軍仔,擧旗軍仔,gia̍h-kî-kun-á
攑懸,舉懸,gia̍h-kuân
攑懸,擧懸,gia̍h-kuân
攑頭,舉頭,gia̍h-thâu
攑頭,擧頭,gia̍h-thâu
攑頭香,揭頭香,gia̍h-thâu-hiunn
攑頭香,舉頭香,gia̍h-thâu-hiunn
攑頭香,擧頭香,gia̍h-thâu-hiunn
攑手,舉手,gia̍h-tshiú
攑手,擧手,gia̍h-tshiú
言詞,言辭,giân-sû
鋏仔,夾仔,giap-á
蠍仔,蝎仔,giat-á
砛,岒,gîm
砛,岑,gîm
砛,坅,gîm
砛仔,岒仔,gîm-á
砛仔,岑仔,gîm-á
砛仔,坅仔,gîm-á
錦痀,顉痀,gìm-ku
錦痀,趛痀,gìm-ku
砛簷,岑簷,gîm-tsînn
砛簷,岒簷,gîm-tsînn
砛簷,坅簷,gîm-tsînn
囡仔,囝仔,gín-á
囡仔款,囝仔款,gín-á-khuán
囡仔人,囡仔儂,gín-á-lâng
蟯桮,蟯篦,giô-pue
戇,怣,gōng
戇戇,怣怣,gōng-gōng
戇人,戇儂,gōng-lâng
戇人,怣儂,gōng-lâng
戇人,怣人,gōng-lâng
戇神,怣神,gōng-sîn
戇想,怣想,gōng-siūnn
戇呆,戇獃,gōng-tai
戇呆,怣獃,gōng-tai
戇呆,怣呆,gōng-tai
戇膽,怣膽,gōng-tánn
戇頭戇面,怣頭怣面,gōng-thâu-gōng-bīn
戇直,怣直,gōng-ti̍t
戇大呆,怣大呆,gōng-tuā-tai
戇大呆,戇大獃,gōng-tuā-tai
戇大呆,怣大獃,gōng-tuā-tai
戇話,怣話,gōng-uē
牛仔囝,牛仔子,gû-á-kiánn
牛犅,牛牨,gû-káng
牛𡳞脬檨,牛膦脬檨,gû-lān-pha-suāinn
牛奶粉,牛乳粉,gû-ling-hún/gû-ni-hún
牛奶色,牛乳色,gû-ling-sik/gû-ni-sik
牛奶糖,牛乳糖,gû-ling-thn̂g/gû-ni-thn̂g
牛奶喙仔,牛乳喙仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛奶嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛乳嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶,牛乳,gû-ling/gû-ni
牛捽仔,牛摔仔,gû-sut-á
牛牢,牛椆,gû-tiâu
牛牢,牛稠,gû-tiâu
牛喙罨,牛喙籠,gû-tshuì-am
牛喙罨,牛嘴罨,gû-tshuì-am
牛喙罨,牛嘴籠,gû-tshuì-am
偌,若,guā
偌,外,guā
外人,外儂,guā-lâng
外媽,外嬤,guā-má
月內風,月內瘋,gue̍h-lāi-hong/ge̍h-lāi-hong
孝尾囝,孝尾子,hà-bué-kiánn/hà-bé-kiánn
箬,笚,ha̍h
哈唏,哈肺,hah-hì
海湧,海泳,hái-íng
海虼蚻,海虼蠽,hái-ka-tsua̍h
海虼蚻,海虼蠘,hái-ka-tsua̍h
海虼蚻,海加絕,hái-ka-tsua̍h
海沙埔,海砂埔,hái-sua-poo
害蟲,害虫,hāi-thâng
唉,哎,haih
蓄厝,蓄茨,hak-tshù
譀,䫲,hàm
譀,幻,hàm
譀,泛,hàm
譀鏡,泛鏡,hàm-kiànn
譀浡,泛浮,hàm-phu̍h
譀浡,䫲浡,hàm-phu̍h
番薯仔囝,番薯仔子,han-tsî-á-kiánn/han-tsû-á-kiánn
番薯箍,蕃薯箍,han-tsî-khoo/han-tsû-khoo
番薯簽,蕃薯簽,han-tsî-tshiam/han-tsû-tshiam
番薯簽,蕃薯籤,han-tsî-tshiam/han-tsû-tshiam
番薯簽,番薯籤,han-tsî-tshiam/han-tsû-tshiam
番薯,番藷,han-tsî/han-tsû
番薯,蕃薯,han-tsî/han-tsû
番薯,蕃藷,han-tsî/han-tsû
欱,哈,hap
合喙,合嘴,ha̍p-tshuì
吼,哮,háu
鱟桸,鱟杓,hāu-hia
鱟桸,鱟瓠,hāu-hia
鱟𣁳仔,鱟戛仔,hāu-khat-á
孝呆,孝獃,hàu-tai
蝦蛄擗仔,蝦蛄拍仔,hê-koo-phia̍k-á
痚呴嗽,蝦龜嗽,he-ku-sàu
桸,杓,hia
桸,瓠,hia
瓦窯,瓦窰,hiā-iô
瓦厝,瓦茨,hiā-tshù
遐爾,許呢,hiah-nī
遐爾,赫爾,hiah-nī
遐爾,遐呢,hiah-nī
遐爾仔,遐呢仔,hiah-nī-á
薟,馦,hiam
薟薑仔,辛薑仔,hiam-kiunn-á
搟,撼,hián
絃仔,弦仔,hiân-á
現流仔,現撈仔,hiān-lâu-á
顯目,炫目,hiánn-ba̍k
燃火,烆火,hiânn-hué/hiânn-hé
