tl,hanzi,frequency,poj,tl_num,poj_num
to̍h,就,50,to̍h,toh8,toh8
kiam,尲,50,kiam,kiam1,kiam1
tshiorh,尺,50,chhiorh,tshiorh4,chhiorh4
khau,尻,50,khau,khau1,khau1
kho,尻,50,kho,kho1,kho1
bér,尾,50,bér,ber2,ber2
giāu,尿,50,giāu,giau7,giau7
giō,尿,50,giō,gio7,gio7
jiōr,尿,50,jiōr,jior7,jior7
liǒ,尿,50,liǒ,lio6,lio6
bai,屄,50,bai,bai1,bai1
pi,屄,50,pi,pi1,pi1
kir,居,50,kir,kir1,kir1
kài,屆,50,kài,kai3,kai3
tiáu,屌,50,tiáu,tiau2,tiau2
pîng,屏,50,pêng,ping5,peng5
khia̍h,屐,50,khia̍h,khiah8,khiah8
kio̍k,屐,50,kio̍k,kiok8,kiok8
hì,屓,50,hì,hi3,hi3
píng,屛,50,péng,ping2,peng2
pîn,屛,50,pîn,pin5,pin5
pîng,屛,50,pêng,ping5,peng5
thè,屜,50,thè,the3,the3
huì,屝,50,hùi,hui3,hui3
sú,屣,50,sú,su2,su2
siat,屧,50,siat,siat4,siat4
kù,屨,50,kù,ku3,ku3
kiok,屩,50,kiok,kiok4,kiok4
kio̍k,屩,50,kio̍k,kiok8,kiok8
liâu,屪,50,liâu,liau5,liau5
hì,屭,50,hì,hi3,hi3
tsó,屮,50,chó,tso2,cho2
tun,屯,50,tun,tun1,tun1
gi̍k,屰,50,ge̍k,gik8,gek8
li̍k,屴,50,le̍k,lik8,lek8
gia̍t,屵,50,gia̍t,giat8,giat8
git,屹,50,git,git4,git4
gut,屹,50,gut,gut4,gut4
gut,屼,50,gut,gut4,gut4
gua̍t,岄,50,goa̍t,guat8,goat8
bu̍t,岉,50,bu̍t,but8,but8
tsiat,岊,50,chiat,tsiat4,chiat4
gi̍p,岋,50,gi̍p,gip8,gip8
kip,岌,50,kip,kip4,kip4
khian,岍,50,khian,khian1,khian1
guân,岏,50,goân,guan5,goan5
gîm,岑,50,gîm,gim5,gim5
khîm,岑,50,khîm,khim5,khim5
tsha,岔,50,chha,tsha1,chha1
thi̍k,岝,50,the̍k,thik8,thek8
tsik,岝,50,chek,tsik4,chek4
kū,岠,50,kū,ku7,ku7
khó,岢,50,khó,kho2,kho2
kóo,岣,50,kó͘,koo2,koo2
kū,岣,50,kū,ku7,ku7
li̍p,岦,50,li̍p,lip8,lip8
tiâu,岧,50,tiâu,tiau5,tiau5
tsóo,岨,50,chó͘,tsoo2,choo2
gâm,岩,50,gâm,gam5,gam5
hu̍t,岪,50,hu̍t,hut8,hut8
kap,岬,50,kap,kap4,kap4
