hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
腐蝕作用,hú-si̍t-tsok-iōng,12,hú-si̍t-chok-iōng,hu2sit8tsok4iong7,hu2sit8chok4iong7,husittsokiong,husitchokiong,hsti,hsci
臨時動議,lîm-sî-tōng-gī,12,lîm-sî-tōng-gī,lim5si5tong7gi7,lim5si5tong7gi7,limsitonggi,limsitonggi,lstg,lstg
自動駕駛,tsū-tōng-kà-sú,12,chū-tōng-kà-sú,tsu7tong7ka3su2,chu7tong7ka3su2,tsutongkasu,chutongkasu,ttks,ctks
自我價值,tsū-ngóo-kè-ta̍t,12,chū-ngó͘-kè-ta̍t,tsu7ngoo2ke3tat8,chu7ngoo2ke3tat8,tsungooketat,chungooketat,tnkt,cnkt
自治組織,tsū-tī-tsoo-tsit,12,chū-tī-cho͘-chit,tsu7ti7tsoo1tsit4,chu7ti7choo1chit4,tsutitsootsit,chutichoochit,tttt,ctcc
自然保育,tsū-jiân-pó-io̍k,12,chū-jiân-pó-io̍k,tsu7jian5po2iok8,chu7jian5po2iok8,tsujianpoiok,chujianpoiok,tjpi,cjpi
自然崇拜,tsū-jiân-tsông-pài,12,chū-jiân-chông-pài,tsu7jian5tsong5pai3,chu7jian5chong5pai3,tsujiantsongpai,chujianchongpai,tjtp,cjcp
自然文學,tsū-jiân-bûn-ha̍k,12,chū-jiân-bûn-ha̍k,tsu7jian5bun5hak8,chu7jian5bun5hak8,tsujianbunhak,chujianbunhak,tjbh,cjbh
自然景觀,tsū-jiân-kíng-kuan,12,chū-jiân-kéng-koan,tsu7jian5king2kuan1,chu7jian5keng2koan1,tsujiankingkuan,chujiankengkoan,tjkk,cjkk
自然環境,tsū-jiân-khuân-kíng,12,chū-jiân-khoân-kéng,tsu7jian5khuan5king2,chu7jian5khoan5keng2,tsujiankhuanking,chujiankhoankeng,tjkk,cjkk
自然生態,tsū-jiân-sing-thài,12,chū-jiân-seng-thài,tsu7jian5sing1thai3,chu7jian5seng1thai3,tsujiansingthai,chujiansengthai,tjst,cjst
自然神明,tsū-jiân-sîn-bîng,12,chū-jiân-sîn-bêng,tsu7jian5sin5bing5,chu7jian5sin5beng5,tsujiansinbing,chujiansinbeng,tjsb,cjsb
自然科學,tsū-jiân-kho-ha̍k,12,chū-jiân-kho-ha̍k,tsu7jian5kho1hak8,chu7jian5kho1hak8,tsujiankhohak,chujiankhohak,tjkh,cjkh
自然資源,tsū-jiân-tsu-guân,12,chū-jiân-chu-goân,tsu7jian5tsu1guan5,chu7jian5chu1goan5,tsujiantsuguan,chujianchugoan,tjtg,cjcg
自由貿易,tsū-iû-bōo-i̍k,12,chū-iû-bō͘-e̍k,tsu7iu5boo7ik8,chu7iu5boo7ek8,tsuiubooik,chuiubooek,tibi,cibe
自由軟體,tsū-iû-nńg-thé,12,chū-iû-nńg-thé,tsu7iu5nng2the2,chu7iu5nng2the2,tsuiunngthe,chuiunngthe,tint,cint
臺中盆地,tâi-tiong-phûn-tē,12,tâi-tiong-phûn-tē,tai5tiong1phun5te7,tai5tiong1phun5te7,taitiongphunte,taitiongphunte,ttpt,ttpt
臺北盆地,tâi-pak-phûn-tē,12,tâi-pak-phûn-tē,tai5pak4phun5te7,tai5pak4phun5te7,taipakphunte,taipakphunte,tppt,tppt
臺灣本島,tâi-uân-pún-tó,12,tâi-oân-pún-tó,tai5uan5pun2to2,tai5oan5pun2to2,taiuanpunto,taioanpunto,tupt,topt
臺灣歌仔,tâi-uân-kua-á,12,tâi-oân-koa-á,tai5uan5kua1a2,tai5oan5koa1a2,taiuankuaa,taioankoaa,tuka,toka
臺灣民報,tâi-uân-bîn-pò,12,tâi-oân-bîn-pò,tai5uan5bin5po3,tai5oan5bin5po3,taiuanbinpo,taioanbinpo,tubp,tobp
臺灣海峽,tâi-uân-hái-kiap,12,tâi-oân-hái-kiap,tai5uan5hai2kiap4,tai5oan5hai2kiap4,taiuanhaikiap,taioanhaikiap,tuhk,tohk
臺灣議會,tâi-uân-gī-huē,12,tâi-oân-gī-hōe,tai5uan5gi7hue7,tai5oan5gi7hoe7,taiuangihue,taioangihoe,tugh,togh
色散現象,sik-suànn-hiān-siōng,12,sek-sòaⁿ-hiān-siōng,sik4suann3hian7siong7,sek4soann3hian7siong7,siksuannhiansiong,seksoannhiansiong,sshs,sshs
花綵列島,hua-tshái-lia̍t-tó,12,hoa-chhái-lia̍t-tó,hua1tshai2liat8to2,hoa1chhai2liat8to2,huatshailiatto,hoachhailiatto,htlt,hclt
苗栗事件,biâu-li̍k-sū-kiānn,12,biâu-le̍k-sū-kiāⁿ,biau5lik8su7kiann7,biau5lek8su7kiann7,biauliksukiann,biauleksukiann,blsk,blsk
草食動物,tsháu-si̍t-tōng-bu̍t,12,chháu-si̍t-tōng-bu̍t,tshau2sit8tong7but8,chhau2sit8tong7but8,tshausittongbut,chhausittongbut,tstb,cstb
荷蘭時期,hô-lân-sî-kî,12,hô-lân-sî-kî,ho5lan5si5ki5,ho5lan5si5ki5,holansiki,holansiki,hlsk,hlsk
荷西時代,hô-se-sî-tāi,12,hô-se-sî-tāi,ho5se1si5tai7,ho5se1si5tai7,hosesitai,hosesitai,hsst,hsst
荷西時期,hô-se-sî-kî,12,hô-se-sî-kî,ho5se1si5ki5,ho5se1si5ki5,hosesiki,hosesiki,hssk,hssk
萬有引力,bān-iú-ín-li̍k,12,bān-iú-ín-le̍k,ban7iu2in2lik8,ban7iu2in2lek8,baniuinlik,baniuinlek,biil,biil
落地生根,lo̍h-tē-sing-kin,12,lo̍h-tē-seng-kin,loh8te7sing1kin1,loh8te7seng1kin1,lohtesingkin,lohtesengkin,ltsk,ltsk
蓮葉效應,liân-hio̍h-hāu-ìng,12,liân-hio̍h-hāu-èng,lian5hioh8hau7ing3,lian5hioh8hau7eng3,lianhiohhauing,lianhiohhaueng,lhhi,lhhe
蕨類植物,kueh-luī-si̍t-bu̍t,12,koeh-lūi-si̍t-bu̍t,kueh4lui7sit8but8,koeh4lui7sit8but8,kuehluisitbut,koehluisitbut,klsb,klsb
藍色公路,nâ-sik-kong-lōo,12,nâ-sek-kong-lō͘,na5sik4kong1loo7,na5sek4kong1loo7,nasikkongloo,nasekkongloo,nskl,nskl
藝術創作,gē-su̍t-tshòng-tsok,12,gē-su̍t-chhòng-chok,ge7sut8tshong3tsok4,ge7sut8chhong3chok4,gesuttshongtsok,gesutchhongchok,gstt,gscc
蘇州𥰔仔,soo-tsiu-phín-á,12,so͘-chiu-phín-á,soo1tsiu1phin2a2,soo1chiu1phin2a2,sootsiuphina,soochiuphina,stpa,scpa
虎克定律,hóo-khik-tīng-lu̍t,12,hó͘-khek-tēng-lu̍t,hoo2khik4ting7lut8,hoo2khek4teng7lut8,hookhiktinglut,hookhektenglut,hktl,hktl
虹吸現象,hông-khip-hiān-siōng,12,hông-khip-hiān-siōng,hong5khip4hian7siong7,hong5khip4hian7siong7,hongkhiphiansiong,hongkhiphiansiong,hkhs,hkhs
螢光色水,îng-kng-sik-tsuí,12,êng-kng-sek-chúi,ing5kng1sik4tsui2,eng5kng1sek4chui2,ingkngsiktsui,engkngsekchui,ikst,eksc
血管硬化,hueh-kńg-ngē-huà,12,hoeh-kńg-ngē-hòa,hueh4kng2nge7hua3,hoeh4kng2nge7hoa3,huehkngngehua,hoehkngngehoa,hknh,hknh
血緣關係,hiat-iân-kuan-hē,12,hiat-iân-koan-hē,hiat4ian5kuan1he7,hiat4ian5koan1he7,hiatiankuanhe,hiatiankoanhe,hikh,hikh
行政機關,hîng-tsìng-ki-kuan,12,hêng-chèng-ki-koan,hing5tsing3ki1kuan1,heng5cheng3ki1koan1,hingtsingkikuan,hengchengkikoan,htkk,hckk
行進樂隊,hîng-tsìn-ga̍k-tuī,12,hêng-chìn-ga̍k-tūi,hing5tsin3gak8tui7,heng5chin3gak8tui7,hingtsingaktui,hengchingaktui,htgt,hcgt
表演藝術,piáu-ián-gē-su̍t,12,piáu-ián-gē-su̍t,piau2ian2ge7sut8,piau2ian2ge7sut8,piauiangesut,piauiangesut,pigs,pigs
表達感情,piáu-ta̍t-kám-tsîng,12,piáu-ta̍t-kám-chêng,piau2tat8kam2tsing5,piau2tat8kam2cheng5,piautatkamtsing,piautatkamcheng,ptkt,ptkc
裝置藝術,tsong-tì-gē-su̍t,12,chong-tì-gē-su̍t,tsong1ti3ge7sut8,chong1ti3ge7sut8,tsongtigesut,chongtigesut,ttgs,ctgs
複合圖形,ho̍k-ha̍p-tôo-hîng,12,ho̍k-ha̍p-tô͘-hêng,hok8hap8too5hing5,hok8hap8too5heng5,hokhaptoohing,hokhaptooheng,hhth,hhth
複合形體,ho̍k-ha̍p-hîng-thé,12,ho̍k-ha̍p-hêng-thé,hok8hap8hing5the2,hok8hap8heng5the2,hokhaphingthe,hokhaphengthe,hhht,hhht
西南季風,sai-lâm-kuì-hong,12,sai-lâm-kùi-hong,sai1lam5kui3hong1,sai1lam5kui3hong1,sailamkuihong,sailamkuihong,slkh,slkh
西太平洋,se-thài-pîng-iûnn,12,se-thài-pêng-iûⁿ,se1thai3ping5iunn5,se1thai3peng5iunn5,sethaipingiunn,sethaipengiunn,stpi,stpi
西沙群島,sai-sua-kûn-tó,12,sai-soa-kûn-tó,sai1sua1kun5to2,sai1soa1kun5to2,saisuakunto,saisoakunto,sskt,sskt
西部平原,se-pōo-pîng-guân,12,se-pō͘-pêng-goân,se1poo7ping5guan5,se1poo7peng5goan5,sepoopingguan,sepoopenggoan,sppg,sppg
西部走廊,se-pōo-tsáu-lông,12,se-pō͘-cháu-lông,se1poo7tsau2long5,se1poo7chau2long5,sepootsaulong,sepoochaulong,sptl,spcl
覆地弓身,phak-tē-king-sin,12,phak-tē-keng-sin,phak4te7king1sin1,phak4te7keng1sin1,phaktekingsin,phaktekengsin,ptks,ptks
視力檢查,sī-li̍k-kiám-tsa,12,sī-le̍k-kiám-cha,si7lik8kiam2tsa1,si7lek8kiam2cha1,silikkiamtsa,silekkiamcha,slkt,slkc
視覺藝術,sī-kak-gē-su̍t,12,sī-kak-gē-su̍t,si7kak4ge7sut8,si7kak4ge7sut8,sikakgesut,sikakgesut,skgs,skgs
觀測天氣,kuan-tshik-thinn-khì,12,koan-chhek-thiⁿ-khì,kuan1tshik4thinn1khi3,koan1chhek4thinn1khi3,kuantshikthinnkhi,koanchhekthinnkhi,kttk,kctk
角柱底面,kak-thiāu-té-bīn,12,kak-thiāu-té-bīn,kak4thiau7te2bin7,kak4thiau7te2bin7,kakthiautebin,kakthiautebin,kttb,kttb
角結膜炎,kak-kiat-mo̍oh-iām,12,kak-kiat-mo̍͘h-iām,kak4kiat4mooh8iam7,kak4kiat4mooh8iam7,kakkiatmoohiam,kakkiatmoohiam,kkmi,kkmi
言語霸凌,giân-gí-pà-lîng,12,giân-gí-pà-lêng,gian5gi2pa3ling5,gian5gi2pa3leng5,giangipaling,giangipaleng,ggpl,ggpl
言論自由,giân-lūn-tsū-iû,12,giân-lūn-chū-iû,gian5lun7tsu7iu5,gian5lun7chu7iu5,gianluntsuiu,gianlunchuiu,glti,glci
語句擴寫,gí-kù-khok-siá,12,gí-kù-khok-siá,gi2ku3khok4sia2,gi2ku3khok4sia2,gikukhoksia,gikukhoksia,gkks,gkks
語文常識,gí-bûn-siông-sik,12,gí-bûn-siông-sek,gi2bun5siong5sik4,gi2bun5siong5sek4,gibunsiongsik,gibunsiongsek,gbss,gbss
語文能力,gí-bûn-lîng-li̍k,12,gí-bûn-lêng-le̍k,gi2bun5ling5lik8,gi2bun5leng5lek8,gibunlinglik,gibunlenglek,gbll,gbll
語言表達,gí-giân-piáu-ta̍t,12,gí-giân-piáu-ta̍t,gi2gian5piau2tat8,gi2gian5piau2tat8,gigianpiautat,gigianpiautat,ggpt,ggpt
課文大意,khò-bûn-tāi-ì,12,khò-bûn-tāi-ì,kho3bun5tai7i3,kho3bun5tai7i3,khobuntaii,khobuntaii,kbti,kbti
變溫動物,piàn-un-tōng-bu̍t,12,piàn-un-tōng-bu̍t,pian3un1tong7but8,pian3un1tong7but8,pianuntongbut,pianuntongbut,putb,putb
貧富差距,pîn-hù-tsha-kī,12,pîn-hù-chha-kī,pin5hu3tsha1ki7,pin5hu3chha1ki7,pinhutshaki,pinhuchhaki,phtk,phck
貿易協定,bōo-i̍k-hia̍p-tīng,12,bō͘-e̍k-hia̍p-tēng,boo7ik8hiap8ting7,boo7ek8hiap8teng7,booikhiapting,booekhiapteng,biht,beht
資料篋仔,tsu-liāu-kheh-á,12,chu-liāu-kheh-á,tsu1liau7kheh4a2,chu1liau7kheh4a2,tsuliaukheha,chuliaukheha,tlka,clka
資源開發,tsu-guân-khai-huat,12,chu-goân-khai-hoat,tsu1guan5khai1huat4,chu1goan5khai1hoat4,tsuguankhaihuat,chugoankhaihoat,tgkh,cgkh
資訊產業,tsu-sìn-sán-gia̍p,12,chu-sìn-sán-gia̍p,tsu1sin3san2giap8,chu1sin3san2giap8,tsusinsangiap,chusinsangiap,tssg,cssg
資訊科技,tsu-sìn-kho-ki,12,chu-sìn-kho-ki,tsu1sin3kho1ki1,chu1sin3kho1ki1,tsusinkhoki,chusinkhoki,tskk,cskk
蹛的環境,tuà-ê-khuân-kíng,12,tòa-ê-khoân-kéng,tua3e5khuan5king2,toa3e5khoan5keng2,tuaekhuanking,toaekhoankeng,tekk,tekk
身心健康,sin-sim-kiān-khong,12,sin-sim-kiān-khong,sin1sim1kian7khong1,sin1sim1kian7khong1,sinsimkiankhong,sinsimkiankhong,sskk,sskk
身體機能,sin-thé-ki-lîng,12,sin-thé-ki-lêng,sin1the2ki1ling5,sin1the2ki1leng5,sinthekiling,sinthekileng,stkl,stkl
軍事防禦,kun-sū-hông-gū,12,kun-sū-hông-gū,kun1su7hong5gu7,kun1su7hong5gu7,kunsuhonggu,kunsuhonggu,kshg,kshg
農業社會,lông-gia̍p-siā-huē,12,lông-gia̍p-siā-hōe,long5giap8sia7hue7,long5giap8sia7hoe7,longgiapsiahue,longgiapsiahoe,lgsh,lgsh
農漁牧業,lông-hî-bo̍k-gia̍p,12,lông-hî-bo̍k-gia̍p,long5hi5bok8giap8,long5hi5bok8giap8,longhibokgiap,longhibokgiap,lhbg,lhbg
退位減法,thè-uī-kiám-huat,12,thè-ūi-kiám-hoat,the3ui7kiam2huat4,the3ui7kiam2hoat4,theuikiamhuat,theuikiamhoat,tukh,tukh
通訊設施,thong-sìn-siat-si,12,thong-sìn-siat-si,thong1sin3siat4si1,thong1sin3siat4si1,thongsinsiatsi,thongsinsiatsi,tsss,tsss
通貨膨脹,thong-huè-phòng-tiòng,12,thong-hòe-phòng-tiòng,thong1hue3phong3tiong3,thong1hoe3phong3tiong3,thonghuephongtiong,thonghoephongtiong,thpt,thpt
速度記號,sok-tōo-kì-hō,12,sok-tō͘-kì-hō,sok4too7ki3ho7,sok4too7ki3ho7,soktookiho,soktookiho,stkh,stkh
造字方法,tsō-jī-hong-huat,12,chō-jī-hong-hoat,tso7ji7hong1huat4,cho7ji7hong1hoat4,tsojihonghuat,chojihonghoat,tjhh,cjhh
連續記號,liân-sio̍k-kì-hō,12,liân-sio̍k-kì-hō,lian5siok8ki3ho7,lian5siok8ki3ho7,liansiokkiho,liansiokkiho,lskh,lskh
進位加法,tsìn-uī-ka-huat,12,chìn-ūi-ka-hoat,tsin3ui7ka1huat4,chin3ui7ka1hoat4,tsinuikahuat,chinuikahoat,tukh,cukh
遊戲器材,iû-hì-khì-tsâi,12,iû-hì-khì-châi,iu5hi3khi3tsai5,iu5hi3khi3chai5,iuhikhitsai,iuhikhichai,ihkt,ihkc
遊戲軟體,iû-hì-nńg-thé,12,iû-hì-nńg-thé,iu5hi3nng2the2,iu5hi3nng2the2,iuhinngthe,iuhinngthe,ihnt,ihnt
運動傷害,ūn-tōng-siong-hāi,12,ūn-tōng-siong-hāi,un7tong7siong1hai7,un7tong7siong1hai7,untongsionghai,untongsionghai,utsh,utsh
運動習慣,ūn-tōng-si̍p-kuàn,12,ūn-tōng-si̍p-koàn,un7tong7sip8kuan3,un7tong7sip8koan3,untongsipkuan,untongsipkoan,utsk,utsk
運動表現,ūn-tōng-piáu-hiān,12,ūn-tōng-piáu-hiān,un7tong7piau2hian7,un7tong7piau2hian7,untongpiauhian,untongpiauhian,utph,utph
運輸設施,ūn-su-siat-si,12,ūn-su-siat-si,un7su1siat4si1,un7su1siat4si1,unsusiatsi,unsusiatsi,usss,usss
過度開發,kuè-tōo-khai-huat,12,kòe-tō͘-khai-hoat,kue3too7khai1huat4,koe3too7khai1hoat4,kuetookhaihuat,koetookhaihoat,ktkh,ktkh
違章建築,uî-tsiong-kiàn-tio̍k,12,ûi-chiong-kiàn-tio̍k,ui5tsiong1kian3tiok8,ui5chiong1kian3tiok8,uitsiongkiantiok,uichiongkiantiok,utkt,uckt
遞移關係,tē-î-kuan-hē,12,tē-î-koan-hē,te7i5kuan1he7,te7i5koan1he7,teikuanhe,teikoanhe,tikh,tikh
遠距教學,uán-kī-kàu-ha̍k,12,oán-kī-kàu-ha̍k,uan2ki7kau3hak8,oan2ki7kau3hak8,uankikauhak,oankikauhak,ukkh,okkh
都市計畫,too-tshī-kè-uē,12,to͘-chhī-kè-ōe,too1tshi7ke3ue7,too1chhi7ke3oe7,tootshikeue,toochhikeoe,ttku,tcko
鄉土文學,hiong-thóo-bûn-ha̍k,12,hiong-thó͘-bûn-ha̍k,hiong1thoo2bun5hak8,hiong1thoo2bun5hak8,hiongthoobunhak,hiongthoobunhak,htbh,htbh
酸性溶液,sng-sìng-iông-i̍k,12,sng-sèng-iông-e̍k,sng1sing3iong5ik8,sng1seng3iong5ek8,sngsingiongik,sngsengiongek,ssii,ssie
酸鹼中和,sng-kinn-tiong-hô,12,sng-kiⁿ-tiong-hô,sng1kinn1tiong1ho5,sng1kinn1tiong1ho5,sngkinntiongho,sngkinntiongho,skth,skth
醫療資源,i-liâu-tsu-guân,12,i-liâu-chu-goân,i1liau5tsu1guan5,i1liau5chu1goan5,iliautsuguan,iliauchugoan,iltg,ilcg
里民大會,lí-bîn-tāi-huē,12,lí-bîn-tāi-hōe,li2bin5tai7hue7,li2bin5tai7hoe7,libintaihue,libintaihoe,lbth,lbth
重複記號,tiông-ho̍k-kì-hō,12,tiông-ho̍k-kì-hō,tiong5hok8ki3ho7,tiong5hok8ki3ho7,tionghokkiho,tionghokkiho,thkh,thkh
重量單位,tāng-liōng-tan-uī,12,tāng-liōng-tan-ūi,tang7liong7tan1ui7,tang7liong7tan1ui7,tangliongtanui,tangliongtanui,tltu,tltu
野生動物,iá-sing-tōng-bu̍t,12,iá-seng-tōng-bu̍t,ia2sing1tong7but8,ia2seng1tong7but8,iasingtongbut,iasengtongbut,istb,istb
金言玉語,kim-giân-gio̍k-gí,12,kim-giân-gio̍k-gí,kim1gian5giok8gi2,kim1gian5giok8gi2,kimgiangiokgi,kimgiangiokgi,kggg,kggg
鈕仔電池,liú-á-tiān-tî,12,liú-á-tiān-tî,liu2a2tian7ti5,liu2a2tian7ti5,liuatianti,liuatianti,latt,latt
銅管樂器,tâng-kuán-ga̍k-khì,12,tâng-koán-ga̍k-khì,tang5kuan2gak8khi3,tang5koan2gak8khi3,tangkuangakkhi,tangkoangakkhi,tkgk,tkgk
鎳氫電池,gia̍t-khing-tiān-tî,12,gia̍t-kheng-tiān-tî,giat8khing1tian7ti5,giat8kheng1tian7ti5,giatkhingtianti,giatkhengtianti,gktt,gktt
鐵人三項,thih-lâng-sann-hāng,12,thih-lâng-saⁿ-hāng,thih4lang5sann1hang7,thih4lang5sann1hang7,thihlangsannhang,thihlangsannhang,tlsh,tlsh
鐵枝仔路,thih-ki-á-lōo,12,thih-ki-á-lō͘,thih4ki1a2loo7,thih4ki1a2loo7,thihkialoo,thihkialoo,tkal,tkal
長度單位,tn̂g-tōo-tan-uī,12,tn̂g-tō͘-tan-ūi,tng5too7tan1ui7,tng5too7tan1ui7,tngtootanui,tngtootanui,tttu,tttu
長濱文化,tiông-pin-bûn-huà,12,tiông-pin-bûn-hòa,tiong5pin1bun5hua3,tiong5pin1bun5hoa3,tiongpinbunhua,tiongpinbunhoa,tpbh,tpbh
開合跳步,khui-ha̍p-thiàu-pōo,12,khui-ha̍p-thiàu-pō͘,khui1hap8thiau3poo7,khui1hap8thiau3poo7,khuihapthiaupoo,khuihapthiaupoo,khtp,khtp
開放港口,khai-hòng-káng-kháu,12,khai-hòng-káng-kháu,khai1hong3kang2khau2,khai1hong3kang2khau2,khaihongkangkhau,khaihongkangkhau,khkk,khkk
開漳聖王,khai-tsiang-sìng-ông,12,khai-chiang-sèng-ông,khai1tsiang1sing3ong5,khai1chiang1seng3ong5,khaitsiangsingong,khaichiangsengong,ktso,kcso
開發土地,khai-huat-thóo-tē,12,khai-hoat-thó͘-tē,khai1huat4thoo2te7,khai1hoat4thoo2te7,khaihuatthoote,khaihoatthoote,khtt,khtt
開花植物,khui-hue-si̍t-bu̍t,12,khui-hoe-si̍t-bu̍t,khui1hue1sit8but8,khui1hoe1sit8but8,khuihuesitbut,khuihoesitbut,khsb,khsb
間接比較,kàn-tsiap-pí-kàu,12,kàn-chiap-pí-kàu,kan3tsiap4pi2kau3,kan3chiap4pi2kau3,kantsiappikau,kanchiappikau,ktpk,kcpk
閱讀心得,ua̍t-tho̍k-sim-tik,12,oa̍t-tho̍k-sim-tek,uat8thok8sim1tik4,oat8thok8sim1tek4,uatthoksimtik,oatthoksimtek,utst,otst
關鍵字詞,kuan-kiān-jī-sû,12,koan-kiān-jī-sû,kuan1kian7ji7su5,koan1kian7ji7su5,kuankianjisu,koankianjisu,kkjs,kkjs
防毒軟體,hông-to̍k-nńg-thé,12,hông-to̍k-nńg-thé,hong5tok8nng2the2,hong5tok8nng2the2,hongtoknngthe,hongtoknngthe,htnt,htnt
防疫措施,hông-i̍k-tshòo-si,12,hông-e̍k-chhò͘-si,hong5ik8tshoo3si1,hong5ek8chhoo3si1,hongiktshoosi,hongekchhoosi,hits,hecs
降低半音,kàng-kē-puàn-im,12,kàng-kē-poàn-im,kang3ke7puan3im1,kang3ke7poan3im1,kangkepuanim,kangkepoanim,kkpi,kkpi
除法估算,tî-huat-kóo-sǹg,12,tî-hoat-kó͘-sǹg,ti5huat4koo2sng3,ti5hoat4koo2sng3,tihuatkoosng,tihoatkoosng,thks,thks
除法算式,tî-huat-sǹg-sik,12,tî-hoat-sǹg-sek,ti5huat4sng3sik4,ti5hoat4sng3sek4,tihuatsngsik,tihoatsngsek,thss,thss
隔代家庭,keh-tāi-ka-tîng,12,keh-tāi-ka-têng,keh4tai7ka1ting5,keh4tai7ka1teng5,kehtaikating,kehtaikateng,ktkt,ktkt
雄性激素,hiông-sìng-kik-sòo,12,hiông-sèng-kek-sò͘,hiong5sing3kik4soo3,hiong5seng3kek4soo3,hiongsingkiksoo,hiongsengkeksoo,hsks,hsks
集會遊行,tsi̍p-huē-iû-hîng,12,chi̍p-hōe-iû-hêng,tsip8hue7iu5hing5,chip8hoe7iu5heng5,tsiphueiuhing,chiphoeiuheng,thih,chih
雌性激素,tshu-sìng-kik-sòo,12,chhu-sèng-kek-sò͘,tshu1sing3kik4soo3,chhu1seng3kek4soo3,tshusingkiksoo,chhusengkeksoo,tsks,csks
雜食動物,tsa̍p-si̍t-tōng-bu̍t,12,cha̍p-si̍t-tōng-bu̍t,tsap8sit8tong7but8,chap8sit8tong7but8,tsapsittongbut,chapsittongbut,tstb,cstb
雲門舞集,hûn-bûn-bú-tsi̍p,12,hûn-bûn-bú-chi̍p,hun5bun5bu2tsip8,hun5bun5bu2chip8,hunbunbutsip,hunbunbuchip,hbbt,hbbc
電子地圖,tiān-tsú-tē-tôo,12,tiān-chú-tē-tô͘,tian7tsu2te7too5,tian7chu2te7too5,tiantsutetoo,tianchutetoo,tttt,tctt
電子媒體,tiān-tsú-muî-thé,12,tiān-chú-mûi-thé,tian7tsu2mui5the2,tian7chu2mui5the2,tiantsumuithe,tianchumuithe,ttmt,tcmt
電子支付,tiān-tsú-tsi-hù,12,tiān-chú-chi-hù,tian7tsu2tsi1hu3,tian7chu2chi1hu3,tiantsutsihu,tianchuchihu,ttth,tcch
電子發票,tiān-tsú-huat-phiò,12,tiān-chú-hoat-phiò,tian7tsu2huat4phio3,tian7chu2hoat4phio3,tiantsuhuatphio,tianchuhoatphio,tthp,tchp
電源開關,tiān-guân-khai-kuan,12,tiān-goân-khai-koan,tian7guan5khai1kuan1,tian7goan5khai1koan1,tianguankhaikuan,tiangoankhaikoan,tgkk,tgkk
電火泡仔,tiān-hué-pho̍k-á,12,tiān-hóe-pho̍k-á,tian7hue2phok8a2,tian7hoe2phok8a2,tianhuephoka,tianhoephoka,thpa,thpa
電火球仔,tiān-hué-kiû-á,12,tiān-hóe-kiû-á,tian7hue2kiu5a2,tian7hoe2kiu5a2,tianhuekiua,tianhoekiua,thka,thka
電磁作用,tiān-tsû-tsok-iōng,12,tiān-chû-chok-iōng,tian7tsu5tsok4iong7,tian7chu5chok4iong7,tiantsutsokiong,tianchuchokiong,ttti,tcci
電視購物,tiān-sī-kòo-bu̍t,12,tiān-sī-kò͘-bu̍t,tian7si7koo3but8,tian7si7koo3but8,tiansikoobut,tiansikoobut,tskb,tskb
霧社事件,bū-siā-sū-kiānn,12,bū-siā-sū-kiāⁿ,bu7sia7su7kiann7,bu7sia7su7kiann7,busiasukiann,busiasukiann,bssk,bssk
青壯年期,tshing-tsòng-liân-kî,12,chheng-chòng-liân-kî,tshing1tsong3lian5ki5,chheng1chong3lian5ki5,tshingtsonglianki,chhengchonglianki,ttlk,cclk
青少年期,tshing-siàu-liân-kî,12,chheng-siàu-liân-kî,tshing1siau3lian5ki5,chheng1siau3lian5ki5,tshingsiaulianki,chhengsiaulianki,tslk,cslk
青跤仔鷸,tshenn-kha-á-u̍t,12,chheⁿ-kha-á-u̍t,tshenn1kha1a2ut8,chhenn1kha1a2ut8,tshennkhaaut,chhennkhaaut,tkau,ckau
非接觸力,hui-tsiap-tshiok-li̍k,12,hui-chiap-chhiok-le̍k,hui1tsiap4tshiok4lik8,hui1chiap4chhiok4lek8,huitsiaptshioklik,huichiapchhioklek,httl,hccl
非洲板塊,hui-tsiu-pán-khuài,12,hui-chiu-pán-khoài,hui1tsiu1pan2khuai3,hui1chiu1pan2khoai3,huitsiupankhuai,huichiupankhoai,htpk,hcpk
面積公式,bīn-tsik-kong-sik,12,bīn-chek-kong-sek,bin7tsik4kong1sik4,bin7chek4kong1sek4,bintsikkongsik,binchekkongsek,btks,bcks
面積單位,bīn-tsik-tan-uī,12,bīn-chek-tan-ūi,bin7tsik4tan1ui7,bin7chek4tan1ui7,bintsiktanui,binchektanui,bttu,bctu
音樂世家,im-ga̍k-sè-ka,12,im-ga̍k-sè-ka,im1gak8se3ka1,im1gak8se3ka1,imgakseka,imgakseka,igsk,igsk
音樂創作,im-ga̍k-tshòng-tsok,12,im-ga̍k-chhòng-chok,im1gak8tshong3tsok4,im1gak8chhong3chok4,imgaktshongtsok,imgakchhongchok,igtt,igcc
音樂天份,im-ga̍k-thian-hūn,12,im-ga̍k-thian-hūn,im1gak8thian1hun7,im1gak8thian1hun7,imgakthianhun,imgakthianhun,igth,igth
音樂記號,im-ga̍k-kì-hō,12,im-ga̍k-kì-hō,im1gak8ki3ho7,im1gak8ki3ho7,imgakkiho,imgakkiho,igkh,igkh
音符名稱,im-hû-miâ-tshing,12,im-hû-miâ-chheng,im1hu5mia5tshing1,im1hu5mia5chheng1,imhumiatshing,imhumiachheng,ihmt,ihmc
音符符號,im-hû-hû-hō,12,im-hû-hû-hō,im1hu5hu5ho7,im1hu5hu5ho7,imhuhuho,imhuhuho,ihhh,ihhh
