hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
真書,tsin-su,25,chin-su,tsin1su1,chin1su1,tsinsu,chinsu,ts,cs
眼界,gán-kài,25,gán-kài,gan2kai3,gan2kai3,gankai,gankai,gk,gk
眾數,tsiòng-sòo,25,chiòng-sò͘,tsiong3soo3,chiong3soo3,tsiongsoo,chiongsoo,ts,cs
睏眠,khùn-bîn,25,khùn-bîn,khun3bin5,khun3bin5,khunbin,khunbin,kb,kb
短句,té-kù,25,té-kù,te2ku3,te2ku3,teku,teku,tk,tk
短文,té-bûn,25,té-bûn,te2bun5,te2bun5,tebun,tebun,tb,tb
短篇,té-phinn,25,té-phiⁿ,te2phinn1,te2phinn1,tephinn,tephinn,tp,tp
短語,té-gí,25,té-gí,te2gi2,te2gi2,tegi,tegi,tg,tg
短路,té-lōo,25,té-lō͘,te2loo7,te2loo7,teloo,teloo,tl,tl
短針,té-tsiam,25,té-chiam,te2tsiam1,te2chiam1,tetsiam,techiam,tt,tc
矮奴,é-lôo,25,é-lô͘,e2loo5,e2loo5,eloo,eloo,el,el
矮寇,é-khòo,25,é-khò͘,e2khoo3,e2khoo3,ekhoo,ekhoo,ek,ek
石墨,tsio̍h-ba̍k,25,chio̍h-ba̍k,tsioh8bak8,chioh8bak8,tsiohbak,chiohbak,tb,cb
石油,tsio̍h-iû,25,chio̍h-iû,tsioh8iu5,chioh8iu5,tsiohiu,chiohiu,ti,ci
石獅,tsio̍h-sai,25,chio̍h-sai,tsioh8sai1,chioh8sai1,tsiohsai,chiohsai,ts,cs
石膏,tsio̍h-ko,25,chio̍h-ko,tsioh8ko1,chioh8ko1,tsiohko,chiohko,tk,ck
石英,tsio̍h-ing,25,chio̍h-eng,tsioh8ing1,chioh8eng1,tsiohing,chioheng,ti,ce
砂糖,sua-thn̂g,25,soa-thn̂g,sua1thng5,soa1thng5,suathng,soathng,st,st
砒素,phi-sòo,25,phi-sò͘,phi1soo3,phi1soo3,phisoo,phisoo,ps,ps
硩印,teh-ìn,25,teh-ìn,teh4in3,teh4in3,tehin,tehin,ti,ti
硩枝,teh-ki,25,teh-ki,teh4ki1,teh4ki1,tehki,tehki,tk,tk
硫磺,liû-hông,25,liû-hông,liu5hong5,liu5hong5,liuhong,liuhong,lh,lh
硬度,ngē-tōo,25,ngē-tō͘,nge7too7,nge7too7,ngetoo,ngetoo,nt,nt
硬碟,ngē-tia̍p,25,ngē-tia̍p,nge7tiap8,nge7tiap8,ngetiap,ngetiap,nt,nt
