tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
sip-tsín,溼疹,25,sip-chín,siptsin2,sipchin2,siptsin,sipchin
tshong-song,滄桑,25,chhong-song,tshongsong,chhongsong,tshongsong,chhongsong
bia̍t-bông,滅亡,25,bia̍t-bông,biat8bong5,biat8bong5,biatbong,biatbong
tīnn-lâu,滇流,25,tīⁿ-lâu,tinn7lau5,tinn7lau5,tinnlau,tinnlau
tsu-bī,滋味,25,chu-bī,tsubi7,chubi7,tsubi,chubi
tsu-jūn,滋潤,25,chu-jūn,tsujun7,chujun7,tsujun,chujun
tsu-lūn,滋潤,25,chu-lūn,tsulun7,chulun7,tsulun,chulun
tsu-ióng,滋養,25,chu-ióng,tsuiong2,chuiong2,tsuiong,chuiong
ku̍t-tó,滑倒,25,ku̍t-tó,kut8to2,kut8to2,kutto,kutto
ku̍t-liu,滑溜,25,ku̍t-liu,kut8liu,kut8liu,kutliu,kutliu
ku̍t-liū,滑溜,25,ku̍t-liū,kut8liu7,kut8liu7,kutliu,kutliu
ku̍t-tshí,滑鼠,25,ku̍t-chhí,kut8tshi2,kut8chhi2,kuttshi,kutchhi
ku̍t-tshú,滑鼠,25,ku̍t-chhú,kut8tshu2,kut8chhu2,kuttshu,kutchhu
hōo-bué,滬尾,25,hō͘-bóe,hoo7bue2,hoo7boe2,hoobue,hooboe
hōo-bé,滬尾,25,hō͘-bé,hoo7be2,hoo7be2,hoobe,hoobe
tù-tù,滯滯,25,tù-tù,tu3tu3,tu3tu3,tutu,tutu
siàm-jiō,滲尿,25,siàm-jiō,siam3jio7,siam3jio7,siamjio,siamjio
siàm-liō,滲尿,25,siàm-liō,siam3lio7,siam3lio7,siamlio,siamlio
siàm-sái,滲屎,25,siàm-sái,siam3sai2,siam3sai2,siamsai,siamsai
lóo-nn̄g,滷卵,25,ló͘-nn̄g,loo2nng7,loo2nng7,loonng,loonng
lóo-bī,滷味,25,ló͘-bī,loo2bi7,loo2bi7,loobi,loobi
lóo-bah,滷肉,25,ló͘-bah,loo2bah,loo2bah,loobah,loobah
lóo-mī,滷麵,25,ló͘-mī,loo2mi7,loo2mi7,loomi,loomi
hóo-thî,滸苔,25,hó͘-thî,hoo2thi5,hoo2thi5,hoothi,hoothi
kún-tsuí,滾水,25,kún-chúi,kun2tsui2,kun2chui2,kuntsui,kunchui
kún-tshiò,滾笑,25,kún-chhiò,kun2tshio3,kun2chhio3,kuntshio,kunchhio
