hanzi,tl,frequency,poj
堵頭,tóo-thâu,25,tó͘-thâu
塔啾,tah-tshiu,25,tah-chhiu
塔梯,thah-thui,25,thah-thui
塔舌,thah-tsi̍h,25,thah-chi̍h
塗捀,thôo-phâng,25,thô͘-phâng
塗朱,thôo-tsu,25,thô͘-chu
塗紙,thôo-tsuá,25,thô͘-chóa
塗胚,thôo-phue,25,thô͘-phoe
塭仔,un-á,25,un-á
墜仔,tuī-á,25,tūi-á
墨斗,ba̍k-táu,25,ba̍k-táu
壁堵,piah-tóo,25,piah-tó͘
壓扒,ah-pe,25,ah-pe
大破,tuā-phuà,25,tōa-phòa
大菁,tuā-tshinn,25,tōa-chhiⁿ
大鏨,tuā-tsām,25,tōa-chām
夾仔,ngeh-á,25,ngeh-á
夾枋,kiap-pang,25,kiap-pang
如意,jû-ì,25,jû-ì
定kô,tīng-kô,25,tēng-kô
定闊,tīng-khuah,25,tēng-khoah
寄線,kià-suànn,25,kià-sòaⁿ
寶扇,pó-sìnn,25,pó-sìⁿ
封帽,hong-bō,25,hong-bō
對破,tuì-phuà,25,tùi-phòa
小旦,sió-tuànn,25,sió-tòaⁿ
小生,sió-sing,25,sió-seng
小菁,sió-tshinn,25,sió-chhiⁿ
尺鎚,tshioh-thuî,25,chhioh-thûi
屏風,pîn-hong,25,pîn-hong
巧雕,khá-tiau,25,khá-tiau
布枋,pòo-pang,25,pò͘-pang
布碖,pòo-lún,25,pò͘-lún
布袋,pòo-tē,25,pò͘-tē
帶鋸,tuà-kù,25,tòa-kù
帶騎,tài-khiâ,25,tài-khiâ
帽仔,bō-á,25,bō-á
平尺,phînn-tshioh,25,phîⁿ-chhioh
平枋,pênn-pang,25,pêⁿ-pang
幼破,iù-phuà,25,iù-phòa
幼胚,iù-phue,25,iù-phoe
幼蔥,iù-tshong,25,iù-chhong
幼針,iù-tsiam,25,iù-chiam
度針,tōo-tsiam,25,tō͘-chiam
弓仔,king-á,25,keng-á
弓枋,king-pang,25,keng-pang
彎剾,uân-khau,25,oân-khau
彩繪,tshái-uē,25,chhái-ōe
徛七,khiā-tshit,25,khiā-chhit
徛心,khiā-sim,25,khiā-sim
徛柱,khiā-thiāu,25,khiā-thiāu
徛鏡,khiā-kiànn,25,khiā-kiàⁿ
戕仔,tshiâng-á,25,chhiâng-á
戰甲,tsiàn-kah,25,chiàn-kah
扁擔,pún-tann,25,pún-taⁿ
手包,tshiú-pau,25,chhiú-pau
手指,tshiú-tsí,25,chhiú-chí
手裒,tshiú-pôo,25,chhiú-pô͘
手銬,tshiú-khàu,25,chhiú-khàu
托燈,thuh-ting,25,thuh-teng
批塗,phi-thôo,25,phi-thô͘
披土,phi-thôo,25,phi-thô͘
抹刀,buah-to,25,boah-to
抾板,khioh-pán,25,khioh-pán
抾蒼,khioh-tshong,25,khioh-chhong
拆線,thiah-suànn,25,thiah-sòaⁿ
拍漿,phah-tsiunn,25,phah-chiuⁿ
拍空,phah-khang,25,phah-khang
拍箍,phah-khoo,25,phah-kho͘
拍胚,phah-phue,25,phah-phoe
拔花,puēh-hue,25,poēh-hoe
拗彎,áu-uan,25,áu-oan
挖空,ué-khang,25,óe-khang
挲線,so-suànn,25,so-sòaⁿ
捀盤,phâng-puânn,25,phâng-pôaⁿ
捆絃,khún-hiân,25,khún-hiân
捏頭,lia̍p-thâu,25,lia̍p-thâu
捲枋,kńg-pang,25,kńg-pang
掃枋,sàu-pang,25,sàu-pang
掠花,lia̍h-hue,25,lia̍h-hoe
接剾,tsiap-khau,25,chiap-khau
接線,tsiap-suànn,25,chiap-sòaⁿ
摃空,kòng-khang,25,kòng-khang
撋塗,nuá-thôo,25,nóa-thô͘
擠金,tsik-kim,25,chek-kim
攕草,tshiám-tshó,25,chhiám-chhó
放枋,pàng-pang,25,pàng-pang
敲仔,khà-á,25,khà-á
敲槌,khà-thuî,25,khà-thûi
文目,bûn-ba̍k,25,bûn-ba̍k
文肚,bûn-tōo,25,bûn-tō͘
文袍,bûn-phâu,25,bûn-phâu
文轎,bûn-kiō,25,bûn-kiō
斧頭,póo-thâu,25,pó͘-thâu
旗頭,kî-thâu,25,kî-thâu
時鐘,sî-tsing,25,sî-cheng
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú
暗號,àm-hō,25,àm-hō
月桃,ge̍h-thô,25,ge̍h-thô
朝天,tiâu-thian,25,tiâu-thian
木尺,bo̍k-tshioh,25,bo̍k-chhioh
本尊,pún-tsun,25,pún-chun
杜英,tōo-ing,25,tō͘-eng
束冠,sok-kuan,25,sok-koan
松膠,siông-ka,25,siông-ka
枇杷,gî-pê,25,gî-pê
染料,ní-liāu,25,ní-liāu
染桶,ní-tháng,25,ní-tháng
染色,ní-tsik,25,ní-chek
柱珠,thiāu-tsu,25,thiāu-chu
柴砧,tshâ-tiam,25,chhâ-tiam
柴窯,tshâ-iô,25,chhâ-iô
柴胎,tshâ-thai,25,chhâ-thai
桌崁,toh-khàm,25,toh-khàm
桌裙,toh-kûn,25,toh-kûn
桶梯,tháng-thui,25,tháng-thui
梅花,muî-hue,25,mûi-hoe
梳仔,se-á,25,se-á
棉布,mî-pòo,25,mî-pò͘
棉線,mî-suànn,25,mî-sòaⁿ
棕蓑,tsang-sui,25,chang-sui
椅條,í-liâu,25,í-liâu
植眉,ti̍t-bâi,25,ti̍t-bâi
楊梅,iûnn-muî,25,iûⁿ-mûi
槐花,huâi-hue,25,hoâi-hoe
樹木,tshiū-bo̍k,25,chhiū-bo̍k
橫頭,huâinn-thâu,25,hoâiⁿ-thâu
武將,bú-tsiòng,25,bú-chiòng
武胸,bú-hing,25,bú-heng
武轎,bú-kiō,25,bú-kiō
比仔,pí-á,25,pí-á
毡仔,tsám-á,25,chám-á
水族,tsuí-tso̍k,25,chúi-cho̍k
水晶,tsuí-tsinn,25,chúi-chiⁿ
水油,tsuí-iû,25,chúi-iû
水波,tsuí-pho,25,chúi-pho
水秤,tsuí-tshìn,25,chúi-chhìn
水管,tsuí-kóng,25,chúi-kóng
水膠,tsuí-ka,25,chúi-ka
沖仔,tshong-á,25,chhong-á
油桶,iû-tháng,25,iû-tháng
油燈,iû-ting,25,iû-teng
洋漆,iûnn-tshat,25,iûⁿ-chhat
洞簫,tōng-siau,25,tōng-siau
浮花,phû-hue,25,phû-hoe
涼傘,niû-suànn,25,niû-sòaⁿ
淋搪,lâm-thn̄g,25,lâm-thn̄g
深刻,tshim-khik,25,chhim-khek
湯匙,thng-sî,25,thng-sî
滾桶,kún-tháng,25,kún-tháng
滾花,kún-hue,25,kún-hoe
滾邊,kún-pinn,25,kún-piⁿ
漆畫,tshat-uē,25,chhat-ōe
漆盤,tshat-puânn,25,chhat-pôaⁿ
漆碗,tshat-uánn,25,chhat-óaⁿ
漆筅,tshat-tshíng,25,chhat-chhéng
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ
火喙,hué-tshuì,25,hóe-chhùi
火炭,hué-thuànn,25,hóe-thòaⁿ
火焰,hué-iām,25,hóe-iām
火爐,hué-lôo,25,hóe-lô͘
火籠,hué-lang,25,hóe-lang
火銃,hué-tshìng,25,hóe-chhèng
炊仔,tshue-á,25,chhoe-á
炭枋,thuànn-pang,25,thòaⁿ-pang
烏枋,oo-pang,25,o͘-pang
烏漆,oo-tshat,25,o͘-chhat
烘爐,hang-lôo,25,hang-lô͘
煎匙,tsian-sî,25,chian-sî
煏蔥,piak-tshong,25,piak-chhong
熟皮,si̍k-phuê,25,se̍k-phôe
燭台,tsik-tâi,25,chek-tâi
牌匾,pâi-pián,25,pâi-pián
牛樟,gû-tsiunn,25,gû-chiuⁿ
牛角,gû-kak,25,gû-kak
牡丹,bóo-tan,25,bó͘-tan
獅頭,sai-thâu,25,sai-thâu
玉蘭,gio̍k-lân,25,gio̍k-lân
