hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3,siotuann,siotoann,st,st,True,False
小生,sió-sing,25,sió-seng,sio2sing1,sio2seng1,siosing,sioseng,ss,ss,True,False
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,siotshinn,siochhinn,st,sc,True,False
尺鎚,tshioh-thuî,25,chhioh-thûi,tshioh4thui5,chhioh4thui5,tshiohthui,chhiohthui,tt,ct,True,True
屏風,pîn-hong,25,pîn-hong,pin5hong1,pin5hong1,pinhong,pinhong,ph,ph,True,False
巧雕,khá-tiau,25,khá-tiau,kha2tiau1,kha2tiau1,khatiau,khatiau,kt,kt,True,False
布枋,pòo-pang,25,pò͘-pang,poo3pang1,poo3pang1,poopang,poopang,pp,pp,True,False
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2,poolun,poolun,pl,pl,True,False
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3,tuaku,toaku,tk,tk,True,False
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5,taikhia,taikhia,tk,tk,True,False
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh4,phinn5chhioh4,phinntshioh,phinnchhioh,pt,pc,True,False
平枋,pênn-pang,25,pêⁿ-pang,penn5pang1,penn5pang1,pennpang,pennpang,pp,pp,True,False
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3,iuphua,iuphoa,ip,ip,True,False
幼胚,iù-phue,25,iù-phoe,iu3phue1,iu3phoe1,iuphue,iuphoe,ip,ip,True,True
幼蔥,iù-tshong,25,iù-chhong,iu3tshong1,iu3chhong1,iutshong,iuchhong,it,ic,True,False
幼針,iù-tsiam,25,iù-chiam,iu3tsiam1,iu3chiam1,iutsiam,iuchiam,it,ic,True,False
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam1,too7chiam1,tootsiam,toochiam,tt,tc,True,False
弓仔,king-á,25,keng-á,king1a2,keng1a2,kinga,kenga,ka,ka,True,False
弓枋,king-pang,25,keng-pang,king1pang1,keng1pang1,kingpang,kengpang,kp,kp,True,False
彎剾,uân-khau,25,oân-khau,uan5khau1,oan5khau1,uankhau,oankhau,uk,ok,True,False
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7,tshaiue,chhaioe,tu,co,True,False
