hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taigitv,is_variant
杜賓狗,tōo-pin-káu,16,tō͘-pin-káu,too7pin1kau2,too7pin1kau2,ㄉㆦ˫ㄅㄧㄣㄍㄠˋ,,toopinkau,toopinkau,ㄉㆦㄅㄧㄣㄍㄠ,,tpk,tpk,ㄉㄅㄍ,,True,False
枋仔牚,pang-á-thènn,16,pang-á-thèⁿ,pang1a2thenn3,pang1a2thenn3,ㄅㄤㄚˋㄊㆥ˪,,pangathenn,pangathenn,ㄅㄤㄚㄊㆥ,,pat,pat,ㄅㄚㄊ,,True,False
枋仔牚,pang-á-thìnn,16,pang-á-thìⁿ,pang1a2thinn3,pang1a2thinn3,ㄅㄤㄚˋㄊㆪ˪,,pangathinn,pangathinn,ㄅㄤㄚㄊㆪ,,pat,pat,ㄅㄚㄊ,,True,False
果子乾,kué-tsí-kuann,16,kóe-chí-koaⁿ,kue2tsi2kuann1,koe2chi2koann1,ㄍㄨㆤˋㄐㄧˋㄍㄨㆩ,,kuetsikuann,koechikoann,ㄍㄨㆤㄐㄧㄍㄨㆩ,,ktk,kck,ㄍㄐㄍ,,True,False
果子乾,ké-tsí-kuann,16,ké-chí-koaⁿ,ke2tsi2kuann1,ke2chi2koann1,ㄍㆤˋㄐㄧˋㄍㄨㆩ,,ketsikuann,kechikoann,ㄍㆤㄐㄧㄍㄨㆩ,,ktk,kck,ㄍㄐㄍ,,True,False
果汁機,kó-tsiap-ki,16,kó-chiap-ki,ko2tsiap4ki1,ko2chiap4ki1,ㄍㄛˋㄐㄧㄚㆴㄍㄧ,,kotsiapki,kochiapki,ㄍㄛㄐㄧㄚㆴㄍㄧ,,ktk,kck,ㄍㄐㄍ,,True,False
染目眉,ní ba̍k-bâi,16,ní ba̍k-bâi,ni2bak8bai5,ni2bak8bai5,ㄋㄧˋㆠㄚㆻ̇ㆠㄞˊ,,nibakbai,nibakbai,ㄋㄧㆠㄚㆻㆠㄞ,,nbb,nbb,ㄋㆠㆠ,,True,False
染眉膏,ní-bâi-ko,16,ní-bâi-ko,ni2bai5ko1,ni2bai5ko1,ㄋㄧˋㆠㄞˊㄍㄛ,,nibaiko,nibaiko,ㄋㄧㆠㄞㄍㄛ,,nbk,nbk,ㄋㆠㄍ,,True,False
染脣液,ní-tûn-i̍k,16,ní-tûn-e̍k,ni2tun5ik8,ni2tun5ek8,ㄋㄧˋㄉㄨㄣˊㄧㆻ̇,,nitunik,nitunek,ㄋㄧㄉㄨㄣㄧㆻ,,nti,nte,ㄋㄉㄧ,,True,False
柔軟度,jiû-luán-tōo,16,jiû-loán-tō͘,jiu5luan2too7,jiu5loan2too7,ㆢㄧㄨˊㄌㄨㄢˋㄉㆦ˫,,jiuluantoo,jiuloantoo,ㆢㄧㄨㄌㄨㄢㄉㆦ,,jlt,jlt,ㆢㄌㄉ,,True,False
柔軟度,jiû-nńg-tōo,16,jiû-nńg-tō͘,jiu5nng2too7,jiu5nng2too7,ㆢㄧㄨˊㄋㆭˋㄉㆦ˫,,jiunngtoo,jiunngtoo,ㆢㄧㄨㄋㆭㄉㆦ,,jnt,jnt,ㆢㄋㄉ,,True,False
柔軟度,liû-luán-tōo,16,liû-loán-tō͘,liu5luan2too7,liu5loan2too7,ㄌㄧㄨˊㄌㄨㄢˋㄉㆦ˫,,liuluantoo,liuloantoo,ㄌㄧㄨㄌㄨㄢㄉㆦ,,llt,llt,ㄌㄌㄉ,,True,False
柔軟度,liû-nńg-tōo,16,liû-nńg-tō͘,liu5nng2too7,liu5nng2too7,ㄌㄧㄨˊㄋㆭˋㄉㆦ˫,,liunngtoo,liunngtoo,ㄌㄧㄨㄋㆭㄉㆦ,,lnt,lnt,ㄌㄋㄉ,,True,False
柴角仔,tshâ-kak-á,16,chhâ-kak-á,tsha5kak4a2,chha5kak4a2,ㄘㄚˊㄍㄚㆻㄚˋ,,tshakaka,chhakaka,ㄘㄚㄍㄚㆻㄚ,,tka,cka,ㄘㄍㄚ,,True,False
核分裂,hi̍k-hun-lia̍t,16,he̍k-hun-lia̍t,hik8hun1liat8,hek8hun1liat8,ㄏㄧㆻ̇ㄏㄨㄣㄌㄧㄚㆵ̇,,hikhunliat,hekhunliat,ㄏㄧㆻㄏㄨㄣㄌㄧㄚㆵ,,hhl,hhl,ㄏㄏㄌ,,True,False
核融合,hi̍k-iông-ha̍p,16,he̍k-iông-ha̍p,hik8iong5hap8,hek8iong5hap8,ㄏㄧㆻ̇ㄧㆲˊㄏㄚㆴ̇,,hikionghap,hekionghap,ㄏㄧㆻㄧㆲㄏㄚㆴ,,hih,hih,ㄏㄧㄏ,,True,False
格式化,keh-sik-huà,16,keh-sek-hòa,keh4sik4hua3,keh4sek4hoa3,ㄍㆤㆷㄒㄧㆻㄏㄨㄚ˪,,kehsikhua,kehsekhoa,ㄍㆤㆷㄒㄧㆻㄏㄨㄚ,,ksh,ksh,ㄍㄒㄏ,,True,False
框線色,khing-suànn-sik,16,kheng-sòaⁿ-sek,khing1suann3sik4,kheng1soann3sek4,ㄎㄧㄥㄙㄨㆩ˪ㄒㄧㆻ,,khingsuannsik,khengsoannsek,ㄎㄧㄥㄙㄨㆩㄒㄧㆻ,,kss,kss,ㄎㄙㄒ,,True,False
梳妝台,se-tsng-tâi,16,se-chng-tâi,se1tsng1tai5,se1chng1tai5,ㄙㆤㄗㆭㄉㄞˊ,,setsngtai,sechngtai,ㄙㆤㄗㆭㄉㄞ,,stt,sct,ㄙㄗㄉ,,True,True
梳妝台,sue-tsng-tâi,16,soe-chng-tâi,sue1tsng1tai5,soe1chng1tai5,ㄙㄨㆤㄗㆭㄉㄞˊ,,suetsngtai,soechngtai,ㄙㄨㆤㄗㆭㄉㄞ,,stt,sct,ㄙㄗㄉ,,True,True
梳妝鏡,se-tsng-kiànn,16,se-chng-kiàⁿ,se1tsng1kiann3,se1chng1kiann3,ㄙㆤㄗㆭㄍㄧㆩ˪,,setsngkiann,sechngkiann,ㄙㆤㄗㆭㄍㄧㆩ,,stk,sck,ㄙㄗㄍ,,True,True
梳妝鏡,sue-tsng-kiànn,16,soe-chng-kiàⁿ,sue1tsng1kiann3,soe1chng1kiann3,ㄙㄨㆤㄗㆭㄍㄧㆩ˪,,suetsngkiann,soechngkiann,ㄙㄨㆤㄗㆭㄍㄧㆩ,,stk,sck,ㄙㄗㄍ,,True,True
棉仔糖,mî-á-thn̂g,16,mî-á-thn̂g,mi5a2thng5,mi5a2thng5,ㄇㄧˊㄚˋㄊㆭˊ,,miathng,miathng,ㄇㄧㄚㄊㆭ,,mat,mat,ㄇㄚㄊ,,True,False
椒麻雞,tsio-bâ-ke,16,chio-bâ-ke,tsio1ba5ke1,chio1ba5ke1,ㄐㄧㄛㆠㄚˊㄍㆤ,,tsiobake,chiobake,ㄐㄧㄛㆠㄚㄍㆤ,,tbk,cbk,ㄐㆠㄍ,,True,False
椒麻雞,tsio-bâ-kue,16,chio-bâ-koe,tsio1ba5kue1,chio1ba5koe1,ㄐㄧㄛㆠㄚˊㄍㄨㆤ,,tsiobakue,chiobakoe,ㄐㄧㄛㆠㄚㄍㄨㆤ,,tbk,cbk,ㄐㆠㄍ,,True,False
椰子奶,iâ-tsí-ling,16,iâ-chí-leng,ia5tsi2ling1,ia5chi2leng1,ㄧㄚˊㄐㄧˋㄌㄧㄥ,,iatsiling,iachileng,ㄧㄚㄐㄧㄌㄧㄥ,,itl,icl,ㄧㄐㄌ,,True,False
椰子奶,iâ-tsí-ni,16,iâ-chí-ni,ia5tsi2ni1,ia5chi2ni1,ㄧㄚˊㄐㄧˋㄋㄧ,,iatsini,iachini,ㄧㄚㄐㄧㄋㄧ,,itn,icn,ㄧㄐㄋ,,True,False
榴彈炮,liû-tuânn-phàu,16,liû-tôaⁿ-phàu,liu5tuann5phau3,liu5toann5phau3,ㄌㄧㄨˊㄉㄨㆩˊㄆㄠ˪,,liutuannphau,liutoannphau,ㄌㄧㄨㄉㄨㆩㄆㄠ,,ltp,ltp,ㄌㄉㄆ,,True,False
橄欖球,kan-ná-kiû,16,kan-ná-kiû,kan1na2kiu5,kan1na2kiu5,ㄍㄢㄋㄚˋㄍㄧㄨˊ,,kannakiu,kannakiu,ㄍㄢㄋㄚㄍㄧㄨ,,knk,knk,ㄍㄋㄍ,,True,False
機械舞,ki-hāi-bú,16,ki-hāi-bú,ki1hai7bu2,ki1hai7bu2,ㄍㄧㄏㄞ˫ㆠㄨˋ,,kihaibu,kihaibu,ㄍㄧㄏㄞㆠㄨ,,khb,khb,ㄍㄏㆠ,,True,False
橫掃球,huâinn-sàu-kiû,16,hoâiⁿ-sàu-kiû,huainn5sau3kiu5,hoainn5sau3kiu5,ㄏㄨㆮˊㄙㄠ˪ㄍㄧㄨˊ,,huainnsaukiu,hoainnsaukiu,ㄏㄨㆮㄙㄠㄍㄧㄨ,,hsk,hsk,ㄏㄙㄍ,,True,False
檸檬塔,lê-bóng-thah,16,lê-bóng-thah,le5bong2thah4,le5bong2thah4,ㄌㆤˊㆠㆲˋㄊㄚㆷ,,lebongthah,lebongthah,ㄌㆤㆠㆲㄊㄚㆷ,,lbt,lbt,ㄌㆠㄊ,,True,False
歐美妝,au-bí-tsong,16,au-bí-chong,au1bi2tsong1,au1bi2chong1,ㄠㆠㄧˋㄗㆲ,,aubitsong,aubichong,ㄠㆠㄧㄗㆲ,,abt,abc,ㄠㆠㄗ,,True,False
正線審,tsiànn-suànn-sím,16,chiàⁿ-sòaⁿ-sím,tsiann3suann3sim2,chiann3soann3sim2,ㄐㄧㆩ˪ㄙㄨㆩ˪ㄒㄧㆬˋ,,tsiannsuannsim,chiannsoannsim,ㄐㄧㆩㄙㄨㆩㄒㄧㆬ,,tss,css,ㄐㄙㄒ,,True,False
歹牢胎,pháinn-tiâu-the,16,pháiⁿ-tiâu-the,phainn2tiau5the1,phainn2tiau5the1,ㄆㆮˋㄉㄧㄠˊㄊㆤ,,phainntiauthe,phainntiauthe,ㄆㆮㄉㄧㄠㄊㆤ,,ptt,ptt,ㄆㄉㄊ,,True,False
殘壘率,tsân-luí-lu̍t,16,chân-lúi-lu̍t,tsan5lui2lut8,chan5lui2lut8,ㄗㄢˊㄌㄨㄧˋㄌㄨㆵ̇,,tsanluilut,chanluilut,ㄗㄢㄌㄨㄧㄌㄨㆵ,,tll,cll,ㄗㄌㄌ,,True,False
氣糋鍋,khì-tsìnn-ko,16,khì-chìⁿ-ko,khi3tsinn3ko1,khi3chinn3ko1,ㄎㄧ˪ㄐㆪ˪ㄍㄛ,,khitsinnko,khichinnko,ㄎㄧㄐㆪㄍㄛ,,ktk,kck,ㄎㄐㄍ,,True,False
水流屍,tsuí-lâu-si,16,chúi-lâu-si,tsui2lau5si1,chui2lau5si1,ㄗㄨㄧˋㄌㄠˊㄒㄧ,,tsuilausi,chuilausi,ㄗㄨㄧㄌㄠㄒㄧ,,tls,cls,ㄗㄌㄒ,,True,False
水浸粿,tsuí-tsìm-kué,16,chúi-chìm-kóe,tsui2tsim3kue2,chui2chim3koe2,ㄗㄨㄧˋㄐㄧㆬ˪ㄍㄨㆤˋ,,tsuitsimkue,chuichimkoe,ㄗㄨㄧㄐㄧㆬㄍㄨㆤ,,ttk,cck,ㄗㄐㄍ,,True,False
水煎包,tsuí-tsian-pau,16,chúi-chian-pau,tsui2tsian1pau1,chui2chian1pau1,ㄗㄨㄧˋㄐㄧㄢㄅㄠ,,tsuitsianpau,chuichianpau,ㄗㄨㄧㄐㄧㄢㄅㄠ,,ttp,ccp,ㄗㄐㄅ,,True,False
水粉膏,tsuí-hún-ko,16,chúi-hún-ko,tsui2hun2ko1,chui2hun2ko1,ㄗㄨㄧˋㄏㄨㄣˋㄍㄛ,,tsuihunko,chuihunko,ㄗㄨㄧㄏㄨㄣㄍㄛ,,thk,chk,ㄗㄏㄍ,,True,False
水粉餅,tsuí-hún-piánn,16,chúi-hún-piáⁿ,tsui2hun2piann2,chui2hun2piann2,ㄗㄨㄧˋㄏㄨㄣˋㄅㄧㆩˋ,,tsuihunpiann,chuihunpiann,ㄗㄨㄧㄏㄨㄣㄅㄧㆩ,,thp,chp,ㄗㄏㄅ,,True,False
水雞泅,tsuí-ke-siû,16,chúi-ke-siû,tsui2ke1siu5,chui2ke1siu5,ㄗㄨㄧˋㄍㆤㄒㄧㄨˊ,,tsuikesiu,chuikesiu,ㄗㄨㄧㄍㆤㄒㄧㄨ,,tks,cks,ㄗㄍㄒ,,True,False
沉浸式,tîm-tsìm-sik,16,tîm-chìm-sek,tim5tsim3sik4,tim5chim3sek4,ㄉㄧㆬˊㄐㄧㆬ˪ㄒㄧㆻ,,timtsimsik,timchimsek,ㄉㄧㆬㄐㄧㆬㄒㄧㆻ,,tts,tcs,ㄉㄐㄒ,,True,False
沙沙醬,sa-sa-tsiùnn,16,sa-sa-chiùⁿ,sa1sa1tsiunn3,sa1sa1chiunn3,ㄙㄚㄙㄚㄐㄧㆫ˪,,sasatsiunn,sasachiunn,ㄙㄚㄙㄚㄐㄧㆫ,,sst,ssc,ㄙㄙㄐ,,True,False
沙皮狗,sua-phuê-káu,16,soa-phôe-káu,sua1phue5kau2,soa1phoe5kau2,ㄙㄨㄚㄆㄨㆤˊㄍㄠˋ,,suaphuekau,soaphoekau,ㄙㄨㄚㄆㄨㆤㄍㄠ,,spk,spk,ㄙㄆㄍ,,True,False
沙皮狗,sua-phê-káu,16,soa-phê-káu,sua1phe5kau2,soa1phe5kau2,ㄙㄨㄚㄆㆤˊㄍㄠˋ,,suaphekau,soaphekau,ㄙㄨㄚㄆㆤㄍㄠ,,spk,spk,ㄙㄆㄍ,,True,False
沙礫岩,sua-li̍k-gâm,16,soa-le̍k-gâm,sua1lik8gam5,soa1lek8gam5,ㄙㄨㄚㄌㄧㆻ̇ㆣㆰˊ,,sualikgam,soalekgam,ㄙㄨㄚㄌㄧㆻㆣㆰ,,slg,slg,ㄙㄌㆣ,,True,False
油壓剪,iû-ap-tsián,16,iû-ap-chián,iu5ap4tsian2,iu5ap4chian2,ㄧㄨˊㄚㆴㄐㄧㄢˋ,,iuaptsian,iuapchian,ㄧㄨㄚㆴㄐㄧㄢ,,iat,iac,ㄧㄚㄐ,,True,False
沿岸流,iân-huānn-lâu,16,iân-hōaⁿ-lâu,ian5huann7lau5,ian5hoann7lau5,ㄧㄢˊㄏㄨㆩ˫ㄌㄠˊ,,ianhuannlau,ianhoannlau,ㄧㄢㄏㄨㆩㄌㄠ,,ihl,ihl,ㄧㄏㄌ,,True,False
泅水池,siû-tsuí-tî,16,siû-chúi-tî,siu5tsui2ti5,siu5chui2ti5,ㄒㄧㄨˊㄗㄨㄧˋㄉㄧˊ,,siutsuiti,siuchuiti,ㄒㄧㄨㄗㄨㄧㄉㄧ,,stt,sct,ㄒㄗㄉ,,True,False
泅水鏡,siû-tsuí-kiànn,16,siû-chúi-kiàⁿ,siu5tsui2kiann3,siu5chui2kiann3,ㄒㄧㄨˊㄗㄨㄧˋㄍㄧㆩ˪,,siutsuikiann,siuchuikiann,ㄒㄧㄨㄗㄨㄧㄍㄧㆩ,,stk,sck,ㄒㄗㄍ,,True,False
泉裕泰,tsuânn jū-thài,16,chôaⁿ jū-thài,tsuann5ju7thai3,choann5ju7thai3,ㄗㄨㆩˊㆡㄨ˫ㄊㄞ˪,,tsuannjuthai,choannjuthai,ㄗㄨㆩㆡㄨㄊㄞ,,tjt,cjt,ㄗㆡㄊ,,True,False
泉裕泰,tsuânn lū-thài,16,chôaⁿ lū-thài,tsuann5lu7thai3,choann5lu7thai3,ㄗㄨㆩˊㄌㄨ˫ㄊㄞ˪,,tsuannluthai,choannluthai,ㄗㄨㆩㄌㄨㄊㄞ,,tlt,clt,ㄗㄌㄊ,,True,False
泔模粿,ám-bôo-kué,16,ám-bô͘-kóe,am2boo5kue2,am2boo5koe2,ㆰˋㆠㆦˊㄍㄨㆤˋ,,ambookue,ambookoe,ㆰㆠㆦㄍㄨㆤ,,abk,abk,ㆰㆠㄍ,,True,False
泔模粿,ám-bôo-ké,16,ám-bô͘-ké,am2boo5ke2,am2boo5ke2,ㆰˋㆠㆦˊㄍㆤˋ,,ambooke,ambooke,ㆰㆠㆦㄍㆤ,,abk,abk,ㆰㆠㄍ,,True,False
法令痕,huat-līng-hûn,16,hoat-lēng-hûn,huat4ling7hun5,hoat4leng7hun5,ㄏㄨㄚㆵㄌㄧㄥ˫ㄏㄨㄣˊ,,huatlinghun,hoatlenghun,ㄏㄨㄚㆵㄌㄧㄥㄏㄨㄣ,,hlh,hlh,ㄏㄌㄏ,,True,False
洋刺波,iûnn-tshì-pho,16,iûⁿ-chhì-pho,iunn5tshi3pho1,iunn5chhi3pho1,ㄧㆫˊㄑㄧ˪ㄆㄛ,,iunntshipho,iunnchhipho,ㄧㆫㄑㄧㄆㄛ,,itp,icp,ㄧㄑㄆ,,True,False
洋芳瓜,iûnn-phang-kue,16,iûⁿ-phang-koe,iunn5phang1kue1,iunn5phang1koe1,ㄧㆫˊㄆㄤㄍㄨㆤ,,iunnphangkue,iunnphangkoe,ㄧㆫㄆㄤㄍㄨㆤ,,ipk,ipk,ㄧㄆㄍ,,True,False
洗面乳,sé-bīn-jú,16,sé-bīn-jú,se2bin7ju2,se2bin7ju2,ㄙㆤˋㆠㄧㄣ˫ㆡㄨˋ,,sebinju,sebinju,ㄙㆤㆠㄧㄣㆡㄨ,,sbj,sbj,ㄙㆠㆡ,,True,False
海山醬,hái-san-tsiùnn,16,hái-san-chiùⁿ,hai2san1tsiunn3,hai2san1chiunn3,ㄏㄞˋㄙㄢㄐㄧㆫ˪,,haisantsiunn,haisanchiunn,ㄏㄞㄙㄢㄐㄧㆫ,,hst,hsc,ㄏㄙㄐ,,True,False
海洛因,hái-lo̍k-in,16,hái-lo̍k-in,hai2lok8in1,hai2lok8in1,ㄏㄞˋㄌㆦㆻ̇ㄧㄣ,,hailokin,hailokin,ㄏㄞㄌㆦㆻㄧㄣ,,hli,hli,ㄏㄌㄧ,,True,False
海綿筅,hái-mî-tshíng,16,hái-mî-chhéng,hai2mi5tshing2,hai2mi5chheng2,ㄏㄞˋㄇㄧˊㄑㄧㄥˋ,,haimitshing,haimichheng,ㄏㄞㄇㄧㄑㄧㄥ,,hmt,hmc,ㄏㄇㄑ,,True,False
海豬泅,hái-ti-siû,16,hái-ti-siû,hai2ti1siu5,hai2ti1siu5,ㄏㄞˋㄉㄧㄒㄧㄨˊ,,haitisiu,haitisiu,ㄏㄞㄉㄧㄒㄧㄨ,,hts,hts,ㄏㄉㄒ,,True,False
消磨量,siau-môo-liōng,16,siau-mô͘-liōng,siau1moo5liong7,siau1moo5liong7,ㄒㄧㄠㄇㆦˊㄌㄧㆲ˫,,siaumooliong,siaumooliong,ㄒㄧㄠㄇㆦㄌㄧㆲ,,sml,sml,ㄒㄇㄌ,,True,False
淘汰賽,tô-thài sài,16,tô-thài sài,to5thai3sai3,to5thai3sai3,ㄉㄛˊㄊㄞ˪ㄙㄞ˪,,tothaisai,tothaisai,ㄉㄛㄊㄞㄙㄞ,,tts,tts,ㄉㄊㄙ,,True,False
游擊手,iû-kik-tshiú,16,iû-kek-chhiú,iu5kik4tshiu2,iu5kek4chhiu2,ㄧㄨˊㄍㄧㆻㄑㄧㄨˋ,,iukiktshiu,iukekchhiu,ㄧㄨㄍㄧㆻㄑㄧㄨ,,ikt,ikc,ㄧㄍㄑ,,True,False
游擊隊,iû-kik-tuī,16,iû-kek-tūi,iu5kik4tui7,iu5kek4tui7,ㄧㄨˊㄍㄧㆻㄉㄨㄧ˫,,iukiktui,iukektui,ㄧㄨㄍㄧㆻㄉㄨㄧ,,ikt,ikt,ㄧㄍㄉ,,True,False
游泳池,iû-íng-tî,16,iû-éng-tî,iu5ing2ti5,iu5eng2ti5,ㄧㄨˊㄧㄥˋㄉㄧˊ,,iuingti,iuengti,ㄧㄨㄧㄥㄉㄧ,,iit,iet,ㄧㄧㄉ,,True,True
游泳衫,iû-íng-sann,16,iû-éng-saⁿ,iu5ing2sann1,iu5eng2sann1,ㄧㄨˊㄧㄥˋㄙㆩ,,iuingsann,iuengsann,ㄧㄨㄧㄥㄙㆩ,,iis,ies,ㄧㄧㄙ,,True,True
游泳鏡,iû-íng-kiànn,16,iû-éng-kiàⁿ,iu5ing2kiann3,iu5eng2kiann3,ㄧㄨˊㄧㄥˋㄍㄧㆩ˪,,iuingkiann,iuengkiann,ㄧㄨㄧㄥㄍㄧㆩ,,iik,iek,ㄧㄧㄍ,,True,True
準決賽,tsún-kuat-sài,16,chún-koat-sài,tsun2kuat4sai3,chun2koat4sai3,ㄗㄨㄣˋㄍㄨㄚㆵㄙㄞ˪,,tsunkuatsai,chunkoatsai,ㄗㄨㄣㄍㄨㄚㆵㄙㄞ,,tks,cks,ㄗㄍㄙ,,True,False
滅火器,bia̍t-hué-khì,16,bia̍t-hóe-khì,biat8hue2khi3,biat8hoe2khi3,ㆠㄧㄚㆵ̇ㄏㄨㆤˋㄎㄧ˪,,biathuekhi,biathoekhi,ㆠㄧㄚㆵㄏㄨㆤㄎㄧ,,bhk,bhk,ㆠㄏㄎ,,True,False
滅火器,bia̍t-hé-khì,16,bia̍t-hé-khì,biat8he2khi3,biat8he2khi3,ㆠㄧㄚㆵ̇ㄏㆤˋㄎㄧ˪,,biathekhi,biathekhi,ㆠㄧㄚㆵㄏㆤㄎㄧ,,bhk,bhk,ㆠㄏㄎ,,True,False
滑曲球,ku̍t-khiau-kiû,16,ku̍t-khiau-kiû,kut8khiau1kiu5,kut8khiau1kiu5,ㄍㄨㆵ̇ㄎㄧㄠㄍㄧㄨˊ,,kutkhiaukiu,kutkhiaukiu,ㄍㄨㆵㄎㄧㄠㄍㄧㄨ,,kkk,kkk,ㄍㄎㄍ,,True,False
滯洪池,tī-hông-tî,16,tī-hông-tî,ti7hong5ti5,ti7hong5ti5,ㄉㄧ˫ㄏㆲˊㄉㄧˊ,,tihongti,tihongti,ㄉㄧㄏㆲㄉㄧ,,tht,tht,ㄉㄏㄉ,,True,False
滾飛比,kún-hui-pí,16,kún-hui-pí,kun2hui1pi2,kun2hui1pi2,ㄍㄨㄣˋㄏㄨㄧㄅㄧˋ,,kunhuipi,kunhuipi,ㄍㄨㄣㄏㄨㄧㄅㄧ,,khp,khp,ㄍㄏㄅ,,True,False
漏去,lāu--khì,16,lāu--khì,lau7khi3,lau7khi3,ㄌㄠ˫ㄎㄧ˪,,laukhi,laukhi,ㄌㄠㄎㄧ,,lk,lk,ㄌㄎ,,True,False
演算法,ián-suàn-huat,16,ián-soàn-hoat,ian2suan3huat4,ian2soan3hoat4,ㄧㄢˋㄙㄨㄢ˪ㄏㄨㄚㆵ,,iansuanhuat,iansoanhoat,ㄧㄢㄙㄨㄢㄏㄨㄚㆵ,,ish,ish,ㄧㄙㄏ,,True,False
漚查埔,àu-tsa-poo,16,àu-cha-po͘,au3tsa1poo1,au3cha1poo1,ㄠ˪ㄗㄚㄅㆦ,,autsapoo,auchapoo,ㄠㄗㄚㄅㆦ,,atp,acp,ㄠㄗㄅ,,True,False
漩尿球,suān-jiō-kiû,16,soān-jiō-kiû,suan7jio7kiu5,soan7jio7kiu5,ㄙㄨㄢ˫ㆢㄧㄛ˫ㄍㄧㄨˊ,,suanjiokiu,soanjiokiu,ㄙㄨㄢㆢㄧㄛㄍㄧㄨ,,sjk,sjk,ㄙㆢㄍ,,True,False
漸層色,tsiām-tsân-sik,16,chiām-chân-sek,tsiam7tsan5sik4,chiam7chan5sek4,ㄐㄧㆰ˫ㄗㄢˊㄒㄧㆻ,,tsiamtsansik,chiamchansek,ㄐㄧㆰㄗㄢㄒㄧㆻ,,tts,ccs,ㄐㄗㄒ,,True,False
潛艇堡,tsiâm-thíng-pó,16,chiâm-théng-pó,tsiam5thing2po2,chiam5theng2po2,ㄐㄧㆰˊㄊㄧㄥˋㄅㄛˋ,,tsiamthingpo,chiamthengpo,ㄐㄧㆰㄊㄧㄥㄅㄛ,,ttp,ctp,ㄐㄊㄅ,,True,False
激外外,kik-guā-guā,16,kek-gōa-gōa,kik4gua7gua7,kek4goa7goa7,ㄍㄧㆻㆣㄨㄚ˫ㆣㄨㄚ˫,,kikguagua,kekgoagoa,ㄍㄧㆻㆣㄨㄚㆣㄨㄚ,,kgg,kgg,ㄍㆣㆣ,,True,True
瀏覽器,liû-lám-khì,16,liû-lám-khì,liu5lam2khi3,liu5lam2khi3,ㄌㄧㄨˊㄌㆰˋㄎㄧ˪,,liulamkhi,liulamkhi,ㄌㄧㄨㄌㆰㄎㄧ,,llk,llk,ㄌㄌㄎ,,True,False
火燒山,hué sio suann,16,hóe sio soaⁿ,hue2sio1suann1,hoe2sio1soann1,ㄏㄨㆤˋㄒㄧㄛㄙㄨㆩ,,huesiosuann,hoesiosoann,ㄏㄨㆤㄒㄧㄛㄙㄨㆩ,,hss,hss,ㄏㄒㄙ,,True,False
火燒山,hé sio suann,16,hé sio soaⁿ,he2sio1suann1,he2sio1soann1,ㄏㆤˋㄒㄧㄛㄙㄨㆩ,,hesiosuann,hesiosoann,ㄏㆤㄒㄧㄛㄙㄨㆩ,,hss,hss,ㄏㄒㄙ,,True,False
火薰妝,hué-hun-tsong,16,hóe-hun-chong,hue2hun1tsong1,hoe2hun1chong1,ㄏㄨㆤˋㄏㄨㄣㄗㆲ,,huehuntsong,hoehunchong,ㄏㄨㆤㄏㄨㄣㄗㆲ,,hht,hhc,ㄏㄏㄗ,,True,False
火薰妝,hé-hun-tsong,16,hé-hun-chong,he2hun1tsong1,he2hun1chong1,ㄏㆤˋㄏㄨㄣㄗㆲ,,hehuntsong,hehunchong,ㄏㆤㄏㄨㄣㄗㆲ,,hht,hhc,ㄏㄏㄗ,,True,False
火龍果,hé-lîng-kó,16,hé-lêng-kó,he2ling5ko2,he2leng5ko2,ㄏㆤˋㄌㄧㄥˊㄍㄛˋ,,helingko,helengko,ㄏㆤㄌㄧㄥㄍㄛ,,hlk,hlk,ㄏㄌㄍ,,True,False
烏咖啡,oo-ka-pi,16,o͘-ka-pi,oo1ka1pi1,oo1ka1pi1,ㆦㄍㄚㄅㄧ,,ookapi,ookapi,ㆦㄍㄚㄅㄧ,,okp,okp,ㆦㄍㄅ,,True,False
烏目眉,oo-ba̍k-bâ,16,o͘-ba̍k-bâ,oo1bak8ba5,oo1bak8ba5,ㆦㆠㄚㆻ̇ㆠㄚˊ,,oobakba,oobakba,ㆦㆠㄚㆻㆠㄚ,,obb,obb,ㆦㆠㆠ,,True,False
烏目箍,oo-ba̍k-khoo,16,o͘-ba̍k-kho͘,oo1bak8khoo1,oo1bak8khoo1,ㆦㆠㄚㆻ̇ㄎㆦ,,oobakkhoo,oobakkhoo,ㆦㆠㄚㆻㄎㆦ,,obk,obk,ㆦㆠㄎ,,True,False
烏秫米,oo-tsu̍t-bí,16,o͘-chu̍t-bí,oo1tsut8bi2,oo1chut8bi2,ㆦㄗㄨㆵ̇ㆠㄧˋ,,ootsutbi,oochutbi,ㆦㄗㄨㆵㆠㄧ,,otb,ocb,ㆦㄗㆠ,,True,False
烏糙米,oo-tshò-bí,16,o͘-chhò-bí,oo1tsho3bi2,oo1chho3bi2,ㆦㄘㄛ˪ㆠㄧˋ,,ootshobi,oochhobi,ㆦㄘㄛㆠㄧ,,otb,ocb,ㆦㄘㆠ,,True,False
烏胡椒,oo-hôo-tsio,16,o͘-hô͘-chio,oo1hoo5tsio1,oo1hoo5chio1,ㆦㄏㆦˊㄐㄧㄛ,,oohootsio,oohoochio,ㆦㄏㆦㄐㄧㄛ,,oht,ohc,ㆦㄏㄐ,,True,False
