tl,hanzi,drop_reason
a-ḿ,阿姆,duplicate
a-ḿ,阿姆,duplicate
ám-muâi,,duplicate
ám-phīnn-ko,,duplicate
àm,暗,duplicate
àm,暗,duplicate
àm,暗,duplicate
àm-huann-hí,暗歡喜,duplicate
àm-huann-hí,暗歡喜,duplicate
àm-bîn-bong,暗眠摸,duplicate
àm-bîn-bong,暗眠摸,duplicate
àm-bîn-bong,暗眠摸,duplicate
àm-bo̍k-bo̍k,暗漠漠,duplicate
àm-bo̍k-bo̍k,暗漠漠,duplicate
àm-bo̍k-bo̍k,暗漠漠,duplicate
àm-bong-bong,暗摸摸,duplicate
àm-bong-sa,暗摸捎,duplicate
àm-bong-sa,暗摸捎,duplicate
àm-bôo,暗謀,duplicate
àm-tsa,暗查,duplicate
àm-tsàu,暗奏,duplicate
àm-tshia,暗車,duplicate
àm-tshǹg,暗串,duplicate
àm-tsìnn,暗箭,duplicate
àm-tsīnn,暗靜,duplicate
àm-tsīnn,暗靜,duplicate
àm-tsīnn,暗靜,duplicate
àm-tsīnn,暗靜,duplicate
àm-tsīnn,暗靜,duplicate
àm-tsiuh-tsiuh,,duplicate
àm-hīng,暗行,duplicate
àm-hīng,暗行,duplicate
àm-hō,暗號,duplicate
àm-hō,暗號,duplicate
àm-ho̍k,暗伏,duplicate
àm-ho̍k,暗伏,duplicate
àm-hûn,暗痕,duplicate
àm-hūn,暗分,duplicate
àm-iánn,暗影,duplicate
àm-iánn,暗影,duplicate
àm-iánn,暗影,duplicate
àm-iánn,暗影,duplicate
àm-kàng,暗槓,duplicate
àm-kau,暗溝,duplicate
àm-kau,暗溝,duplicate
àm-kau,暗溝,duplicate
àm-king,暗間,duplicate
àm-khàm,,duplicate
àm-khàm,,duplicate
àm-khàm,,duplicate
àm-khàm,,duplicate
àm-khang-á,暗空仔,duplicate
àm-khǹg,,duplicate
àm-kì,暗記,duplicate
àm-kong-tsiáu,暗光鳥,duplicate
àm-kong-tsiáu,暗光鳥,duplicate
àm-kong-tsiáu,暗光鳥,duplicate
àm-kong-tsiáu,暗光鳥,duplicate
àm-kóo,暗股,duplicate
àm-kuí,暗鬼,duplicate
àm-kuí,暗鬼,duplicate
àm-lâm,暗藍,duplicate
àm-lâm,暗藍,duplicate
àm-lâu,暗流,duplicate
àm-lâu,暗流,duplicate
àm-lâu,暗流,duplicate
àm-li̍k,暗綠,duplicate
àm-liām,暗唸,duplicate
àm-lōo,暗路,duplicate
àm-mê,暗暝,duplicate
àm-mê,暗暝,duplicate
àm-uànn-tsiáu,暗晏鳥,duplicate
àm-uànn-tsiáu,暗晏鳥,duplicate
àm-pan,暗班,duplicate
àm-pâng,暗房,duplicate
àm-pēnn,暗病,duplicate
àm-pōo,暗步,duplicate
àm-pōo,暗步,duplicate
àm-pōo,暗步,duplicate
àm-sàm,,duplicate
àm-sàm,,duplicate
àm-sàm,,duplicate
àm-sàm-pēnn,,duplicate
àm-sàm-pēnn,,duplicate
àm-sàm-pēnn,,duplicate
àm-sî,暗時,duplicate
àm-sî,暗時,duplicate
àm-sî,暗時,duplicate
àm-sô-sô,,duplicate
àm-sóng,暗爽,duplicate
àm-sóng,暗爽,duplicate
àm-so-so,,duplicate
àm-thâu,暗頭,duplicate
àm-thâu-á,暗頭仔,duplicate
àm-thâu-á,暗頭仔,duplicate
àm-thâu-á,暗頭仔,duplicate
àm-thiòng,暗暢,duplicate
àm-tiâu,暗潮,duplicate
àm-tīnn,暗淀,duplicate
àm-tiong,暗中,duplicate
àm-tǹg,暗頓,duplicate
àm-tǹg,暗頓,duplicate
àm-to̍k,暗毒,duplicate
