tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
suah-kio̍k,息局,25,soah-kio̍k,suahkiok8,soahkiok8,suahkiok,soahkiok,sk,sk
suah-kang,息工,25,soah-kang,suahkang,soahkang,suahkang,soahkang,sk,sk
suah-āu,息後,25,soah-āu,suahau7,soahau7,suahau,soahau,sa,sa
suah-suah,息息,25,soah-soah,suahsuah,soahsoah,suahsuah,soahsoah,ss,ss
suah-hì,息戲,25,soah-hì,suahhi3,soahhi3,suahhi,soahhi,sh,sh
suah-muí,息晚,25,soah-múi,suahmui2,soahmui2,suahmui,soahmui,sm,sm
suah-tsu,息書,25,soah-chu,suahtsu,soahchu,suahtsu,soahchu,st,sc
suah-toh,息桌,25,soah-toh,suahtoh,soahtoh,suahtoh,soahtoh,st,st
suah-tsīnn,息靜,25,soah-chīⁿ,suahtsinn7,soahchinn7,suahtsinn,soahchinn,st,sc
suah-pn̄g,息飯,25,soah-pn̄g,suahpng7,soahpng7,suahpng,soahpng,sp,sp
sok-hiunn,息香,25,sok-hiuⁿ,sokhiunn,sokhiunn,sokhiunn,sokhiunn,sh,sh
suah-kóo,息鼓,25,soah-kó͘,suahkoo2,soahkoo2,suahkoo,soahkoo,sk,sk
khap-sū,恰似,25,khap-sū,khapsu7,khapsu7,khapsu,khapsu,ks,ks
khap-tshiat,恰切,25,khap-chhiat,khaptshiat,khapchhiat,khaptshiat,khapchhiat,kt,kc
khap-ha̍p,恰合,25,khap-ha̍p,khaphap8,khaphap8,khaphap,khaphap,kh,kh
tsiauh-tsiauh,悄悄,25,chiauh-chiauh,tsiauhtsiauh,chiauhchiauh,tsiauhtsiauh,chiauhchiauh,tt,cc
ia̍t-sim,悅心,25,ia̍t-sim,iat8sim,iat8sim,iatsim,iatsim,is,is
ia̍t-ho̍k,悅服,25,ia̍t-ho̍k,iat8hok8,iat8hok8,iathok,iathok,ih,ih
