hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,stti,is_variant
春節,tshun-tseh,25,chhun-cheh,tshun1tseh4,chhun1cheh4,ㄘㄨㄣㄗㆤㆷ,tshuntseh,chhuncheh,ㄘㄨㄣㄗㆤㆷ,tt,cc,ㄘㄗ,True,False
春聯,tshun-liân,25,chhun-liân,tshun1lian5,chhun1lian5,ㄘㄨㄣㄌㄧㄢˊ,tshunlian,chhunlian,ㄘㄨㄣㄌㄧㄢ,tl,cl,ㄘㄌ,True,False
時刻,sî-khik,25,sî-khek,si5khik4,si5khek4,ㄒㄧˊㄎㄧㆻ,sikhik,sikhek,ㄒㄧㄎㄧㆻ,sk,sk,ㄒㄎ,True,False
時數,sî-sòo,25,sî-sò͘,si5soo3,si5soo3,ㄒㄧˊㄙㆦ˪,sisoo,sisoo,ㄒㄧㄙㆦ,ss,ss,ㄒㄙ,True,False
時速,sî-sok,25,sî-sok,si5sok4,si5sok4,ㄒㄧˊㄙㆦㆻ,sisok,sisok,ㄒㄧㄙㆦㆻ,ss,ss,ㄒㄙ,True,False
時針,sî-tsiam,25,sî-chiam,si5tsiam1,si5chiam1,ㄒㄧˊㄐㄧㆰ,sitsiam,sichiam,ㄒㄧㄐㄧㆰ,st,sc,ㄒㄐ,True,False
普渡,póo-tōo,25,pó͘-tō͘,poo2too7,poo2too7,ㄅㆦˋㄉㆦ˫,pootoo,pootoo,ㄅㆦㄉㆦ,pt,pt,ㄅㄉ,True,False
暖化,luán-huà,25,loán-hòa,luan2hua3,loan2hoa3,ㄌㄨㄢˋㄏㄨㄚ˪,luanhua,loanhoa,ㄌㄨㄢㄏㄨㄚ,lh,lh,ㄌㄏ,True,False
暖鋒,luán-hong,25,loán-hong,luan2hong1,loan2hong1,ㄌㄨㄢˋㄏㆲ,luanhong,loanhong,ㄌㄨㄢㄏㆲ,lh,lh,ㄌㄏ,True,False
暗唸,àm-liām,25,àm-liām,am3liam7,am3liam7,ㆰ˪ㄌㄧㆰ˫,amliam,amliam,ㆰㄌㄧㆰ,al,al,ㆰㄌ,True,False
暗喻,àm-jū,25,àm-jū,am3ju7,am3ju7,ㆰ˪ㆡㄨ˫,amju,amju,ㆰㆡㄨ,aj,aj,ㆰㆡ,True,False
曆日,la̍h-ji̍t,25,la̍h-ji̍t,lah8jit8,lah8jit8,ㄌㄚㆷ̇ㆢㄧㆵ̇,lahjit,lahjit,ㄌㄚㆷㆢㄧㆵ,lj,lj,ㄌㆢ,True,False
曆法,li̍k-huat,25,le̍k-hoat,lik8huat4,lek8hoat4,ㄌㄧㆻ̇ㄏㄨㄚㆵ,likhuat,lekhoat,ㄌㄧㆻㄏㄨㄚㆵ,lh,lh,ㄌㄏ,True,False
曲式,khik-sik,25,khek-sek,khik4sik4,khek4sek4,ㄎㄧㆻㄒㄧㆻ,khiksik,kheksek,ㄎㄧㆻㄒㄧㆻ,ks,ks,ㄎㄒ,True,False
曲流,khiok-lâu,25,khiok-lâu,khiok4lau5,khiok4lau5,ㄎㄧㆦㆻㄌㄠˊ,khioklau,khioklau,ㄎㄧㆦㆻㄌㄠ,kl,kl,ㄎㄌ,True,False
曲目,khik-bo̍k,25,khek-bo̍k,khik4bok8,khek4bok8,ㄎㄧㆻㆠㆦㆻ̇,khikbok,khekbok,ㄎㄧㆻㆠㆦㆻ,kb,kb,ㄎㆠ,True,False
曲線,khiok-suànn,25,khiok-sòaⁿ,khiok4suann3,khiok4soann3,ㄎㄧㆦㆻㄙㄨㆩ˪,khioksuann,khioksoann,ㄎㄧㆦㆻㄙㄨㆩ,ks,ks,ㄎㄙ,True,False
曲調,khik-tiāu,25,khek-tiāu,khik4tiau7,khek4tiau7,ㄎㄧㆻㄉㄧㄠ˫,khiktiau,khektiau,ㄎㄧㆻㄉㄧㄠ,kt,kt,ㄎㄉ,True,False
曲譜,khik-phóo,25,khek-phó͘,khik4phoo2,khek4phoo2,ㄎㄧㆻㄆㆦˋ,khikphoo,khekphoo,ㄎㄧㆻㄆㆦ,kp,kp,ㄎㄆ,True,False
曲風,khik-hong,25,khek-hong,khik4hong1,khek4hong1,ㄎㄧㆻㄏㆲ,khikhong,khekhong,ㄎㄧㆻㄏㆲ,kh,kh,ㄎㄏ,True,False
書櫥,tsu-tû,25,chu-tû,tsu1tu5,chu1tu5,ㄗㄨㄉㄨˊ,tsutu,chutu,ㄗㄨㄉㄨ,tt,ct,ㄗㄉ,True,False
書法,su-huat,25,su-hoat,su1huat4,su1hoat4,ㄙㄨㄏㄨㄚㆵ,suhuat,suhoat,ㄙㄨㄏㄨㄚㆵ,sh,sh,ㄙㄏ,True,False
書聖,su-sìng,25,su-sèng,su1sing3,su1seng3,ㄙㄨㄒㄧㄥ˪,susing,suseng,ㄙㄨㄒㄧㄥ,ss,ss,ㄙㄒ,True,False
書評,su-phîng,25,su-phêng,su1phing5,su1pheng5,ㄙㄨㄆㄧㄥˊ,suphing,supheng,ㄙㄨㄆㄧㄥ,sp,sp,ㄙㄆ,True,False
會意,huē-ì,25,hōe-ì,hue7i3,hoe7i3,ㄏㄨㆤ˫ㄧ˪,huei,hoei,ㄏㄨㆤㄧ,hi,hi,ㄏㄧ,True,False
月事,gu̍eh-sū,25,goe̍h-sū,gueh8su7,goeh8su7,ㆣㄨㆤㆷ̇ㄙㄨ˫,guehsu,goehsu,ㆣㄨㆤㆷㄙㄨ,gs,gs,ㆣㄙ,True,False
月形,gue̍h-hîng,25,goe̍h-hêng,gueh8hing5,goeh8heng5,ㆣㄨㆤㆷ̇ㄏㄧㄥˊ,guehhing,goehheng,ㆣㄨㆤㆷㄏㄧㄥ,gh,gh,ㆣㄏ,True,False
月球,gue̍h-kiû,25,goe̍h-kiû,gueh8kiu5,goeh8kiu5,ㆣㄨㆤㆷ̇ㄍㄧㄨˊ,guehkiu,goehkiu,ㆣㄨㆤㆷㄍㄧㄨ,gk,gk,ㆣㄍ,True,False
月琴,gue̍h-khîm,25,goe̍h-khîm,gueh8khim5,goeh8khim5,ㆣㄨㆤㆷ̇ㄎㄧㆬˊ,guehkhim,goehkhim,ㆣㄨㆤㆷㄎㄧㆬ,gk,gk,ㆣㄎ,True,False
月相,gue̍h-siòng,25,goe̍h-siòng,gueh8siong3,goeh8siong3,ㆣㄨㆤㆷ̇ㄒㄧㆲ˪,guehsiong,goehsiong,ㆣㄨㆤㆷㄒㄧㆲ,gs,gs,ㆣㄒ,True,False
月經,gu̍eh-king,25,goe̍h-keng,gueh8king1,goeh8keng1,ㆣㄨㆤㆷ̇ㄍㄧㄥ,guehking,goehkeng,ㆣㄨㆤㆷㄍㄧㄥ,gk,gk,ㆣㄍ,True,False
服飾,ho̍k-sik,25,ho̍k-sek,hok8sik4,hok8sek4,ㄏㆦㆻ̇ㄒㄧㆻ,hoksik,hoksek,ㄏㆦㆻㄒㄧㆻ,hs,hs,ㄏㄒ,True,False
朝露,tiau-lōo,25,tiau-lō͘,tiau1loo7,tiau1loo7,ㄉㄧㄠㄌㆦ˫,tiauloo,tiauloo,ㄉㄧㄠㄌㆦ,tl,tl,ㄉㄌ,True,False
木匠,ba̍k-tshiūnn,25,ba̍k-chhiūⁿ,bak8tshiunn7,bak8chhiunn7,ㆠㄚㆻ̇ㄑㄧㆫ˫,baktshiunn,bakchhiunn,ㆠㄚㆻㄑㄧㆫ,bt,bc,ㆠㄑ,True,False
木琴,bo̍k-khîm,25,bo̍k-khîm,bok8khim5,bok8khim5,ㆠㆦㆻ̇ㄎㄧㆬˊ,bokkhim,bokkhim,ㆠㆦㆻㄎㄧㆬ,bk,bk,ㆠㄎ,True,False
木管,bo̍k-kuán,25,bo̍k-koán,bok8kuan2,bok8koan2,ㆠㆦㆻ̇ㄍㄨㄢˋ,bokkuan,bokkoan,ㆠㆦㆻㄍㄨㄢ,bk,bk,ㆠㄍ,True,False
本壘,pún-luí,25,pún-lúi,pun2lui2,pun2lui2,ㄅㄨㄣˋㄌㄨㄧˋ,punlui,punlui,ㄅㄨㄣㄌㄨㄧ,pl,pl,ㄅㄌ,True,False
本葉,pún-hio̍h,25,pún-hio̍h,pun2hioh8,pun2hioh8,ㄅㄨㄣˋㄏㄧㄛㆷ̇,punhioh,punhioh,ㄅㄨㄣㄏㄧㄛㆷ,ph,ph,ㄅㄏ,True,False
材質,tsâi-tsit,25,châi-chit,tsai5tsit4,chai5chit4,ㄗㄞˊㄐㄧㆵ,tsaitsit,chaichit,ㄗㄞㄐㄧㆵ,tt,cc,ㄗㄐ,True,False
東經,tang-king,25,tang-keng,tang1king1,tang1keng1,ㄉㄤㄍㄧㄥ,tangking,tangkeng,ㄉㄤㄍㄧㄥ,tk,tk,ㄉㄍ,True,False
板嘹,pán-liâu,25,pán-liâu,pan2liau5,pan2liau5,ㄅㄢˋㄌㄧㄠˊ,panliau,panliau,ㄅㄢㄌㄧㄠ,pl,pl,ㄅㄌ,True,False
枝葉,ki-hio̍h,25,ki-hio̍h,ki1hioh8,ki1hioh8,ㄍㄧㄏㄧㄛㆷ̇,kihioh,kihioh,ㄍㄧㄏㄧㄛㆷ,kh,kh,ㄍㄏ,True,False
架構,kà-kòo,25,kà-kò͘,ka3koo3,ka3koo3,ㄍㄚ˪ㄍㆦ˪,kakoo,kakoo,ㄍㄚㄍㆦ,kk,kk,ㄍㄍ,True,False
染布,ní-pòo,25,ní-pò͘,ni2poo3,ni2poo3,ㄋㄧˋㄅㆦ˪,nipoo,nipoo,ㄋㄧㄅㆦ,np,np,ㄋㄅ,True,True
柔道,jiû-tō,25,jiû-tō,jiu5to7,jiu5to7,ㆢㄧㄨˊㄉㄛ˫,jiuto,jiuto,ㆢㄧㄨㄉㄛ,jt,jt,ㆢㄉ,True,False
柝仔,kho̍k-á,25,kho̍k-á,khok8a2,khok8a2,ㄎㆦㆻ̇ㄚˋ,khoka,khoka,ㄎㆦㆻㄚ,ka,ka,ㄎㄚ,True,False
查讀,tshâ-tha̍k,25,chhâ-tha̍k,tsha5thak8,chha5thak8,ㄘㄚˊㄊㄚㆻ̇,tshathak,chhathak,ㄘㄚㄊㄚㆻ,tt,ct,ㄘㄊ,True,False
柱懸,thiāu-kuân,25,thiāu-koân,thiau7kuan5,thiau7koan5,ㄊㄧㄠ˫ㄍㄨㄢˊ,thiaukuan,thiaukoan,ㄊㄧㄠㄍㄨㄢ,tk,tk,ㄊㄍ,True,False
柱薯,thiāu-tsî,25,thiāu-chî,thiau7tsi5,thiau7chi5,ㄊㄧㄠ˫ㄐㄧˊ,thiautsi,thiauchi,ㄊㄧㄠㄐㄧ,tt,tc,ㄊㄐ,True,False
柳琴,liú-khîm,25,liú-khîm,liu2khim5,liu2khim5,ㄌㄧㄨˋㄎㄧㆬˊ,liukhim,liukhim,ㄌㄧㄨㄎㄧㆬ,lk,lk,ㄌㄎ,True,False
校園,hāu-hn̂g,25,hāu-hn̂g,hau7hng5,hau7hng5,ㄏㄠ˫ㄏㆭˊ,hauhng,hauhng,ㄏㄠㄏㆭ,hh,hh,ㄏㄏ,True,False
校隊,hāu-tuī,25,hāu-tūi,hau7tui7,hau7tui7,ㄏㄠ˫ㄉㄨㄧ˫,hautui,hautui,ㄏㄠㄉㄨㄧ,ht,ht,ㄏㄉ,True,False
