hanzi,tl
岨,tshir
岨,tshu
岨,tsǐr
岨,tsīr
岨,tsū
苴,tshir
苴,tsir
砠,tshir
砠,tshu
坥,tshir
坥,tshu
伹,tshir
伹,tshu
狙,tshir
狙,tshu
雎,tshir
雎,tshu
鴡,tshir
鴡,tshu
趄,tshir
跙,tshir
跙,tshu
耝,tshìr
耝,tshù
刞,tshìr
刞,tshù
沮,tsir
沮,tsǐr
沮,tsīr
沮,tsū
沮,tsìr
沮,tsù
菹,tsir
齟,tsǐr
齟,tsīr
齟,tsū
咀,tsǐr
咀,tsīr
咀,tsū
怚,tsìr
怚,tsù
怚,tsǐr
怚,tsīr
怚,tsū
袓,tsǐr
袓,tsīr
諸,tsir
陼,tsír
渚,tsír
鯺,tsir
鯺,tsu
翥,tsìr
翥,tsù
煑,tsír
煑,tsú
蝫,tsir
蠩,tsir
蠩,tsu
藷,tsir
藷,tsîr
藷,tsû
櫧,tsir
事,tsìr
事,tsù
剚,tsìr
倳,tsìr
甾,tsir
菑,tsir
葘,tsir
葘,tsu
緇,tsir
淄,tsir
椔,tsir
鶅,tsir
鶅,tsu
𨿴,tsir
𨿴,tsu
輜,tsir
輺,tsir
輺,tsu
錙,tsir
鍿,tsir
鍿,tsu
鯔,tsir
齊,tsir
齊,tsu
薺,tsîr
薺,tsû
齍,tsir
齎,tsir
齎,tsu
亝,tsir
亝,tsu
亝,tserê
亝,tsuê
亝,tsê
亝,tsai
胾,tsìr
胏,tsír
胏,tsú
滓,tsír
榟,tsír
榟,tsú
梓,tsír
鋅,tsír
鋅,sin
孜,tsir
釨,tsír
釨,tsú
杍,tsír
杍,tsú
仔,tsír
仔,tsir
仔,tsu
籽,tsír
芓,tsīr
芓,tsū
芓,tsír
耔,tsír
矷,tsír
矷,tsú
吇,tsír
吇,tsú
虸,tsír
虸,tsú
孖,tsir
字,tsīr
牸,tsīr
牸,tsū
牸,lū
玆,tsir
玆,tsu
玆,tsîr
玆,tsû
茲,tsir
茲,tsîr
茲,tsû
滋,tsir
磁,tsîr
嬨,tsîr
孶,tsir
孶,tsu
孳,tsir
鷀,tsîr
鶿,tsîr
鰦,tsir
濨,tsîr
濨,tsû
鎡,tsir
稵,tsir
稵,tsu
禌,tsir
禌,tsu
糍,tsîr
嗞,tsir
嗞,tsu
嵫,tsir
甆,tsîr
甆,tsû
珁,tsîr
珁,tsû
瓷,tsîr
姿,tsir
恣,tsìr
垐,tsîr
垐,tsû
咨,tsir
諮,tsir
資,tsir
澬,tsir
澬,tsîr
澬,tsû
薋,tsîr
薋,tsû
茨,tsir
茨,tsîr
栥,tsir
栥,tsu
粢,tsir
秶,tsir
秶,tsu
餈,tsîr
飺,tsîr
飺,tsû
觜,tsir
觜,tsu
紫,tsír
姕,tsir
姕,tsu
貲,tsir
貲,tsu
胔,tsìr
骴,tsìr
齜,tsir
茈,tsír
茈,tsú
髭,tsir
頾,tsir
頾,tsu
頿,tsir
頿,tsu
啙,tsír
啙,tsú
呰,tsír
呲,tsîr
呲,tsû
㖢,tsîr
㖢,tsû
鴜,tsir
鴜,tsu
鴜,tsîr
鴜,tsû
鄑,tsir
鄑,tsu
漬,tsìr
漬,tsirh
漬,tsuh
劯,tsir
劯,tsu
睢,tsir
鼒,tsir
鼒,tsu
堲,tsîr
堲,tsû
籍,tsìr
籍,tsù
籍,tsi̍p
芝,tsir
芝,tsu
紎,tsir
紎,tsu
允,írn
尹,írn
隱,írn
乚,írn
乚,ún
殷,irn
慇,irn
溵,irn
溵,un
蒑,irn
蒑,un
蒽,irn
蒽,un
煾,irn
釿,gîrn
釿,gûn
斦,gîrn
斦,gûn
峾,gîrn
峾,gûn
听,gírn
听,gún
圻,gîrn
圻,gûn
