tl,hanzi,frequency,poj
tsio̍h-tshîng,石松,25,chio̍h-chhêng
tsio̍h-lîng,石柃,25,chio̍h-lêng
tsio̍h-liú,石柳,25,chio̍h-liú
sia̍h-liû,石榴,25,sia̍h-liû
tsio̍h-tsu,石櫧,25,chio̍h-chu
tsio̍h-siap,石澁,25,chio̍h-siap
tsio̍h-tik,石竹,25,chio̍h-tek
tsio̍h-tsû,石薯,25,chio̍h-chû
bé-tsî,碼薯,25,bé-chî
bō-tsháu,磨草,25,bō-chháu
kî-gāi,祈艾,25,kî-gāi
siù-ing,秀英,25,siù-eng
tshiu-lân,秋蘭,25,chhiu-lân
tiû-á,稠仔,25,tiû-á
tsang-bo̍k,稯木,25,chang-bo̍k
tik-peh,竹柏,25,tek-peh
tsìnn-tik,箭竹,25,chìⁿ-tek
bí-tāu,米豆,25,bí-tāu
hun-tsio,粉蕉,25,hun-chio
phoh-á,粕仔,25,phoh-á
kôo-thu,糊樗,25,kô͘-thu
khong-lông,糠榔,25,khong-lông
âng-sam,紅杉,25,âng-sam
âng-kam,紅柑,25,âng-kam
âng-tshâ,紅柴,25,âng-chhâ
âng-tsó,紅棗,25,âng-chó
âng-tām,紅淡,25,âng-tām
âng-tsu,紅珠,25,âng-chu
âng-phê,紅皮,25,âng-phê
âng-tik,紅竹,25,âng-tek
âng-phiô,紅萍,25,âng-phiô
sò-sim,素心,25,sò-sim
sòo-hiunn,素香,25,sò͘-hiuⁿ
tsú-tuânn,紫檀,25,chú-tôaⁿ
sè-sin,細辛,25,sè-sin
si-kue,絲瓜,25,si-koe
li̍k-tsiunn,綠樟,25,le̍k-chiuⁿ
lik-tik,綠竹,25,lek-tek
eng-be̍h,罌麥,25,eng-be̍h
iûnn-tāu,羊豆,25,iûⁿ-tāu
bah-tāu,肉豆,25,bah-tāu
siau-lâm,肖楠,25,siau-lâm
ho-tsio,胡椒,25,ho-chio
la̍h-tshì,臘刺,25,la̍h-chhì
tshàu-hīng,臭杏,25,chhàu-hēng
tshàu-tsiunn,臭樟,25,chhàu-chiuⁿ
tshàu-kue,臭瓜,25,chhàu-koe
tsi-muâ,芝麻,25,chi-môa
hue-tshó,花草,25,hoe-chhó
khóo-thu,苦株,25,khó͘-thu
khóo-līng,苦楝,25,khó͘-lēng
khóo-tê,苦茶,25,khó͘-tê
khóo-muâ,苦麻,25,khó͘-môa
thú-muâ,苧麻,25,thú-môa
bak-nī,茉莉,25,bak-nī
huê-hiunn,茴香,25,hôe-hiuⁿ
tê-muî,茶梅,25,tê-mûi
tê-lân,茶蘭,25,tê-lân
tang-o,茼萵,25,tang-o
tsháu-se,草紗,25,chháu-se
hò-siū,荷樹,25,hò-siū
kuann-bâng,菅芒,25,koaⁿ-bâng
kak-hue,菊花,25,kak-hoe
tshong-pô,菖蒲,25,chhong-pô
tshài-hue,菜花,25,chhài-hoe
tshài-tāu,菜豆,25,chhài-tāu
lâi-ho̍k,萊菔,25,lâi-ho̍k
suan-á,萱仔,25,soan-á
pián-thiok,萹蓄,25,pián-thiok
kuah-tsû,葛薯,25,koah-chû
kuah-tîn,葛藤,25,koah-tîn
pôo-kuî,蒲葵,25,pô͘-kûi
tsi̍t-lê,蒺藜,25,chi̍t-lê
tshio̍h-tsháu,蓆草,25,chhio̍h-chháu
pi-muâ,蓖麻,25,pi-môa
thong-tshó,蓪草,25,thong-chhó
lô-tîn,蔞藤,25,lô-tîn
muâ-á,蔴仔,25,môa-á
muâ-tik,蔴竹,25,môa-tek
tshì-muî,蕀梅,25,chhì-mûi
huan-kam,蕃柑,25,hoan-kam
huan-hue,蕃花,25,hoan-hoe
huan-tshinn,蕃菁,25,hoan-chhiⁿ
huan-kiunn,蕃薑,25,hoan-kiuⁿ
huan-be̍h,蕃麥,25,hoan-be̍h
huan-sué,蕃黍,25,hoan-sóe
kiô-be̍h,蕎麥,25,kiô-be̍h
lōo-tîn,蕗藤,25,lō͘-tîn
keh-niau,蕨猫,25,keh-niau
po̍h-phê,薄皮,25,po̍h-phê
po̍h-ho,薄荷,25,po̍h-ho
kiunn-n̂g,薑黃,25,kiuⁿ-n̂g
tsû-táu,薯斗,25,chû-táu
tsû-tāu,薯豆,25,chû-tāu
tîn-tsû,藤薯,25,tîn-chû
io̍h-hóo,藥虎,25,io̍h-hó͘
lōo-sué,蘆黍,25,lō͘-sóe
soo-bo̍k,蘇木,25,so͘-bo̍k
soo-thih,蘇鐵,25,so͘-thih
pîn-pô,蘋婆,25,pîn-pô
hóo-tshì,虎刺,25,hó͘-chhì
tsuâ-pô,蛇婆,25,chôa-pô
tsuâ-pho,蛇波,25,chôa-pho
bit-iū,蜜柚,25,bit-iū
