tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tshiam-kí,僉舉,25,chhiam-kí,tshiamki2,chhiamki2,tshiamki,chhiamki
tshuân-piān,僎便,25,chhoân-piān,tshuan5pian7,chhoan5pian7,tshuanpian,chhoanpian
tshuân-liāu,僎料,25,chhoân-liāu,tshuan5liau7,chhoan5liau7,tshuanliau,chhoanliau
tshuân-pān,僎辦,25,chhoân-pān,tshuan5pan7,chhoan5pan7,tshuanpan,chhoanpan
siâng-ûn,像勻,25,siâng-ûn,siang5un5,siang5un5,siangun,siangun
siâng-nî,像年,25,siâng-nî,siang5ni5,siang5ni5,siangni,siangni
siāng-sim,像心,25,siāng-sim,siang7sim,siang7sim,siangsim,siangsim
siâng-kuah,像括,25,siâng-koah,siang5kuah,siang5koah,siangkuah,siangkoah
siâng-sī,像是,25,siâng-sī,siang5si7,siang5si7,siangsi,siangsi
siâng-sî,像時,25,siâng-sî,siang5si5,siang5si5,siangsi,siangsi
siâng-thiāu,像柱,25,siâng-thiāu,siang5thiau7,siang5thiau7,siangthiau,siangthiau
siāng-iūnn,像樣,25,siāng-iūⁿ,siang7iunn7,siang7iunn7,siangiunn,siangiunn
siāng-khuán,像款,25,siāng-khoán,siang7khuan2,siang7khoan2,siangkhuan,siangkhoan
tshiūnn-khuán,像款,25,chhiūⁿ-khoán,tshiunn7khuan2,chhiunn7khoan2,tshiunnkhuan,chhiunnkhoan
siâng-huè,像歲,25,siâng-hòe,siang5hue3,siang5hoe3,sianghue,sianghoe
siâng-pan,像班,25,siâng-pan,siang5pan,siang5pan,siangpan,siangpan
siâng-phâng,像篷,25,siâng-phâng,siang5phang5,siang5phang5,siangphang,siangphang
siâng-pak,像腹,25,siâng-pak,siang5pak,siang5pak,siangpak,siangpak
siâng-hâng,像行,25,siâng-hâng,siang5hang5,siang5hang5,sianghang,sianghang
siâng-lōo,像路,25,siâng-lō͘,siang5loo7,siang5loo7,siangloo,siangloo
siâng-puè,像輩,25,siâng-pòe,siang5pue3,siang5poe3,siangpue,siangpoe
siâng-tôo,像途,25,siâng-tô͘,siang5too5,siang5too5,siangtoo,siangtoo
kiâu-bū,僑務,25,kiâu-bū,kiau5bu7,kiau5bu7,kiaubu,kiaubu
kiâu-thuân,僑團,25,kiâu-thoân,kiau5thuan5,kiau5thoan5,kiauthuan,kiauthoan
kiâu-ki,僑居,25,kiâu-ki,kiau5ki,kiau5ki,kiauki,kiauki
kiâu-bîn,僑民,25,kiâu-bîn,kiau5bin5,kiau5bin5,kiaubin,kiaubin
kiâu-sing,僑生,25,kiâu-seng,kiau5sing,kiau5seng,kiausing,kiauseng
kiâu-kài,僑界,25,kiâu-kài,kiau5kai3,kiau5kai3,kiaukai,kiaukai
kiâu-pau,僑胞,25,kiâu-pau,kiau5pau,kiau5pau,kiaupau,kiaupau
liâu-lô,僚儸,25,liâu-lô,liau5lo5,liau5lo5,liaulo,liaulo
hiau-hīng,僥倖,25,hiau-hēng,hiauhing7,hiauheng7,hiauhing,hiauheng
hiâu-hīng,僥倖,25,hiâu-hēng,hiau5hing7,hiau5heng7,hiauhing,hiauheng
hiau-huán,僥反,25,hiau-hoán,hiauhuan2,hiauhoan2,hiauhuan,hiauhoan
giâu-sim,僥心,25,giâu-sim,giau5sim,giau5sim,giausim,giausim
hiau-sim,僥心,25,hiau-sim,hiausim,hiausim,hiausim,hiausim
hiau-puē,僥背,25,hiau-pōe,hiaupue7,hiaupoe7,hiaupue,hiaupoe
hiau-than,僥蟶,25,hiau-than,hiauthan,hiauthan,hiauthan,hiauthan
hiau-hū,僥負,25,hiau-hū,hiauhu7,hiauhu7,hiauhu,hiauhu
tsing-ka,僧伽,25,cheng-ka,tsingka,chengka,tsingka,chengka
tsing-lī,僧侶,25,cheng-lī,tsingli7,chengli7,tsingli,chengli
tsiâu-ûn,僬勻,25,chiâu-ûn,tsiau5un5,chiau5un5,tsiauun,chiauun
tsiâu-tio̍h,僬著,25,chiâu-tio̍h,tsiau5tioh8,chiau5tioh8,tsiautioh,chiautioh
tsiàm-uī,僭位,25,chiàm-ūi,tsiam3ui7,chiam3ui7,tsiamui,chiamui
tshiàm-hūn,僭分,25,chhiàm-hūn,tshiam3hun7,chhiam3hun7,tshiamhun,chhiamhun
tshiàm-kong,僭功,25,chhiàm-kong,tshiam3kong,chhiam3kong,tshiamkong,chhiamkong
tsiàm-tuā,僭大,25,chiàm-tōa,tsiam3tua7,chiam3toa7,tsiamtua,chiamtoa
tsiàm-khuân,僭權,25,chiàm-khoân,tsiam3khuan5,chiam3khoan5,tsiamkhuan,chiamkhoan
tsiàm-suah,僭煞,25,chiàm-soah,tsiam3suah,chiam3soah,tsiamsuah,chiamsoah
tsiàm-uē,僭話,25,chiàm-ōe,tsiam3ue7,chiam3oe7,tsiamue,chiamoe
tshiàm-ua̍t,僭越,25,chhiàm-oa̍t,tshiam3uat8,chhiam3oat8,tshiamuat,chhiamoat
tsiàm-khui,僭開,25,chiàm-khui,tsiam3khui,chiam3khui,tsiamkhui,chiamkhui
tshiàm-tuī,僭隊,25,chhiàm-tūi,tshiam3tui7,chhiam3tui7,tshiamtui,chhiamtui
kòo-tsú,僱主,25,kò͘-chú,koo3tsu2,koo3chu2,kootsu,koochu
kòo-uân,僱員,25,kò͘-oân,koo3uan5,koo3oan5,koouan,koooan
kòo-kang,僱工,25,kò͘-kang,koo3kang,koo3kang,kookang,kookang
kiong-huà,僵化,25,kiong-hòa,kionghua3,kionghoa3,kionghua,kionghoa
kiong-kio̍k,僵局,25,kiong-kio̍k,kiongkiok8,kiongkiok8,kiongkiok,kiongkiok
khiong-si,僵屍,25,khiong-si,khiongsi,khiongsi,khiongsi,khiongsi
kiong-si,僵屍,25,kiong-si,kiongsi,kiongsi,kiongsi,kiongsi
kiong-tshî,僵持,25,kiong-chhî,kiongtshi5,kiongchhi5,kiongtshi,kiongchhi
kè-uī,價位,25,kè-ūi,ke3ui7,ke3ui7,keui,keui
kè-ta̍t,價值,25,kè-ta̍t,ke3tat8,ke3tat8,ketat,ketat
kè-tsha,價差,25,kè-chha,ke3tsha,ke3chha,ketsha,kechha
kè-siàu,價數,25,kè-siàu,ke3siau3,ke3siau3,kesiau,kesiau
kè-kik,價格,25,kè-kek,ke3kik,ke3kek,kekik,kekek
kè-khuán,價款,25,kè-khoán,ke3khuan2,ke3khoan2,kekhuan,kekhoan
kè-bo̍k,價目,25,kè-bo̍k,ke3bok8,ke3bok8,kebok,kebok
kè-bé,價碼,25,kè-bé,ke3be2,ke3be2,kebe,kebe
kè-siann,價聲,25,kè-siaⁿ,ke3siann,ke3siann,kesiann,kesiann
kè-kha,價腳,25,kè-kha,ke3kha,ke3kha,kekha,kekha
kè-tsînn,價錢,25,kè-chîⁿ,ke3tsinn5,ke3chinn5,ketsinn,kechinn
phiah-siah,僻嗇,25,phiah-siah,phiahsiah,phiahsiah,phiahsiah,phiahsiah
phiah-tsìng,僻症,25,phiah-chèng,phiahtsing3,phiahcheng3,phiahtsing,phiahcheng
phiah-kak,僻角,25,phiah-kak,phiahkak,phiahkak,phiahkak,phiahkak
phiah-uē,僻話,25,phiah-ōe,phiahue7,phiahoe7,phiahue,phiahoe
phiah-hn̄g,僻遠,25,phiah-hn̄g,phiahhng7,phiahhng7,phiahhng,phiahhng
phiah-tsīng,僻靜,25,phiah-chēng,phiahtsing7,phiahcheng7,phiahtsing,phiahcheng
phik-tsīng,僻靜,25,phek-chēng,phiktsing7,phekcheng7,phiktsing,phekcheng
phiah-phīnn,僻鼻,25,phiah-phīⁿ,phiahphinn7,phiahphinn7,phiahphinn,phiahphinn
gî-khì,儀器,25,gî-khì,gi5khi3,gi5khi3,gikhi,gikhi
gī-khì,儀器,25,gī-khì,gi7khi3,gi7khi3,gikhi,gikhi
gî-iông,儀容,25,gî-iông,gi5iong5,gi5iong5,giiong,giiong
gî-sik,儀式,25,gî-sek,gi5sik,gi5sek,gisik,gisek
gī-sik,儀式,25,gī-sek,gi7sik,gi7sek,gisik,gisek
gî-thài,儀態,25,gî-thài,gi5thai3,gi5thai3,githai,githai
gî-piáu,儀表,25,gî-piáu,gi5piau2,gi5piau2,gipiau,gipiau
gî-tuī,儀隊,25,gî-tūi,gi5tui7,gi5tui7,gitui,gitui
