tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
tué-hē,底系,25,tóe-hē,tue2he7,toe2he7,tuehe,toehe,th,th,True
té-hē,底系,25,té-hē,te2he7,te2he7,tehe,tehe,th,th,True
tué-suè,底細,25,tóe-sòe,tue2sue3,toe2soe3,tuesue,toesoe,ts,ts,True
té-sè,底細,25,té-sè,te2se3,te2se3,tese,tese,ts,ts,True
tué-suànn,底線,25,tóe-sòaⁿ,tue2suann3,toe2soann3,tuesuann,toesoann,ts,ts,True
té-suànn,底線,25,té-sòaⁿ,te2suann3,te2soann3,tesuann,tesoann,ts,ts,True
tué-tì,底蒂,25,tóe-tì,tue2ti3,toe2ti3,tueti,toeti,tt,tt,True
té-tì,底蒂,25,té-tì,te2ti3,te2ti3,teti,teti,tt,tt,True
tué-sin,底薪,25,tóe-sin,tue2sin,toe2sin,tuesin,toesin,ts,ts,True
té-sin,底薪,25,té-sin,te2sin,te2sin,tesin,tesin,ts,ts,True
tué-pōo,底部,25,tóe-pō͘,tue2poo7,toe2poo7,tuepoo,toepoo,tp,tp,True
té-pōo,底部,25,té-pō͘,te2poo7,te2poo7,tepoo,tepoo,tp,tp,True
tiàm-tsú,店主,25,tiàm-chú,tiam3tsu2,tiam3chu2,tiamtsu,tiamchu,tt,tc,True
tiàm-á,店仔,25,tiàm-á,tiam3a2,tiam3a2,tiama,tiama,ta,ta,True
tiàm-guân,店員,25,tiàm-goân,tiam3guan5,tiam3goan5,tiamguan,tiamgoan,tg,tg,True
tiàm-uân,店員,25,tiàm-oân,tiam3uan5,tiam3oan5,tiamuan,tiamoan,tu,to,True
tiàm-hō,店號,25,tiàm-hō,tiam3ho7,tiam3ho7,tiamho,tiamho,th,th,True
tiàm-tiúnn,店長,25,tiàm-tiúⁿ,tiam3tiunn2,tiam3tiunn2,tiamtiunn,tiamtiunn,tt,tt,True
tiàm-bīn,店面,25,tiàm-bīn,tiam3bin7,tiam3bin7,tiambin,tiambin,tb,tb,True
tiàm-thâu,店頭,25,tiàm-thâu,tiam3thau5,tiam3thau5,tiamthau,tiamthau,tt,tt,True
hú-tiong,府中,25,hú-tiong,hu2tiong,hu2tiong,hutiong,hutiong,ht,ht,True
hú-siânn,府城,25,hú-siâⁿ,hu2siann5,hu2siann5,husiann,husiann,hs,hs,True
tōo-sòo,度數,25,tō͘-sò͘,too7soo3,too7soo3,toosoo,toosoo,ts,ts,True
tōo-tsè,度晬,25,tō͘-chè,too7tse3,too7che3,tootse,tooche,tt,tc,True
tōo-tsèr,度晬,25,tō͘-chèr,too7tser3,too7cher3,tootser,toocher,tt,tc,True
tǒo-tsèr,度晬,25,tǒ͘-chèr,too6tser3,too6cher3,tootser,toocher,tt,tc,True
tōo-kuè,度過,25,tō͘-kòe,too7kue3,too7koe3,tookue,tookoe,tk,tk,True
tōo-liōng,度量,25,tō͘-liōng,too7liong7,too7liong7,tooliong,tooliong,tl,tl,True
tōo-tsam,度針,25,tō͘-cham,too7tsam,too7cham,tootsam,toocham,tt,tc,True
tōo-tsiam,度針,25,tō͘-chiam,too7tsiam,too7chiam,tootsiam,toochiam,tt,tc,True
tǒo-tsam,度針,25,tǒ͘-cham,too6tsam,too6cham,tootsam,toocham,tt,tc,True
tsō-tâm,座談,25,chō-tâm,tso7tam5,cho7tam5,tsotam,chotam,tt,ct,True
khòo-tsûn,庫存,25,khò͘-chûn,khoo3tsun5,khoo3chun5,khootsun,khoochun,kt,kc,True
khòo-pâng,庫房,25,khò͘-pâng,khoo3pang5,khoo3pang5,khoopang,khoopang,kp,kp,True
khòo-gîn,庫銀,25,khò͘-gîn,khoo3gin5,khoo3gin5,khoogin,khoogin,kg,kg,True
khòo-gûn,庫銀,25,khò͘-gûn,khoo3gun5,khoo3gun5,khoogun,khoogun,kg,kg,True
khòo-tsînn,庫錢,25,khò͘-chîⁿ,khoo3tsinn5,khoo3chinn5,khootsinn,khoochinn,kt,kc,True
khong-kiān,康健,25,khong-kiān,khongkian7,khongkian7,khongkian,khongkian,kk,kk,True
khong-kiānn,康健,25,khong-kiāⁿ,khongkiann7,khongkiann7,khongkiann,khongkiann,kk,kk,True
khng-tionn,康張,25,khng-tioⁿ,khngtionn,khngtionn,khngtionn,khngtionn,kt,kt,True
khng-tiunn,康張,25,khng-tiuⁿ,khngtiunn,khngtiunn,khngtiunn,khngtiunn,kt,kt,True
khong-lo̍k,康樂,25,khong-lo̍k,khonglok8,khonglok8,khonglok,khonglok,kl,kl,True
liāu-tshuà,廖蔡,25,liāu-chhòa,liau7tshua3,liau7chhoa3,liautshua,liauchhoa,lt,lc,True
tô-tsí,廚子,25,tô-chí,to5tsi2,to5chi2,totsi,tochi,tt,tc,True
