tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
tshinn-thuànn,生炭,25,chhiⁿ-thòaⁿ,tshinn1thuann3,chhinn1thoann3,ㄑㆪㄊㄨㆩ˪,tshinnthuann,chhinnthoann,ㄑㆪㄊㄨㆩ,tt,ct,ㄑㄊ,True,False
tshenn-kông,生狂,25,chheⁿ-kông,tshenn1kong5,chhenn1kong5,ㄘㆥㄍㆲˊ,tshennkong,chhennkong,ㄘㆥㄍㆲ,tk,ck,ㄘㄍ,True,False
sinn-kue,生瓜,25,siⁿ-koe,sinn1kue1,sinn1koe1,ㄒㆪㄍㄨㆤ,sinnkue,sinnkoe,ㄒㆪㄍㄨㆤ,sk,sk,ㄒㄍ,True,False
senn-tshng,生瘡,25,seⁿ-chhng,senn1tshng1,senn1chhng1,ㄙㆥㄘㆭ,senntshng,sennchhng,ㄙㆥㄘㆭ,st,sc,ㄙㄘ,True,False
tshenn-ô,生蚵,25,chheⁿ-ô,tshenn1o5,chhenn1o5,ㄘㆥㄛˊ,tshenno,chhenno,ㄘㆥㄛ,to,co,ㄘㄛ,True,False
tshinn-ô,生蚵,25,chhiⁿ-ô,tshinn1o5,chhinn1o5,ㄑㆪㄛˊ,tshinno,chhinno,ㄑㆪㄛ,to,co,ㄑㄛ,True,False
sing-hong,生風,25,seng-hong,sing1hong1,seng1hong1,ㄒㄧㄥㄏㆲ,singhong,senghong,ㄒㄧㄥㄏㆲ,sh,sh,ㄒㄏ,True,False
senn-tshiu,生鬚,25,seⁿ-chhiu,senn1tshiu1,senn1chhiu1,ㄙㆥㄑㄧㄨ,senntshiu,sennchhiu,ㄙㆥㄑㄧㄨ,st,sc,ㄙㄑ,True,False
sán-ká,產假,25,sán-ká,san2ka2,san2ka2,ㄙㄢˋㄍㄚˋ,sanka,sanka,ㄙㄢㄍㄚ,sk,sk,ㄙㄍ,True,False
sán-kho,產科,25,sán-kho,san2kho1,san2kho1,ㄙㄢˋㄎㄛ,sankho,sankho,ㄙㄢㄎㄛ,sk,sk,ㄙㄎ,True,False
lut-jīm,甪任,25,lut-jīm,lut4jim7,lut4jim7,ㄌㄨㆵㆢㄧㆬ˫,lutjim,lutjim,ㄌㄨㆵㆢㄧㆬ,lj,lj,ㄌㆢ,True,False
lut-lin,甪奶,25,lut-lin,lut4lin1,lut4lin1,ㄌㄨㆵㄌㄧㄣ,lutlin,lutlin,ㄌㄨㆵㄌㄧㄣ,ll,ll,ㄌㄌ,True,False
lut-ling,甪奶,25,lut-leng,lut4ling1,lut4leng1,ㄌㄨㆵㄌㄧㄥ,lutling,lutleng,ㄌㄨㆵㄌㄧㄥ,ll,ll,ㄌㄌ,True,False
lut-ni,甪奶,25,lut-ni,lut4ni1,lut4ni1,ㄌㄨㆵㄋㄧ,lutni,lutni,ㄌㄨㆵㄋㄧ,ln,ln,ㄌㄋ,True,False
lut-kuann,甪官,25,lut-koaⁿ,lut4kuann1,lut4koann1,ㄌㄨㆵㄍㄨㆩ,lutkuann,lutkoann,ㄌㄨㆵㄍㄨㆩ,lk,lk,ㄌㄍ,True,False
lut-tshiú,甪手,25,lut-chhiú,lut4tshiu2,lut4chhiu2,ㄌㄨㆵㄑㄧㄨˋ,luttshiu,lutchhiu,ㄌㄨㆵㄑㄧㄨ,lt,lc,ㄌㄑ,True,False
lut-sak,甪捒,25,lut-sak,lut4sak4,lut4sak4,ㄌㄨㆵㄙㄚㆻ,lutsak,lutsak,ㄌㄨㆵㄙㄚㆻ,ls,ls,ㄌㄙ,True,False
lut-tsit,甪職,25,lut-chit,lut4tsit4,lut4chit4,ㄌㄨㆵㄐㄧㆵ,luttsit,lutchit,ㄌㄨㆵㄐㄧㆵ,lt,lc,ㄌㄐ,True,False
lut-sian,甪鉎,25,lut-sian,lut4sian1,lut4sian1,ㄌㄨㆵㄒㄧㄢ,lutsian,lutsian,ㄌㄨㆵㄒㄧㄢ,ls,ls,ㄌㄒ,True,False
lu̍t-sian,甪鉎,25,lu̍t-sian,lut8sian1,lut8sian1,ㄌㄨㆵ̇ㄒㄧㄢ,lutsian,lutsian,ㄌㄨㆵㄒㄧㄢ,ls,ls,ㄌㄒ,True,False
tshân-kînn,田墘,25,chhân-kîⁿ,tshan5kinn5,chhan5kinn5,ㄘㄢˊㄍㆪˊ,tshankinn,chhankinn,ㄘㄢㄍㆪ,tk,ck,ㄘㄍ,True,False
tshân-inn,田嬰,25,chhân-iⁿ,tshan5inn1,chhan5inn1,ㄘㄢˊㆪ,tshaninn,chhaninn,ㄘㄢㆪ,ti,ci,ㄘㆪ,True,False
tshân-kìng,田徑,25,chhân-kèng,tshan5king3,chhan5keng3,ㄘㄢˊㄍㄧㄥ˪,tshanking,chhankeng,ㄘㄢㄍㄧㄥ,tk,ck,ㄘㄍ,True,False
tshân-pue,田桮,25,chhân-poe,tshan5pue1,chhan5poe1,ㄘㄢˊㄅㄨㆤ,tshanpue,chhanpoe,ㄘㄢㄅㄨㆤ,tp,cp,ㄘㄅ,True,False
tshân-iônn,田洋,25,chhân-iôⁿ,tshan5ionn5,chhan5ionn5,ㄘㄢˊㄧㆧˊ,tshanionn,chhanionn,ㄘㄢㄧㆧ,ti,ci,ㄘㄧ,True,False
iû-î,由於,25,iû-î,iu5i5,iu5i5,ㄧㄨˊㄧˊ,iui,iui,ㄧㄨㄧ,ii,ii,ㄧㄧ,True,False
kah-tiū,甲冑,25,kah-tiū,kah4tiu7,kah4tiu7,ㄍㄚㆷㄉㄧㄨ˫,kahtiu,kahtiu,ㄍㄚㆷㄉㄧㄨ,kt,kt,ㄍㄉ,True,True
lâm-sú,男使,25,lâm-sú,lam5su2,lam5su2,ㄌㆰˊㄙㄨˋ,lamsu,lamsu,ㄌㆰㄙㄨ,ls,ls,ㄌㄙ,True,False
lâm-iú,男友,25,lâm-iú,lam5iu2,lam5iu2,ㄌㆰˊㄧㄨˋ,lamiu,lamiu,ㄌㆰㄧㄨ,li,li,ㄌㄧ,True,False
lâm-koân,男權,25,lâm-koân,lam5koan5,lam5koan5,ㄌㆰˊㄍㄛㄢˊ,lamkoan,lamkoan,ㄌㆰㄍㄛㄢ,lk,lk,ㄌㄍ,True,False
uì-tông,畏同,25,ùi-tông,ui3tong5,ui3tong5,ㄨㄧ˪ㄉㆲˊ,uitong,uitong,ㄨㄧㄉㆲ,ut,ut,ㄨㄉ,True,False
uì-lán,畏懶,25,ùi-lán,ui3lan2,ui3lan2,ㄨㄧ˪ㄌㄢˋ,uilan,uilan,ㄨㄧㄌㄢ,ul,ul,ㄨㄌ,True,False
pùn-ki,畚箕,25,pùn-ki,pun3ki1,pun3ki1,ㄅㄨㄣ˪ㄍㄧ,punki,punki,ㄅㄨㄣㄍㄧ,pk,pk,ㄅㄍ,True,False
huan-tē,番地,25,hoan-tē,huan1te7,hoan1te7,ㄏㄨㄢㄉㆤ˫,huante,hoante,ㄏㄨㄢㄉㆤ,ht,ht,ㄏㄉ,True,False
huan-kài,番界,25,hoan-kài,huan1kai3,hoan1kai3,ㄏㄨㄢㄍㄞ˪,huankai,hoankai,ㄏㄨㄢㄍㄞ,hk,hk,ㄏㄍ,True,False
huan-huan,番番,25,hoan-hoan,huan1huan1,hoan1hoan1,ㄏㄨㄢㄏㄨㄢ,huanhuan,hoanhoan,ㄏㄨㄢㄏㄨㄢ,hh,hh,ㄏㄏ,True,False
huan-siā,番社,25,hoan-siā,huan1sia7,hoan1sia7,ㄏㄨㄢㄒㄧㄚ˫,huansia,hoansia,ㄏㄨㄢㄒㄧㄚ,hs,hs,ㄏㄒ,True,False
huan-kiunn,番薑,25,hoan-kiuⁿ,huan1kiunn1,hoan1kiunn1,ㄏㄨㄢㄍㄧㆫ,huankiunn,hoankiunn,ㄏㄨㄢㄍㄧㆫ,hk,hk,ㄏㄍ,True,False
huan-huè,番貨,25,hoan-hòe,huan1hue3,hoan1hoe3,ㄏㄨㄢㄏㄨㆤ˪,huanhue,hoanhoe,ㄏㄨㄢㄏㄨㆤ,hh,hh,ㄏㄏ,True,False
huan-sé,番黍,25,hoan-sé,huan1se2,hoan1se2,ㄏㄨㄢㄙㆤˋ,huanse,hoanse,ㄏㄨㄢㄙㆤ,hs,hs,ㄏㄙ,True,False
huan-tshí,番鼠,25,hoan-chhí,huan1tshi2,hoan1chhi2,ㄏㄨㄢㄑㄧˋ,huantshi,hoanchhi,ㄏㄨㄢㄑㄧ,ht,hc,ㄏㄑ,True,False
uē-sian,畫仙,25,ōe-sian,ue7sian1,oe7sian1,ㄨㆤ˫ㄒㄧㄢ,uesian,oesian,ㄨㆤㄒㄧㄢ,us,os,ㄨㄒ,True,False
uē-tsok,畫作,25,ōe-chok,ue7tsok4,oe7chok4,ㄨㆤ˫ㄗㆦㆻ,uetsok,oechok,ㄨㆤㄗㆦㆻ,ut,oc,ㄨㄗ,True,False
uē-sū,畫士,25,ōe-sū,ue7su7,oe7su7,ㄨㆤ˫ㄙㄨ˫,uesu,oesu,ㄨㆤㄙㄨ,us,os,ㄨㄙ,True,False
uē-pún,畫本,25,ōe-pún,ue7pun2,oe7pun2,ㄨㆤ˫ㄅㄨㄣˋ,uepun,oepun,ㄨㆤㄅㄨㄣ,up,op,ㄨㄅ,True,False
uē-khing,畫框,25,ōe-kheng,ue7khing1,oe7kheng1,ㄨㆤ˫ㄎㄧㄥ,uekhing,oekheng,ㄨㆤㄎㄧㄥ,uk,ok,ㄨㄎ,True,False
uē-sòo,畫素,25,ōe-sò͘,ue7soo3,oe7soo3,ㄨㆤ˫ㄙㆦ˪,uesoo,oesoo,ㄨㆤㄙㆦ,us,os,ㄨㄙ,True,False
ī-kàu,異教,25,ī-kàu,i7kau3,i7kau3,ㄧ˫ㄍㄠ˪,ikau,ikau,ㄧㄍㄠ,ik,ik,ㄧㄍ,True,False
ī-kài,異界,25,ī-kài,i7kai3,i7kai3,ㄧ˫ㄍㄞ˪,ikai,ikai,ㄧㄍㄞ,ik,ik,ㄧㄍ,True,False
siâ-tso̍k,畲族,25,siâ-cho̍k,sia5tsok8,sia5chok8,ㄒㄧㄚˊㄗㆦㆻ̇,siatsok,siachok,ㄒㄧㄚㄗㆦㆻ,st,sc,ㄒㄗ,True,False
tǹg-ki,當機,25,tǹg-ki,tng3ki1,tng3ki1,ㄉㆭ˪ㄍㄧ,tngki,tngki,ㄉㆭㄍㄧ,tk,tk,ㄉㄍ,True,False
tong-tshiong,當沖,25,tong-chhiong,tong1tshiong1,tong1chhiong1,ㄉㆲㄑㄧㆲ,tongtshiong,tongchhiong,ㄉㆲㄑㄧㆲ,tt,tc,ㄉㄑ,True,False
tng-tong,當當,25,tng-tong,tng1tong1,tng1tong1,ㄉㆭㄉㆲ,tngtong,tngtong,ㄉㆭㄉㆲ,tt,tt,ㄉㄉ,True,False
tǹg-phòo,當鋪,25,tǹg-phò͘,tng3phoo3,tng3phoo3,ㄉㆭ˪ㄆㆦ˪,tngphoo,tngphoo,ㄉㆭㄆㆦ,tp,tp,ㄉㄆ,True,False
kiong-hi̍k,疆域,25,kiong-he̍k,kiong1hik8,kiong1hek8,ㄍㄧㆲㄏㄧㆻ̇,kionghik,kionghek,ㄍㄧㆲㄏㄧㆻ,kh,kh,ㄍㄏ,True,False
kiong-i̍k,疆域,25,kiong-e̍k,kiong1ik8,kiong1ek8,ㄍㄧㆲㄧㆻ̇,kiongik,kiongek,ㄍㄧㆲㄧㆻ,ki,ke,ㄍㄧ,True,False
thia̍p-á,疊仔,25,thia̍p-á,thiap8a2,thiap8a2,ㄊㄧㄚㆴ̇ㄚˋ,thiapa,thiapa,ㄊㄧㄚㆴㄚ,ta,ta,ㄊㄚ,True,False
tha̍h-thōng,疊緟,25,tha̍h-thōng,thah8thong7,thah8thong7,ㄊㄚㆷ̇ㄊㆲ˫,thahthong,thahthong,ㄊㄚㆷㄊㆲ,tt,tt,ㄊㄊ,True,False
thia̍p-thōng,疊緟,25,thia̍p-thōng,thiap8thong7,thiap8thong7,ㄊㄧㄚㆴ̇ㄊㆲ˫,thiapthong,thiapthong,ㄊㄧㄚㆴㄊㆲ,tt,tt,ㄊㄊ,True,False
tha̍h-sû,疊詞,25,tha̍h-sû,thah8su5,thah8su5,ㄊㄚㆷ̇ㄙㄨˊ,thahsu,thahsu,ㄊㄚㆷㄙㄨ,ts,ts,ㄊㄙ,True,False
thia̍p-huè,疊貨,25,thia̍p-hòe,thiap8hue3,thiap8hoe3,ㄊㄧㄚㆴ̇ㄏㄨㆤ˪,thiaphue,thiaphoe,ㄊㄧㄚㆴㄏㄨㆤ,th,th,ㄊㄏ,True,False
thia̍p-hè,疊貨,25,thia̍p-hè,thiap8he3,thiap8he3,ㄊㄧㄚㆴ̇ㄏㆤ˪,thiaphe,thiaphe,ㄊㄧㄚㆴㄏㆤ,th,th,ㄊㄏ,True,False
thia̍p-kha,疊跤,25,thia̍p-kha,thiap8kha1,thiap8kha1,ㄊㄧㄚㆴ̇ㄎㄚ,thiapkha,thiapkha,ㄊㄧㄚㆴㄎㄚ,tk,tk,ㄊㄎ,True,False
thia̍p-poh,疊駁,25,thia̍p-poh,thiap8poh4,thiap8poh4,ㄊㄧㄚㆴ̇ㄅㄛㆷ,thiappoh,thiappoh,ㄊㄧㄚㆴㄅㄛㆷ,tp,tp,ㄊㄅ,True,False
soo-kó,疏果,25,so͘-kó,soo1ko2,soo1ko2,ㄙㆦㄍㄛˋ,sooko,sooko,ㄙㆦㄍㄛ,sk,sk,ㄙㄍ,True,False
se-lang,疏櫳,25,se-lang,se1lang1,se1lang1,ㄙㆤㄌㄤ,selang,selang,ㄙㆤㄌㄤ,sl,sl,ㄙㄌ,True,False
se-khí,疏齒,25,se-khí,se1khi2,se1khi2,ㄙㆤㄎㄧˋ,sekhi,sekhi,ㄙㆤㄎㄧ,sk,sk,ㄙㄎ,True,False
gî-gā,疑訝,25,gî-gā,gi5ga7,gi5ga7,ㆣㄧˊㆣㄚ˫,giga,giga,ㆣㄧㆣㄚ,gg,gg,ㆣㆣ,True,False
gî-ngái,疑訝,25,gî-ngái,gi5ngai2,gi5ngai2,ㆣㄧˊㄫㄞˋ,gingai,gingai,ㆣㄧㄫㄞ,gn,gn,ㆣㄫ,True,False
ia̍h-tsîng,疫情,25,ia̍h-chêng,iah8tsing5,iah8cheng5,ㄧㄚㆷ̇ㄐㄧㄥˊ,iahtsing,iahcheng,ㄧㄚㆷㄐㄧㄥ,it,ic,ㄧㄐ,True,False
tshuah-sái,疶屎,25,chhoah-sái,tshuah4sai2,chhoah4sai2,ㄘㄨㄚㆷㄙㄞˋ,tshuahsai,chhoahsai,ㄘㄨㄚㆷㄙㄞ,ts,cs,ㄘㄙ,True,False
thiànn-thiànn,疼疼,25,thiàⁿ-thiàⁿ,thiann3thiann3,thiann3thiann3,ㄊㄧㆩ˪ㄊㄧㆩ˪,thiannthiann,thiannthiann,ㄊㄧㆩㄊㄧㆩ,tt,tt,ㄊㄊ,True,False
thiànn-ūn,疼運,25,thiàⁿ-ūn,thiann3un7,thiann3un7,ㄊㄧㆩ˪ㄨㄣ˫,thiannun,thiannun,ㄊㄧㆩㄨㄣ,tu,tu,ㄊㄨ,True,False
thiànn-hong,疼風,25,thiàⁿ-hong,thiann3hong1,thiann3hong1,ㄊㄧㆩ˪ㄏㆲ,thiannhong,thiannhong,ㄊㄧㆩㄏㆲ,th,th,ㄊㄏ,True,False
tsi̍k-huān,疾患,25,che̍k-hoān,tsik8huan7,chek8hoan7,ㄐㄧㆻ̇ㄏㄨㄢ˫,tsikhuan,chekhoan,ㄐㄧㆻㄏㄨㄢ,th,ch,ㄐㄏ,True,False
tsi̍t-huān,疾患,25,chi̍t-hoān,tsit8huan7,chit8hoan7,ㄐㄧㆵ̇ㄏㄨㄢ˫,tsithuan,chithoan,ㄐㄧㆵㄏㄨㄢ,th,ch,ㄐㄏ,True,False
ku-lún,痀崙,25,ku-lún,ku1lun2,ku1lun2,ㄍㄨㄌㄨㄣˋ,kulun,kulun,ㄍㄨㄌㄨㄣ,kl,kl,ㄍㄌ,True,True
pēnn-kiánn,病囝,25,pēⁿ-kiáⁿ,penn7kiann2,penn7kiann2,ㄅㆥ˫ㄍㄧㆩˋ,pennkiann,pennkiann,ㄅㆥㄍㄧㆩ,pk,pk,ㄅㄍ,True,False
pīnn-kiánn,病囝,25,pīⁿ-kiáⁿ,pinn7kiann2,pinn7kiann2,ㄅㆪ˫ㄍㄧㆩˋ,pinnkiann,pinnkiann,ㄅㆪㄍㄧㆩ,pk,pk,ㄅㄍ,True,False
pēnn-kiau,病嬌,25,pēⁿ-kiau,penn7kiau1,penn7kiau1,ㄅㆥ˫ㄍㄧㄠ,pennkiau,pennkiau,ㄅㆥㄍㄧㄠ,pk,pk,ㄅㄍ,True,False
pēnn-pún,病本,25,pēⁿ-pún,penn7pun2,penn7pun2,ㄅㆥ˫ㄅㄨㄣˋ,pennpun,pennpun,ㄅㆥㄅㄨㄣ,pp,pp,ㄅㄅ,True,False
pīnn-īnn,病院,25,pīⁿ-īⁿ,pinn7inn7,pinn7inn7,ㄅㆪ˫ㆪ˫,pinninn,pinninn,ㄅㆪㆪ,pi,pi,ㄅㆪ,True,False
pǐnn-ǐnn,病院,25,pǐⁿ-ǐⁿ,pinn6inn6,pinn6inn6,ㄅㆪˇㆪˇ,pinninn,pinninn,ㄅㆪㆪ,pi,pi,ㄅㆪ,True,False
tī-á,痔仔,25,tī-á,ti7a2,ti7a2,ㄉㄧ˫ㄚˋ,tia,tia,ㄉㄧㄚ,ta,ta,ㄉㄚ,True,False
he-ku,痚呴,25,he-ku,he1ku1,he1ku1,ㄏㆤㄍㄨ,heku,heku,ㄏㆤㄍㄨ,hk,hk,ㄏㄍ,True,False
siáu-iú,痟友,25,siáu-iú,siau2iu2,siau2iu2,ㄒㄧㄠˋㄧㄨˋ,siauiu,siauiu,ㄒㄧㄠㄧㄨ,si,si,ㄒㄧ,True,False
siáu-íng,痟湧,25,siáu-éng,siau2ing2,siau2eng2,ㄒㄧㄠˋㄧㄥˋ,siauing,siaueng,ㄒㄧㄠㄧㄥ,si,se,ㄒㄧ,True,False
siáu-siáu,痟痟,25,siáu-siáu,siau2siau2,siau2siau2,ㄒㄧㄠˋㄒㄧㄠˋ,siausiau,siausiau,ㄒㄧㄠㄒㄧㄠ,ss,ss,ㄒㄒ,True,False
siáu-thiàu,痟跳,25,siáu-thiàu,siau2thiau3,siau2thiau3,ㄒㄧㄠˋㄊㄧㄠ˪,siauthiau,siauthiau,ㄒㄧㄠㄊㄧㄠ,st,st,ㄒㄊ,True,False
suinn-nuí,痠軟,25,suiⁿ-núi,suinn1nui2,suinn1nui2,ㄙㄨㆪㄋㄨㄧˋ,suinnnui,suinnnui,ㄙㄨㆪㄋㄨㄧ,sn,sn,ㄙㄋ,True,False
lī-tsi̍t,痢疾,25,lī-chi̍t,li7tsit8,li7chit8,ㄌㄧ˫ㄐㄧㆵ̇,litsit,lichit,ㄌㄧㄐㄧㆵ,lt,lc,ㄌㄐ,True,False
un-sîn,瘟神,25,un-sîn,un1sin5,un1sin5,ㄨㄣㄒㄧㄣˊ,unsin,unsin,ㄨㄣㄒㄧㄣ,us,us,ㄨㄒ,True,False
sán-lim,瘦啉,25,sán-lim,san2lim1,san2lim1,ㄙㄢˋㄌㄧㆬ,sanlim,sanlim,ㄙㄢㄌㄧㆬ,sl,sl,ㄙㄌ,True,False
sán-tsia̍h,瘦食,25,sán-chia̍h,san2tsiah8,san2chiah8,ㄙㄢˋㄐㄧㄚㆷ̇,santsiah,sanchiah,ㄙㄢㄐㄧㄚㆷ,st,sc,ㄙㄐ,True,False
gia̍k-tsi̍k,瘧疾,25,gia̍k-che̍k,giak8tsik8,giak8chek8,ㆣㄧㄚㆻ̇ㄐㄧㆻ̇,giaktsik,giakchek,ㆣㄧㄚㆻㄐㄧㆻ,gt,gc,ㆣㄐ,True,False
tsiòng-khì,瘴氣,25,chiòng-khì,tsiong3khi3,chiong3khi3,ㄐㄧㆲ˪ㄎㄧ˪,tsiongkhi,chiongkhi,ㄐㄧㆲㄎㄧ,tk,ck,ㄐㄎ,True,False
kher-tshiú,瘸手,25,kher-chhiú,kher1tshiu2,kher1chhiu2,ㄎㄜㄑㄧㄨˋ,khertshiu,kherchhiu,ㄎㄜㄑㄧㄨ,kt,kc,ㄎㄑ,True,False
khêr-kha,瘸跤,25,khêr-kha,kher5kha1,kher5kha1,ㄎㄜˊㄎㄚ,kherkha,kherkha,ㄎㄜㄎㄚ,kk,kk,ㄎㄎ,True,False
liâu-sè,療勢,25,liâu-sè,liau5se3,liau5se3,ㄌㄧㄠˊㄙㆤ˪,liause,liause,ㄌㄧㄠㄙㆤ,ls,ls,ㄌㄙ,True,False
thái-ko,癩󿗧,25,thái-ko,thai2ko1,thai2ko1,ㄊㄞˋㄍㄛ,thaiko,thaiko,ㄊㄞㄍㄛ,tk,tk,ㄊㄍ,True,False
giàn-thâu,癮頭,25,giàn-thâu,gian3thau5,gian3thau5,ㆣㄧㄢ˪ㄊㄠˊ,gianthau,gianthau,ㆣㄧㄢㄊㄠ,gt,gt,ㆣㄊ,True,False
than-thuán,癱瘓,25,than-thoán,than1thuan2,than1thoan2,ㄊㄢㄊㄨㄢˋ,thanthuan,thanthoan,ㄊㄢㄊㄨㄢ,tt,tt,ㄊㄊ,True,False
ting-ji̍p,登入,25,teng-ji̍p,ting1jip8,teng1jip8,ㄉㄧㄥㆢㄧㆴ̇,tingjip,tengjip,ㄉㄧㄥㆢㄧㆴ,tj,tj,ㄉㆢ,True,False
ting-tshut,登出,25,teng-chhut,ting1tshut4,teng1chhut4,ㄉㄧㄥㄘㄨㆵ,tingtshut,tengchhut,ㄉㄧㄥㄘㄨㆵ,tt,tc,ㄉㄘ,True,False
huat-tiâu,發條,25,hoat-tiâu,huat4tiau5,hoat4tiau5,ㄏㄨㄚㆵㄉㄧㄠˊ,huattiau,hoattiau,ㄏㄨㄚㆵㄉㄧㄠ,ht,ht,ㄏㄉ,True,False
puh-phe̍h,發沫,25,puh-phe̍h,puh4pheh8,puh4pheh8,ㄅㄨㆷㄆㆤㆷ̇,puhpheh,puhpheh,ㄅㄨㆷㄆㆤㆷ,pp,pp,ㄅㄆ,True,False
puh-phue̍h,發沫,25,puh-phoe̍h,puh4phueh8,puh4phoeh8,ㄅㄨㆷㄆㄨㆤㆷ̇,puhphueh,puhphoeh,ㄅㄨㆷㄆㄨㆤㆷ,pp,pp,ㄅㄆ,True,False
puh-pho,發波,25,puh-pho,puh4pho1,puh4pho1,ㄅㄨㆷㄆㄛ,puhpho,puhpho,ㄅㄨㆷㄆㄛ,pp,pp,ㄅㄆ,True,False
huat-senn,發生,25,hoat-seⁿ,huat4senn1,hoat4senn1,ㄏㄨㄚㆵㄙㆥ,huatsenn,hoatsenn,ㄏㄨㄚㆵㄙㆥ,hs,hs,ㄏㄙ,True,False
huat-sinn,發生,25,hoat-siⁿ,huat4sinn1,hoat4sinn1,ㄏㄨㄚㆵㄒㆪ,huatsinn,hoatsinn,ㄏㄨㄚㆵㄒㆪ,hs,hs,ㄏㄒ,True,False
huat-hún,發粉,25,hoat-hún,huat4hun2,hoat4hun2,ㄏㄨㄚㆵㄏㄨㄣˋ,huathun,hoathun,ㄏㄨㄚㆵㄏㄨㄣ,hh,hh,ㄏㄏ,True,False
huat-kér,發粿,25,hoat-kér,huat4ker2,hoat4ker2,ㄏㄨㄚㆵㄍㄜˋ,huatker,hoatker,ㄏㄨㄚㆵㄍㄜ,hk,hk,ㄏㄍ,True,False
puh-lâng,發膿,25,puh-lâng,puh4lang5,puh4lang5,ㄅㄨㆷㄌㄤˊ,puhlang,puhlang,ㄅㄨㆷㄌㄤ,pl,pl,ㄅㄌ,True,False
huat-ínn,發蘖,25,hoat-íⁿ,huat4inn2,hoat4inn2,ㄏㄨㄚㆵㆪˋ,huatinn,hoatinn,ㄏㄨㄚㆵㆪ,hi,hi,ㄏㆪ,True,False
huat-khui,發開,25,hoat-khui,huat4khui1,hoat4khui1,ㄏㄨㄚㆵㄎㄨㄧ,huatkhui,hoatkhui,ㄏㄨㄚㆵㄎㄨㄧ,hk,hk,ㄏㄎ,True,False
pe̍h-pang,白板,25,pe̍h-pang,peh8pang1,peh8pang1,ㄅㆤㆷ̇ㄅㄤ,pehpang,pehpang,ㄅㆤㆷㄅㄤ,pp,pp,ㄅㄅ,True,True
pe̍h-tshat,白漆,25,pe̍h-chhat,peh8tshat4,peh8chhat4,ㄅㆤㆷ̇ㄘㄚㆵ,pehtshat,pehchhat,ㄅㆤㆷㄘㄚㆵ,pt,pc,ㄅㄘ,True,False
pe̍h-tshi,白癡,25,pe̍h-chhi,peh8tshi1,peh8chhi1,ㄅㆤㆷ̇ㄑㄧ,pehtshi,pehchhi,ㄅㆤㆷㄑㄧ,pt,pc,ㄅㄑ,True,False
pe̍h-mah,白肉,25,pe̍h-mah,peh8mah4,peh8mah4,ㄅㆤㆷ̇ㄇㄚㆷ,pehmah,pehmah,ㄅㆤㆷㄇㄚㆷ,pm,pm,ㄅㄇ,True,False
pe̍h-tám,白膽,25,pe̍h-tám,peh8tam2,peh8tam2,ㄅㆤㆷ̇ㄉㆰˋ,pehtam,pehtam,ㄅㆤㆷㄉㆰ,pt,pt,ㄅㄉ,True,False
pe̍h-hê,白蝦,25,pe̍h-hê,peh8he5,peh8he5,ㄅㆤㆷ̇ㄏㆤˊ,pehhe,pehhe,ㄅㆤㆷㄏㆤ,ph,ph,ㄅㄏ,True,False
pi̍k-tho̍k,白讀,25,pe̍k-tho̍k,pik8thok8,pek8thok8,ㄅㄧㆻ̇ㄊㆦㆻ̇,pikthok,pekthok,ㄅㄧㆻㄊㆦㆻ,pt,pt,ㄅㄊ,True,False
pe̍h-tsit,白質,25,pe̍h-chit,peh8tsit4,peh8chit4,ㄅㆤㆷ̇ㄐㄧㆵ,pehtsit,pehchit,ㄅㆤㆷㄐㄧㆵ,pt,pc,ㄅㄐ,True,False
pe̍h-tshòo,白醋,25,pe̍h-chhò͘,peh8tshoo3,peh8chhoo3,ㄅㆤㆷ̇ㄘㆦ˪,pehtshoo,pehchhoo,ㄅㆤㆷㄘㆦ,pt,pc,ㄅㄘ,True,False
pe̍h-ke,白雞,25,pe̍h-ke,peh8ke1,peh8ke1,ㄅㆤㆷ̇ㄍㆤ,pehke,pehke,ㄅㆤㆷㄍㆤ,pk,pk,ㄅㄍ,True,False
pe̍h-tsia̍h,白食,25,pe̍h-chia̍h,peh8tsiah8,peh8chiah8,ㄅㆤㆷ̇ㄐㄧㄚㆷ̇,pehtsiah,pehchiah,ㄅㆤㆷㄐㄧㄚㆷ,pt,pc,ㄅㄐ,True,False
pe̍h-mī,白麵,25,pe̍h-mī,peh8mi7,peh8mi7,ㄅㆤㆷ̇ㄇㄧ˫,pehmi,pehmi,ㄅㆤㆷㄇㄧ,pm,pm,ㄅㄇ,True,False
pik-tsè,百濟,25,pek-chè,pik4tse3,pek4che3,ㄅㄧㆻㄗㆤ˪,piktse,pekche,ㄅㄧㆻㄗㆤ,pt,pc,ㄅㄗ,True,False
pah-phiò,百票,25,pah-phiò,pah4phio3,pah4phio3,ㄅㄚㆷㄆㄧㄛ˪,pahphio,pahphio,ㄅㄚㆷㄆㄧㄛ,pp,pp,ㄅㄆ,True,False
pah-kíng,百襇,25,pah-kéng,pah4king2,pah4keng2,ㄅㄚㆷㄍㄧㄥˋ,pahking,pahkeng,ㄅㄚㆷㄍㄧㄥ,pk,pk,ㄅㄍ,True,False
