tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
āu-lâi,後來,447,āu-lâi,au7lai5,au7lai5,ㄠ˫ㄌㄞˊ,aulai,aulai,ㄠㄌㄞ,al,al,ㄠㄌ,True,False
a-bú,阿母,423,a-bú,a1bu2,a1bu2,ㄚㆠㄨˋ,abu,abu,ㄚㆠㄨ,ab,ab,ㄚㆠ,True,True
king,弓,400,keng,king1,keng1,ㄍㄧㄥ,king,keng,ㄍㄧㄥ,,,,True,False
puann,搬,400,poaⁿ,puann1,poann1,ㄅㄨㆩ,puann,poann,ㄅㄨㆩ,,,,True,False
ò,澳,400,ò,o3,o3,ㄛ˪,o,o,ㄛ,,,,True,False
kông,狂,400,kông,kong5,kong5,ㄍㆲˊ,kong,kong,ㄍㆲ,,,,True,False
phoh,粕,400,phoh,phoh4,phoh4,ㄆㄛㆷ,phoh,phoh,ㄆㄛㆷ,,,,True,False
tiānn-tiānn,定定,399,tiāⁿ-tiāⁿ,tiann7tiann7,tiann7tiann7,ㄉㄧㆩ˫ㄉㄧㆩ˫,tianntiann,tianntiann,ㄉㄧㆩㄉㄧㆩ,tt,tt,ㄉㄉ,True,False
sian-senn,先生,396,sian-seⁿ,sian1senn1,sian1senn1,ㄒㄧㄢㄙㆥ,siansenn,siansenn,ㄒㄧㄢㄙㆥ,ss,ss,ㄒㄙ,True,False
tâi-gí,台語,394,tâi-gí,tai5gi2,tai5gi2,ㄉㄞˊㆣㄧˋ,taigi,taigi,ㄉㄞㆣㄧ,tg,tg,ㄉㆣ,True,False
lāu-su,老師,394,lāu-su,lau7su1,lau7su1,ㄌㄠ˫ㄙㄨ,lausu,lausu,ㄌㄠㄙㄨ,ls,ls,ㄌㄙ,True,False
sian-sinn,先生,386,sian-siⁿ,sian1sinn1,sian1sinn1,ㄒㄧㄢㄒㆪ,siansinn,siansinn,ㄒㄧㄢㄒㆪ,ss,ss,ㄒㄒ,True,False
nā-sī,若是,382,nā-sī,na7si7,na7si7,ㄋㄚ˫ㄒㄧ˫,nasi,nasi,ㄋㄚㄒㄧ,ns,ns,ㄋㄒ,True,False
thinn,添,362,thiⁿ,thinn1,thinn1,ㄊㆪ,thinn,thinn,ㄊㆪ,,,,True,False
siunn,相,357,siuⁿ,siunn1,siunn1,ㄒㄧㆫ,siunn,siunn,ㄒㄧㆫ,,,,True,False
liông,量,356,liông,liong5,liong5,ㄌㄧㆲˊ,liong,liong,ㄌㄧㆲ,,,,True,False
gî,宜,350,gî,gi5,gi5,ㆣㄧˊ,gi,gi,ㆣㄧ,,,,True,False
áu,拗,350,áu,au2,au2,ㄠˋ,au,au,ㄠ,,,,True,False
sńg,損,350,sńg,sng2,sng2,ㄙㆭˋ,sng,sng,ㄙㆭ,,,,True,False
suāinn,檨,350,soāiⁿ,suainn7,soainn7,ㄙㄨㆮ˫,suainn,soainn,ㄙㄨㆮ,,,,True,False
sip,溼,350,sip,sip4,sip4,ㄒㄧㆴ,sip,sip,ㄒㄧㆴ,,,,True,False
suī,瑞,350,sūi,sui7,sui7,ㄙㄨㄧ˫,sui,sui,ㄙㄨㄧ,,,,True,False
liâu,療,350,liâu,liau5,liau5,ㄌㄧㄠˊ,liau,liau,ㄌㄧㄠ,,,,True,False
la̍p,納,350,la̍p,lap8,lap8,ㄌㄚㆴ̇,lap,lap,ㄌㄚㆴ,,,,True,False
koo,菇,350,ko͘,koo1,koo1,ㄍㆦ,koo,koo,ㄍㆦ,,,,True,False
tsāi,豸,350,chāi,tsai7,chai7,ㄗㄞ˫,tsai,chai,ㄗㄞ,,,,True,False
hiau,僥,300,hiau,hiau1,hiau1,ㄏㄧㄠ,hiau,hiau,ㄏㄧㄠ,,,,True,False
tsiàm,占,300,chiàm,tsiam3,chiam3,ㄐㄧㆰ˪,tsiam,chiam,ㄐㄧㆰ,,,,True,False
luí,壘,300,lúi,lui2,lui2,ㄌㄨㄧˋ,lui,lui,ㄌㄨㄧ,,,,True,False
khong,康,300,khong,khong1,khong1,ㄎㆲ,khong,khong,ㄎㆲ,,,,True,False
tsû,慈,300,chû,tsu5,chu5,ㄗㄨˊ,tsu,chu,ㄗㄨ,,,,True,False
íng,湧,300,éng,ing2,eng2,ㄧㄥˋ,ing,eng,ㄧㄥ,,,,True,False
khut,窟,300,khut,khut4,khut4,ㄎㄨㆵ,khut,khut,ㄎㄨㆵ,,,,True,False
si̍t,翼,300,si̍t,sit8,sit8,ㄒㄧㆵ̇,sit,sit,ㄒㄧㆵ,,,,True,False
bông,雺,300,bông,bong5,bong5,ㆠㆲˊ,bong,bong,ㆠㆲ,,,,True,False
lāu-bú,老母,296,lāu-bú,lau7bu2,lau7bu2,ㄌㄠ˫ㆠㄨˋ,laubu,laubu,ㄌㄠㆠㄨ,lb,lb,ㄌㆠ,True,True
kí,紀,295,kí,ki2,ki2,ㄍㄧˋ,ki,ki,ㄍㄧ,,,,True,False
a-má,阿媽,286,a-má,a1ma2,a1ma2,ㄚㄇㄚˋ,ama,ama,ㄚㄇㄚ,am,am,ㄚㄇ,True,False
ji̍t-tsí,日子,271,ji̍t-chí,jit8tsi2,jit8chi2,ㆢㄧㆵ̇ㄐㄧˋ,jittsi,jitchi,ㆢㄧㆵㄐㄧ,jt,jc,ㆢㄐ,True,False
phah-sǹg,拍算,266,phah-sǹg,phah4sng3,phah4sng3,ㄆㄚㆷㄙㆭ˪,phahsng,phahsng,ㄆㄚㆷㄙㆭ,ps,ps,ㄆㄙ,True,False
hiann-tī,兄弟,265,hiaⁿ-tī,hiann1ti7,hiann1ti7,ㄏㄧㆩㄉㄧ˫,hiannti,hiannti,ㄏㄧㆩㄉㄧ,ht,ht,ㄏㄉ,True,False
a-pa,阿爸,265,a-pa,a1pa1,a1pa1,ㄚㄅㄚ,apa,apa,ㄚㄅㄚ,ap,ap,ㄚㄅ,True,False
pe̍h-uē-jī,白話字,262,pe̍h-ōe-jī,peh8ue7ji7,peh8oe7ji7,ㄅㆤㆷ̇ㄨㆤ˫ㆢㄧ˫,pehueji,pehoeji,ㄅㆤㆷㄨㆤㆢㄧ,puj,poj,ㄅㄨㆢ,True,False
līng-guā,另外,252,lēng-gōa,ling7gua7,leng7goa7,ㄌㄧㄥ˫ㆣㄨㄚ˫,linggua,lenggoa,ㄌㄧㄥㆣㄨㄚ,lg,lg,ㄌㆣ,True,True
sut,捽,250,sut,sut4,sut4,ㄙㄨㆵ,sut,sut,ㄙㄨㆵ,,,,True,False
liap,攝,250,liap,liap4,liap4,ㄌㄧㄚㆴ,liap,liap,ㄌㄧㄚㆴ,,,,True,False
tsiánn,汫,250,chiáⁿ,tsiann2,chiann2,ㄐㄧㆩˋ,tsiann,chiann,ㄐㄧㆩ,,,,True,False
khó,洘,250,khó,kho2,kho2,ㄎㄛˋ,kho,kho,ㄎㄛ,,,,True,False
phun,潘,250,phun,phun1,phun1,ㄆㄨㄣ,phun,phun,ㄆㄨㄣ,,,,True,False
tâm,澹,250,tâm,tam5,tam5,ㄉㆰˊ,tam,tam,ㄉㆰ,,,,True,False
hu,烌,250,hu,hu1,hu1,ㄏㄨ,hu,hu,ㄏㄨ,,,,True,False
pān,範,250,pān,pan7,pan7,ㄅㄢ˫,pan,pan,ㄅㄢ,,,,True,False
khiû,虯,250,khiû,khiu5,khiu5,ㄎㄧㄨˊ,khiu,khiu,ㄎㄧㄨ,,,,True,False
ham,蚶,250,ham,ham1,ham1,ㄏㆰ,ham,ham,ㄏㆰ,,,,True,False
