tl,hanzi
tuē,苧
mâu,茅
hm̂,茅
gio̍k,虐
gia̍k,虐
gi̍k,虐
hiong,香
hiang,香
hiunn,香
hionn,香
tshong,倉
tshng,倉
í,倚
uá,倚
tsià,借
tsioh,借
tshìng,凊
tshìn,凊
thik,剔
thak,剔
pok,剝
pak,剝
siàu,哨
sàu,哨
tông,唐
tn̂g,唐
liông,娘
liâng,娘
niû,娘
niôo,娘
tîng,庭
tiânn,庭
sik,息
sit,息
hué,悔
huí,悔
siàn,扇
sìnn,扇
kuân,拳
kûn,拳
ai,挨
e,挨
ue,挨
tsín,振
tsin,振
tsìn,振
tín,振
thíng,挺
thánn,挺
lú,旅
lí,旅
àn,晏
uànn,晏
lóng,朗
láng,朗
li̍k,栗
la̍t,栗
tsu,株
tu,株
hi̍k,核
hu̍t,核
kik,格
keh,格
tông,桐
tâng,桐
thâng,桐
song,桑
sng,桑
un,殷
in,殷
hû,浮
phû,浮
io̍k,浴
i̍k,浴
tôo,涂
thôo,涂
hong,烘
hang,烘
hia̍p,狹
e̍h,狹
ue̍h,狹
thiok,畜
thik,畜
pīng,病
pēnn,病
pīnn,病
ik,益
iah,益
biân,眠
bîn,眠
ng,秧
iang,秧
iong,秧
tshiàu,笑
siàu,笑
tshiò,笑
sa,紗
se,紗
hóng,紡
pháng,紡
sik,索
soh,索
ong,翁
ang,翁
hiong,胸
hing,胸
tshuì,脆
tshè,脆
bi̍k,脈
me̍h,脈
tsik,脊
tsiah,脊
tsit,脊
pan,般
puann,般
hong,荒
hng,荒
huinn,荒
ló,荖
lóo,荖
láu,荖
hian,軒
ian,軒
sàng,送
sòng,送
tsik,隻
tsiah,隻
tòo,鬥
tiò,鬥
tàu,鬥
kiān,健
kiānn,健
būn,問
mn̄g,問
muī,問
á,啞
é,啞
hi̍k,域
ki,基
siù,宿
siok,宿
kì,寄
kià,寄
bi̍t,密
ba̍t,密
kong,崗
kang,崗
phing,崩
ping,崩
pang,崩
tiòng,帳
tiàng,帳
tiùnn,帳
tiònn,帳
khong,康
khng,康
tiong,張
tiang,張
tiunn,張
tionn,張
sik,惜
sioh,惜
sò,掃
sòo,掃
sàu,掃
lio̍k,掠
lia̍h,掠
siâ,斜
tshiâ,斜
tsám,斬
