hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
劝,khuìnn,khùiⁿ,0,False,False,False,False,False,False,False,False,False,False
劣,luat,loat,0,False,True,False,False,False,False,True,False,False,False
努,nóo,nó͘,0,False,False,False,False,False,False,False,False,False,False
勁,gīng,gēng,0,False,False,False,False,False,False,False,False,False,False
勁,kìng,kèng,0,False,True,False,False,False,True,False,False,False,False
勃,pu̍t,pu̍t,0,False,True,False,False,False,True,True,False,False,False
勅,thik,thek,0,False,True,False,False,False,False,False,False,False,False
勒,lik,lek,0,False,False,False,False,False,False,True,False,False,False
勖,hiok,hiok,0,False,True,False,False,False,False,False,False,False,False
勤,khûn,khûn,0,False,True,False,False,False,False,True,False,False,False
勸,khuìnn,khùiⁿ,0,False,True,False,False,False,False,False,False,False,False
勺,tsiak,chiak,0,False,False,False,False,False,False,False,False,False,False
勿,but,but,0,False,False,False,False,False,True,False,False,False,False
匆,tshong,chhong,0,False,True,False,False,False,False,False,False,False,False
匏,pâu,pâu,0,False,True,False,False,False,False,False,False,False,False
化,huā,hōa,0,False,False,False,False,False,False,False,False,False,False
北,pok,pok,0,False,True,False,False,False,False,True,False,False,False
匛,kiū,kiū,0,False,False,False,False,False,False,False,False,False,False
匠,tshiāng,chhiāng,0,False,True,False,False,False,False,False,False,False,False
匠,tshiōng,chhiōng,0,False,True,False,False,False,False,False,False,False,False
區,khuh,khuh,0,False,False,False,False,False,False,False,False,False,False
千,chhṳiⁿ,chhṳiⁿ,0,False,False,False,False,False,False,False,False,False,False
千,tshainn,chhaiⁿ,0,False,False,False,False,False,False,False,False,False,True
千,tshuinn,chhuiⁿ,0,False,False,False,True,False,False,False,False,False,True
午,ngōo,ngō͘,0,False,False,False,False,False,False,False,False,False,False
卜,bo̤h,bo̤h,0,False,False,False,False,False,False,False,False,False,False
却,khiak,khiak,0,False,False,False,False,False,False,False,False,False,False
却,khiok,khiok,0,False,True,False,False,False,False,False,False,False,False
卻,khiak,khiak,0,False,True,False,False,False,False,False,False,False,False
厓,gâi,gâi,0,False,True,False,False,False,False,False,False,False,False
厚,hiō,hiō,0,False,True,False,False,False,False,False,False,False,False
厥,khuat,khoat,0,False,True,False,False,False,False,True,False,False,False
厨,tû,tû,0,False,False,False,False,False,False,False,False,False,False
厭,iàm,iàm,0,False,True,False,False,False,True,True,False,False,False
厶,bôo,bô͘,0,False,False,False,False,False,False,False,False,False,False
去,khù,khù,0,False,True,False,False,False,False,False,False,False,False
去,khú,khú,0,False,False,False,False,False,False,False,False,False,False
双,song,song,0,False,True,False,False,False,False,False,False,False,False
叔,siok,siok,0,False,True,False,False,False,False,False,False,False,False
取,tshí,chhí,0,False,True,False,False,False,False,False,False,False,False
口,khió,khió,0,False,True,False,False,False,False,False,False,False,False
叫,kiàu,kiàu,0,False,True,False,False,False,False,False,False,False,False
叭,phuat,phoat,0,False,True,False,False,False,False,False,False,False,False
叶,hia̍p,hia̍p,0,False,True,False,False,False,False,False,False,False,False
吃,git,git,0,False,False,False,False,False,False,False,False,False,False
吃,gut,gut,0,False,True,False,False,False,False,False,False,False,False
吉,kia̍t,kia̍t,0,False,False,False,False,False,False,False,False,False,False
吉,kit,kit,0,False,False,False,False,False,False,False,False,False,False
吉貝,kia̍t,kia̍t,0,False,False,False,False,False,False,False,False,False,False
向,hiùnn,hiùⁿ,0,False,False,False,False,False,False,True,False,False,False
吝,līn,līn,0,False,True,False,False,False,False,False,False,False,False
吠,huī,hūi,0,False,True,False,False,False,False,False,False,False,False
否,hió,hió,0,False,False,False,False,False,False,False,False,False,True
吹,chho̤,chho̤,0,False,False,False,False,False,False,False,False,False,False
吻,bún,bún,0,False,True,False,False,False,True,True,False,False,False
呃,o̤h,o̤h,0,False,False,False,False,False,False,False,False,False,False
呆,gâi,gâi,0,False,False,False,False,False,False,True,False,False,False
呈,thìng,thèng,0,False,False,False,False,False,False,False,False,False,False
呈,thíng,théng,0,False,False,False,False,False,False,False,False,False,False
呌,kiàu,kiàu,0,False,True,False,False,False,False,False,False,False,False
呑,thún,thún,0,False,False,False,False,False,False,False,False,False,False
呑,thûn,thûn,0,False,False,False,False,False,False,False,False,False,False
呠,phún,phún,0,False,True,False,False,False,False,False,False,False,False
咀,tsua̍h,choa̍h,0,False,False,False,False,False,False,False,False,False,False
咄,tu̍t,tu̍t,0,False,True,False,False,False,False,True,False,False,False
和,ho,ho,0,False,False,False,False,False,False,False,False,False,False
和,hoh,hoh,0,False,False,False,False,False,False,False,False,False,False
和,ho̍h,ho̍h,0,False,False,False,False,False,False,False,False,False,False
和,hô̤,hô̤,0,False,False,False,False,False,False,False,False,False,False
咢,go̍k,go̍k,0,False,True,False,False,False,False,False,False,False,False
咳,hâi,hâi,0,False,True,False,False,False,False,False,False,False,False
