hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
處,tè,tè,633,False,False,False,False,False,False,False,False,False,False
蔡,tshuā,chhōa,631,False,False,False,False,False,False,False,False,False,False
那,nà,nà,627,False,False,False,False,False,False,False,False,False,False
亐,khui,khui,622,False,False,False,False,False,False,False,False,False,False
条,tiâu,tiâu,621,False,False,False,False,False,False,False,False,False,False
來,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
奈,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
柰,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
瀬,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
癩,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
耐,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
頼,lāi,lāi,603,False,False,False,False,False,False,False,False,False,False
勝,sin,sin,585,False,False,False,False,False,False,False,False,False,False
鯓,sin,sin,585,False,False,False,False,False,False,False,False,False,False
先生,sin,sin,585,False,False,False,False,False,False,False,False,False,False
以經,í-king,í-keng,585,False,False,False,False,False,False,False,False,False,False
了后,liáu-āu,liáu-āu,584,False,False,False,False,False,False,False,False,False,False
擧,kú,kú,584,False,False,False,False,False,False,False,False,False,False
韮,kú,kú,584,False,False,False,False,False,False,False,False,False,False
寿,siū,siū,583,False,False,False,False,False,False,False,False,False,False
亀,kui,kui,578,False,False,False,False,False,False,False,False,False,False
帰,kui,kui,578,False,False,False,False,False,False,False,False,False,False
机,kui,kui,578,False,False,False,False,False,False,False,False,False,False
嘱,tsiok,chiok,560,False,False,False,False,False,False,False,False,False,False
姫,ki,ki,560,False,False,False,False,False,False,False,False,False,False
属,tsiok,chiok,560,False,False,False,False,False,False,False,False,False,False
琚,ki,ki,560,False,False,False,False,False,False,False,False,False,False
𠻘,tsiok,chiok,560,False,False,False,False,False,False,False,False,False,False
時拵,sî-tsūn,sî-chūn,559,False,False,False,False,False,False,False,False,False,False
時存,sî-tsūn,sî-chūn,559,False,False,False,False,False,False,False,False,False,False
橡,siāng,siāng,555,False,False,False,False,False,False,False,False,False,False
每,bué,bóe,555,False,False,False,False,False,False,False,False,False,False
像,siāng,siāng,555,False,False,False,False,False,False,False,False,False,False
同,siāng,siāng,555,False,False,False,False,False,False,False,False,False,False
螺絲,lōo,lō͘,554,False,False,False,False,False,False,False,False,False,False
螺糸,lōo,lō͘,554,False,False,False,False,False,False,False,False,False,False
叱,hia,hia,548,False,False,False,False,False,False,False,False,False,False
不通,m̄-thang,m̄-thang,547,False,False,False,False,False,False,False,False,False,False
头,thâu,thâu,547,False,False,False,False,False,False,False,False,False,False
镸,thâu,thâu,547,False,False,False,False,False,False,False,False,False,False
梦,bāng,bāng,544,False,False,False,False,False,False,False,False,False,False
加治,ka-tī,ka-tī,542,False,False,False,False,False,False,False,False,False,False
咳,hāi,hāi,531,False,False,False,False,False,False,False,False,False,False
𩼣,kè,kè,530,False,False,False,False,False,False,False,False,False,False
稼,kè,kè,530,False,False,False,False,False,False,False,False,False,False
眞正,tsin-tsiànn,chin-chiàⁿ,529,False,False,False,False,False,False,False,False,False,False
髓,suí,súi,525,False,False,False,False,False,False,False,False,False,False
省乜,siánn-mi̍h,siáⁿ-mi̍h,521,False,False,False,False,False,False,False,False,False,False
省乜,siánn-mí,siáⁿ-mí,521,False,False,False,False,False,False,False,False,False,False
省乜,sánn-mi̍h,sáⁿ-mi̍h,521,False,False,False,False,False,False,False,False,False,False
省乜,sím-mi̍h,sím-mi̍h,521,False,False,False,False,False,False,False,False,False,False
亜未,á-buē,á-bōe,510,False,False,False,False,False,False,False,False,False,False
亞未,á-buē,á-bōe,510,False,False,False,False,False,False,False,False,False,False
夭未,á-buē,á-bōe,510,False,False,False,False,False,False,False,False,False,False
橡,tshiūnn,chhiūⁿ,510,False,False,False,False,False,False,False,False,False,False
𫝑,sè,sè,503,False,False,False,False,False,False,False,False,False,False
壻,sè,sè,503,False,False,False,False,False,False,False,False,False,False
碎,sè,sè,503,False,False,False,False,False,False,False,False,False,False
属,sio̍k,sio̍k,501,False,False,False,False,False,False,False,False,False,False
帆,hông,hông,501,False,False,False,False,False,False,False,False,False,False
斗,tàu,tàu,501,False,False,False,False,False,False,False,False,False,False
昼,tàu,tàu,501,False,False,False,False,False,False,False,False,False,False
能凍,ē-tàng,ē-tàng,501,False,False,False,False,False,False,False,False,False,False
触,sio̍k,sio̍k,501,False,False,False,False,False,False,False,False,False,False
觸,sio̍k,sio̍k,501,False,False,False,False,False,False,False,False,False,False
閗,tàu,tàu,501,False,False,False,False,False,False,False,False,False,False
乎人,hông,hông,501,False,False,False,False,False,False,False,False,False,False
閗陣,tàu-tīn,tàu-tīn,500,False,False,False,False,False,False,False,False,False,False
歹世,pháinn-sè,pháiⁿ-sè,500,False,False,False,False,False,False,False,False,False,False
痰,tâm,tâm,500,False,False,False,False,False,False,False,False,False,False
有到,ū-kàu,ū-kàu,500,False,False,False,False,False,False,False,False,False,False
𤍠,jua̍h,joa̍h,500,False,False,False,False,False,False,False,False,False,False
靴哖,hiah-ni̍h,hiah-ni̍h,500,False,False,False,False,False,False,False,False,False,False
靴哖,hiah-nī,hiah-nī,500,False,False,False,False,False,False,False,False,False,False
靴年,hiah-ni̍h,hiah-ni̍h,500,False,False,False,False,False,False,False,False,False,False
靴年,hiah-nī,hiah-nī,500,False,False,False,False,False,False,False,False,False,False
查昏,tsa-hng,cha-hng,500,False,False,False,False,False,False,False,False,False,False
秤彩,tshìn-tshái,chhìn-chhái,500,False,False,False,False,False,False,False,False,False,False
戅,gōng,gōng,500,False,False,False,False,False,False,False,False,False,False
叱哖,hiah-ni̍h,hiah-ni̍h,500,False,False,False,False,False,False,False,False,False,False
夭未,iáu-buē,iáu-bōe,500,False,False,False,False,False,False,False,False,False,False
下脚,ē-kha,ē-kha,500,False,False,False,False,False,False,False,False,False,False
不者,m̄-tsiah,m̄-chiah,500,False,False,False,False,False,False,False,False,False,False
冬時,tang-sî,tang-sî,500,False,False,False,False,False,False,False,False,False,False
淡,tâm,tâm,500,False,False,False,False,False,False,False,False,False,False
叱哖,hiah-nī,hiah-nī,500,False,False,False,False,False,False,False,False,False,False
夭未,iá-buē,iá-bōe,500,False,False,False,False,False,False,False,False,False,False
叱年,hiah-ni̍h,hiah-ni̍h,500,False,False,False,False,False,False,False,False,False,False
叱年,hiah-nī,hiah-nī,500,False,False,False,False,False,False,False,False,False,False
妨,hong,hong,482,False,False,False,False,False,False,False,False,False,False
安盞,án-tsuánn,án-chóaⁿ,479,False,False,False,False,False,False,False,False,False,False
按盞,án-tsuánn,án-chóaⁿ,479,False,False,False,False,False,False,False,False,False,False
爲着,uī-tio̍h,ūi-tio̍h,472,False,False,False,False,False,False,False,False,False,False
夭,á,á,468,False,False,False,False,False,False,False,False,False,False
唖,á,á,468,False,False,False,False,False,False,False,False,False,False
亞,á,á,468,False,False,False,False,False,False,False,False,False,False
