hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
湊相共,tàu-sann-kāng,tàu-saⁿ-kāng,100,True,True,False,False,False,False,False,False,False,False
泡,bāu,bāu,100,True,True,False,False,False,False,True,False,False,False
泄,tshuah,chhoah,100,True,True,False,False,False,True,True,False,False,False
歸氣,kui-khì,kui-khì,100,True,True,False,False,False,True,True,False,False,False
查甫,tsa-poo,cha-po͘,100,True,True,False,False,False,False,False,False,False,False
查某囝仔,tsa-bóo-gín-á,cha-bó͘-gín-á,100,True,False,False,False,False,True,False,False,False,False
查夫,tsa-poo,cha-po͘,100,True,True,False,False,False,False,False,False,False,False
若多,guā-tsē,gōa-chē,100,True,False,False,False,False,False,True,False,False,False
挭,kīng,kēng,100,True,True,False,False,False,False,False,False,False,False
蚼蟻,káu-hiā,káu-hiā,100,True,True,False,False,False,True,False,False,False,False
青燈,tshenn-ting,chheⁿ-teng,100,True,False,False,False,False,True,False,False,False,False
斡頭,ua̍t-thâu,oa̍t-thâu,100,True,True,False,False,False,True,False,False,False,False
𣩈,tse,che,100,True,True,False,False,False,False,False,False,False,False
𣍐輸,bē-su,bē-su,100,True,True,False,False,False,False,False,False,False,False
𣍐赴,bē-hù,bē-hù,100,True,True,False,False,False,False,False,False,False,False
𣍐使,buē-sái,bōe-sái,100,True,True,False,False,False,False,False,False,False,False
𢻷,pe,pe,100,True,True,False,False,False,False,False,False,False,False
鯁,kénn,kéⁿ,100,True,True,False,False,False,False,False,False,False,False
骾,kénn,kéⁿ,100,True,True,False,False,False,True,True,False,False,False
飲酒,lim-tsiú,lim-chiú,100,True,False,False,False,False,False,True,False,False,False
飲水,lim-tsuí,lim-chuí,100,True,False,False,False,False,False,True,False,False,False
青,tshìnn,chhìⁿ,100,True,True,False,False,False,False,False,False,False,False
蠔仔,ô-á,ô-á,100,True,True,False,False,False,True,False,False,False,False
青,tshènn,chhèⁿ,100,True,True,False,False,False,False,False,False,False,False
震動,tín-tāng,tín-tāng,100,True,True,False,False,False,False,False,False,False,False
賺食,thàn-tsia̍h,thàn-chia̍h,100,True,True,False,False,False,False,False,False,False,False
賺錢,thàn-tsînn,thàn-chîⁿ,100,True,True,False,False,False,False,False,False,False,False
賢早,gâu-tsá,gâu-chá,100,True,True,False,False,False,False,True,False,False,False
諸夫,tsa-poo,cha-po͘,100,True,True,False,False,False,False,False,False,False,False
註文,tsù-bûn,chù-bûn,100,True,True,False,False,False,False,False,False,False,False
記念,kì-liām,kì-liām,100,True,False,False,False,False,False,True,False,False,False
親成,tshin-tsiânn,chhin-chiâⁿ,100,True,True,False,False,False,False,True,False,False,False
袜仔,bue̍h-á,boe̍h-á,100,True,True,False,False,False,False,False,False,False,False
明仔再,bîn-á-tsài,bîn-á-chài,100,True,True,False,False,False,False,True,False,False,False
客儂,kheh-lâng,kheh-lâng,100,True,True,False,False,False,False,False,False,False,False
敷,tshu,chhu,100,True,True,False,False,False,False,True,False,False,False
偎晝,uá-tàu,óa-tàu,100,True,True,False,False,False,False,False,False,False,False
嘴乾,tshuì-ta,chhùi-ta,100,True,False,False,False,False,False,True,False,False,False
喟力,khuì-la̍t,khùi-la̍t,100,True,True,False,False,False,False,False,False,False,False
喘喟,tshuán-khuì,chhoán-khùi,100,True,True,False,False,False,False,False,False,False,False
哭父,khàu-pē,khàu-pē,100,True,False,False,False,False,True,True,False,False,False
兮晡,ē-poo,ē-po͘,100,True,True,False,False,False,False,False,False,False,False
兮昏,e-hng,e-hng,100,True,True,False,False,False,False,False,False,False,False
價賬,kè-siàu,kè-siàu,100,True,True,False,False,False,False,False,False,False,False
僐,siān,siān,100,True,True,False,False,False,False,False,False,False,True
敕桃,tshit-thô,chhit-thô,100,True,True,False,False,False,False,False,False,False,False
做穡,tsoh-sit,choh-sit,100,True,True,False,False,False,True,False,False,False,False
倦,siān,siān,100,True,True,False,False,False,False,True,False,False,False
嘴齒,tshuì-khí,chhùi-khí,100,True,True,False,False,False,True,True,False,False,False
佩,phua̍h,phoa̍h,100,True,True,False,False,False,True,False,False,False,False
