tl,hanzi,frequency,poj
khok,扣,50,khok
tshé,扯,50,chhé
tih,抵,50,tih
gia̍p,挾,50,gia̍p
nge̍h,挾,50,nge̍h
luah,捋,50,loah
tshih,揤,50,chhih
ui,揻,50,ui
giáu,搝,50,giáu
giú,搝,50,giú
me,搣,50,me
mi,搣,50,mi
tsô,摷,50,chô
ngiáu,撓,50,ngiáu
to̍h,擇,50,to̍h
tiak,擉,50,tiak
tshuân,攢,50,chhoân
thik,敕,50,thek
tsuīnn,旋,50,chūiⁿ
hō,昊,50,hō
io̍k,昱,50,io̍k
tshióng,昶,50,chhióng
sīng,晟,50,sēng
hui,暉,50,hui
phoh,朴,50,phoh
pho̍h,朴,50,pho̍h
tsa-bóo-pîng-iú,查某朋友,50,cha-bó͘-pêng-iú
kông,栱,50,kông
huān,梵,50,hoān
hùn,楦,50,hùn
hop,欱,50,hop
nái,氖,50,nái
hāi,氦,50,hāi
khin,氫,50,khin
li̍k,氯,50,le̍k
ki̍t,汔,50,ki̍t
suann,汕,50,soaⁿ
hóng,汞,50,hóng
phe̍h,沫,50,phe̍h
phe̍rh,沫,50,phe̍rh
pho,泡,50,pho
phū,浡,50,phū
nuā,涎,50,nōa
siânn,涎,50,siâⁿ
hiù,溴,50,hiù
kut,滑,50,kut
tshak,漆,50,chhak
kà,漖,50,kà
siap,澀,50,siap
bî,瀰,50,bî
tsia̍h,炸,50,chia̍h
iok,煜,50,iok
iāng,煬,50,iāng
thn̄g,熥,50,thn̄g
lîn,燐,50,lîn
lerê,犁,50,lêre
suân,璿,50,soân
luî,癗,50,lûi
gîn,睨,50,gîn
king,矜,50,keng
tsainn,知,50,chaiⁿ
sia̍k,矽,50,sia̍k
kih,砌,50,kih
lún,碖,50,lún
iū,祐,50,iū
jiông,禳,50,jiông
ta̍t,笛,50,ta̍t
ti̍k,笛,50,te̍k
lerē,笠,50,lēre
thuàn,篆,50,thoàn
buê,糜,50,bôe
bêr,糜,50,bêr
kuǎn,縣,50,koǎn
u̍t,聿,50,u̍t
ôo,胡,50,ô͘
tship,艥,50,chhip
kho5,苛,50,khô
tshiang,菖,50,chhiang
suan,萱,50,soan
pha,葩,50,pha
phà,葩,50,phà
kueh,蕨,50,koeh
khing,虹,50,kheng
khīng,虹,50,khēng
hā,蚶,50,hā
hē,蟹,50,hē
