tl,hanzi,frequency,poj,tl_num,poj_num
khí-kue-mn̂g-kâu,起雞毛猴,12,khí-koe-mn̂g-kâu,khi2kue1mng5kau5,khi2koe1mng5kau5
thàn-bô-kàu-īng,趁無夠用,12,thàn-bô-kàu-ēng,than3bo5kau3ing7,than3bo5kau3eng7
thàn-tsia̍h-bâ-á,趁食媌仔,12,thàn-chia̍h-bâ-á,than3tsiah8ba5a2,than3chiah8ba5a2
tshiau-kip-tshī-tiûnn,超級市場,12,chhiau-kip-chhī-tiûⁿ,tshiau1kip4tshi7tiunn5,chhiau1kip4chhi7tiunn5
tshiau-im-bi̍t-pô,超音密婆,12,chhiau-im-bi̍t-pô,tshiau1im1bit8po5,chhiau1im1bit8po5
tiô-kha-tǹg-tê,趒跤頓蹄,12,tiô-kha-tǹg-tê,tio5kha1tng3te5,tio5kha1tng3te5
kuánn-iûnn-á-káu,趕羊仔狗,12,kóaⁿ-iûⁿ-á-káu,kuann2iunn5a2kau2,koann2iunn5a2kau2
kuánn-kuánn-kín-kín,趕趕緊緊,12,kóaⁿ-kóaⁿ-kín-kín,kuann2kuann2kin2kin2,koann2koann2kin2kin2
sô-kha-sô-tshiú,趖跤趖手,12,sô-kha-sô-chhiú,so5kha1so5tshiu2,so5kha1so5chhiu2
gìm-ku-gìm-ku,趛痀趛痀,12,gìm-ku-gìm-ku,gim3ku1gim3ku1,gim3ku1gim3ku1
tshu-pang-á-tshia,趨枋仔車,12,chhu-pang-á-chhia,tshu1pang1a2tshia1,chhu1pang1a2chhia1
tsiok-kú-bô-khuànn,足久無看,12,chiok-kú-bô-khòaⁿ,tsiok4ku2bo5khuann3,chiok4ku2bo5khoann3
tsiok-m̄-kam-guān,足毋甘願,12,chiok-m̄-kam-goān,tsiok4m7kam1guan7,chiok4m7kam1goan7
tsiok-hàm--ê,足譀的,12,chiok-hàm--ê,tsiok4ham3e5,chiok4ham3e5
tsiok-tsán--ê,足讚的,12,chiok-chán--ê,tsiok4tsan2e5,chiok4chan2e5
pua̍h-i-ē-lak,跋伊會落,12,poa̍h-i-ē-lak,puah8i1e7lak4,poah8i1e7lak4
pháu-tshia-li̍k-lōo,跑車碌路,12,pháu-chhia-le̍k-lō͘,phau2tshia1lik8loo7,phau2chhia1lek8loo7
liam-kha-bih-tshiú,跕跤覕手,12,liam-kha-bih-chhiú,liam1kha1bih4tshiu2,liam1kha1bih4chhiu2
liam-kha-neh-tshiú,跕跤跕手,12,liam-kha-neh-chhiú,liam1kha1neh4tshiu2,liam1kha1neh4chhiu2
kha-āu-tóo-jîn,跤後肚仁,12,kha-āu-tó͘-jîn,kha1au7too2jin5,kha1au7too2jin5
kha-tshiú-hōo-liâm,跤手互連,12,kha-chhiú-hō͘-liâm,kha1tshiu2hoo7liam5,kha1chhiu2hoo7liam5
kha-tshiú-tsa̍p-tsiok,跤手十足,12,kha-chhiú-cha̍p-chiok,kha1tshiu2tsap8tsiok4,kha1chhiu2chap8chiok4
kha-tsíng-thâu-á,跤指頭仔,12,kha-chéng-thâu-á,kha1tsing2thau5a2,kha1cheng2thau5a2
kha-tsíng-thâu-kong,跤指頭公,12,kha-chéng-thâu-kong,kha1tsing2thau5kong1,kha1cheng2thau5kong1
kha-sau--ê,跤梢的,12,kha-sau--ê,kha1sau1e5,kha1sau1e5
kha-pōo-tshiú-lōo,跤步手路,12,kha-pō͘-chhiú-lō͘,kha1poo7tshiu2loo7,kha1poo7chhiu2loo7
kha-pōo-ta̍h-tsha,跤步踏差,12,kha-pō͘-ta̍h-chha,kha1poo7tah8tsha1,kha1poo7tah8chha1
kha-ta-tshiú-ta,跤焦手焦,12,kha-ta-chhiú-ta,kha1ta1tshiu2ta1,kha1ta1chhiu2ta1
kha-kông-tshiú-luān,跤狂手亂,12,kha-kông-chhiú-loān,kha1kong5tshiu2luan7,kha1kong5chhiu2loan7
kha-khuê-tshiú-tsi̍h,跤瘸手折,12,kha-khôe-chhiú-chi̍h,kha1khue5tshiu2tsih8,kha1khoe5chhiu2chih8
kha-khê-tshiú-tsi̍h,跤瘸手折,12,kha-khê-chhiú-chi̍h,kha1khe5tshiu2tsih8,kha1khe5chhiu2chih8
kha-ba̍k-oo-àm,跤目烏暗,12,kha-ba̍k-o͘-àm,kha1bak8oo1am3,kha1bak8oo1am3
kha-ta̍h-si̍t-tē,跤踏實地,12,kha-ta̍h-si̍t-tē,kha1tah8sit8te7,kha1tah8sit8te7
kha-ta̍h-tshia-á,跤踏車仔,12,kha-ta̍h-chhia-á,kha1tah8tshia1a2,kha1tah8chhia1a2
kha-thâu-u-ē,跤頭趺下,12,kha-thâu-u-ē,kha1thau5u1e7,kha1thau5u1e7
kha-thâu-u-uánn,跤頭趺碗,12,kha-thâu-u-óaⁿ,kha1thau5u1uann2,kha1thau5u1oann2
kha-thâu-u-kut,跤頭趺骨,12,kha-thâu-u-kut,kha1thau5u1kut4,kha1thau5u1kut4
khuà-hái-tuā-kiô,跨海大橋,12,khòa-hái-tōa-kiô,khua3hai2tua7kio5,khoa3hai2toa7kio5
tsuāi-lâi-tsuāi-khì,跩來跩去,12,choāi-lâi-choāi-khì,tsuai7lai5tsuai7khi3,choai7lai5choai7khi3
tsuāi-lâi-tsuāinn-khì,跩來跩去,12,choāi-lâi-choāiⁿ-khì,tsuai7lai5tsuainn7khi3,choai7lai5choainn7khi3
kuī-kuī-kha̍p-kha̍p,跪跪磕磕,12,kūi-kūi-kha̍p-kha̍p,kui7kui7khap8khap8,kui7kui7khap8khap8
lōo-kau-á-bê,路溝仔糜,12,lō͘-kau-á-bê,loo7kau1a2be5,loo7kau1a2be5
lōo-kôo-muê-á,路糊糜仔,12,lō͘-kô͘-môe-á,loo7koo5mue5a2,loo7koo5moe5a2
lōo-pinn-siau-sik,路邊消息,12,lō͘-piⁿ-siau-sek,loo7pinn1siau1sik4,loo7pinn1siau1sek4
thiàu-tshiûnn-tháng-á,跳牆桶仔,12,thiàu-chhiûⁿ-tháng-á,thiau3tshiunn5thang2a2,thiau3chhiunn5thang2a2
thiàu-bú--ê,跳舞--的,12,thiàu-bú--ê,thiau3bu2e5,thiau3bu2e5
