hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo,is_variant
丅,hā,50,hā,ha7,ha7,ha,ha,,,True,False
丅,hē,50,hē,he7,he7,he,he,,,True,False
丅,hēe,50,hēe,hee7,hee7,hee,hee,,,True,False
丅,hě,50,hě,he6,he6,he,he,,,True,False
丅,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True,False
丅,khē,50,khē,khe7,khe7,khe,khe,,,True,False
丅,khě,50,khě,khe6,khe6,khe,khe,,,True,False
丅,ē,50,ē,e7,e7,e,e,,,True,False
丅,ēe,50,ēe,ee7,ee7,ee,ee,,,True,False
丅,ě,50,ě,e6,e6,e,e,,,True,False
丈,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True,False
丈,tňg,50,tňg,tng6,tng6,tng,tng,,,True,False
上,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True,False
下,hēe,50,hēe,hee7,hee7,hee,hee,,,True,False
下,hě,50,hě,he6,he6,he,he,,,True,False
下,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True,False
下,khě,50,khě,khe6,khe6,khe,khe,,,True,False
下,ēe,50,ēe,ee7,ee7,ee,ee,,,True,False
且,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
且,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
並,pǐng,50,pěng,ping6,peng6,ping,peng,,,True,False
丨,kún,50,kún,kun2,kun2,kun,kun,,,True,False
丶,tsú,50,chú,tsu2,chu2,tsu,chu,,,True,False
丷,pat,50,pat,pat4,pat4,pat,pat,,,True,False
丼,tsénn,50,chéⁿ,tsenn2,chenn2,tsenn,chenn,,,True,False
丼,tsínn,50,chíⁿ,tsinn2,chinn2,tsinn,chinn,,,True,False
丼,tám,50,tám,tam2,tam2,tam,tam,,,True,False
乁,î,50,î,i5,i5,i,i,,,True,False
乚,írn,50,írn,irn2,irn2,irn,irn,,,True,False
乚,ún,50,ún,un2,un2,un,un,,,True,False
也,iǎ,50,iǎ,ia6,ia6,ia,ia,,,True,False
也,ǎ,50,ǎ,a6,a6,a,a,,,True,False
乿,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
予,ír,50,ír,ir2,ir2,ir,ir,,,True,False
予,îr,50,îr,ir5,ir5,ir,ir,,,True,False
事,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True,False
事,tsù,50,chù,tsu3,chu3,tsu,chu,,,True,False
于,ir,50,ir,ir1,ir1,ir,ir,,,True,False
于,îr,50,îr,ir5,ir5,ir,ir,,,True,False
五,góo,50,gó͘,goo2,goo2,goo,goo,,,True,False
五,ngōo,50,ngō͘,ngoo7,ngoo7,ngoo,ngoo,,,True,False
亖,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
亖,sù,50,sù,su3,su3,su,su,,,True,False
亗,hè,50,hè,he3,he3,he,he,,,True,False
亗,hèr,50,hèr,her3,her3,her,her,,,True,False
亗,suè,50,sòe,sue3,soe3,sue,soe,,,True,False
亝,tsai,50,chai,tsai1,chai1,tsai,chai,,,True,False
亝,tserê,50,chêre,tsere5,chere5,tsere,chere,,,True,False
亝,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
亝,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
亝,tsuê,50,chôe,tsue5,choe5,tsue,choe,,,True,False
亝,tsê,50,chê,tse5,che5,tse,che,,,True,False
亠,thiô,50,thiô,thio5,thio5,thio,thio,,,True,False
亥,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True,False
亻,jîn,50,jîn,jin5,jin5,jin,jin,,,True,False
亻,lîn,50,lîn,lin5,lin5,lin,lin,,,True,False
仄,tseeh,50,cheeh,tseeh4,cheeh4,tseeh,cheeh,,,True,False
仔,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
仔,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
仔,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
仕,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
仕,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
仗,thiōng,50,thiōng,thiong7,thiong7,thiong,thiong,,,True,False
仗,thiǒng,50,thiǒng,thiong6,thiong6,thiong,thiong,,,True,False
仗,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True,False
仟,tshainn,50,chhaiⁿ,tshainn1,chhainn1,tshainn,chhainn,,,True,True
仟,tshan,50,chhan,tshan1,chhan1,tshan,chhan,,,True,False
仟,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True,True
仟,tshuinn,50,chhuiⁿ,tshuinn1,chhuinn1,tshuinn,chhuinn,,,True,True
代,tēr,50,tēr,ter7,ter7,ter,ter,,,True,False
件,kiǎnn,50,kiǎⁿ,kiann6,kiann6,kiann,kiann,,,True,False
伃,îr,50,îr,ir5,ir5,ir,ir,,,True,False
伅,tūn,50,tūn,tun7,tun7,tun,tun,,,True,False
伅,tǔn,50,tǔn,tun6,tun6,tun,tun,,,True,False
伍,gōo,50,gō͘,goo7,goo7,goo,goo,,,True,False
伍,gǒo,50,gǒ͘,goo6,goo6,goo,goo,,,True,False
伎,kǐ,50,kǐ,ki6,ki6,ki,ki,,,True,False
伙,hér,50,hér,her2,her2,her,her,,,True,False
伢,gâ,50,gâ,ga5,ga5,ga,ga,,,True,False
伢,gê,50,gê,ge5,ge5,ge,ge,,,True,False
伫,tīr,50,tīr,tir7,tir7,tir,tir,,,True,False
伫,tū,50,tū,tu7,tu7,tu,tu,,,True,False
伫,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True,False
伬,tshē,50,chhē,tshe7,chhe7,tshe,chhe,,,True,False
伬,tshě,50,chhě,tshe6,chhe6,tshe,chhe,,,True,False
伯,peeh,50,peeh,peeh4,peeh4,peeh,peeh,,,True,False
伴,phuǎn,50,phoǎn,phuan6,phoan6,phuan,phoan,,,True,False
伷,tiū,50,tiū,tiu7,tiu7,tiu,tiu,,,True,False
伷,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu,,,True,False
伹,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
伹,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
伺,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
伺,sù,50,sù,su3,su3,su,su,,,True,False
伺,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
伻,phinn,50,phiⁿ,phinn1,phinn1,phinn,phinn,,,True,False
似,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
似,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
佀,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
佀,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
佃,tirīnn,50,tīriⁿ,tirinn7,tirinn7,tirinn,tirinn,,,True,False
佃,tuīnn,50,tūiⁿ,tuinn7,tuinn7,tuinn,tuinn,,,True,False
但,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True,False
佇,tír,50,tír,tir2,tir2,tir,tir,,,True,False
佇,tú,50,tú,tu2,tu2,tu,tu,,,True,False
佉,khir,50,khir,khir1,khir1,khir,khir,,,True,False
佌,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
低,kēe,50,kēe,kee7,kee7,kee,kee,,,True,False
低,kě,50,kě,ke6,ke6,ke,ke,,,True,False
余,îr,50,îr,ir5,ir5,ir,ir,,,True,False
佢,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
佢,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True,False
佩,pē,50,pē,pe7,pe7,pe,pe,,,True,False
佩,pēr,50,pēr,per7,per7,per,per,,,True,False
佳,kee,50,kee,kee1,kee1,kee,kee,,,True,False
佽,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir,,,True,False
使,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
使,sír,50,sír,sir2,sir2,sir,sir,,,True,False
侍,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
供,kirínn,50,kíriⁿ,kirinn2,kirinn2,kirinn,kirinn,,,True,False
供,kuínn,50,kúiⁿ,kuinn2,kuinn2,kuinn,kuinn,,,True,False
供,káinn,50,káiⁿ,kainn2,kainn2,kainn,kainn,,,True,False
侞,jîr,50,jîr,jir5,jir5,jir,jir,,,True,False
侞,lîr,50,lîr,lir5,lir5,lir,lir,,,True,False
侞,lû,50,lû,lu5,lu5,lu,lu,,,True,False
侢,tsǎi,50,chǎi,tsai6,chai6,tsai,chai,,,True,False
侶,līr,50,līr,lir7,lir7,lir,lir,,,True,False
侶,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True,False
俆,sir,50,sir,sir1,sir1,sir,sir,,,True,False
俆,su,50,su,su1,su1,su,su,,,True,False
俆,sîr,50,sîr,sir5,sir5,sir,sir,,,True,False
俔,hiān,50,hiān,hian7,hian7,hian,hian,,,True,False
俔,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True,False
俔,kiàn,50,kiàn,kian3,kian3,kian,kian,,,True,False
俟,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
俟,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
俥,kir,50,kir,kir1,kir1,kir,kir,,,True,False
俬,sir,50,sir,sir1,sir1,sir,sir,,,True,False
俬,su,50,su,su1,su1,su,su,,,True,False
俴,tsiān,50,chiān,tsian7,chian7,tsian,chian,,,True,False
俴,tsiǎn,50,chiǎn,tsian6,chian6,tsian,chian,,,True,False
俽,herm,50,herm,herm1,herm1,herm,herm,,,True,False
倃,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu,,,True,False
倍,puě,50,pǒe,pue6,poe6,pue,poe,,,True,False
倖,hǐng,50,hěng,hing6,heng6,hing,heng,,,True,False
倖,sǐng,50,sěng,sing6,seng6,sing,seng,,,True,False
倨,kìr,50,kìr,kir3,kir3,kir,kir,,,True,False
倪,gerê,50,gêre,gere5,gere5,gere,gere,,,True,False
倭,er,50,er,er1,er1,er,er,,,True,False
倱,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True,False
倳,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True,False
倽,siáng,50,siáng,siang2,siang2,siang,siang,,,True,False
倽,siâng,50,siâng,siang5,siang5,siang,siang,,,True,False
假,kèe,50,kèe,kee3,kee3,kee,kee,,,True,False
假,kée,50,kée,kee2,kee2,kee,kee,,,True,False
偈,kì,50,kì,ki3,ki3,ki,ki,,,True,False
偈,kē,50,kē,ke7,ke7,ke,ke,,,True,False
偈,kī,50,kī,ki7,ki7,ki,ki,,,True,False
偌,luǎ,50,lǒa,lua6,loa6,lua,loa,,,True,False
偒,tōng,50,tōng,tong7,tong7,tong,tong,,,True,False
偒,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True,False
偡,tām,50,tām,tam7,tam7,tam,tam,,,True,False
偡,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
偦,sir,50,sir,sir1,sir1,sir,sir,,,True,False
偦,su,50,su,su1,su1,su,su,,,True,False
偦,sír,50,sír,sir2,sir2,sir,sir,,,True,False
偦,sú,50,sú,su2,su2,su,su,,,True,False
偨,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
偨,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
偩,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True,False
偫,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
偲,sir,50,sir,sir1,sir1,sir,sir,,,True,False
傂,tī,50,tī,ti7,ti7,ti,ti,,,True,False
傂,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
傐,hō,50,hō,ho7,ho7,ho,ho,,,True,False
傐,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
傢,kee,50,kee,kee1,kee1,kee,kee,,,True,False
債,tseh,50,cheh,tseh4,cheh4,tseh,cheh,,,True,False
債,tserh,50,cherh,tserh4,cherh4,tserh,cherh,,,True,False
債,tsèe,50,chèe,tsee3,chee3,tsee,chee,,,True,False
債,tsèr,50,chèr,tser3,cher3,tser,cher,,,True,False
僎,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan,,,True,False
像,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True,False
像,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,tshiunn,chhiunn,,,True,False
僐,siān,50,siān,sian7,sian7,sian,sian,,,True,True
僐,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True,False
僩,hān,50,hān,han7,han7,han,han,,,True,False
僩,hǎn,50,hǎn,han6,han6,han,han,,,True,False
價,kèe,50,kèe,kee3,kee3,kee,kee,,,True,False
僿,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
僿,sù,50,sù,su3,su3,su,su,,,True,False
儂,lâng,50,lâng,lang5,lang5,lang,lang,,,True,True
儘,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True,False
儡,lér,50,lér,ler2,ler2,ler,ler,,,True,False
儢,līr,50,līr,lir7,lir7,lir,lir,,,True,False
儢,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True,False
儩,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
儩,sù,50,sù,su3,su3,su,su,,,True,False
儲,thír,50,thír,thir2,thir2,thir,thir,,,True,False
儲,thîr,50,thîr,thir5,thir5,thir,thir,,,True,False
儲,thú,50,thú,thu2,thu2,thu,thu,,,True,False
儿,lîn,50,lîn,lin5,lin5,lin,lin,,,True,False
允,írn,50,írn,irn2,irn2,irn,irn,,,True,False
兆,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau,,,True,False
兆,tiǒ,50,tiǒ,tio6,tio6,tio,tio,,,True,False
先,sirinn,50,siriⁿ,sirinn1,sirinn1,sirinn,sirinn,,,True,False
兕,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
兕,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
典,tirínn,50,tíriⁿ,tirinn2,tirinn2,tirinn,tirinn,,,True,False
典,tuínn,50,túiⁿ,tuinn2,tuinn2,tuinn,tuinn,,,True,False
冊,tsheeh,50,chheeh,tsheeh4,chheeh4,tsheeh,chheeh,,,True,False
冑,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu,,,True,False
凥,kir,50,kir,kir1,kir1,kir,kir,,,True,False
刂,to,50,to,to1,to1,to,to,,,True,False
切,tshereh,50,chhereh,tshereh4,chhereh4,tshereh,chhereh,,,True,False
刞,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir,,,True,False
刞,tshù,50,chhù,tshu3,chhu3,tshu,chhu,,,True,False
刷,seh,50,seh,seh4,seh4,seh,seh,,,True,False
刷,serh,50,serh,serh4,serh4,serh,serh,,,True,False
前,tsirînn,50,chîriⁿ,tsirinn5,chirinn5,tsirinn,chirinn,,,True,False
剚,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True,False
剺,le̍eh,50,le̍eh,leeh8,leeh8,leeh,leeh,,,True,False
剾,there,50,there,there1,there1,there,there,,,True,False
劃,ere̍h,50,e̍reh,ereh8,ereh8,ereh,ereh,,,True,False
加,kee,50,kee,kee1,kee1,kee,kee,,,True,False
劤,kìrn,50,kìrn,kirn3,kirn3,kirn,kirn,,,True,False
劤,kùn,50,kùn,kun3,kun3,kun,kun,,,True,False
努,lōo,50,lō͘,loo7,loo7,loo,loo,,,True,False
努,lǒo,50,lǒ͘,loo6,loo6,loo,loo,,,True,False
劯,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
劯,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
勏,piō,50,piō,pio7,pio7,pio,pio,,,True,False
勏,piǒ,50,piǒ,pio6,pio6,pio,pio,,,True,False
動,tǎng,50,tǎng,tang6,tang6,tang,tang,,,True,False
勥,kiōng,50,kiōng,kiong7,kiong7,kiong,kiong,,,True,False
勥,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong,,,True,False
勭,tông,50,tông,tong5,tong5,tong,tong,,,True,False
勭,tōng,50,tōng,tong7,tong7,tong,tong,,,True,False
勭,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True,False
勮,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
勮,kū,50,kū,ku7,ku7,ku,ku,,,True,False
勴,līr,50,līr,lir7,lir7,lir,lir,,,True,False
匷,kîr,50,kîr,kir5,kir5,kir,kir,,,True,False
匷,kû,50,kû,ku5,ku5,ku,ku,,,True,False
匸,hē,50,hē,he7,he7,he,he,,,True,False
匸,hě,50,hě,he6,he6,he,he,,,True,False
千,tshan,50,chhan,tshan1,chhan1,tshan,chhan,,,True,False
千,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True,False
午,ngió,50,ngió,ngio2,ngio2,ngio,ngio,,,True,False
即,tsit,50,chit,tsit4,chit4,tsit,chit,,,True,True
厚,hiǒ,50,hiǒ,hio6,hio6,hio,hio,,,True,False
厵,guân,50,goân,guan5,goan5,guan,goan,,,True,False
厶,sir,50,sir,sir1,sir1,sir,sir,,,True,False
厺,khìr,50,khìr,khir3,khir3,khir,khir,,,True,False
叉,tshee1,50,chhee,tshee1,chhee1,tshee,chhee,,,True,False
反,pirínn,50,píriⁿ,pirinn2,pirinn2,pirinn,pirinn,,,True,False
叒,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True,False
叓,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
叓,sū,50,sū,su7,su7,su,su,,,True,False
受,siǔ,50,siǔ,siu6,siu6,siu,siu,,,True,False
叙,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
叙,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
古,kió,50,kió,kio2,kio2,kio,kio,,,True,False
史,sír,50,sír,sir2,sir2,sir,sir,,,True,False
司,sir,50,sir,sir1,sir1,sir,sir,,,True,False
吇,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
吇,tsú,50,chú,tsu2,chu2,tsu,chu,,,True,False
后,hiǒ,50,hiǒ,hio6,hio6,hio,hio,,,True,False
吪,êr,50,êr,er5,er5,er,er,,,True,False
听,gírn,50,gírn,girn2,girn2,girn,girn,,,True,False
听,gún,50,gún,gun2,gun2,gun,gun,,,True,False
吮,sūn,50,sūn,sun7,sun7,sun,sun,,,True,False
吮,sǔn,50,sǔn,sun6,sun6,sun,sun,,,True,False
呂,līr,50,līr,lir7,lir7,lir,lir,,,True,False
呂,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True,False
呃,erh,50,erh,erh4,erh4,erh,erh,,,True,False
呃,e̍rh,50,e̍rh,erh8,erh8,erh,erh,,,True,False
呃,irh,50,irh,irh4,irh4,irh,irh,,,True,False
呃,èr,50,èr,er3,er3,er,er,,,True,False
呰,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
呲,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
呲,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
呼,kher,50,kher,kher1,kher1,kher,kher,,,True,False
呿,khir,50,khir,khir1,khir1,khir,khir,,,True,False
咀,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True,False
咀,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
咀,tsǐr,50,chǐr,tsir6,chir6,tsir,chir,,,True,False
咊,hê,50,hê,he5,he5,he,he,,,True,False
咊,hêr,50,hêr,her5,her5,her,her,,,True,False
咊,hôo,50,hô͘,hoo5,hoo5,hoo,hoo,,,True,False
咊,hōo,50,hō͘,hoo7,hoo7,hoo,hoo,,,True,False
和,hêr,50,hêr,her5,her5,her,her,,,True,False
咎,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu,,,True,False
咧,eh,50,eh,eh4,eh4,eh,eh,,,True,False
咧,lerh,50,lerh,lerh4,lerh4,lerh,lerh,,,True,False
咧,lirh,50,lirh,lirh4,lirh4,lirh,lirh,,,True,False
咧,terh,50,terh,terh4,terh4,terh,terh,,,True,False
咨,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
哆,thēe,50,thēe,thee7,thee7,thee,thee,,,True,False
哯,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True,False
哽,ke̍h,50,ke̍h,keh8,keh8,keh,keh,,,True,False
唄,pāi,50,pāi,pai7,pai7,pai,pai,,,True,False
唪,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
唪,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
唫,kīm,50,kīm,kim7,kim7,kim,kim,,,True,False
唫,kǐm,50,kǐm,kim6,kim6,kim,kim,,,True,False
唵,ám,50,ám,am2,am2,am,am,,,True,False
唹,ir,50,ir,ir1,ir1,ir,ir,,,True,False
唹,u,50,u,u1,u1,u,u,,,True,False
唼,sap,50,sap,sap4,sap4,sap,sap,,,True,False
啊,iah,50,iah,iah4,iah4,iah,iah,,,True,False
啖,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
啗,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
啙,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
啙,tsú,50,chú,tsu2,chu2,tsu,chu,,,True,False
啜,tsheh,50,chheh,tsheh4,chheh4,tsheh,chheh,,,True,False
啜,tshereh,50,chhereh,tshereh4,chhereh4,tshereh,chhereh,,,True,False
啜,tsherh,50,chherh,tsherh4,chherh4,tsherh,chherh,,,True,False
啜,tshn̍gh,50,chhn̍gh,tshngh8,chhngh8,tshngh,chhngh,,,True,False
啜,tshueh,50,chhoeh,tshueh4,chhoeh4,tshueh,chhoeh,,,True,False
啞,ée,50,ée,ee2,ee2,ee,ee,,,True,False
啿,tām,50,tām,tam7,tam7,tam,tam,,,True,False
啿,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
善,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True,False
喏,hiā,50,hiā,hia7,hia7,hia,hia,,,True,False
喏,hiǎ,50,hiǎ,hia6,hia6,hia,hia,,,True,False
喏,liá,50,liá,lia2,lia2,lia,lia,,,True,False
單,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True,False
嗔,tshin,50,chhin,tshin1,chhin1,tshin,chhin,,,True,False
嗞,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
嗞,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
嗣,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
嗲,terh,50,terh,terh4,terh4,terh,terh,,,True,False
嗲,te̍rh,50,te̍rh,terh8,terh8,terh,terh,,,True,False
嘉,kee,50,kee,kee1,kee1,kee,kee,,,True,False
嘙,pô,50,pô,po5,po5,po,po,,,True,False
