tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsuá-tshó,紙草,25,chóa-chhó,tsua2tsho2,choa2chho2,tsuatsho,choachho
tsuá-hóo,紙虎,25,chóa-hó͘,tsua2hoo2,choa2hoo2,tsuahoo,choahoo
tsuá-hâng,紙行,25,chóa-hâng,tsua2hang5,choa2hang5,tsuahang,choahang
tsuá-sann,紙衫,25,chóa-saⁿ,tsua2sann,choa2sann,tsuasann,choasann
tsuá-phē,紙被,25,chóa-phē,tsua2phe7,choa2phe7,tsuaphe,choaphe
tsuá-kak,紙角,25,chóa-kak,tsua2kak,choa2kak,tsuakak,choakak
tsuá-sin,紙身,25,chóa-sin,tsua2sin,choa2sin,tsuasin,choasin
tsuá-kiō,紙轎,25,chóa-kiō,tsua2kio7,choa2kio7,tsuakio,choakio
tsuá-kim,紙金,25,chóa-kim,tsua2kim,choa2kim,tsuakim,choakim
tsuá-ting,紙釘,25,chóa-teng,tsua2ting,choa2teng,tsuating,choateng
tsuá-gûn,紙銀,25,chóa-gûn,tsua2gun5,choa2gun5,tsuagun,choagun
tsuá-tsînn,紙錢,25,chóa-chîⁿ,tsua2tsinn5,choa2chinn5,tsuatsinn,choachinn
tsuá-tsām,紙鏨,25,chóa-chām,tsua2tsam7,choa2cham7,tsuatsam,choacham
tsuá-bīn,紙面,25,chóa-bīn,tsua2bin7,choa2bin7,tsuabin,choabin
tsuá-hî,紙魚,25,chóa-hî,tsua2hi5,choa2hi5,tsuahi,choahi
tsuá-ing,紙鷹,25,chóa-eng,tsua2ing,choa2eng,tsuaing,choaeng
khat-á,級仔,25,khat-á,khata2,khata2,khata,khata
khiat-á,級仔,25,khiat-á,khiata2,khiata2,khiata,khiata
kip-hōng,級俸,25,kip-hōng,kiphong7,kiphong7,kiphong,kiphong
kip-piat,級別,25,kip-piat,kippiat,kippiat,kippiat,kippiat
khiat-thâu,級頭,25,khiat-thâu,khiatthau5,khiatthau5,khiatthau,khiatthau
hun-luān,紛亂,25,hun-loān,hunluan7,hunloan7,hunluan,hunloan
hun-sim,紛心,25,hun-sim,hunsim,hunsim,hunsim,hunsim
hun-tsing,紛爭,25,hun-cheng,huntsing,huncheng,huntsing,huncheng
hun-hun,紛紛,25,hun-hun,hunhun,hunhun,hunhun,hunhun
sòo-kàu,素到,25,sò͘-kàu,soo3kau3,soo3kau3,sookau,sookau
sòo-ngôo,素娥,25,sò͘-ngô͘,soo3ngoo5,soo3ngoo5,soongoo,soongoo
sòo-siông,素常,25,sò͘-siông,soo3siong5,soo3siong5,soosiong,soosiong
sòo-tsì,素志,25,sò͘-chì,soo3tsi3,soo3chi3,sootsi,soochi
sòo-sìng,素性,25,sò͘-sèng,soo3sing3,soo3seng3,soosing,sooseng
sòo-tshiú,素手,25,sò͘-chhiú,soo3tshiu2,soo3chhiu2,sootshiu,soochhiu
sòo-sî,素時,25,sò͘-sî,soo3si5,soo3si5,soosi,soosi
sòo-ho̍k,素服,25,sò͘-ho̍k,soo3hok8,soo3hok8,soohok,soohok
sòo-ti̍t,素直,25,sò͘-ti̍t,soo3tit8,soo3tit8,sootit,sootit
sòo-sòo,素素,25,sò͘-sò͘,soo3soo3,soo3soo3,soosoo,soosoo
sòo-tiû,素綢,25,sò͘-tiû,soo3tiu5,soo3tiu5,sootiu,sootiu
sòo-sik,素色,25,sò͘-sek,soo3sik,soo3sek,soosik,soosek
sòo-hîng,素行,25,sò͘-hêng,soo3hing5,soo3heng5,soohing,sooheng
sòo-i,素衣,25,sò͘-i,soo3i,soo3i,sooi,sooi
sòo-bīn,素面,25,sò͘-bīn,soo3bin7,soo3bin7,soobin,soobin
sòo-guān,素願,25,sò͘-goān,soo3guan7,soo3goan7,sooguan,soogoan
sòo-hiunn,素香,25,sò͘-hiuⁿ,soo3hiunn,soo3hiunn,soohiunn,soohiunn
sòo-hing,素馨,25,sò͘-heng,soo3hing,soo3heng,soohing,sooheng
sù-ing,素馨,25,sù-eng,su3ing,su3eng,suing,sueng
sòo-mī,素麵,25,sò͘-mī,soo3mi7,soo3mi7,soomi,soomi
sòo-tsai,素齋,25,sò͘-chai,soo3tsai,soo3chai,sootsai,soochai
pháng-kang,紡工,25,pháng-kang,phang2kang,phang2kang,phangkang,phangkang
pháng-se,紡紗,25,pháng-se,phang2se,phang2se,phangse,phangse
pháng-pháng,紡紡,25,pháng-pháng,phang2phang2,phang2phang2,phangphang,phangphang
pháng-si,紡絲,25,pháng-si,phang2si,phang2si,phangsi,phangsi
hóng-tiû,紡綢,25,hóng-tiû,hong2tiu5,hong2tiu5,hongtiu,hongtiu
pháng-tiû,紡綢,25,pháng-tiû,phang2tiu5,phang2tiu5,phangtiu,phangtiu
pháng-mî,紡綿,25,pháng-mî,phang2mi5,phang2mi5,phangmi,phangmi
pháng-suànn,紡線,25,pháng-sòaⁿ,phang2suann3,phang2soann3,phangsuann,phangsoann
pháng-tseh,紡績,25,pháng-cheh,phang2tseh,phang2cheh,phangtseh,phangcheh
pháng-tsit,紡織,25,pháng-chit,phang2tsit,phang2chit,phangtsit,phangchit
hóng-soo,紡蘇,25,hóng-so͘,hong2soo,hong2soo,hongsoo,hongsoo
pháng-tshia,紡車,25,pháng-chhia,phang2tshia,phang2chhia,phangtshia,phangchhia
sik-ín,索引,25,sek-ín,sikin2,sekin2,sikin,sekin
soh-pōo,索捗,25,soh-pō͘,sohpoo7,sohpoo7,sohpoo,sohpoo
sik-lôo,索盧,25,sek-lô͘,sikloo5,sekloo5,sikloo,sekloo
soh-lōo,索路,25,soh-lō͘,sohloo7,sohloo7,sohloo,sohloo
sik-iông,索陽,25,sek-iông,sikiong5,sekiong5,sikiong,sekiong
tsí-pòo,紫布,25,chí-pò͘,tsi2poo3,chi2poo3,tsipoo,chipoo
tsú-bî,紫微,25,chú-bî,tsu2bi5,chu2bi5,tsubi,chubi
tsí-tuânn,紫檀,25,chí-tôaⁿ,tsi2tuann5,chi2toann5,tsituann,chitoann
tsú-tuânn,紫檀,25,chú-tôaⁿ,tsu2tuann5,chu2toann5,tsutuann,chutoann
tsí-sua,紫痧,25,chí-soa,tsi2sua,chi2soa,tsisua,chisoa
tsí-tik,紫竹,25,chí-tek,tsi2tik,chi2tek,tsitik,chitek
tsí-lîng,紫翎,25,chí-lêng,tsi2ling5,chi2leng5,tsiling,chileng
tsí-sik,紫色,25,chí-sek,tsi2sik,chi2sek,tsisik,chisek
tsí-tsi,紫芝,25,chí-chi,tsi2tsi,chi2chi,tsitsi,chichi
tsí-king,紫荊,25,chí-keng,tsi2king,chi2keng,tsiking,chikeng
tsí-tshài,紫菜,25,chí-chhài,tsi2tshai3,chi2chhai3,tsitshai,chichhai
tsí-phiô,紫萍,25,chí-phiô,tsi2phio5,chi2phio5,tsiphio,chiphio
tsí-kuî,紫葵,25,chí-kûi,tsi2kui5,chi2kui5,tsikui,chikui
tsí-bî,紫薇,25,chí-bî,tsi2bi5,chi2bi5,tsibi,chibi
tsí-soo,紫蘇,25,chí-so͘,tsi2soo,chi2soo,tsisoo,chisoo
tsí-kim,紫金,25,chí-kim,tsi2kim,chi2kim,tsikim,chikim
tsat-tsē,紮寨,25,chat-chē,tsattse7,chatche7,tsattse,chatche
tsah-pòo,紮布,25,chah-pò͘,tsahpoo3,chahpoo3,tsahpoo,chahpoo
tsat-iânn,紮營,25,chat-iâⁿ,tsatiann5,chatiann5,tsatiann,chatiann
tsat-tsat,紮紮,25,chat-chat,tsattsat,chatchat,tsattsat,chatchat
tsat-tsháu,紮草,25,chat-chháu,tsattshau2,chatchhau2,tsattshau,chatchhau
luī-thuī,累thuī,25,lūi-thūi,lui7thui7,lui7thui7,luithui,luithui
luí-tshù,累次,25,lúi-chhù,lui2tshu3,lui2chhu3,luitshu,luichhu
luí-khuànn,累看,25,lúi-khòaⁿ,lui2khuann3,lui2khoann3,luikhuann,luikhoann
luí-tāng,累重,25,lúi-tāng,lui2tang7,lui2tang7,luitang,luitang
luí-ting,累釘,25,lúi-teng,lui2ting,lui2teng,luiting,luiteng
luí-tsuê,累齊,25,lúi-chôe,lui2tsue5,lui2choe5,luitsue,luichoe
suè-tiūnn,細丈,25,sòe-tiūⁿ,sue3tiunn7,soe3tiunn7,suetiunn,soetiunn
suè-ē,細下,25,sòe-ē,sue3e7,soe3e7,suee,soee
suè-uī,細位,25,sòe-ūi,sue3ui7,soe3ui7,sueui,soeui
suè-tsoh,細作,25,sòe-choh,sue3tsoh,soe3choh,suetsoh,soechoh
suè-lāi,細內,25,sòe-lāi,sue3lai7,soe3lai7,suelai,soelai
sè-tsik,細則,25,sè-chek,se3tsik,se3chek,setsik,sechek
suè-tsik,細叔,25,sòe-chek,sue3tsik,soe3chek,suetsik,soechek
sè-kun,細君,25,sè-kun,se3kun,se3kun,sekun,sekun
suè-kīm,細妗,25,sòe-kīm,sue3kim7,soe3kim7,suekim,soekim
suè-î,細姨,25,sòe-î,sue3i5,soe3i5,suei,soei
suè-má,細媽,25,sòe-má,sue3ma2,soe3ma2,suema,soema
suè-inn,細嬰,25,sòe-iⁿ,sue3inn,soe3inn,sueinn,soeinn
suè-kiánn,細子,25,sòe-kiáⁿ,sue3kiann2,soe3kiann2,suekiann,soekiann
suè-khang,細孔,25,sòe-khang,sue3khang,soe3khang,suekhang,soekhang
sué-jī,細字,25,sóe-jī,sue2ji7,soe2ji7,sueji,soeji
sè-tshat,細察,25,sè-chhat,se3tshat,se3chhat,setshat,sechhat
suè-bé,細尾,25,sòe-bé,sue3be2,soe3be2,suebe,soebe
sè-bî,細微,25,sè-bî,se3bi5,se3bi5,sebi,sebi
sè-sim,細心,25,sè-sim,se3sim,se3sim,sesim,sesim
suè-pún,細本,25,sòe-pún,sue3pun2,soe3pun2,suepun,soepun
suè-pán,細板,25,sòe-pán,sue3pan2,soe3pan2,suepan,soepan
sè-tsa,細查,25,sè-cha,se3tsa,se3cha,setsa,secha
suè-keh,細格,25,sòe-keh,sue3keh,soe3keh,suekeh,soekeh
sè-àn,細案,25,sè-àn,se3an3,se3an3,sean,sean
suè-pâi,細棑,25,sòe-pâi,sue3pai5,soe3pai5,suepai,soepai
suè-iūnn,細樣,25,sòe-iūⁿ,sue3iunn7,soe3iunn7,sueiunn,soeiunn
suè-pōo,細步,25,sòe-pō͘,sue3poo7,soe3poo7,suepoo,soepoo
suè-bú,細母,25,sòe-bú,sue3bu2,soe3bu2,suebu,soebu
suè-hàn,細漢,25,sòe-hàn,sue3han3,soe3han3,suehan,soehan
sè-bo̍k,細目,25,sè-bo̍k,se3bok8,se3bok8,sebok,sebok
suè-lia̍p,細粒,25,sòe-lia̍p,sue3liap8,soe3liap8,sueliap,soeliap
suè-suè,細細,25,sòe-sòe,sue3sue3,soe3soe3,suesue,soesoe
suè-siann,細聲,25,sòe-siaⁿ,sue3siann,soe3siann,suesiann,soesiann
suè-pau,細胞,25,sòe-pau,sue3pau,soe3pau,suepau,soepau
suè-io,細腰,25,sòe-io,sue3io,soe3io,sueio,soeio
suè-kha,細腳,25,sòe-kha,sue3kha,soe3kha,suekha,soekha
suè-jī,細膩,25,sòe-jī,sue3ji7,soe3ji7,sueji,soeji
suè-kū,細舅,25,sòe-kū,sue3ku7,soe3ku7,sueku,soeku
suè-khún,細菌,25,sòe-khún,sue3khun2,soe3khun2,suekhun,soekhun
sè-siông,細詳,25,sè-siông,se3siong5,se3siong5,sesiong,sesiong
suè-hua̍h,細跬,25,sòe-hoa̍h,sue3huah8,soe3hoah8,suehuah,soehoah
suè-nńg,細軟,25,sòe-nńg,sue3nng2,soe3nng2,suenng,soenng
sè-sin,細辛,25,sè-sin,se3sin,se3sin,sesin,sesin
suè-pān,細辨,25,sòe-pān,sue3pan7,soe3pan7,suepan,soepan
suè-hōo,細雨,25,sòe-hō͘,sue3hoo7,soe3hoo7,suehoo,soehoo
suè-hāng,細項,25,sòe-hāng,sue3hang7,soe3hang7,suehang,soehang
suè-tsia̍h,細食,25,sòe-chia̍h,sue3tsiah8,soe3chiah8,suetsiah,soechiah
sin-siong,紳商,25,sin-siong,sinsiong,sinsiong,sinsiong,sinsiong
sin-sū,紳士,25,sin-sū,sinsu7,sinsu7,sinsu,sinsu
sin-tsiong,紳章,25,sin-chiong,sintsiong,sinchiong,sintsiong,sinchiong
siāu-kài,紹介,25,siāu-kài,siau7kai3,siau7kai3,siaukai,siaukai
siāu-hing,紹興,25,siāu-heng,siau7hing,siau7heng,siauhing,siauheng
thut-thut,絀絀,25,thut-thut,thutthut,thutthut,thutthut,thutthut
tsiong-iā,終夜,25,chiong-iā,tsiongia7,chiongia7,tsiongia,chiongia
tsiong-sí,終始,25,chiong-sí,tsiongsi2,chiongsi2,tsiongsi,chiongsi
tsiong-nî,終年,25,chiong-nî,tsiongni5,chiongni5,tsiongni,chiongni
tsiong-ji̍t,終日,25,chiong-ji̍t,tsiongjit8,chiongjit8,tsiongjit,chiongjit
tsiong-poo,終晡,25,chiong-po͘,tsiongpoo,chiongpoo,tsiongpoo,chiongpoo
tsiong-kui,終歸,25,chiong-kui,tsiongkui,chiongkui,tsiongkui,chiongkui
tsiong-sin,終身,25,chiong-sin,tsiongsin,chiongsin,tsiongsin,chiongsin
tsiong-tiám,終點,25,chiong-tiám,tsiongtiam2,chiongtiam2,tsiongtiam,chiongtiam
hiân-á,絃仔,25,hiân-á,hian5a2,hian5a2,hiana,hiana
hiân-kuán,絃管,25,hiân-koán,hian5kuan2,hian5koan2,hiankuan,hiankoan
hiân-suànn,絃線,25,hiân-sòaⁿ,hian5suann3,hian5soann3,hiansuann,hiansoann
tsóo-ha̍p,組合,25,chó͘-ha̍p,tsoo2hap8,choo2hap8,tsoohap,choohap
tsóo-tsit,組織,25,chó͘-chit,tsoo2tsit,choo2chit,tsootsit,choochit
tsóo-tiúnn,組長,25,chó͘-tiúⁿ,tsoo2tiunn2,choo2tiunn2,tsootiunn,chootiunn
puànn-tó,絆倒,25,pòaⁿ-tó,puann3to2,poann3to2,puannto,poannto
puànn-soh,絆索,25,pòaⁿ-soh,puann3soh,poann3soh,puannsoh,poannsoh
puànn-puànn,絆絆,25,pòaⁿ-pòaⁿ,puann3puann3,poann3poann3,puannpuann,poannpoann
kiat-lan,結lan,25,kiat-lan,kiatlan,kiatlan,kiatlan,kiatlan
kiat-tīng,結tīng,25,kiat-tēng,kiatting7,kiatteng7,kiatting,kiatteng
kat-hē,結下,25,kat-hē,kathe7,kathe7,kathe,kathe
kiat-kau,結交,25,kiat-kau,kiatkau,kiatkau,kiatkau,kiatkau
kiat-á,結仔,25,kiat-á,kiata2,kiata2,kiata,kiata
kat-tiâu,結住,25,kat-tiâu,kattiau5,kattiau5,kattiau,kattiau
kiat-kè,結價,25,kiat-kè,kiatke3,kiatke3,kiatke,kiatke
kiat-tsheh,結冊,25,kiat-chheh,kiattsheh,kiatchheh,kiattsheh,kiatchheh
kiat-uan,結冤,25,kiat-oan,kiatuan,kiatoan,kiatuan,kiatoan
kiat-ping,結冰,25,kiat-peng,kiatping,kiatpeng,kiatping,kiatpeng
kiat-kù,結句,25,kiat-kù,kiatku3,kiatku3,kiatku,kiatku
kiat-ha̍p,結合,25,kiat-ha̍p,kiathap8,kiathap8,kiathap,kiathap
kiat-khuè,結契,25,kiat-khòe,kiatkhue3,kiatkhoe3,kiatkhue,kiatkhoe
kiat-hun,結婚,25,kiat-hun,kiathun,kiathun,kiathun,kiathun
kiat-tsí,結子,25,kiat-chí,kiattsi2,kiatchi2,kiattsi,kiatchi
