hanzi,tl,frequency,poj,tl_num,poj_num
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah4,chian3kah4
扁擔,pún-tann,25,pún-taⁿ,pun2tann1,pun2tann1
手包,tshiú-pau,25,chhiú-pau,tshiu2pau1,chhiu2pau1
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3
托燈,thuh-ting,25,thuh-teng,thuh4ting1,thuh4teng1
批塗,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5
披土,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5
抹刀,buah-to,25,boah-to,buah4to1,boah4to1
抾板,khioh-pán,25,khioh-pán,khioh4pan2,khioh4pan2
抾蒼,khioh-tshong,25,khioh-chhong,khioh4tshong1,khioh4chhong1
拆線,thiah-suànn,25,thiah-sòaⁿ,thiah4suann3,thiah4soann3
拍漿,phah-tsiunn,25,phah-chiuⁿ,phah4tsiunn1,phah4chiunn1
拍空,phah-khang,25,phah-khang,phah4khang1,phah4khang1
拍箍,phah-khoo,25,phah-kho͘,phah4khoo1,phah4khoo1
拍胚,phah-phue,25,phah-phoe,phah4phue1,phah4phoe1
拔花,puēh-hue,25,poēh-hoe,pueh7hue1,poeh7hoe1
拗彎,áu-uan,25,áu-oan,au2uan1,au2oan1
挖空,ué-khang,25,óe-khang,ue2khang1,oe2khang1
挲線,so-suànn,25,so-sòaⁿ,so1suann3,so1soann3
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5
捲枋,kńg-pang,25,kńg-pang,kng2pang1,kng2pang1
掃枋,sàu-pang,25,sàu-pang,sau3pang1,sau3pang1
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue1,liah8hoe1
接剾,tsiap-khau,25,chiap-khau,tsiap4khau1,chiap4khau1
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiap4suann3,chiap4soann3
摃空,kòng-khang,25,kòng-khang,kong3khang1,kong3khang1
撋塗,nuá-thôo,25,nóa-thô͘,nua2thoo5,noa2thoo5
擠金,tsik-kim,25,chek-kim,tsik4kim1,chek4kim1
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2
放枋,pàng-pang,25,pàng-pang,pang3pang1,pang3pang1
敲仔,khà-á,25,khà-á,kha3a2,kha3a2
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5
朝天,tiâu-thian,25,tiâu-thian,tiau5thian1,tiau5thian1
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh4,bok8chhioh4
本尊,pún-tsun,25,pún-chun,pun2tsun1,pun2chun1
杜英,tōo-ing,25,tō͘-eng,too7ing1,too7eng1
束冠,sok-kuan,25,sok-koan,sok4kuan1,sok4koan1
松膠,siông-ka,25,siông-ka,siong5ka1,siong5ka1
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2
染色,ní-tsik,25,ní-chek,ni2tsik4,ni2chek4
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu1,thiau7chu1
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam1,chha5tiam1
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5
柴胎,tshâ-thai,25,chhâ-thai,tsha5thai1,chha5thai1
桌崁,toh-khàm,25,toh-khàm,toh4kham3,toh4kham3
桌裙,toh-kûn,25,toh-kûn,toh4kun5,toh4kun5
桶梯,tháng-thui,25,tháng-thui,thang2thui1,thang2thui1
梅花,muî-hue,25,mûi-hoe,mui5hue1,mui5hoe1
梳仔,se-á,25,se-á,se1a2,se1a2
棉布,mî-pòo,25,mî-pò͘,mi5poo3,mi5poo3
棉線,mî-suànn,25,mî-sòaⁿ,mi5suann3,mi5soann3
棕蓑,tsang-sui,25,chang-sui,tsang1sui1,chang1sui1
植眉,ti̍t-bâi,25,ti̍t-bâi,tit8bai5,tit8bai5
槐花,huâi-hue,25,hoâi-hoe,huai5hue1,hoai5hoe1
樹木,tshiū-bo̍k,25,chhiū-bo̍k,tshiu7bok8,chhiu7bok8
橫頭,huâinn-thâu,25,hoâiⁿ-thâu,huainn5thau5,hoainn5thau5
武將,bú-tsiòng,25,bú-chiòng,bu2tsiong3,bu2chiong3
武胸,bú-hing,25,bú-heng,bu2hing1,bu2heng1
武轎,bú-kiō,25,bú-kiō,bu2kio7,bu2kio7
比仔,pí-á,25,pí-á,pi2a2,pi2a2
毡仔,tsám-á,25,chám-á,tsam2a2,cham2a2
水油,tsuí-iû,25,chúi-iû,tsui2iu5,chui2iu5
水波,tsuí-pho,25,chúi-pho,tsui2pho1,chui2pho1
水秤,tsuí-tshìn,25,chúi-chhìn,tsui2tshin3,chui2chhin3
水管,tsuí-kóng,25,chúi-kóng,tsui2kong2,chui2kong2
水膠,tsuí-ka,25,chúi-ka,tsui2ka1,chui2ka1
沖仔,tshong-á,25,chhong-á,tshong1a2,chhong1a2
油桶,iû-tháng,25,iû-tháng,iu5thang2,iu5thang2
油燈,iû-ting,25,iû-teng,iu5ting1,iu5teng1
洋漆,iûnn-tshat,25,iûⁿ-chhat,iunn5tshat4,iunn5chhat4
浮花,phû-hue,25,phû-hoe,phu5hue1,phu5hoe1
涼傘,niû-suànn,25,niû-sòaⁿ,niu5suann3,niu5soann3
淋搪,lâm-thn̄g,25,lâm-thn̄g,lam5thng7,lam5thng7
深刻,tshim-khik,25,chhim-khek,tshim1khik4,chhim1khek4
滾桶,kún-tháng,25,kún-tháng,kun2thang2,kun2thang2
滾花,kún-hue,25,kún-hoe,kun2hue1,kun2hoe1
滾邊,kún-pinn,25,kún-piⁿ,kun2pinn1,kun2pinn1
漆畫,tshat-uē,25,chhat-ōe,tshat4ue7,chhat4oe7
漆盤,tshat-puânn,25,chhat-pôaⁿ,tshat4puann5,chhat4poann5
漆碗,tshat-uánn,25,chhat-óaⁿ,tshat4uann2,chhat4oann2
漆筅,tshat-tshíng,25,chhat-chhéng,tshat4tshing2,chhat4chheng2
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ,kuan3tsiunn1,koan3chiunn1
火喙,hué-tshuì,25,hóe-chhùi,hue2tshui3,hoe2chhui3
火焰,hué-iām,25,hóe-iām,hue2iam7,hoe2iam7
火爐,hué-lôo,25,hóe-lô͘,hue2loo5,hoe2loo5
火籠,hué-lang,25,hóe-lang,hue2lang1,hoe2lang1
火銃,hué-tshìng,25,hóe-chhèng,hue2tshing3,hoe2chheng3
炊仔,tshue-á,25,chhoe-á,tshue1a2,chhoe1a2
炭枋,thuànn-pang,25,thòaⁿ-pang,thuann3pang1,thoann3pang1
烏漆,oo-tshat,25,o͘-chhat,oo1tshat4,oo1chhat4
煎匙,tsian-sî,25,chian-sî,tsian1si5,chian1si5
煏蔥,piak-tshong,25,piak-chhong,piak4tshong1,piak4chhong1
熟皮,si̍k-phuê,25,se̍k-phôe,sik8phue5,sek8phoe5
燭台,tsik-tâi,25,chek-tâi,tsik4tai5,chek4tai5
牛樟,gû-tsiunn,25,gû-chiuⁿ,gu5tsiunn1,gu5chiunn1
牛角,gû-kak,25,gû-kak,gu5kak4,gu5kak4
獅頭,sai-thâu,25,sai-thâu,sai1thau5,sai1thau5
琥珀,hóo-phik,25,hó͘-phek,hoo2phik4,hoo2phek4
瑪瑙,bé-ló,25,bé-ló,be2lo2,be2lo2
璇石,suān-tsio̍h,25,soān-chio̍h,suan7tsioh8,soan7chioh8
璇筆,suān-pit,25,soān-pit,suan7pit4,soan7pit4
璇針,suān-tsiam,25,soān-chiam,suan7tsiam1,soan7chiam1
生坯,tshenn-phue,25,chheⁿ-phoe,tshenn1phue1,chhenn1phoe1
生漆,tshenn-tshat,25,chheⁿ-chhat,tshenn1tshat4,chhenn1chhat4
生皮,tshenn-phuê,25,chheⁿ-phôe,tshenn1phue5,chhenn1phoe5
甲毛,kah-moo,25,kah-mo͘,kah4moo1,kah4moo1
畚箕,pùn-ki,25,pùn-ki,pun3ki1,pun3ki1
畫稿,uē-kó,25,ōe-kó,ue7ko2,oe7ko2
畫筆,uē-pit,25,ōe-pit,ue7pit4,oe7pit4
畫線,uē-suànn,25,ōe-sòaⁿ,ue7suann3,oe7soann3
畫金,uē-kim,25,ōe-kim,ue7kim1,oe7kim1
疊色,thia̍p-sik,25,thia̍p-sek,thiap8sik4,thiap8sek4
白膠,pe̍h-ka,25,pe̍h-ka,peh8ka1,peh8ka1
白身,pe̍h-sin,25,pe̍h-sin,peh8sin1,peh8sin1
皮仔,phuê-á,25,phôe-á,phue5a2,phoe5a2
皮包,phuê-pau,25,phôe-pau,phue5pau1,phoe5pau1
皮花,phuê-hue,25,phôe-hoe,phue5hue1,phoe5hoe1
直支,ti̍t-ki,25,ti̍t-ki,tit8ki1,tit8ki1
石錘,tsio̍h-thuî,25,chio̍h-thûi,tsioh8thui5,chioh8thui5
石鎖,tsio̍h-só,25,chio̍h-só,tsioh8so2,chioh8so2
石鼓,tsio̍h-kóo,25,chio̍h-kó͘,tsioh8koo2,chioh8koo2
砂碖,sua-lún,25,soa-lún,sua1lun2,soa1lun2
