tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
siông-ngôo,松梧,25,siông-ngô͘,siong5ngoo5,siong5ngoo5,siongngoo,siongngoo
siông-lô,松蘿,25,siông-lô,siong5lo5,siong5lo5,sionglo,sionglo
gî-pê,枇杷,25,gî-pê,gi5pe5,gi5pe5,gipe,gipe
nâ-tâu,林投,25,nâ-tâu,na5tau5,na5tau5,natau,natau
tsí-á,枳仔,25,chí-á,tsi2a2,chi2a2,tsia,chia
tsí-poo,枳枯,25,chí-po͘,tsi2poo,chi2poo,tsipoo,chipoo
kóo-kí,枸杞,25,kó͘-kí,koo2ki2,koo2ki2,kooki,kooki
khīng-á,柏仔,25,khēng-á,khing7a2,kheng7a2,khinga,khenga
iū-á,柚仔,25,iū-á,iu7a2,iu7a2,iua,iua
kho-á,柯仔,25,kho-á,khoa2,khoa2,khoa,khoa
kua-thôo,柯土,25,koa-thô͘,kuathoo5,koathoo5,kuathoo,koathoo
kho-si,柯絲,25,kho-si,khosi,khosi,khosi,khosi
tshâ-ôo,柴胡,25,chhâ-ô͘,tsha5oo5,chha5oo5,tshaoo,chhaoo
khī-á,柿仔,25,khī-á,khi7a2,khi7a2,khia,khia
khī-kôo,柿糊,25,khī-kô͘,khi7koo5,khi7koo5,khikoo,khikoo
la̍t-tsí,栗子,25,la̍t-chí,lat8tsi2,lat8chi2,lattsi,latchi
káu-la̍t,校栗,25,káu-la̍t,kau2lat8,kau2lat8,kaulat,kaulat
káu-tsan,校櫕,25,káu-chan,kau2tsan,kau2chan,kautsan,kauchan
kuì-ki,桂枝,25,kùi-ki,kui3ki,kui3ki,kuiki,kuiki
kuì-tik,桂竹,25,kùi-tek,kui3tik,kui3tek,kuitik,kuitek
kuì-hue,桂花,25,kùi-hoe,kui3hue,kui3hoe,kuihue,kuihoe
thô-jîn,桃仁,25,thô-jîn,tho5jin5,tho5jin5,thojin,thojin
thô-á,桃仔,25,thô-á,tho5a2,tho5a2,thoa,thoa
thô-tik,桃竹,25,thô-tek,tho5tik,tho5tek,thotik,thotek
kong-lông,桄榔,25,kong-lông,konglong5,konglong5,konglong,konglong
song-tshiū,桑樹,25,song-chhiū,songtshiu7,songchhiu7,songtshiu,songchhiu
tháng-kam,桶柑,25,tháng-kam,thang2kam,thang2kam,thangkam,thangkam
muî-á,梅仔,25,mûi-á,mui5a2,mui5a2,muia,muia
ngôo-tông,梧桐,25,ngô͘-tông,ngoo5tong5,ngoo5tong5,ngootong,ngootong
lâi-á,梨仔,25,lâi-á,lai5a2,lai5a2,laia,laia
mî-la̍t,棉栗,25,mî-la̍t,mi5lat8,mi5lat8,milat,milat
tsó-á,棗仔,25,chó-á,tso2a2,cho2a2,tsoa,choa
iâ-phiô,椰瓢,25,iâ-phiô,ia5phio5,ia5phio5,iaphio,iaphio
iông-muâi,楊梅,25,iông-moâi,iong5muai5,iong5moai5,iongmuai,iongmoai
png-á,楓仔,25,png-á,pnga2,pnga2,pnga,pnga
phng-siū,楓樹,25,phng-siū,phngsiu7,phngsiu7,phngsiu,phngsiu
lâm-á,楠仔,25,lâm-á,lam5a2,lam5a2,lama,lama
tshîng-tshiū,榕樹,25,chhêng-chhiū,tshing5tshiu7,chheng5chhiu7,tshingtshiu,chhengchhiu
tsiunn-gû,樟牛,25,chiuⁿ-gû,tsiunngu5,chiunngu5,tsiunngu,chiunngu
tshiū-m̂,樹梅,25,chhiū-m̂,tshiu7m5,chhiu7m5,tshium,chhium
tshiū-tsû,樹薯,25,chhiū-chû,tshiu7tsu5,chhiu7chu5,tshiutsu,chhiuchu
tshiū-lân,樹蘭,25,chhiū-lân,tshiu7lan5,chhiu7lan5,tshiulan,chhiulan
tshiū-tāu,樹豆,25,chhiū-tāu,tshiu7tau7,chhiu7tau7,tshiutau,chhiutau
tshiū-tshinn,樹青,25,chhiū-chhiⁿ,tshiu7tshinn,chhiu7chhinn,tshiutshinn,chhiuchhinn
tshiū-lîng,樹龍,25,chhiū-lêng,tshiu7ling5,chhiu7leng5,tshiuling,chhiuleng
kann-ná,橄欖,25,kaⁿ-ná,kannna2,kannna2,kannna,kannna
ting-tông,橙桐,25,teng-tông,tingtong5,tengtong5,tingtong,tengtong
ting-lân,橙欄,25,teng-lân,tinglan5,tenglan5,tinglan,tenglan
tuânn-hiunn,檀香,25,tôaⁿ-hiuⁿ,tuann5hiunn,toann5hiunn,tuannhiunn,toannhiunn
suāinn-á,檨仔,25,soāiⁿ-á,suainn7a2,soainn7a2,suainna,soainna
tâi-á,檯仔,25,tâi-á,tai5a2,tai5a2,taia,taia
pin-nn̂g,檳榔,25,pin-nn̂g,pinnng5,pinnng5,pinnng,pinnng
luân-tshiū,欒樹,25,loân-chhiū,luan5tshiu7,loan5chhiu7,luantshiu,loanchhiu
lám-jîn,欖仁,25,lám-jîn,lam2jin5,lam2jin5,lamjin,lamjin
tsí-kiong,止宮,25,chí-kiong,tsi2kiong,chi2kiong,tsikiong,chikiong
tsiànn-tshîng,正榕,25,chiàⁿ-chhêng,tsiann3tshing5,chiann3chheng5,tsianntshing,chiannchheng
khak-tshài,殼菜,25,khak-chhài,khaktshai3,khakchhai3,khaktshai,khakchhai
mô-khī,毛柿,25,mô-khī,mo5khi7,mo5khi7,mokhi,mokhi
kiû-lân,毬蘭,25,kiû-lân,kiu5lan5,kiu5lan5,kiulan,kiulan
tsuí-kam,水柑,25,chúi-kam,tsui2kam,chui2kam,tsuikam,chuikam
tsuí-liú,水柳,25,chúi-liú,tsui2liu2,chui2liu2,tsuiliu,chuiliu
tsuí-lâi,水梨,25,chúi-lâi,tsui2lai5,chui2lai5,tsuilai,chuilai
tsuí-tshat,水漆,25,chúi-chhat,tsui2tshat,chui2chhat,tsuitshat,chuichhat
tsuí-tsik,水燭,25,chúi-chek,tsui2tsik,chui2chek,tsuitsik,chuichek
tsuí-pit,水筆,25,chúi-pit,tsui2pit,chui2pit,tsuipit,chuipit
tsuí-tîn,水籐,25,chúi-tîn,tsui2tin5,chui2tin5,tsuitin,chuitin
tsuí-ōo,水芋,25,chúi-ō͘,tsui2oo7,chui2oo7,tsuioo,chuioo
tsuí-kiô,水茄,25,chúi-kiô,tsui2kio5,chui2kio5,tsuikio,chuikio
