hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
絯,kai,50,kai,kai1,kai1,kai,kai
絽,līr,50,līr,lir7,lir7,lir,lir
絽,lū,50,lū,lu7,lu7,lu,lu
絽,lǐr,50,lǐr,lir6,lir6,lir,lir
綄,huân,50,hoân,huan5,hoan5,huan,hoan
綄,uǎn,50,oǎn,uan6,oan6,uan,oan
綝,serm,50,serm,serm1,serm1,serm,serm
綝,sim,50,sim,sim1,sim1,sim,sim
綬,siǔ,50,siǔ,siu6,siu6,siu,siu
網,bǎng,50,bǎng,bang6,bang6,bang,bang
緇,tsir,50,chir,tsir1,chir1,tsir,chir
緈,hīng,50,hēng,hing7,heng7,hing,heng
緈,hǐng,50,hěng,hing6,heng6,hing,heng
緒,sīr,50,sīr,sir7,sir7,sir,sir
緒,sǐr,50,sǐr,sir6,sir6,sir,sir
緦,sir,50,sir,sir1,sir1,sir,sir
緩,uǎn,50,oǎn,uan6,oan6,uan,oan
縒,tshir,50,chhir,tshir1,chhir1,tshir,chhir
縒,tshu,50,chhu,tshu1,chhu1,tshu,chhu
縣,kirīnn,50,kīriⁿ,kirinn7,kirinn7,kirinn,kirinn
繇,tiū,50,tiū,tiu7,tiu7,tiu,tiu
繇,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
繪,kuè,50,kòe,kue3,koe3,kue,koe
繭,kirínn,50,kíriⁿ,kirinn2,kirinn2,kirinn,kirinn
繭,kuínn,50,kúiⁿ,kuinn2,kuinn2,kuinn,kuinn
繵,tǎn,50,tǎn,tan6,tan6,tan,tan
缿,hǎng,50,hǎng,hang6,hang6,hang,hang
网,bāng,50,bāng,bang7,bang7,bang,bang
网,bǎng,50,bǎng,bang6,bang6,bang,bang
罒,bóng,50,bóng,bong2,bong2,bong,bong
罒,bāng,50,bāng,bang7,bang7,bang,bang
罒,bǎng,50,bǎng,bang6,bang6,bang,bang
罧,serm,50,serm,serm1,serm1,serm,serm
罪,tsuě,50,chǒe,tsue6,choe6,tsue,choe
罪,tsēr,50,chēr,tser7,cher7,tser,cher
罪,tsěr,50,chěr,tser6,cher6,tser,cher
署,sīr,50,sīr,sir7,sir7,sir,sir
罳,sir,50,sir,sir1,sir1,sir,sir
罷,pǎ,50,pǎ,pa6,pa6,pa,pa
美,bér,50,bér,ber2,ber2,ber,ber
羜,tīr,50,tīr,tir7,tir7,tir,tir
羜,tū,50,tū,tu7,tu7,tu,tu
羜,tǐr,50,tǐr,tir6,tir6,tir,tir
羥,king,50,keng,king1,keng1,king,keng
羦,huân,50,hoân,huan5,hoan5,huan,hoan
羨,siǎn,50,siǎn,sian6,sian6,sian,sian
羴,sian,50,sian,sian1,sian1,sian,sian
翥,tsìr,50,chìr,tsir3,chir3,tsir,chir
耔,tsír,50,chír,tsir2,chir2,tsir,chir
耙,pêe,50,pêe,pee5,pee5,pee,pee
耜,sīr,50,sīr,sir7,sir7,sir,sir
耜,sū,50,sū,su7,su7,su,su
耜,sǐr,50,sǐr,sir6,sir6,sir,sir
耝,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir
耝,tshù,50,chhù,tshu3,chhu3,tshu,chhu
耞,kee,50,kee,kee1,kee1,kee,kee
耟,kīr,50,kīr,kir7,kir7,kir,kir
耟,kǐr,50,kǐr,kir6,kir6,kir,kir
耡,thî,50,thî,thi5,thi5,thi,thi
耡,thîr,50,thîr,thir5,thir5,thir,thir
耡,tîr,50,tîr,tir5,tir5,tir,tir
耡,tû,50,tû,tu5,tu5,tu,tu
耨,liō,50,liō,lio7,lio7,lio,lio
聕,hō,50,hō,ho7,ho7,ho,ho
聕,hǒ,50,hǒ,ho6,ho6,ho,ho
聚,tsǔ,50,chǔ,tsu6,chu6,tsu,chu
聻,tsiām,50,chiām,tsiam7,chiam7,tsiam,chiam
聻,tsiǎm,50,chiǎm,tsiam6,chiam6,tsiam,chiam
肁,tiāu,50,tiāu,tiau7,tiau7,tiau,tiau
肁,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau
肂,sìr,50,sìr,sir3,sir3,sir,sir
肆,sìr,50,sìr,sir3,sir3,sir,sir
肇,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau
肈,tiāu,50,tiāu,tiau7,tiau7,tiau,tiau
肈,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau
肗,lír,50,lír,lir2,lir2,lir,lir
肗,lú,50,lú,lu2,lu2,lu,lu
肚,tió,50,tió,tio2,tio2,tio,tio
肩,kirinn,50,kiriⁿ,kirinn1,kirinn1,kirinn,kirinn
肩,kuainn,50,koaiⁿ,kuainn1,koainn1,kuainn,koainn
肭,teh,50,teh,teh4,teh4,teh,teh
肽,thài,50,thài,thai3,thai3,thai,thai
胄,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
背,pèr,50,pèr,per3,per3,per,per
背,pēr,50,pēr,per7,per7,per,per
胎,ther,50,ther,ther1,ther1,ther,ther
胏,tsír,50,chír,tsir2,chir2,tsir,chir
胏,tsú,50,chú,tsu2,chu2,tsu,chu
胔,tsìr,50,chìr,tsir3,chir3,tsir,chir
胠,khir,50,khir,khir1,khir1,khir,khir
胥,sir,50,sir,sir1,sir1,sir,sir
胺,an,50,an,an1,an1,an,an
胾,tsìr,50,chìr,tsir3,chir3,tsir,chir
脤,sǐn,50,sǐn,sin6,sin6,sin,sin
脯,pōo,50,pō͘,poo7,poo7,poo,poo
脯,pǒo,50,pǒ͘,poo6,poo6,poo,poo
腎,siǎn,50,siǎn,sian6,sian6,sian,sian
腎,sǐn,50,sǐn,sin6,sin6,sin,sin
腒,kir,50,kir,kir1,kir1,kir,kir
腞,tsuān,50,choān,tsuan7,choan7,tsuan,choan
腞,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan
腡,lêr,50,lêr,ler5,ler5,ler,ler
膂,lír,50,lír,lir2,lir2,lir,lir
膐,lír,50,lír,lir2,lir2,lir,lir
膳,siǎn,50,siǎn,sian6,sian6,sian,sian
膹,hūn,50,hūn,hun7,hun7,hun,hun
膹,hǔn,50,hǔn,hun6,hun6,hun,hun
膻,tān,50,tān,tan7,tan7,tan,tan
膻,tǎn,50,tǎn,tan6,tan6,tan,tan
臔,hiān,50,hiān,hian7,hian7,hian,hian
臔,hiǎn,50,hiǎn,hian6,hian6,hian,hian
臼,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu
舁,îr,50,îr,ir5,ir5,ir,ir
舁,û,50,û,u5,u5,u,u
舅,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu
與,ír,50,ír,ir2,ir2,ir,ir
與,îr,50,îr,ir5,ir5,ir,ir
與,û,50,û,u5,u5,u,u
與,īr,50,īr,ir7,ir7,ir,ir
舐,tsǐ,50,chǐ,tsi6,chi6,tsi,chi
舒,sir,50,sir,sir1,sir1,sir,sir
舓,tsǐ,50,chǐ,tsi6,chi6,tsi,chi
舙,tship,50,chhip,tship4,chhip4,tship,chhip
舵,tuǎ,50,tǒa,tua6,toa6,tua,toa
舵,tǒ,50,tǒ,to6,to6,to,to
艅,îr,50,îr,ir5,ir5,ir,ir
艅,û,50,û,u5,u5,u,u
艑,piān,50,piān,pian7,pian7,pian,pian
艑,piǎn,50,piǎn,pian6,pian6,pian,pian
艮,kìrn,50,kìrn,kirn3,kirn3,kirn,kirn
艹,tsháu,50,chháu,tshau2,chhau2,tshau,chhau
艹,tshó,50,chhó,tsho2,chho2,tsho,chho
艹,tshóo,50,chhó͘,tshoo2,chhoo2,tshoo,chhoo
芐,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo
芓,tsír,50,chír,tsir2,chir2,tsir,chir
芓,tsīr,50,chīr,tsir7,chir7,tsir,chir
芓,tsū,50,chū,tsu7,chu7,tsu,chu
芝,tsir,50,chir,tsir1,chir1,tsir,chir
芝,tsu,50,chu,tsu1,chu1,tsu,chu
