tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
hí-khì,喜氣,25,hí-khì,hi2khi3,hi2khi3,hikhi,hikhi,hk,hk,True
hí-iân,喜筵,25,hí-iân,hi2ian5,hi2ian5,hiian,hiian,hi,hi,True
hí-thn̂g,喜糖,25,hí-thn̂g,hi2thng5,hi2thng5,hithng,hithng,ht,ht,True
hí-sik,喜色,25,hí-sek,hi2sik1,hi2sek1,hisik,hisek,hs,hs,True
hí-sìn,喜訊,25,hí-sìn,hi2sin3,hi2sin3,hisin,hisin,hs,hs,True
hí-kiō,喜轎,25,hí-kiō,hi2kio7,hi2kio7,hikio,hikio,hk,hk,True
hí-tsiú,喜酒,25,hí-chiú,hi2tsiu2,hi2chiu2,hitsiu,hichiu,ht,hc,True
hí-tshiok,喜鵲,25,hí-chhiok,hi2tshiok1,hi2chhiok1,hitshiok,hichhiok,ht,hc,True
hí-tshut,喜齣,25,hí-chhut,hi2tshut1,hi2chhut1,hitshut,hichhut,ht,hc,True
huah-hut,喝hut,25,hoah-hut,huah1hut1,hoah1hut1,huahhut,hoahhut,hh,hh,True
huah-līng,喝令,25,hoah-lēng,huah1ling7,hoah1leng7,huahling,hoahleng,hl,hl,True
huah-kè,喝價,25,hoah-kè,huah1ke3,hoah1ke3,huahke,hoahke,hk,hk,True
huah-tshut,喝出,25,hoah-chhut,huah1tshut1,hoah1chhut1,huahtshut,hoahchhut,ht,hc,True
huah-hiu,喝咻,25,hoah-hiu,huah1hiu1,hoah1hiu1,huahhiu,hoahhiu,hh,hh,True
huah-hiàm,喝喊,25,hoah-hiàm,huah1hiam3,hoah1hiam3,huahhiam,hoahhiam,hh,hh,True
huah-hó,喝好,25,hoah-hó,huah1ho2,hoah1ho2,huahho,hoahho,hh,hh,True
hat-tshái,喝彩,25,hat-chhái,hat1tshai2,hat1chhai2,hattshai,hatchhai,ht,hc,True
huah-kûn,喝拳,25,hoah-kûn,huah1kun5,hoah1kun5,huahkun,hoahkun,hk,hk,True
huah-kiù,喝救,25,hoah-kiù,huah1kiu3,hoah1kiu3,huahkiu,hoahkiu,hk,hk,True
huah-suah,喝煞,25,hoah-soah,huah1suah1,hoah1soah1,huahsuah,hoahsoah,hs,hs,True
huah-siann,喝聲,25,hoah-siaⁿ,huah1siann1,hoah1siann1,huahsiann,hoahsiann,hs,hs,True
huah-tsha̍t,喝賊,25,hoah-chha̍t,huah1tshat8,hoah1chhat8,huahtshat,hoahchhat,ht,hc,True
huah-bē,喝賣,25,hoah-bē,huah1be7,hoah1be7,huahbe,hoahbe,hb,hb,True
huah-lōo,喝路,25,hoah-lō͘,huah1loo7,hoah1loo7,huahloo,hoahloo,hl,hl,True
