tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
hainn-tshan,哼呻,25,haiⁿ-chhan,hainn1tshan1,hainn1chhan1,hainntshan,hainnchhan,ht,hc,True
kínn-kui,哽-月,25,kíⁿ-kui,kinn2kui1,kinn2kui1,kinnkui,kinnkui,kk,kk,True
kénn-kui,哽kui,25,kéⁿ-kui,kenn2kui1,kenn2kui1,kennkui,kennkui,kk,kk,True
kénn-tio̍h,哽著,25,kéⁿ-tio̍h,kenn2tioh8,kenn2tioh8,kenntioh,kenntioh,kt,kt,True
ngiauh-kiauh,唁噭,25,ngiauh-kiauh,ngiauh1kiauh1,ngiauh1kiauh1,ngiauhkiauh,ngiauhkiauh,nk,nk,True
ām-pn̄g,唅飯,25,ām-pn̄g,am7png7,am7png7,ampng,ampng,ap,ap,True
so-sú,唆使,25,so-sú,so1su2,so1su2,sosu,sosu,ss,ss,True
so-lōng,唆弄,25,so-lōng,so1long7,so1long7,solong,solong,sl,sl,True
tûn-hông,唇紅,25,tûn-hông,tun5hong5,tun5hong5,tunhong,tunhong,th,th,True
tûn-khí,唇齒,25,tûn-khí,tun5khi2,tun5khi2,tunkhi,tunkhi,tk,tk,True
ai-iah,唉呀,25,ai-iah,ai1iah1,ai1iah1,aiiah,aiiah,ai,ai,True
ai-tshan,唉呻,25,ai-chhan,ai1tshan1,ai1chhan1,aitshan,aichhan,at,ac,True
tông-tāi,唐代,25,tông-tāi,tong5tai7,tong5tai7,tongtai,tongtai,tt,tt,True
tông-tiâu,唐朝,25,tông-tiâu,tong5tiau5,tong5tiau5,tongtiau,tongtiau,tt,tt,True
tông-tu̍t,唐突,25,tông-tu̍t,tong5tut8,tong5tut8,tongtut,tongtut,tt,tt,True
tsim-tshuì,唚嘴,25,chim-chhùi,tsim1tshui3,chim1chhui3,tsimtshui,chimchhui,tt,cc,True
sau-siann,唦聲,25,sau-siaⁿ,sau1siann1,sau1siann1,sausiann,sausiann,ss,ss,True
hóo-lâng,唬人,25,hó͘-lâng,hoo2lang5,hoo2lang5,hoolang,hoolang,hl,hl,True
siû-kè,售價,25,siû-kè,siu5ke3,siu5ke3,siuke,siuke,sk,sk,True
siû-tshut,售出,25,siû-chhut,siu5tshut1,siu5chhut1,siutshut,siuchhut,st,sc,True
siû-phiò,售票,25,siû-phiò,siu5phio3,siu5phio3,siuphio,siuphio,sp,sp,True
siū-phiò,售票,25,siū-phiò,siu7phio3,siu7phio3,siuphio,siuphio,sp,sp,True
uî-it,唯一,25,ûi-it,ui5it1,ui5it1,uiit,uiit,ui,ui,True
î-it,唯一,25,î-it,i5it1,i5it1,iit,iit,ii,ii,True
bī-sī,唯是,25,bī-sī,bi7si7,bi7si7,bisi,bisi,bs,bs,True
uî-iú,唯有,25,ûi-iú,ui5iu2,ui5iu2,uiiu,uiiu,ui,ui,True
î-iú,唯有,25,î-iú,i5iu2,i5iu2,iiu,iiu,ii,ii,True
uî-bí,唯美,25,ûi-bí,ui5bi2,ui5bi2,uibi,uibi,ub,ub,True
î-bí,唯美,25,î-bí,i5bi2,i5bi2,ibi,ibi,ib,ib,True
tshiàng-kè,唱價,25,chhiàng-kè,tshiang3ke3,chhiang3ke3,tshiangke,chhiangke,tk,ck,True
tshiùnn-tshut,唱出,25,chhiùⁿ-chhut,tshiunn3tshut1,chhiunn3chhut1,tshiunntshut,chhiunnchhut,tt,cc,True
tshiàng-miâ,唱名,25,chhiàng-miâ,tshiang3mia5,chhiang3mia5,tshiangmia,chhiangmia,tm,cm,True
tshiàng-bîng,唱明,25,chhiàng-bêng,tshiang3bing5,chhiang3beng5,tshiangbing,chhiangbeng,tb,cb,True
tshiùnn-khik,唱曲,25,chhiùⁿ-khek,tshiunn3khik1,chhiunn3khek1,tshiunnkhik,chhiunnkhek,tk,ck,True
tshiùnn-kua,唱歌,25,chhiùⁿ-koa,tshiunn3kua1,chhiunn3koa1,tshiunnkua,chhiunnkoa,tk,ck,True
tshiàng-tù,唱注,25,chhiàng-tù,tshiang3tu3,chhiang3tu3,tshiangtu,chhiangtu,tt,ct,True
tshiònn-phìnn,唱片,25,chhiòⁿ-phìⁿ,tshionn3phinn3,chhionn3phinn3,tshionnphinn,chhionnphinn,tp,cp,True
tshiùnn-phìnn,唱片,25,chhiùⁿ-phìⁿ,tshiunn3phinn3,chhiunn3phinn3,tshiunnphinn,chhiunnphinn,tp,cp,True
tshiùnn-puânn,唱盤,25,chhiùⁿ-pôaⁿ,tshiunn3puann5,chhiunn3poann5,tshiunnpuann,chhiunnpoann,tp,cp,True
tshiàng-lé,唱禮,25,chhiàng-lé,tshiang3le2,chhiang3le2,tshiangle,chhiangle,tl,cl,True
tshiàng-siann,唱聲,25,chhiàng-siaⁿ,tshiang3siann1,chhiang3siann1,tshiangsiann,chhiangsiann,ts,cs,True
tshiàng-sue,唱衰,25,chhiàng-soe,tshiang3sue1,chhiang3soe1,tshiangsue,chhiangsoe,ts,cs,True
tshiùnn-tiāu,唱調,25,chhiùⁿ-tiāu,tshiunn3tiau7,chhiunn3tiau7,tshiunntiau,chhiunntiau,tt,ct,True
tshiùnn-khí,唱起,25,chhiùⁿ-khí,tshiunn3khi2,chhiunn3khi2,tshiunnkhi,chhiunnkhi,tk,ck,True
liām-siâu,唸siâu,25,liām-siâu,liam7siau5,liam7siau5,liamsiau,liamsiau,ls,ls,True
liām-tsu,唸書,25,liām-chu,liam7tsu1,liam7chu1,liamtsu,liamchu,lt,lc,True
liām-king,唸經,25,liām-keng,liam7king1,liam7keng1,liamking,liamkeng,lk,lk,True
liām-jû,唸茹,25,liām-jû,liam7ju5,liam7ju5,liamju,liamju,lj,lj,True
liām-kuat,唸訣,25,liām-koat,liam7kuat1,liam7koat1,liamkuat,liamkoat,lk,lk,True
liām-kōng,唸誆,25,liām-kōng,liam7kong7,liam7kong7,liamkong,liamkong,lk,lk,True
tok-kè,啄價,25,tok-kè,tok1ke3,tok1ke3,tokke,tokke,tk,tk,True
tok-khak,啄殼,25,tok-khak,tok1khak1,tok1khak1,tokkhak,tokkhak,tk,tk,True
tok-mn̂g,啄毛,25,tok-mn̂g,tok1mng5,tok1mng5,tokmng,tokmng,tm,tm,True
tok-hue,啄花,25,tok-hoe,tok1hue1,tok1hoe1,tokhue,tokhoe,th,th,True
tok-tsiù,啄蛀,25,tok-chiù,tok1tsiu3,tok1chiu3,toktsiu,tokchiu,tt,tc,True
tok-phīnn,啄鼻,25,tok-phīⁿ,tok1phinn7,tok1phinn7,tokphinn,tokphinn,tp,tp,True
tok-ku,啄龜,25,tok-ku,tok1ku1,tok1ku1,tokku,tokku,tk,tk,True
siong-jîn,商人,25,siong-jîn,siong1jin5,siong1jin5,siongjin,siongjin,sj,sj,True
siong-bū,商務,25,siong-bū,siong1bu7,siong1bu7,siongbu,siongbu,sb,sb,True
siong-phín,商品,25,siong-phín,siong1phin2,siong1phin2,siongphin,siongphin,sp,sp,True
siong-tiûnn,商場,25,siong-tiûⁿ,siong1tiunn5,siong1tiunn5,siongtiunn,siongtiunn,st,st,True
siong-ka,商家,25,siong-ka,siong1ka1,siong1ka1,siongka,siongka,sk,sk,True
siong-tsuan,商專,25,siong-choan,siong1tsuan1,siong1choan1,siongtsuan,siongchoan,st,sc,True
siang-tián,商展,25,siang-tián,siang1tian2,siang1tian2,siangtian,siangtian,st,st,True
siong-tián,商展,25,siong-tián,siong1tian2,siong1tian2,siongtian,siongtian,st,st,True
siong-tiàm,商店,25,siong-tiàm,siong1tiam3,siong1tiam3,siongtiam,siongtiam,st,st,True
siong-tsîng,商情,25,siong-chêng,siong1tsing5,siong1cheng5,siongtsing,siongcheng,st,sc,True
siong-sòo,商數,25,siong-sò͘,siong1soo3,siong1soo3,siongsoo,siongsoo,ss,ss,True
siong-huē,商會,25,siong-hōe,siong1hue7,siong1hoe7,sionghue,sionghoe,sh,sh,True
siong-gia̍p,商業,25,siong-gia̍p,siong1giap8,siong1giap8,sionggiap,sionggiap,sg,sg,True
siong-phiau,商標,25,siong-phiau,siong1phiau1,siong1phiau1,siongphiau,siongphiau,sp,sp,True
siong-piau,商標,25,siong-piau,siong1piau1,siong1piau1,siongpiau,siongpiau,sp,sp,True
siong-huat,商法,25,siong-hoat,siong1huat1,siong1hoat1,sionghuat,sionghoat,sh,sh,True
siong-káng,商港,25,siong-káng,siong1kang2,siong1kang2,siongkang,siongkang,sk,sk,True
siong-iōng,商用,25,siong-iōng,siong1iong7,siong1iong7,siongiong,siongiong,si,si,True
siong-kài,商界,25,siong-kài,siong1kai3,siong1kai3,siongkai,siongkai,sk,sk,True
siong-siā,商社,25,siong-siā,siong1sia7,siong1sia7,siongsia,siongsia,ss,ss,True
siong-kho,商科,25,siong-kho,siong1kho1,siong1kho1,siongkho,siongkho,sk,sk,True
siong-tsit,商職,25,siong-chit,siong1tsit1,siong1chit1,siongtsit,siongchit,st,sc,True
siong-tsûn,商船,25,siong-chûn,siong1tsun5,siong1chun5,siongtsun,siongchun,st,sc,True
siong-hō,商號,25,siong-hō,siong1ho7,siong1ho7,siongho,siongho,sh,sh,True
siong-tìng,商訂,25,siong-tèng,siong1ting3,siong1teng3,siongting,siongteng,st,st,True
siong-thó,商討,25,siong-thó,siong1tho2,siong1tho2,siongtho,siongtho,st,st,True
siong-tâm,商談,25,siong-tâm,siong1tam5,siong1tam5,siongtam,siongtam,st,st,True
siong-gī,商議,25,siong-gī,siong1gi7,siong1gi7,sionggi,sionggi,sg,sg,True
siong-ī,商譽,25,siong-ī,siong1i7,siong1i7,siongi,siongi,si,si,True
siong-liông,商量,25,siong-liông,siong1liong5,siong1liong5,siongliong,siongliong,sl,sl,True
siong-gîn,商銀,25,siong-gîn,siong1gin5,siong1gin5,sionggin,sionggin,sg,sg,True
siong-lio̍k,商陸,25,siong-lio̍k,siong1liok8,siong1liok8,siongliok,siongliok,sl,sl,True
siong-tuī,商隊,25,siong-tūi,siong1tui7,siong1tui7,siongtui,siongtui,st,st,True
būn-sè,問世,25,būn-sè,bun7se3,bun7se3,bunse,bunse,bs,bs,True
būn-hāu,問候,25,būn-hāu,bun7hau7,bun7hau7,bunhau,bunhau,bh,bh,True
mn̄g-kuàn,問卷,25,mn̄g-koàn,mng7kuan3,mng7koan3,mngkuan,mngkoan,mk,mk,True
būn-song,問喪,25,būn-song,bun7song1,bun7song1,bunsong,bunsong,bs,bs,True
būn-hó,問好,25,būn-hó,bun7ho2,bun7ho2,bunho,bunho,bh,bh,True
būn-tin,問津,25,būn-tin,bun7tin1,bun7tin1,buntin,buntin,bt,bt,True
būn-tap,問答,25,būn-tap,bun7tap1,bun7tap1,buntap,buntap,bt,bt,True
būn-hō,問號,25,būn-hō,bun7ho7,bun7ho7,bunho,bunho,bh,bh,True
mn̄g-bāi,問覓,25,mn̄g-bāi,mng7bai7,mng7bai7,mngbai,mngbai,mb,mb,True
būn-uē,問話,25,būn-ōe,bun7ue7,bun7oe7,bunue,bunoe,bu,bo,True
mn̄g-lōo,問路,25,mn̄g-lō͘,mng7loo7,mng7loo7,mngloo,mngloo,ml,ml,True
būn-tê,問題,25,būn-tê,bun7te5,bun7te5,bunte,bunte,bt,bt,True
tām-sám,啖糝,25,tām-sám,tam7sam2,tam7sam2,tamsam,tamsam,ts,ts,True
é-káu,啞口,25,é-káu,e2kau2,e2kau2,ekau,ekau,ek,ek,True
é-siann,啞聲,25,é-siaⁿ,e2siann1,e2siann1,esiann,esiann,es,es,True
a-lé,啞鈴,25,a-lé,a1le2,a1le2,ale,ale,al,al,True
à-lîng,啞鈴,25,à-lêng,a3ling5,a3leng5,aling,aleng,al,al,True
é-tsing,啞鐘,25,é-cheng,e2tsing1,e2cheng1,etsing,echeng,et,ec,True
khé-sū,啟事,25,khé-sū,khe2su7,khe2su7,khesu,khesu,ks,ks,True
khé-tōng,啟動,25,khé-tōng,khe2tong7,khe2tong7,khetong,khetong,kt,kt,True
khé-bîng,啟明,25,khé-bêng,khe2bing5,khe2beng5,khebing,khebeng,kb,kb,True
khé-iōng,啟用,25,khé-iōng,khe2iong7,khe2iong7,kheiong,kheiong,ki,ki,True
khé-huat,啟發,25,khé-hoat,khe2huat1,khe2hoat1,khehuat,khehoat,kh,kh,True
khé-sī,啟示,25,khé-sī,khe2si7,khe2si7,khesi,khesi,ks,ks,True
khé-hâng,啟航,25,khé-hâng,khe2hang5,khe2hang5,khehang,khehang,kh,kh,True
khé-bông,啟蒙,25,khé-bông,khe2bong5,khe2bong5,khebong,khebong,kb,kb,True
pe-á,啡仔,25,pe-á,pe1a2,pe1a2,pea,pea,pa,pa,True
pi-á,啡仔,25,pi-á,pi1a2,pi1a2,pia,pia,pa,pa,True
pi-á,啡子,25,pi-á,pi1a2,pi1a2,pia,pia,pa,pa,True
bih-luh,啤酒,25,bih-luh,bih1luh1,bih1luh1,bihluh,bihluh,bl,bl,True
siánn-mih,啥乜,25,siáⁿ-mih,siann2mih1,siann2mih1,siannmih,siannmih,sm,sm,True
siánn-sū,啥事,25,siáⁿ-sū,siann2su7,siann2su7,siannsu,siannsu,ss,ss,True
siánn-lâng,啥人,25,siáⁿ-lâng,siann2lang5,siann2lang5,siannlang,siannlang,sl,sl,True
siannh-tāi,啥代,25,siaⁿh-tāi,siannh1tai7,siannh1tai7,siannhtai,siannhtai,st,st,True
siánn-tāi,啥代,25,siáⁿ-tāi,siann2tai7,siann2tai7,sianntai,sianntai,st,st,True
siánn-sî,啥時,25,siáⁿ-sî,siann2si5,siann2si5,siannsi,siannsi,ss,ss,True
siánn-iūnn,啥樣,25,siáⁿ-iūⁿ,siann2iunn7,siann2iunn7,sianniunn,sianniunn,si,si,True
siánn-khuán,啥款,25,siáⁿ-khoán,siann2khuan2,siann2khoan2,siannkhuan,siannkhoan,sk,sk,True
siannh-pōo,啥步,25,siaⁿh-pō͘,siannh1poo7,siannh1poo7,siannhpoo,siannhpoo,sp,sp,True
sannh-mih,啥物,25,saⁿh-mih,sannh1mih1,sannh1mih1,sannhmih,sannhmih,sm,sm,True
siánn-mi̍h,啥物,25,siáⁿ-mi̍h,siann2mih8,siann2mih8,siannmih,siannmih,sm,sm,True
siánn-khang,啥空,25,siáⁿ-khang,siann2khang1,siann2khang1,siannkhang,siannkhang,sk,sk,True
siánn-huè,啥貨,25,siáⁿ-hòe,siann2hue3,siann2hoe3,siannhue,siannhoe,sh,sh,True
pi̍k-li̍k,啪靂,25,pe̍k-le̍k,pik8lik8,pek8lek8,piklik,peklek,pl,pl,True
thî-kiò,啼叫,25,thî-kiò,thi5kio3,thi5kio3,thikio,thikio,tk,tk,True
thî-khàu,啼哭,25,thî-khàu,thi5khau3,thi5khau3,thikhau,thikhau,tk,tk,True
thî-kenn,啼更,25,thî-keⁿ,thi5kenn1,thi5kenn1,thikenn,thikenn,tk,tk,True
siān-sū,善事,25,siān-sū,sian7su7,sian7su7,siansu,siansu,ss,ss,True
siān-jîn,善人,25,siān-jîn,sian7jin5,sian7jin5,sianjin,sianjin,sj,sj,True
siān-ka,善加,25,siān-ka,sian7ka1,sian7ka1,sianka,sianka,sk,sk,True
siān-huà,善化,25,siān-hòa,sian7hua3,sian7hoa3,sianhua,sianhoa,sh,sh,True
siān-tn̂g,善堂,25,siān-tn̂g,sian7tng5,sian7tng5,siantng,siantng,st,st,True
siān-thāi,善待,25,siān-thāi,sian7thai7,sian7thai7,sianthai,sianthai,st,st,True
siān-hiō,善後,25,siān-hiō,sian7hio7,sian7hio7,sianhio,sianhio,sh,sh,True
siān-sim,善心,25,siān-sim,sian7sim1,sian7sim1,siansim,siansim,ss,ss,True
siān-ok,善惡,25,siān-ok,sian7ok1,sian7ok1,sianok,sianok,so,so,True
siān-ì,善意,25,siān-ì,sian7i3,sian7i3,siani,siani,si,si,True
siān-lâm,善男,25,siān-lâm,sian7lam5,sian7lam5,sianlam,sianlam,sl,sl,True
siān-tsiong,善終,25,siān-chiong,sian7tsiong1,sian7chiong1,siantsiong,sianchiong,st,sc,True
siān-liâng,善良,25,siān-liâng,sian7liang5,sian7liang5,sianliang,sianliang,sl,sl,True
siān-hīng,善行,25,siān-hēng,sian7hing7,sian7heng7,sianhing,sianheng,sh,sh,True
la-pa,喇叭,25,la-pa,la1pa1,la1pa1,lapa,lapa,lp,lp,True
la-pah,喇叭,25,la-pah,la1pah1,la1pah1,lapah,lapah,lp,lp,True
lat-pah,喇叭,25,lat-pah,lat1pah1,lat1pah1,latpah,latpah,lp,lp,True
là-pa,喇叭,25,là-pa,la3pa1,la3pa1,lapa,lapa,lp,lp,True
la-hi,喇嘻,25,la-hi,la1hi1,la1hi1,lahi,lahi,lh,lh,True
la-thian,喇天,25,la-thian,la1thian1,la1thian1,lathian,lathian,lt,lt,True
la-îng,喇榮,25,la-êng,la1ing5,la1eng5,laing,laeng,li,le,True
la-liâng,喇涼,25,la-liâng,la1liang5,la1liang5,laliang,laliang,ll,ll,True
la-le,喇絡,25,la-le,la1le1,la1le1,lale,lale,ll,ll,True
la-puah,喇缽,25,la-poah,la1puah1,la1poah1,lapuah,lapoah,lp,lp,True
la-îng,喇閒,25,la-êng,la1ing5,la1eng5,laing,laeng,li,le,True
la-phé,喇,25,la-phé,la1phe2,la1phe2,laphe,laphe,lp,lp,True
âu-tsa̍t,喉實,25,âu-cha̍t,au5tsat8,au5chat8,autsat,auchat,at,ac,True
âu-tīnn,喉淀,25,âu-tīⁿ,au5tinn7,au5tinn7,autinn,autinn,at,at,True
âu-pì,喉痺,25,âu-pì,au5pi3,au5pi3,aupi,aupi,ap,ap,True
âu-khang,喉空,25,âu-khang,au5khang1,au5khang1,aukhang,aukhang,ak,ak,True
âu-ngôo,喉蛾,25,âu-ngô͘,au5ngoo5,au5ngoo5,aungoo,aungoo,an,an,True
âu-tsing,喉鐘,25,âu-cheng,au5tsing1,au5cheng1,autsing,aucheng,at,ac,True
âu-ūn,喉韻,25,âu-ūn,au5un7,au5un7,auun,auun,au,au,True
hiàm-uan,喊冤,25,hiàm-oan,hiam3uan1,hiam3oan1,hiamuan,hiamoan,hu,ho,True
hán-uan,喊冤,25,hán-oan,han2uan1,han2oan1,hanuan,hanoan,hu,ho,True
hiàm-kiò,喊叫,25,hiàm-kiò,hiam3kio3,hiam3kio3,hiamkio,hiamkio,hk,hk,True
hiàm-miâ,喊名,25,hiàm-miâ,hiam3mia5,hiam3mia5,hiammia,hiammia,hm,hm,True
hiàm-hiu,喊咻,25,hiàm-hiu,hiam3hiu1,hiam3hiu1,hiamhiu,hiamhiu,hh,hh,True
hán-huah,喊喝,25,hán-hoah,han2huah1,han2hoah1,hanhuah,hanhoah,hh,hh,True
khām-sàu,喊嗽,25,khām-sàu,kham7sau3,kham7sau3,khamsau,khamsau,ks,ks,True
hán-pan,喊班,25,hán-pan,han2pan1,han2pan1,hanpan,hanpan,hp,hp,True
hiàm-khóo,喊苦,25,hiàm-khó͘,hiam3khoo2,hiam3khoo2,hiamkhoo,hiamkhoo,hk,hk,True
hiàm-ke,喊雞,25,hiàm-ke,hiam3ke1,hiam3ke1,hiamke,hiamke,hk,hk,True
hiàm-hûn,喊魂,25,hiàm-hûn,hiam3hun5,hiam3hun5,hiamhun,hiamhun,hh,hh,True
tshuán-khuì,喘氣,25,chhoán-khùi,tshuan2khui3,chhoan2khui3,tshuankhui,chhoankhui,tk,ck,True
tshuán-pēnn,喘病,25,chhoán-pēⁿ,tshuan2penn7,chhoan2penn7,tshuanpenn,chhoanpenn,tp,cp,True
huàn-khí,喚起,25,hoàn-khí,huan3khi2,hoan3khi2,huankhi,hoankhi,hk,hk,True
huàn-tshénn,喚醒,25,hoàn-chhéⁿ,huan3tshenn2,hoan3chhenn2,huantshenn,hoanchhenn,ht,hc,True
hí-sū,喜事,25,hí-sū,hi2su7,hi2su7,hisu,hisu,hs,hs,True
hí-kio̍k,喜劇,25,hí-kio̍k,hi2kiok8,hi2kiok8,hikiok,hikiok,hk,hk,True
hí-ki̍k,喜劇,25,hí-ke̍k,hi2kik8,hi2kek8,hikik,hikek,hk,hk,True
hí-iàn,喜宴,25,hí-iàn,hi2ian3,hi2ian3,hiian,hiian,hi,hi,True
hí-thiap,喜帖,25,hí-thiap,hi2thiap1,hi2thiap1,hithiap,hithiap,ht,ht,True
hí-ia̍t,喜悅,25,hí-ia̍t,hi2iat8,hi2iat8,hiiat,hiiat,hi,hi,True
hí-ài,喜愛,25,hí-ài,hi2ai3,hi2ai3,hiai,hiai,ha,ha,True
hí-khìng,喜慶,25,hí-khèng,hi2khing3,hi2kheng3,hikhing,hikheng,hk,hk,True
hí-lo̍k,喜樂,25,hí-lo̍k,hi2lok8,hi2lok8,hilok,hilok,hl,hl,True
