hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
沙,see,50,see,see1,see1,ㄙㄝ,,see,see,ㄙㄝ,,,,,,True,False
沙,sie,50,sie,sie1,sie1,ㄒㄧㆤ,,sie,sie,ㄒㄧㆤ,,,,,,True,False
沝,tsuí,50,chúi,tsui2,chui2,ㄗㄨㄧˋ,,tsui,chui,ㄗㄨㄧ,,,,,,True,False
沮,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
沮,tsìr,50,chìr,tsir3,chir3,ㄗㆨ˪,,tsir,chir,ㄗㆨ,,,,,,True,False
沮,tsù,50,chù,tsu3,chu3,ㄗㄨ˪,,tsu,chu,ㄗㄨ,,,,,,True,False
沮,tsīr,50,chīr,tsir7,chir7,ㄗㆨ˫,,tsir,chir,ㄗㆨ,,,,,,True,False
沮,tsū,50,chū,tsu7,chu7,ㄗㄨ˫,,tsu,chu,ㄗㄨ,,,,,,True,False
沮,tsǐr,50,chǐr,tsir6,chir6,ㄗㆨˇ,,tsir,chir,ㄗㆨ,,,,,,True,False
治,tǐ,50,tǐ,ti6,ti6,ㄉㄧˇ,,ti,ti,ㄉㄧ,,,,,,True,False
泀,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
泀,su,50,su,su1,su1,ㄙㄨ,,su,su,ㄙㄨ,,,,,,True,False
泗,sìr,50,sìr,sir3,sir3,ㄙㆨ˪,,sir,sir,ㄙㆨ,,,,,,True,False
泚,tshír,50,chhír,tshir2,chhir2,ㄘㆨˋ,,tshir,chhir,ㄘㆨ,,,,,,True,False
泚,tsír,50,chír,tsir2,chir2,ㄗㆨˋ,,tsir,chir,ㄗㆨ,,,,,,True,False
泚,tsú,50,chú,tsu2,chu2,ㄗㄨˋ,,tsu,chu,ㄗㄨ,,,,,,True,False
泛,huàng,50,hoàng,huang3,hoang3,ㄏㄨㄤ˪,,huang,hoang,ㄏㄨㄤ,,,,,,True,False
泜,tsi,50,chi,tsi1,chi1,ㄐㄧ,,tsi,chi,ㄐㄧ,,,,,,True,False
泜,tī,50,tī,ti7,ti7,ㄉㄧ˫,,ti,ti,ㄉㄧ,,,,,,True,False
泜,tǐ,50,tǐ,ti6,ti6,ㄉㄧˇ,,ti,ti,ㄉㄧ,,,,,,True,False
泞,tīr,50,tīr,tir7,tir7,ㄉㆨ˫,,tir,tir,ㄉㆨ,,,,,,True,False
泞,tū,50,tū,tu7,tu7,ㄉㄨ˫,,tu,tu,ㄉㄨ,,,,,,True,False
泞,tǐr,50,tǐr,tir6,tir6,ㄉㆨˇ,,tir,tir,ㄉㆨ,,,,,,True,False
泤,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
泤,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
泤,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
泫,hiān,50,hiān,hian7,hian7,ㄏㄧㄢ˫,,hian,hian,ㄏㄧㄢ,,,,,,True,False
泫,hiǎn,50,hiǎn,hian6,hian6,ㄏㄧㄢˇ,,hian,hian,ㄏㄧㄢ,,,,,,True,False
泿,gîrn,50,gîrn,girn5,girn5,ㆣㆨㄣˊ,,girn,girn,ㆣㆨㄣ,,,,,,True,False
泿,gûn,50,gûn,gun5,gun5,ㆣㄨㄣˊ,,gun,gun,ㆣㄨㄣ,,,,,,True,False
洍,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
洍,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
洍,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
洒,sèe,50,sèe,see3,see3,ㄙㄝ˪,,see,see,ㄙㄝ,,,,,,True,False
洰,kīr,50,kīr,kir7,kir7,ㄍㆨ˫,,kir,kir,ㄍㆨ,,,,,,True,False
洰,kū,50,kū,ku7,ku7,ㄍㄨ˫,,ku,ku,ㄍㄨ,,,,,,True,False
洰,kǐr,50,kǐr,kir6,kir6,ㄍㆨˇ,,kir,kir,ㄍㆨ,,,,,,True,False
洳,jīr,50,jīr,jir7,jir7,ㆡㆨ˫,,jir,jir,ㆡㆨ,,,,,,True,False
洳,līr,50,līr,lir7,lir7,ㄌㆨ˫,,lir,lir,ㄌㆨ,,,,,,True,False
洳,lū,50,lū,lu7,lu7,ㄌㄨ˫,,lu,lu,ㄌㄨ,,,,,,True,False
洸,hōng,50,hōng,hong7,hong7,ㄏㆲ˫,,hong,hong,ㄏㆲ,,,,,,True,False
