tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
kua-thôo,柯土,25,koa-thô͘,kuathoo5,koathoo5,kuathoo,koathoo,kt,kt
kho-si,柯絲,25,kho-si,khosi,khosi,khosi,khosi,ks,ks
tshâ-ôo,柴胡,25,chhâ-ô͘,tsha5oo5,chha5oo5,tshaoo,chhaoo,to,co
khī-á,柿仔,25,khī-á,khi7a2,khi7a2,khia,khia,ka,ka
khī-kôo,柿糊,25,khī-kô͘,khi7koo5,khi7koo5,khikoo,khikoo,kk,kk
la̍t-tsí,栗子,25,la̍t-chí,lat8tsi2,lat8chi2,lattsi,latchi,lt,lc
káu-la̍t,校栗,25,káu-la̍t,kau2lat8,kau2lat8,kaulat,kaulat,kl,kl
káu-tsan,校櫕,25,káu-chan,kau2tsan,kau2chan,kautsan,kauchan,kt,kc
kuì-ki,桂枝,25,kùi-ki,kui3ki,kui3ki,kuiki,kuiki,kk,kk
kuì-tik,桂竹,25,kùi-tek,kui3tik,kui3tek,kuitik,kuitek,kt,kt
kuì-hue,桂花,25,kùi-hoe,kui3hue,kui3hoe,kuihue,kuihoe,kh,kh
thô-jîn,桃仁,25,thô-jîn,tho5jin5,tho5jin5,thojin,thojin,tj,tj
thô-á,桃仔,25,thô-á,tho5a2,tho5a2,thoa,thoa,ta,ta
thô-tik,桃竹,25,thô-tek,tho5tik,tho5tek,thotik,thotek,tt,tt
kong-lông,桄榔,25,kong-lông,konglong5,konglong5,konglong,konglong,kl,kl
song-tshiū,桑樹,25,song-chhiū,songtshiu7,songchhiu7,songtshiu,songchhiu,st,sc
tháng-kam,桶柑,25,tháng-kam,thang2kam,thang2kam,thangkam,thangkam,tk,tk
muî-á,梅仔,25,mûi-á,mui5a2,mui5a2,muia,muia,ma,ma
ngôo-tông,梧桐,25,ngô͘-tông,ngoo5tong5,ngoo5tong5,ngootong,ngootong,nt,nt
lâi-á,梨仔,25,lâi-á,lai5a2,lai5a2,laia,laia,la,la
mî-la̍t,棉栗,25,mî-la̍t,mi5lat8,mi5lat8,milat,milat,ml,ml
tsó-á,棗仔,25,chó-á,tso2a2,cho2a2,tsoa,choa,ta,ca
iâ-phiô,椰瓢,25,iâ-phiô,ia5phio5,ia5phio5,iaphio,iaphio,ip,ip
iông-muâi,楊梅,25,iông-moâi,iong5muai5,iong5moai5,iongmuai,iongmoai,im,im
png-á,楓仔,25,png-á,pnga2,pnga2,pnga,pnga,pa,pa
