tl,hanzi,frequency
to̍k,獨,3095
pái,擺,3083
hiáu,曉,3083
suî,隨,3082
kiông,強,3049
pa̍t,別,3043
siā,謝,3028
īnn,院,3016
guān,願,3016
siàu,少,3010
khó,考,3008
huann,歡,3006
in,殷,3005
jīn,認,3005
līn,認,3005
tāu,豆,3000
ná,那,2994
tīn,陣,2992
tsiah,隻,2989
kai,該,2986
pîng,朋,2984
su,書,2980
nā,吶,2973
sái,使,2966
sú,使,2966
lâu,流,2954
tsí,只,2950
pâi,排,2950
tìn,鎮,2950
nn̄g,兩,2949
kuí,鬼,2941
phín,品,2932
pâng,房,2928
pòo,布,2924
làu,落,2916
hiông,雄,2901
neh,呢,2892
khin,輕,2882
kun,軍,2876
nâ,林,2875
sû,詞,2871
hì,戲,2869
tsóo,祖,2864
hú,府,2856
kiám,檢,2838
tó,倒,2836
uá,倚,2834
pîng,爿,2834
gī,議,2834
tshuā,𤆬,2833
sòo,數,2832
sí,始,2824
tha̍k,讀,2820
siang,雙,2816
sio̍k,俗,2810
siau,消,2810
thó,討,2800
tôo,徒,2797
sian,仙,2792
kiû,球,2784
tián,展,2778
liāu,料,2775
suí,媠,2774
liōng,量,2765
kng,光,2761
kè,計,2759
thàn,趁,2759
kuân,懸,2753
kíng,景,2750
uānn,換,2747
tsha,差,2740
piān,便,2736
tuà,蹛,2725
tsè,制,2722
hōo,互,2721
tóng,黨,2708
li̍k,歷,2707
tsu,資,2706
íng,永,2703
phiò,票,2693
kuat,決,2691
kuài,怪,2686
lán,戁,2682
lán,赧,2682
tsò,佐,2677
toh,桌,2677
hia,遐,2677
hiâ,遐,2677
kap,佮,2668
lióng,兩,2654
kuán,管,2652
ián,演,2640
pī,備,2639
phik,拍,2637
huì,費,2631
tsi̍p,集,2628
sūn,順,2626
ho̍k,服,2625
thih,鐵,2613
guā,偌,2602
sú,史,2602
tik,德,2594
kīn,近,2586
kūn,近,2586
phuê,皮,2583
phê,皮,2583
hōo,護,2583
lîm,林,2578
tán,等,2562
tshíng,請,2562
khiā,徛,2561
tshun,春,2561
uē,畫,2560
bū,務,2544
thàu,透,2543
kiōng,共,2539
ki̍p,及,2526
gōo,五,2521
tiām,恬,2516
bān,慢,2514
kong,功,2513
huan,歡,2505
tsiah,遮,2503
tsiong,將,2502
siong,相,2500
tâu,投,2494
tshòng,創,2493
tshenn,青,2489
tshinn,青,2489
kam,甘,2482
mi̍h,物,2476
mn̍gh,物,2476
siânn,城,2472
giām,驗,2471
póo,補,2470
iông,容,2467
ióng,養,2466
koo,姑,2461
tsiòng,眾,2450
hōo,雨,2449
tshit,七,2425
jîn,仁,2425
lîn,仁,2425
tì,致,2414
tsīn,盡,2410
kìnn,見,2409
tsng,庄,2400
thāi,待,2397
kàu,夠,2390
thè,退,2387
tiàm,踮,2386
tuê,題,2380
tê,題,2380
gâu,𠢕,2377
tsâi,財,2375
piah,壁,2374
hòng,放,2372
sī,視,2371
tiānn,定,2370
tsit,質,2369
mê,暝,2368
mî,暝,2368
tsiânn,成,2363
sué,洗,2363
sé,洗,2363
tsài,再,2362
tsióng,種,2362
tsiáu,鳥,2362
phīnn,鼻,2360
uì,對,2354
thiàu,跳,2351
io̍k,育,2344
la̍t,力,2342
huê,回,2342
hê,回,2342
si̍p,習,2332
tiānn,碇,2331
tshiùnn,唱,2326
lí,女,2326
lú,女,2326
piànn,拚,2326
tsham,參,2323
su̍t,術,2321
sái,駛,2319
kuann,肝,2310
kho,科,2308
kenn,經,2304
