hanzi,tl
電子磅仔,tiān-tsú-pōng-á
跤踏仔,kha-ta̍h-á
衣脊,i-tsit
軟身,nńg-sin
連座硬身,liân-tsō ngē-sin
分座,hun-tsō
白身,pe̍h-sin
蓮蕉盆,liân-tsio-phûn
豆油缸,tāu-iû-kng
磨坩,buâ-khann
綠釉夜壺,lik-iu-iā-hôo
粿印,kué-ìn
箸籠,tī-lāng
春壽香筒,tshun-siū-hiunn-tâng
油燈,iû-ting
電塗燈,tiān-thôo-ting
便當篋仔,piān-tong-kheh-á
跤徛,kha-khiā
番仔火,huan-á-hué
手銬,tshiú-khàu
雞鵤仔車,ke-kak-á-tshia
鏡,kiànn
玻璃甕仔,po-lê-àng-á
藥鉸,io̍h-ka
時鐘,sî-tsing
辦桌湯盤,pān-toh-thng-puânn
算盤,sǹg-puânn
烏枋,oo-pang
手搖鈴,tshiú-iô-lîng
風琴,hong-khîm
椅條,í-liâu
錢櫃,tsînn-kuī
柏青哥,pha-tsìn-kòo
珠仔台,tsu-á-tâi
三輪車,sann-lián-tshia
鼓燈,kóo-ting
草鞋,tsháu-ê
棕蓑,tsang-sui
石磨仔,tsio̍h-bō-á
豬槽,ti-tsô
柱珠,thiāu-tsu
粟耙,tshik-pê
桶梯,tháng-thui
秤仔,tshìn-á
秤錘,tshìn-thuî
鐮刈仔,liâm-li̍k-á
圓黜仔,înn-thuh-á
牛鈴仔,gû-lîng-á
釐仔甲,li-á-khah
𥴊壺仔,kám-ôo-á
甕仔,àng-á
水觳仔,tsuí-khok-á
布袋,pòo-tē
年畫刻板,nî-uē-khik-pán
鉛字架,iân-jī-kè
牌匾,pâi-pián
鋼板,kǹg-pán
滾桶,kún-tháng
鐵筆,thih-pit
印台,ìn-tâi
木尺,bo̍k-tshioh
葵扇,khuê-sìnn
徛鏡,khiā-kiànn
連鏡批筒,liân-kiànn-phue-tháng
小冊櫃,sió-tsheh-kuì
糖篋仔,thn̂g-kheh-á
乾漆茶盤,kan-tshat tê-puânn
冷盤,líng-puânn
面桶架仔,bīn-tháng-kè-á
竹籠,tik-láng
汽水籃仔,khì-tsuí-nâ-á
度針,tōo-tsiam
飯擔,pn̄g-tann
飯坩,pn̄g-khann
竹編花籃,tik-pinn hue-nâ
壽字燭台,siū-jī tsik-tâi
石仔秤錘,tsio̍h ê tshìn-thuî
石仔香爐,tsio̍h ê hiunn-lôo
石鎖,tsio̍h-só
石舂臼,tsio̍h-tsing-khū
豆器,tāu-khì
龍罐,liông-kuàn
火鍋爐,hué-ko-lôo
電熱爐,tiān-jia̍t-lôo
茶米甕,tê-bí-àng
四耳提壺,sì-hīnn thê-ôo
蛋殼畫,nn̄g-khak-uē
銀花矸仔,gîn-hue-kan-á
菜櫥仔,tshài-tû-á
梳妝台,se-tsong-tâi
鼓仔燈,kóo-á-ting
桌裙,toh-kûn
筆架,pit-kè
太師椅,thài-su-í
公婆椅,kong-pô-í
倒吊獅,tò-tiàu-sai
鏡箱仔,kiànn-siunn-á
令旗,līng-kî
牛角掛屏,gû-kak-kuà-pîn
