"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","HoaBun"
"70464","siòng-chin-chin","","siong3-chin-chin","","相真真","siòng-tsin-tsin","","siong3-tsin-tsin","","相真真","瞄準"
"70465","siòng-chún","","siong3-chun2","","相準","siòng-tsún","","siong3-tsun2","","相準","看準"
"70466","siòng-chún","","siong3-chun2","","相準","siòng-tsún","","siong3-tsun2","","相準","瞄準"
"70467","siòng-hu-kàu-chú","","siong3-hu-kau3-chu2","","相夫教子","siòng-hu-kàu-tsú","","siong3-hu-kau3-tsu2","","相夫教子","相夫教子"
"70468","siòng-iâ","","siong3-ia5","","相爺","siòng-iâ","","siong3-ia5","","相爺","宰相"
"70469","siòng-khang","","siong3-khang","","相空","siòng-khang","","siong3-khang","","相空","找洞"
"70470","siòng-khang","","siong3-khang","","相空","siòng-khang","","siong3-khang","","相空","空"
"70471","siòng-khang","","siong3-khang","","相空","siòng-khang","","siong3-khang","","相空","趁虛"
"70472","siòng-khang","","siong3-khang","","相空","siòng-khang","","siong3-khang","","相空","趁隙"
"70473","siòng-ki-hōe","","siong3-ki-hoe7","","相機會","siòng-ki-huē","","siong3-ki-hue7","","相機會","相機"
"70474","siòng-kong","siòng-kang","siong3-kong","siong3-kang","相公","siòng-kong","siòng-kang","siong3-kong","siong3-kang","相公","相公"
"70475","siòng-miā","","siong3-mia7","","相命","siòng-miā","","siong3-mia7","","相命","相命"
"70476","siòng-miā","","siong3-mia7","","相命","siòng-miā","","siong3-mia7","","相命","相面"
"70477","siòng-miā","","siong3-mia7","","相命","siòng-miā","","siong3-mia7","","相命","看相"
"70478","siòng-miā-sian","","siong3-mia7-sian","","相命仙","siòng-miā-sian","","siong3-mia7-sian","","相命仙","相士"
"70479","siòng-miā-sian","","siong3-mia7-sian","","相命先","siòng-miā-sian","","siong3-mia7-sian","","相命先","相士"
"70480","siòng-phāng","","siong3-phang7","","相縫","siòng-phāng","","siong3-phang7","","相縫","伺機"
"70481","siòng-phāng","","siong3-phang7","","相縫","siòng-phāng","","siong3-phang7","","相縫","趁虛"
"70482","siòng-phāng","","siong3-phang7","","相縫","siòng-phāng","","siong3-phang7","","相縫","趁隙"
"70483","siòng-phāng","","siong3-phang7","","相縫","siòng-phāng","","siong3-phang7","","相縫","趁機"
"70484","siòng-phìⁿ","","siong3-phinn3","","相片","siòng-phìnn","","siong3-phinn3","","相片","相片"
"70485","siòng-phìⁿ","","siong3-phinn3","","相片","siòng-phìnn","","siong3-phinn3","","相片","照片"
"70486","siòng-phō͘","","siong3-phoo7","","相簿","siòng-phōo","","siong3-phoo7","","相簿","相簿"
"70487","siòng-siaⁿ","","siong3-siann","","相聲","siòng-siann","","siong3-siann","","相聲","相聲"
"70488","siông-á","","siong5-a2","","松仔","siông-á","","siong5-a2","","松仔","松鴉"
"70489","siông-á","","siong5-a2","","松仔","siông-á","","siong5-a2","","松仔","橿鳥"
"70490","siông-chhun-têng","","siong5-chhun-teng5","","常春藤","siông-tshun-tîng","","siong5-tshun-ting5","","常春藤","常春藤"
"70491","siông-chiat-iû","","siong5-chiat-iu5","","松節油","siông-tsiat-iû","","siong5-tsiat-iu5","","松節油","松節油"
"70492","siông-hiong","siông-hiang","siong5-hiong","siong5-hiang","松香","siông-hiong","siông-hiang","siong5-hiong","siong5-hiang","松香","松脂"
"70493","siông-jiông","","siong5-jiong5","","松茸","siông-jiông","","siong5-jiong5","","松茸","松茸"
"70494","siông-jiông","","siong5-jiong5","","松茸","siông-jiông","","siong5-jiong5","","松茸","洋菇"
"70495","siông-ka","","siong5-ka","","松膠","siông-ka","","siong5-ka","","松膠","松香"
"70496","siông-ka","","siong5-ka","","松膠","siông-ka","","siong5-ka","","松膠","松脂"
"70497","siông-ko͘","","siong5-koo","","松菇","siông-koo","","siong5-koo","","松菇","洋菇"
"70498","siông-leng","","siong5-leng","","松奶","siông-ling","","siong5-ling","","松奶","橡皮筋"
