hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,kungge,is_variant
神椅,sîn-í,25,sîn-í,sin5i2,sin5i2,ㄒㄧㄣˊㄧˋ,sini,sini,ㄒㄧㄣㄧ,si,si,ㄒㄧ,True,False
穗花,sūi-hue,25,sūi-hoe,sui7hue1,sui7hoe1,ㄙㄨㄧ˫ㄏㄨㆤ,suihue,suihoe,ㄙㄨㄧㄏㄨㆤ,sh,sh,ㄙㄏ,True,False
空透,khang-thàu,25,khang-thàu,khang1thau3,khang1thau3,ㄎㄤㄊㄠ˪,khangthau,khangthau,ㄎㄤㄊㄠ,kt,kt,ㄎㄊ,True,False
窯釘,iô-ting,25,iô-teng,io5ting1,io5teng1,ㄧㄛˊㄉㄧㄥ,ioting,ioteng,ㄧㄛㄉㄧㄥ,it,it,ㄧㄉ,True,False
立板,li̍p-pán,25,li̍p-pán,lip8pan2,lip8pan2,ㄌㄧㆴ̇ㄅㄢˋ,lippan,lippan,ㄌㄧㆴㄅㄢ,lp,lp,ㄌㄅ,True,False
立體,li̍p-thé,25,li̍p-thé,lip8the2,lip8the2,ㄌㄧㆴ̇ㄊㆤˋ,lipthe,lipthe,ㄌㄧㆴㄊㆤ,lt,lt,ㄌㄊ,True,False
童子,tông-tsú,25,tông-chú,tong5tsu2,tong5chu2,ㄉㆲˊㄗㄨˋ,tongtsu,tongchu,ㄉㆲㄗㄨ,tt,tc,ㄉㄗ,True,False
竹尺,tik-tshioh,25,tek-chhioh,tik4tshioh4,tek4chhioh4,ㄉㄧㆻㄑㄧㄛㆷ,tiktshioh,tekchhioh,ㄉㄧㆻㄑㄧㄛㆷ,tt,tc,ㄉㄑ,True,False
竹扇,tik-sìnn,25,tek-sìⁿ,tik4sinn3,tek4sinn3,ㄉㄧㆻㄒㆪ˪,tiksinn,teksinn,ㄉㄧㆻㄒㆪ,ts,ts,ㄉㄒ,True,False
竹根,tik-kin,25,tek-kin,tik4kin1,tek4kin1,ㄉㄧㆻㄍㄧㄣ,tikkin,tekkin,ㄉㄧㆻㄍㄧㄣ,tk,tk,ㄉㄍ,True,False
竹桮,tik-pue,25,tek-poe,tik4pue1,tek4poe1,ㄉㄧㆻㄅㄨㆤ,tikpue,tekpoe,ㄉㄧㆻㄅㄨㆤ,tp,tp,ㄉㄅ,True,False
竹梳,tik-se,25,tek-se,tik4se1,tek4se1,ㄉㄧㆻㄙㆤ,tikse,tekse,ㄉㄧㆻㄙㆤ,ts,ts,ㄉㄙ,True,False
竹籠,tik-láng,25,tek-láng,tik4lang2,tek4lang2,ㄉㄧㆻㄌㄤˋ,tiklang,teklang,ㄉㄧㆻㄌㄤ,tl,tl,ㄉㄌ,True,False
竹編,tik-pinn,25,tek-piⁿ,tik4pinn1,tek4pinn1,ㄉㄧㆻㄅㆪ,tikpinn,tekpinn,ㄉㄧㆻㄅㆪ,tp,tp,ㄉㄅ,True,False
竹胎,tik-thai,25,tek-thai,tik4thai1,tek4thai1,ㄉㄧㆻㄊㄞ,tikthai,tekthai,ㄉㄧㆻㄊㄞ,tt,tt,ㄉㄊ,True,False
竹雕,tik-tiau,25,tek-tiau,tik4tiau1,tek4tiau1,ㄉㄧㆻㄉㄧㄠ,tiktiau,tektiau,ㄉㄧㆻㄉㄧㄠ,tt,tt,ㄉㄉ,True,False
笑鳳,tshiò-hōng,25,chhiò-hōng,tshio3hong7,chhio3hong7,ㄑㄧㄛ˪ㄏㆲ˫,tshiohong,chhiohong,ㄑㄧㄛㄏㆲ,th,ch,ㄑㄏ,True,False
筅仔,tshíng-á,25,chhéng-á,tshing2a2,chheng2a2,ㄑㄧㄥˋㄚˋ,tshinga,chhenga,ㄑㄧㄥㄚ,ta,ca,ㄑㄚ,True,False
筆刀,pit-to,25,pit-to,pit4to1,pit4to1,ㄅㄧㆵㄉㄛ,pitto,pitto,ㄅㄧㆵㄉㄛ,pt,pt,ㄅㄉ,True,False
筆插,pit-tshah,25,pit-chhah,pit4tshah4,pit4chhah4,ㄅㄧㆵㄘㄚㆷ,pittshah,pitchhah,ㄅㄧㆵㄘㄚㆷ,pt,pc,ㄅㄘ,True,False
筆架,pit-kè,25,pit-kè,pit4ke3,pit4ke3,ㄅㄧㆵㄍㆤ˪,pitke,pitke,ㄅㄧㆵㄍㆤ,pk,pk,ㄅㄍ,True,False
筆桶,pit-tháng,25,pit-tháng,pit4thang2,pit4thang2,ㄅㄧㆵㄊㄤˋ,pitthang,pitthang,ㄅㄧㆵㄊㄤ,pt,pt,ㄅㄊ,True,False
筆筒,pit-tâng,25,pit-tâng,pit4tang5,pit4tang5,ㄅㄧㆵㄉㄤˊ,pittang,pittang,ㄅㄧㆵㄉㄤ,pt,pt,ㄅㄉ,True,False
管頭,kóng-thâu,25,kóng-thâu,kong2thau5,kong2thau5,ㄍㆲˋㄊㄠˊ,kongthau,kongthau,ㄍㆲㄊㄠ,kt,kt,ㄍㄊ,True,False
箸籠,tī-lāng,25,tī-lāng,ti7lang7,ti7lang7,ㄉㄧ˫ㄌㄤ˫,tilang,tilang,ㄉㄧㄌㄤ,tl,tl,ㄉㄌ,True,False
簽仔,tshiam-á,25,chhiam-á,tshiam1a2,chhiam1a2,ㄑㄧㆰㄚˋ,tshiama,chhiama,ㄑㄧㆰㄚ,ta,ca,ㄑㄚ,True,False
籤筒,tshiam-tâng,25,chhiam-tâng,tshiam1tang5,chhiam1tang5,ㄑㄧㆰㄉㄤˊ,tshiamtang,chhiamtang,ㄑㄧㆰㄉㄤ,tt,ct,ㄑㄉ,True,False
米紙,bí-tsuá,25,bí-chóa,bi2tsua2,bi2choa2,ㆠㄧˋㄗㄨㄚˋ,bitsua,bichoa,ㆠㄧㄗㄨㄚ,bt,bc,ㆠㄗ,True,False
粉筒,hún-tâng,25,hún-tâng,hun2tang5,hun2tang5,ㄏㄨㄣˋㄉㄤˊ,huntang,huntang,ㄏㄨㄣㄉㄤ,ht,ht,ㄏㄉ,True,False
粉面,hún-bīn,25,hún-bīn,hun2bin7,hun2bin7,ㄏㄨㄣˋㆠㄧㄣ˫,hunbin,hunbin,ㄏㄨㄣㆠㄧㄣ,hb,hb,ㄏㆠ,True,False
粗剾,tshoo-khau,25,chho͘-khau,tshoo1khau1,chhoo1khau1,ㄘㆦㄎㄠ,tshookhau,chhookhau,ㄘㆦㄎㄠ,tk,ck,ㄘㄎ,True,False
粗胚,tshoo-phue,25,chho͘-phoe,tshoo1phue1,chhoo1phoe1,ㄘㆦㄆㄨㆤ,tshoophue,chhoophoe,ㄘㆦㄆㄨㆤ,tp,cp,ㄘㄆ,True,True
粗針,tshoo-tsiam,25,chho͘-chiam,tshoo1tsiam1,chhoo1chiam1,ㄘㆦㄐㄧㆰ,tshootsiam,chhoochiam,ㄘㆦㄐㄧㆰ,tt,cc,ㄘㄐ,True,False
粟耙,tshik-pê,25,chhek-pê,tshik4pe5,chhek4pe5,ㄑㄧㆻㄅㆤˊ,tshikpe,chhekpe,ㄑㄧㆻㄅㆤ,tp,cp,ㄑㄅ,True,False
粿印,kué-ìn,25,kóe-ìn,kue2in3,koe2in3,ㄍㄨㆤˋㄧㄣ˪,kuein,koein,ㄍㄨㆤㄧㄣ,ki,ki,ㄍㄧ,True,False
紅花,âng-hue,25,âng-hoe,ang5hue1,ang5hoe1,ㄤˊㄏㄨㆤ,anghue,anghoe,ㄤㄏㄨㆤ,ah,ah,ㄤㄏ,True,False
紙喙,tsuá-tshuì,25,chóa-chhùi,tsua2tshui3,choa2chhui3,ㄗㄨㄚˋㄘㄨㄧ˪,tsuatshui,choachhui,ㄗㄨㄚㄘㄨㄧ,tt,cc,ㄗㄘ,True,False
紙尺,tsuá-tshioh,25,chóa-chhioh,tsua2tshioh4,choa2chhioh4,ㄗㄨㄚˋㄑㄧㄛㆷ,tsuatshioh,choachhioh,ㄗㄨㄚㄑㄧㄛㆷ,tt,cc,ㄗㄑ,True,False
紙枋,tsuá-pang,25,chóa-pang,tsua2pang1,choa2pang1,ㄗㄨㄚˋㄅㄤ,tsuapang,choapang,ㄗㄨㄚㄅㄤ,tp,cp,ㄗㄅ,True,False
素坯,sòo-phue,25,sò͘-phoe,soo3phue1,soo3phoe1,ㄙㆦ˪ㄆㄨㆤ,soophue,soophoe,ㄙㆦㄆㄨㆤ,sp,sp,ㄙㄆ,True,False
紩線,thīnn-suànn,25,thīⁿ-sòaⁿ,thinn7suann3,thinn7soann3,ㄊㆪ˫ㄙㄨㆩ˪,thinnsuann,thinnsoann,ㄊㆪㄙㄨㆩ,ts,ts,ㄊㄙ,True,False
紩蒼,thīnn-tshong,25,thīⁿ-chhong,thinn7tshong1,thinn7chhong1,ㄊㆪ˫ㄘㆲ,thinntshong,thinnchhong,ㄊㆪㄘㆲ,tt,tc,ㄊㄘ,True,False
絞車,ká-tshia,25,ká-chhia,ka2tshia1,ka2chhia1,ㄍㄚˋㄑㄧㄚ,katshia,kachhia,ㄍㄚㄑㄧㄚ,kt,kc,ㄍㄑ,True,False
絳衣,kàng-i,25,kàng-i,kang3i1,kang3i1,ㄍㄤ˪ㄧ,kangi,kangi,ㄍㄤㄧ,ki,ki,ㄍㄧ,True,False
線屎,suànn-sái,25,sòaⁿ-sái,suann3sai2,soann3sai2,ㄙㄨㆩ˪ㄙㄞˋ,suannsai,soannsai,ㄙㄨㆩㄙㄞ,ss,ss,ㄙㄙ,True,False
線板,suànn-pán,25,sòaⁿ-pán,suann3pan2,soann3pan2,ㄙㄨㆩ˪ㄅㄢˋ,suannpan,soannpan,ㄙㄨㆩㄅㄢ,sp,sp,ㄙㄅ,True,False
線眼,suànn-gán,25,sòaⁿ-gán,suann3gan2,soann3gan2,ㄙㄨㆩ˪ㆣㄢˋ,suanngan,soanngan,ㄙㄨㆩㆣㄢ,sg,sg,ㄙㆣ,True,False
線車,suànn-tshia,25,sòaⁿ-chhia,suann3tshia1,soann3chhia1,ㄙㄨㆩ˪ㄑㄧㄚ,suanntshia,soannchhia,ㄙㄨㆩㄑㄧㄚ,st,sc,ㄙㄑ,True,False
線鋸,suànn-kù,25,sòaⁿ-kù,suann3ku3,soann3ku3,ㄙㄨㆩ˪ㄍㄨ˪,suannku,soannku,ㄙㄨㆩㄍㄨ,sk,sk,ㄙㄍ,True,False
緞仔,tuān-á,25,toān-á,tuan7a2,toan7a2,ㄉㄨㄢ˫ㄚˋ,tuana,toana,ㄉㄨㄢㄚ,ta,ta,ㄉㄚ,True,False
繡剪,siù-tsián,25,siù-chián,siu3tsian2,siu3chian2,ㄒㄧㄨ˪ㄐㄧㄢˋ,siutsian,siuchian,ㄒㄧㄨㄐㄧㄢ,st,sc,ㄒㄐ,True,False
繡花,siù-hue,25,siù-hoe,siu3hue1,siu3hoe1,ㄒㄧㄨ˪ㄏㄨㆤ,siuhue,siuhoe,ㄒㄧㄨㄏㄨㆤ,sh,sh,ㄒㄏ,True,False
繡規,siù-kui,25,siù-kui,siu3kui1,siu3kui1,ㄒㄧㄨ˪ㄍㄨㄧ,siukui,siukui,ㄒㄧㄨㄍㄨㄧ,sk,sk,ㄒㄍ,True,False
羊皮,iûnn-phuê,25,iûⁿ-phôe,iunn5phue5,iunn5phoe5,ㄧㆫˊㄆㄨㆤˊ,iunnphue,iunnphoe,ㄧㆫㄆㄨㆤ,ip,ip,ㄧㄆ,True,False
翡翠,huí-tshuì,25,húi-chhùi,hui2tshui3,hui2chhui3,ㄏㄨㄧˋㄘㄨㄧ˪,huitshui,huichhui,ㄏㄨㄧㄘㄨㄧ,ht,hc,ㄏㄘ,True,False
老生,lāu-sing,25,lāu-seng,lau7sing1,lau7seng1,ㄌㄠ˫ㄒㄧㄥ,lausing,lauseng,ㄌㄠㄒㄧㄥ,ls,ls,ㄌㄒ,True,False
耳鉤,hīnn-kau,25,hīⁿ-kau,hinn7kau1,hinn7kau1,ㄏㆪ˫ㄍㄠ,hinnkau,hinnkau,ㄏㆪㄍㄠ,hk,hk,ㄏㄍ,True,False
肖楠,siau-lâm,25,siau-lâm,siau1lam5,siau1lam5,ㄒㄧㄠㄌㆰˊ,siaulam,siaulam,ㄒㄧㄠㄌㆰ,sl,sl,ㄒㄌ,True,False
股線,kóo-suànn,25,kó͘-sòaⁿ,koo2suann3,koo2soann3,ㄍㆦˋㄙㄨㆩ˪,koosuann,koosoann,ㄍㆦㄙㄨㆩ,ks,ks,ㄍㄙ,True,False
脫模,thuat-bôo,25,thoat-bô͘,thuat4boo5,thoat4boo5,ㄊㄨㄚㆵㆠㆦˊ,thuatboo,thoatboo,ㄊㄨㄚㆵㆠㆦ,tb,tb,ㄊㆠ,True,False
腰帶,io-tuà,25,io-tòa,io1tua3,io1toa3,ㄧㄛㄉㄨㄚ˪,iotua,iotoa,ㄧㄛㄉㄨㄚ,it,it,ㄧㄉ,True,True
腰裒,io-pôo,25,io-pô͘,io1poo5,io1poo5,ㄧㄛㄅㆦˊ,iopoo,iopoo,ㄧㄛㄅㆦ,ip,ip,ㄧㄅ,True,False
膨剾,phòng-khau,25,phòng-khau,phong3khau1,phong3khau1,ㄆㆲ˪ㄎㄠ,phongkhau,phongkhau,ㄆㆲㄎㄠ,pk,pk,ㄆㄎ,True,False
色漆,sik-tshat,25,sek-chhat,sik4tshat4,sek4chhat4,ㄒㄧㆻㄘㄚㆵ,siktshat,sekchhat,ㄒㄧㆻㄘㄚㆵ,st,sc,ㄒㄘ,True,False
色粉,sik-hún,25,sek-hún,sik4hun2,sek4hun2,ㄒㄧㆻㄏㄨㄣˋ,sikhun,sekhun,ㄒㄧㆻㄏㄨㄣ,sh,sh,ㄒㄏ,True,False
花心,hue-sim,25,hoe-sim,hue1sim1,hoe1sim1,ㄏㄨㆤㄒㄧㆬ,huesim,hoesim,ㄏㄨㆤㄒㄧㆬ,hs,hs,ㄏㄒ,True,False
花板,hue-pán,25,hoe-pán,hue1pan2,hoe1pan2,ㄏㄨㆤㄅㄢˋ,huepan,hoepan,ㄏㄨㆤㄅㄢ,hp,hp,ㄏㄅ,True,False
花鳥,hue-tsiáu,25,hoe-chiáu,hue1tsiau2,hoe1chiau2,ㄏㄨㆤㄐㄧㄠˋ,huetsiau,hoechiau,ㄏㄨㆤㄐㄧㄠ,ht,hc,ㄏㄐ,True,False
荖安,láu-an,25,láu-an,lau2an1,lau2an1,ㄌㄠˋㄢ,lauan,lauan,ㄌㄠㄢ,la,la,ㄌㄢ,True,False
菘藍,siông-nâ,25,siông-nâ,siong5na5,siong5na5,ㄒㄧㆲˊㄋㄚˊ,siongna,siongna,ㄒㄧㆲㄋㄚ,sn,sn,ㄒㄋ,True,False
菜砧,tshài-tiam,25,chhài-tiam,tshai3tiam1,chhai3tiam1,ㄘㄞ˪ㄉㄧㆰ,tshaitiam,chhaitiam,ㄘㄞㄉㄧㆰ,tt,ct,ㄘㄉ,True,False
蒼布,tshong-pòo,25,chhong-pò͘,tshong1poo3,chhong1poo3,ㄘㆲㄅㆦ˪,tshongpoo,chhongpoo,ㄘㆲㄅㆦ,tp,cp,ㄘㄅ,True,True
蓮葉,liân-hio̍h,25,liân-hio̍h,lian5hioh8,lian5hioh8,ㄌㄧㄢˊㄏㄧㄛㆷ̇,lianhioh,lianhioh,ㄌㄧㄢㄏㄧㄛㆷ,lh,lh,ㄌㄏ,True,False
蓮蓬,liân-phōng,25,liân-phōng,lian5phong7,lian5phong7,ㄌㄧㄢˊㄆㆲ˫,lianphong,lianphong,ㄌㄧㄢㄆㆲ,lp,lp,ㄌㄆ,True,False
蓼藍,liau-nâ,25,liau-nâ,liau1na5,liau1na5,ㄌㄧㄠㄋㄚˊ,liauna,liauna,ㄌㄧㄠㄋㄚ,ln,ln,ㄌㄋ,True,False
蔥線,tshong-suànn,25,chhong-sòaⁿ,tshong1suann3,chhong1soann3,ㄘㆲㄙㄨㆩ˪,tshongsuann,chhongsoann,ㄘㆲㄙㄨㆩ,ts,cs,ㄘㄙ,True,False
藥鉸,io̍h-ka,25,io̍h-ka,ioh8ka1,ioh8ka1,ㄧㄛㆷ̇ㄍㄚ,iohka,iohka,ㄧㄛㆷㄍㄚ,ik,ik,ㄧㄍ,True,False
藩尺,huan-tshioh,25,hoan-chhioh,huan1tshioh4,hoan1chhioh4,ㄏㄨㄢㄑㄧㄛㆷ,huantshioh,hoanchhioh,ㄏㄨㄢㄑㄧㄛㆷ,ht,hc,ㄏㄑ,True,False
蘇式,soo-sik,25,so͘-sek,soo1sik4,soo1sek4,ㄙㆦㄒㄧㆻ,soosik,soosek,ㄙㆦㄒㄧㆻ,ss,ss,ㄙㄒ,True,False
蘇木,soo-bo̍k,25,so͘-bo̍k,soo1bok8,soo1bok8,ㄙㆦㆠㆦㆻ̇,soobok,soobok,ㄙㆦㆠㆦㆻ,sb,sb,ㄙㆠ,True,False
虎杖,hóo-tiōng,25,hó͘-tiōng,hoo2tiong7,hoo2tiong7,ㄏㆦˋㄉㄧㆲ˫,hootiong,hootiong,ㄏㆦㄉㄧㆲ,ht,ht,ㄏㄉ,True,True
虹仔,khîng-á,25,khêng-á,khing5a2,kheng5a2,ㄎㄧㄥˊㄚˋ,khinga,khenga,ㄎㄧㄥㄚ,ka,ka,ㄎㄚ,True,False
衣脊,i-tsit,25,i-chit,i1tsit4,i1chit4,ㄧㄐㄧㆵ,itsit,ichit,ㄧㄐㄧㆵ,it,ic,ㄧㄐ,True,False
裁紙,tshâi-tsuá,25,chhâi-chóa,tshai5tsua2,chhai5choa2,ㄘㄞˊㄗㄨㄚˋ,tshaitsua,chhaichoa,ㄘㄞㄗㄨㄚ,tt,cc,ㄘㄗ,True,False
補刀,póo-to,25,pó͘-to,poo2to1,poo2to1,ㄅㆦˋㄉㄛ,pooto,pooto,ㄅㆦㄉㄛ,pt,pt,ㄅㄉ,True,False
補塗,póo-thôo,25,pó͘-thô͘,poo2thoo5,poo2thoo5,ㄅㆦˋㄊㆦˊ,poothoo,poothoo,ㄅㆦㄊㆦ,pt,pt,ㄅㄊ,True,False
裝飾,tsong-sik,25,chong-sek,tsong1sik4,chong1sek4,ㄗㆲㄒㄧㆻ,tsongsik,chongsek,ㄗㆲㄒㄧㆻ,ts,cs,ㄗㄒ,True,False
角坩,kak-khann,25,kak-khaⁿ,kak4khann1,kak4khann1,ㄍㄚㆻㄎㆩ,kakkhann,kakkhann,ㄍㄚㆻㄎㆩ,kk,kk,ㄍㄎ,True,False
角尺,kak-tshioh,25,kak-chhioh,kak4tshioh4,kak4chhioh4,ㄍㄚㆻㄑㄧㄛㆷ,kaktshioh,kakchhioh,ㄍㄚㆻㄑㄧㄛㆷ,kt,kc,ㄍㄑ,True,False
角環,kak-khuân,25,kak-khoân,kak4khuan5,kak4khoan5,ㄍㄚㆻㄎㄨㄢˊ,kakkhuan,kakkhoan,ㄍㄚㆻㄎㄨㄢ,kk,kk,ㄍㄎ,True,False
角甪,kah-lut,25,kah-lut,kah4lut4,kah4lut4,ㄍㄚㆷㄌㄨㆵ,kahlut,kahlut,ㄍㄚㆷㄌㄨㆵ,kl,kl,ㄍㄌ,True,False
調脊,tiâu-tsit,25,tiâu-chit,tiau5tsit4,tiau5chit4,ㄉㄧㄠˊㄐㄧㆵ,tiautsit,tiauchit,ㄉㄧㄠㄐㄧㆵ,tt,tc,ㄉㄐ,True,False
豆器,tāu-khì,25,tāu-khì,tau7khi3,tau7khi3,ㄉㄠ˫ㄎㄧ˪,taukhi,taukhi,ㄉㄠㄎㄧ,tk,tk,ㄉㄎ,True,False
豬槽,ti-tsô,25,ti-chô,ti1tso5,ti1cho5,ㄉㄧㄗㄛˊ,titso,ticho,ㄉㄧㄗㄛ,tt,tc,ㄉㄗ,True,False
豬皮,ti-phuê,25,ti-phôe,ti1phue5,ti1phoe5,ㄉㄧㄆㄨㆤˊ,tiphue,tiphoe,ㄉㄧㄆㄨㆤ,tp,tp,ㄉㄆ,True,False
走獸,tsáu-siù,25,cháu-siù,tsau2siu3,chau2siu3,ㄗㄠˋㄒㄧㄨ˪,tsausiu,chausiu,ㄗㄠㄒㄧㄨ,ts,cs,ㄗㄒ,True,False
起針,khí-tsiam,25,khí-chiam,khi2tsiam1,khi2chiam1,ㄎㄧˋㄐㄧㆰ,khitsiam,khichiam,ㄎㄧㄐㄧㆰ,kt,kc,ㄎㄐ,True,False
跋桮,pua̍h-pue,25,poa̍h-poe,puah8pue1,poah8poe1,ㄅㄨㄚㆷ̇ㄅㄨㆤ,puahpue,poahpoe,ㄅㄨㄚㆷㄅㄨㆤ,pp,pp,ㄅㄅ,True,False
跤徛,kha-khiā,25,kha-khiā,kha1khia7,kha1khia7,ㄎㄚㄎㄧㄚ˫,khakhia,khakhia,ㄎㄚㄎㄧㄚ,kk,kk,ㄎㄎ,True,False
跤裒,kha-pôo,25,kha-pô͘,kha1poo5,kha1poo5,ㄎㄚㄅㆦˊ,khapoo,khapoo,ㄎㄚㄅㆦ,kp,kp,ㄎㄅ,True,False
跨台,khuà-tâi,25,khòa-tâi,khua3tai5,khoa3tai5,ㄎㄨㄚ˪ㄉㄞˊ,khuatai,khoatai,ㄎㄨㄚㄉㄞ,kt,kt,ㄎㄉ,True,False
跳刀,thiàu-to,25,thiàu-to,thiau3to1,thiau3to1,ㄊㄧㄠ˪ㄉㄛ,thiauto,thiauto,ㄊㄧㄠㄉㄛ,tt,tt,ㄊㄉ,True,False
跳空,thiàu-khang,25,thiàu-khang,thiau3khang1,thiau3khang1,ㄊㄧㄠ˪ㄎㄤ,thiaukhang,thiaukhang,ㄊㄧㄠㄎㄤ,tk,tk,ㄊㄎ,True,False
跳紗,thiàu-se,25,thiàu-se,thiau3se1,thiau3se1,ㄊㄧㄠ˪ㄙㆤ,thiause,thiause,ㄊㄧㄠㄙㆤ,ts,ts,ㄊㄙ,True,False
踅檯,se̍h-tâi,25,se̍h-tâi,seh8tai5,seh8tai5,ㄙㆤㆷ̇ㄉㄞˊ,sehtai,sehtai,ㄙㆤㆷㄉㄞ,st,st,ㄙㄉ,True,False
車台,tshia-tâi,25,chhia-tâi,tshia1tai5,chhia1tai5,ㄑㄧㄚㄉㄞˊ,tshiatai,chhiatai,ㄑㄧㄚㄉㄞ,tt,ct,ㄑㄉ,True,False
軟斜,nńg-tshiâ,25,nńg-chhiâ,nng2tshia5,nng2chhia5,ㄋㆭˋㄑㄧㄚˊ,nngtshia,nngchhia,ㄋㆭㄑㄧㄚ,nt,nc,ㄋㄑ,True,False
軟身,nńg-sin,25,nńg-sin,nng2sin1,nng2sin1,ㄋㆭˋㄒㄧㄣ,nngsin,nngsin,ㄋㆭㄒㄧㄣ,ns,ns,ㄋㄒ,True,False
軟鉛,nńg-iân,25,nńg-iân,nng2ian5,nng2ian5,ㄋㆭˋㄧㄢˊ,nngian,nngian,ㄋㆭㄧㄢ,ni,ni,ㄋㄧ,True,False
轆斗,lo̍k-táu,25,lo̍k-táu,lok8tau2,lok8tau2,ㄌㆦㆻ̇ㄉㄠˋ,loktau,loktau,ㄌㆦㆻㄉㄠ,lt,lt,ㄌㄉ,True,False
轆空,lak-khang,25,lak-khang,lak4khang1,lak4khang1,ㄌㄚㆻㄎㄤ,lakkhang,lakkhang,ㄌㄚㆻㄎㄤ,lk,lk,ㄌㄎ,True,False
轆管,lak-kóng,25,lak-kóng,lak4kong2,lak4kong2,ㄌㄚㆻㄍㆲˋ,lakkong,lakkong,ㄌㄚㆻㄍㆲ,lk,lk,ㄌㄍ,True,False
轎堵,kiō-tóo,25,kiō-tó͘,kio7too2,kio7too2,ㄍㄧㄛ˫ㄉㆦˋ,kiotoo,kiotoo,ㄍㄧㄛㄉㆦ,kt,kt,ㄍㄉ,True,False
轎底,kiō-té,25,kiō-té,kio7te2,kio7te2,ㄍㄧㄛ˫ㄉㆤˋ,kiote,kiote,ㄍㄧㄛㄉㆤ,kt,kt,ㄍㄉ,True,False
透弄,thàu-lāng,25,thàu-lāng,thau3lang7,thau3lang7,ㄊㄠ˪ㄌㄤ˫,thaulang,thaulang,ㄊㄠㄌㄤ,tl,tl,ㄊㄌ,True,False
逝板,tsuā-pán,25,chōa-pán,tsua7pan2,choa7pan2,ㄗㄨㄚ˫ㄅㄢˋ,tsuapan,choapan,ㄗㄨㄚㄅㄢ,tp,cp,ㄗㄅ,True,False
過轎,kuè-kiō,25,kòe-kiō,kue3kio7,koe3kio7,ㄍㄨㆤ˪ㄍㄧㄛ˫,kuekio,koekio,ㄍㄨㆤㄍㄧㄛ,kk,kk,ㄍㄍ,True,False
醃缸,am-kng,25,am-kng,am1kng1,am1kng1,ㆰㄍㆭ,amkng,amkng,ㆰㄍㆭ,ak,ak,ㆰㄍ,True,False
野桐,iá-tông,25,iá-tông,ia2tong5,ia2tong5,ㄧㄚˋㄉㆲˊ,iatong,iatong,ㄧㄚㄉㆲ,it,it,ㄧㄉ,True,False
量尺,niû-tshioh,25,niû-chhioh,niu5tshioh4,niu5chhioh4,ㄋㄧㄨˊㄑㄧㄛㆷ,niutshioh,niuchhioh,ㄋㄧㄨㄑㄧㄛㆷ,nt,nc,ㄋㄑ,True,False
針空,tsiam-khang,25,chiam-khang,tsiam1khang1,chiam1khang1,ㄐㄧㆰㄎㄤ,tsiamkhang,chiamkhang,ㄐㄧㆰㄎㄤ,tk,ck,ㄐㄎ,True,False
針跤,tsiam-kha,25,chiam-kha,tsiam1kha1,chiam1kha1,ㄐㄧㆰㄎㄚ,tsiamkha,chiamkha,ㄐㄧㆰㄎㄚ,tk,ck,ㄐㄎ,True,False
鉛模,iân-bôo,25,iân-bô͘,ian5boo5,ian5boo5,ㄧㄢˊㆠㆦˊ,ianboo,ianboo,ㄧㄢㆠㆦ,ib,ib,ㄧㆠ,True,False
鉛筆,iân-pit,25,iân-pit,ian5pit4,ian5pit4,ㄧㄢˊㄅㄧㆵ,ianpit,ianpit,ㄧㄢㄅㄧㆵ,ip,ip,ㄧㄅ,True,False
鉸紙,ka-tsuá,25,ka-chóa,ka1tsua2,ka1choa2,ㄍㄚㄗㄨㄚˋ,katsua,kachoa,ㄍㄚㄗㄨㄚ,kt,kc,ㄍㄗ,True,False
銅管,tâng-kóng,25,tâng-kóng,tang5kong2,tang5kong2,ㄉㄤˊㄍㆲˋ,tangkong,tangkong,ㄉㄤㄍㆲ,tk,tk,ㄉㄍ,True,False
銅針,tâng-tsiam,25,tâng-chiam,tang5tsiam1,tang5chiam1,ㄉㄤˊㄐㄧㆰ,tangtsiam,tangchiam,ㄉㄤㄐㄧㆰ,tt,tc,ㄉㄐ,True,False
鋪面,phoo-bīn,25,pho͘-bīn,phoo1bin7,phoo1bin7,ㄆㆦㆠㄧㄣ˫,phoobin,phoobin,ㄆㆦㆠㄧㄣ,pb,pb,ㄆㆠ,True,False
鋸弓,kì-king,25,kì-keng,ki3king1,ki3keng1,ㄍㄧ˪ㄍㄧㄥ,kiking,kikeng,ㄍㄧㄍㄧㄥ,kk,kk,ㄍㄍ,True,False
鋸片,kì-phìnn,25,kì-phìⁿ,ki3phinn3,ki3phinn3,ㄍㄧ˪ㄆㆪ˪,kiphinn,kiphinn,ㄍㄧㄆㆪ,kp,kp,ㄍㄆ,True,False
鋼刀,kǹg-to,25,kǹg-to,kng3to1,kng3to1,ㄍㆭ˪ㄉㄛ,kngto,kngto,ㄍㆭㄉㄛ,kt,kt,ㄍㄉ,True,False
鋼板,kǹg-pán,25,kǹg-pán,kng3pan2,kng3pan2,ㄍㆭ˪ㄅㄢˋ,kngpan,kngpan,ㄍㆭㄅㄢ,kp,kp,ㄍㄅ,True,False
錢櫃,tsînn-kuī,25,chîⁿ-kūi,tsinn5kui7,chinn5kui7,ㄐㆪˊㄍㄨㄧ˫,tsinnkui,chinnkui,ㄐㆪㄍㄨㄧ,tk,ck,ㄐㄍ,True,False
