tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
thian-lâm-sing,thian-lâm-seng,天南星,thian-lam-sing,thian-lam-seng,3,sitbut
ōo-á,ō͘-á,芋仔,oo-a,o͘-a,2,sitbut
tuā-phiô,tōa-phiô,大萍,tua-phio,toa-phio,2,sitbut
thóo-puàn-hā,thó͘-poàn-hā,土半夏,thoo-puan-ha,tho͘-poan-ha,3,sitbut
ìng-tshài-hông,èng-chhài-hông,甕菜黃,ing-tshai-hong,eng-chhai-hong,3,sitbut
puàn-hā,poàn-hā,半夏,puan-ha,poan-ha,2,sitbut
âng-phiô,âng-phiô,紅萍,ang-phio,ang-phio,2,sitbut
tshinn-phiô,chhiⁿ-phiô,青萍,tshinn-phio,chhiⁿ-phio,2,sitbut
tsuí-phiô,chúi-phiô,水萍,tsui-phio,chui-phio,2,sitbut
tîn-tik-á,tîn-tek-á,籐竹仔,tin-tik-a,tin-tek-a,3,sitbut
ōng-lâi,ōng-lâi,𦬬萊,ong-lai,ong-lai,2,sitbut
tik-á-hio̍h,tek-á-hio̍h,竹仔葉,tik-a-hioh,tek-a-hioh,3,sitbut
tik-á-tshài,tek-á-chhài,竹仔菜,tik-a-tshai,tek-a-chhai,3,sitbut
tuā-tsuí-phiô,tōa-chúi-phiô,大水萍,tua-tsui-phio,toa-chui-phio,3,sitbut
tinn-tshài,tiⁿ-chhài,甜菜,tinn-tshai,tiⁿ-chhai,2,sitbut
ah-tsi̍h-tsháu,ah-chi̍h-chháu,鴨舌草,ah-tsih-tshau,ah-chih-chhau,3,sitbut
tshân-ōo-á,chhân-ō͘-á,田芋仔,tshan-oo-a,chhan-o͘-a,3,sitbut
ting-sim-tsháu,teng-sim-chháu,燈心草,ting-sim-tshau,teng-sim-chhau,3,sitbut
lōo-giō,lō͘-giō,蕗蕎,loo-gio,lo͘-gio,2,sitbut
tshang-thâu,chhang-thâu,葱頭,tshang-thau,chhang-thau,2,sitbut
tshang-á,chhang-á,葱仔,tshang-a,chhang-a,2,sitbut
tuā-thâu-tshang,tōa-thâu-chhang,大頭葱,tua-thau-tshang,toa-thau-chhang,3,sitbut
bi̍k-tshong,be̍k-chhong,麥葱,bik-tshong,bek-chhong,2,sitbut
kú-tshài,kú-chhài,韮菜,ku-tshai,ku-chhai,2,sitbut
suàn-á,soàn-á,蒜仔,suan-a,soan-a,2,sitbut
lôo-hē,lô͘-hē,蘆薈,loo-he,lo͘-he,2,sitbut
thian-bûn-tong,thian-bûn-tong,天門冬,thian-bun-tong,thian-bun-tong,3,sitbut
suann-kuann-lân,soaⁿ-koaⁿ-lân,山菅蘭,suann-kuann-lan,soaⁿ-koaⁿ-lan,3,sitbut
kim-tsiam-tshài,kim-chiam-chhài,金針菜,kim-tsiam-tshai,kim-chiam-chhai,3,sitbut
pe̍h-pi-sián,pe̍h-pi-sián,白萆蘚,peh-pi-sian,peh-pi-sian,3,sitbut
thóo-ho̍k,thó͘-ho̍k,土茯,thoo-hok,tho͘-hok,2,sitbut
suann-suàn-thâu,soaⁿ-soàn-thâu,山蒜頭,suann-suan-thau,soaⁿ-soan-thau,3,sitbut
sai-kong-giang,sai-kong-giang,師公銒,sai-kong-giang,sai-kong-giang,3,sitbut
bi̍k-bûn-tong,be̍k-bûn-tong,麥門冬,bik-bun-tong,bek-bun-tong,3,sitbut
tshit-hio̍h-liân,chhit-hio̍h-liân,七葉蓮,tshit-hioh-lian,chhit-hioh-lian,3,sitbut
tshinn-ba̍k-hiunn,chhiⁿ-ba̍k-hiuⁿ,青木香,tshinn-bak-hiunn,chhiⁿ-bak-hiuⁿ,3,sitbut
tshit-hōo-liân,chhit-hō͘-liân,七厚蓮,tshit-hoo-lian,chhit-ho͘-lian,3,sitbut
hóo-bé-lân,hó͘-bé-lân,虎尾蘭,hoo-be-lan,ho͘-be-lan,3,sitbut
hāu-khak-tshì,hāu-khak-chhì,鱟壳刺,hau-khak-tshi,hau-khak-chhi,3,sitbut
hāu-khak-tîn,hāu-khak-tîn,鱟壳藤,hau-khak-tin,hau-khak-tin,3,sitbut
thóo-ho̍k-lîng,thó͘-ho̍k-lêng,土茯苓,thoo-hok-ling,tho͘-hok-leng,3,sitbut
suann-bé-tsî,soaⁿ-bé-chî,山碼薯,suann-be-tsi,soaⁿ-be-chi,3,sitbut
âng-tik,âng-tek,紅竹,ang-tik,ang-tek,2,sitbut
bûn-tsu-lân,bûn-chu-lân,文珠蘭,bun-tsu-lan,bun-chu-lan,3,sitbut
tsuí-sian-hue,chúi-sian-hoe,水仙花,tsui-sian-hue,chui-sian-hoe,3,sitbut
ge̍h-lâi-hiong,ge̍h-lâi-hiong,月來香,geh-lai-hiong,geh-lai-hiong,3,sitbut
tshân-tsû,chhân-chû,田薯,tshan-tsu,chhan-chu,2,sitbut
suann-io̍k-tsû,soaⁿ-io̍k-chû,山藥薯,suann-iok-tsu,soaⁿ-iok-chu,3,sitbut
tshân-tshinn,chhân-chhiⁿ,田菁,tshan-tshinn,chhan-chhiⁿ,2,sitbut
tsû-nn̂g,chû-nn̂g,薯榔,tsu-nng,chu-nng,2,sitbut
peh-tsû-nn̂g,peh-chû-nn̂g,白薯榔,peh-tsu-nng,peh-chu-nng,3,sitbut
siā-kan,siā-kan,射干,sia-kan,sia-kan,2,sitbut
bé-ia̍h-hue,bé-ia̍h-hoe,尾蝶花,be-iah-hue,be-iah-hoe,3,sitbut
hun-tsio,hun-chio,粉蕉,hun-tsio,hun-chio,2,sitbut
suann-king-tsio,soaⁿ-keng-chio,山芎蕉,suann-king-tsio,soaⁿ-keng-chio,3,sitbut
king-tsio,keng-chio,芎蕉,king-tsio,keng-chio,2,sitbut
pak-tsio,pak-chio,北蕉,pak-tsio,pak-chio,2,sitbut
tshinn-kiunn,chhiⁿ-kiuⁿ,生姜,tshinn-kiunn,chhiⁿ-kiuⁿ,2,sitbut
kiunn-n̂g,kiuⁿ-n̂g,薑黃,kiunn-ng,kiuⁿ-ng,2,sitbut
suann-nai,soaⁿ-nai,山奈,suann-nai,soaⁿ-nai,2,sitbut
ge̍h-thô,ge̍h-thô,月桃,geh-tho,geh-tho,2,sitbut
kiunn,kiuⁿ,薑,kiunn,kiuⁿ,1,sitbut
liân-tsiau-hue,liân-chiau-hoe,蓮蕉花,lian-tsiau-hue,lian-chiau-hoe,3,sitbut
kim-sún,kim-sún,金筍,kim-sun,kim-sun,2,sitbut
kim-suànn-liân,kim-sòaⁿ-liân,金線蓮,kim-suann-lian,kim-soaⁿ-lian,3,sitbut
tshiū-tsháu-liân,chhiū-chháu-liân,樹草蓮,tshiu-tshau-lian,chhiu-chhau-lian,3,sitbut
tsiáu-á-hue,chiáu-á-hoe,鳥仔花,tsiau-a-hue,chiau-a-hoe,3,sitbut
sò-sim,sò-sim,素心,so-sim,so-sim,2,sitbut
it-tiám-hông,it-tiám-hông,一點紅,it-tiam-hong,it-tiam-hong,3,sitbut
bo̍k-ha̍k,bo̍k-ha̍k,木斛,bok-hak,bok-hak,2,sitbut
kim-tsio̍h-ha̍k,kim-chio̍h-ha̍k,金石斛,kim-tsioh-hak,kim-chioh-hak,3,sitbut
ôo-tia̍p-lân,ô͘-tia̍p-lân,蝴蝶蘭,oo-tiap-lan,o͘-tiap-lan,3,sitbut
ia̍h-lân,ia̍h-lân,蝶蘭,iah-lan,iah-lan,2,sitbut
bo̍k-muâ-hông,bo̍k-môa-hông,木麻黃,bok-mua-hong,bok-moa-hong,3,sitbut
