tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
ē-hâi-khok,ē-hâi-khok,下頦觳,e-hai-khok,e-hai-khok,3,taigitv
ka-jia̍t-hun,ka-jia̍t-hun,加熱薰,ka-jiat-hun,ka-jiat-hun,3,taigitv
ka-lia̍t-hun,ka-lia̍t-hun,加熱薰,ka-liat-hun,ka-liat-hun,3,taigitv
iû-ap-tsián,iû-ap-chián,油壓剪,iu-ap-tsian,iu-ap-chian,3,taigitv
khí-á,khí-á,齒仔,khi-a,khi-a,2,taigitv
gí-á,gí-á,齒仔,gi-a,gi-a,2,taigitv
tsiam-tsit,chiam-chit,針織,tsiam-tsit,chiam-chit,2,taigitv
phok-á-tsuá,phok-á-chóa,噗仔紙,phok-a-tsua,phok-a-choa,3,taigitv
tsiànn-khí,chiàⁿ-khí,正齒,tsiann-khi,chiaⁿ-khi,2,taigitv
tuā-lâng-khí,tōa-lâng-khí,大人齒,tua-lang-khi,toa-lang-khi,3,taigitv
nńg-kiō,nńg-kiō,軟轎,nng-kio,nng-kio,2,taigitv
nńg-kiō-tshn̂g,nńg-kiō-chhn̂g,軟轎床,nng-kio-tshng,nng-kio-chhng,3,taigitv
thuân-pò-liān,thoân-pò-liān,傳播鍊,thuan-po-lian,thoan-po-lian,3,taigitv
luī-phóo-thai,lūi-phó͘-thai,類普篩,lui-phoo-thai,lui-pho͘-thai,3,taigitv
phīnn-tōo-iām,phīⁿ-tō͘-iām,鼻竇炎,phinn-too-iam,phiⁿ-to͘-iam,3,taigitv
thian-jiân-tōo,thian-jiân-tō͘,天然痘,thian-jian-too,thian-jian-to͘,3,taigitv
thian-liân-tōo,thian-liân-tō͘,天然痘,thian-lian-too,thian-lian-to͘,3,taigitv
kâu-tsu,kâu-chu,猴珠,kau-tsu,kau-chu,2,taigitv
sàn-tshiah-suànn,sàn-chhiah-sòaⁿ,散赤線,san-tshiah-suann,san-chhiah-soaⁿ,3,taigitv
sîm-liông-hî,sîm-liông-hî,鱘龍魚,sim-liong-hi,sim-liong-hi,3,taigitv
sîm-liông-hû,sîm-liông-hû,鱘龍魚,sim-liong-hu,sim-liong-hu,3,taigitv
hi̍k-hun-lia̍t,he̍k-hun-lia̍t,核分裂,hik-hun-liat,hek-hun-liat,3,taigitv
hi̍k-iông-ha̍p,he̍k-iông-ha̍p,核融合,hik-iong-hap,hek-iong-hap,3,taigitv
jiân-liāu-pāng,jiân-liāu-pāng,燃料棒,jian-liau-pang,jian-liau-pang,3,taigitv
liân-liāu-pāng,liân-liāu-pāng,燃料棒,lian-liau-pang,lian-liau-pang,3,taigitv
puàn-sue-kî,poàn-soe-kî,半衰期,puan-sue-ki,poan-soe-ki,3,taigitv
puànn-sue-kî,pòaⁿ-soe-kî,半衰期,puann-sue-ki,poaⁿ-soe-ki,3,taigitv
hôo-bông,hô͘-bông,狐獴,hoo-bong,ho͘-bong,2,taigitv
tshim-si̍t,chhim-si̍t,侵蝕,tshim-sit,chhim-sit,2,taigitv
ecmo,ecmo,葉克膜,ecmo,ecmo,1,taigitv
