tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tùn-tiunn,tùn-tiuⁿ,扽張,tun-tiunn,tun-tiuⁿ,2,itaigi
hō-uī,hō-ūi,號位,ho-ui,ho-ui,2,itaigi
hònn-tiong-kiû,hòⁿ-tiong-kiû,好中球,honn-tiong-kiu,hoⁿ-tiong-kiu,3,itaigi
an-tsuân-thò,an-choân-thò,安全套,an-tsuan-tho,an-choan-tho,3,itaigi
kho̍k-lâi-á,kho̍k-lâi-á,鱷梨仔,khok-lai-a,khok-lai-a,3,itaigi
koh-hīnn-khang,koh-hīⁿ-khang,胳耳空,koh-hinn-khang,koh-hiⁿ-khang,3,itaigi
kàn-kóo,kàn-kó͘,姦古,kan-koo,kan-ko͘,2,itaigi
kāu-uē,kāu-ōe,厚話,kau-ue,kau-oe,2,itaigi
lī-móo-khòng,lī-mó͘-khòng,lī-móo-khòng,li-moo-khong,li-mo͘-khong,3,itaigi
sīng,sēng,晟,sing,seng,1,itaigi
tsiânn-thiám,chiâⁿ-thiám,誠忝,tsiann-thiam,chiaⁿ-thiam,2,itaigi
thang-á,thang-á,窗仔,thang-a,thang-a,2,itaigi
ti̍t-pâi-lián,ti̍t-pâi-lián,直排輪,tit-pai-lian,tit-pai-lian,3,itaigi
lí-lô-tshia,lí-lô-chhia,李哪吒,li-lo-tshia,li-lo-chhia,3,itaigi
tsio̍h-thiap-á,chio̍h-thiap-á,石貼仔,tsioh-thiap-a,chioh-thiap-a,3,itaigi
thôo-kâu,thô͘-kâu,塗猴,thoo-kau,tho͘-kau,2,itaigi
tsáinn-ia̍p-á,cháiⁿ-ia̍p-á,指葉仔,tsainn-iap-a,chaiⁿ-iap-a,3,itaigi
iáu-koh-teh,iáu-koh-teh,猶閣咧,iau-koh-teh,iau-koh-teh,3,itaigi
khó-lâu,khó-lâu,洘流,kho-lau,kho-lau,2,itaigi
kńg-ti̍k,kńg-te̍k,捲軸,kng-tik,kng-tek,2,itaigi
phah-khah,phah-khah,拍卡,phah-khah,phah-khah,2,itaigi
jiú-līn,jiú-līn,蹂躪,jiu-lin,jiu-lin,2,itaigi
tsun,chun,鱒,tsun,chun,1,itaigi
tsìng-hāu-kûn,chèng-hāu-kûn,症候群,tsing-hau-kun,cheng-hau-kun,3,itaigi
kāinn-tsînn,kāiⁿ-chîⁿ,楗錢,kainn-tsinn,kaiⁿ-chiⁿ,2,itaigi
