tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
pueh,poeh,八,pueh,poeh,1,kautian,False
to,to,刀,to,to,1,kautian,False
tiau,tiau,刁,tiau,tiau,1,kautian,False
la̍t,la̍t,力,lat,lat,1,kautian,False
li̍k,le̍k,力,lik,lek,1,kautian,False
tsa̍p,cha̍p,十,tsap,chap,1,kautian,False
si̍p,si̍p,十,sip,sip,1,kautian,False
poh,poh,卜,poh,poh,1,kautian,False
pok,pok,卜,pok,pok,1,kautian,False
iū,iū,又,iu,iu,1,kautian,False
tsa̍p-it-ko,cha̍p-it-ko,十一哥,tsap-it-ko,chap-it-ko,3,kautian,False
liáu-liáu,liáu-liáu,了了,liau-liau,liau-liau,2,kautian,False
lâng-lâng,lâng-lâng,人人,lang-lang,lang-lang,2,kautian,False
tsa̍p-jī-hun,cha̍p-jī-hun,十二分,tsap-ji-hun,chap-ji-hun,3,kautian,False
tsa̍p-lī-hun,cha̍p-lī-hun,十二分,tsap-li-hun,chap-li-hun,3,kautian,False
jī-káu-mê,jī-káu-mê,二九暝,ji-kau-me,ji-kau-me,3,kautian,False
lī-káu-mî,lī-káu-mî,二九暝,li-kau-mi,li-kau-mi,3,kautian,False
tsa̍p-peh-piàn,cha̍p-peh-piàn,十八變,tsap-peh-pian,chap-peh-pian,3,kautian,False
tsa̍p-pueh-piàn,cha̍p-poeh-piàn,十八變,tsap-pueh-pian,chap-poeh-pian,3,kautian,False
tshit-sia̍h,chhit-sia̍h,七夕,tshit-siah,chhit-siah,2,kautian,False
liáu-kang,liáu-kang,了工,liau-kang,liau-kang,2,kautian,False
lâng-kang,lâng-kang,人工,lang-kang,lang-kang,2,kautian,False
lâng-tsâi,lâng-châi,人才,lang-tsai,lang-chai,2,kautian,False
ji̍p-thóo,ji̍p-thó͘,入土,jip-thoo,jip-tho͘,2,kautian,False
li̍p-thóo,li̍p-thó͘,入土,lip-thoo,lip-tho͘,2,kautian,False
thiau-kang,thiau-kang,刁工,thiau-kang,thiau-kang,2,kautian,False
jîn-tiong,jîn-tiong,人中,jin-tiong,jin-tiong,2,kautian,False
lîn-tiong,lîn-tiong,人中,lin-tiong,lin-tiong,2,kautian,False
tshit-khóng,chhit-khóng,七孔,tshit-khong,chhit-khong,2,kautian,False
káu-kháng,káu-kháng,九孔,kau-khang,kau-khang,2,kautian,False
jī-tshiú,jī-chhiú,二手,ji-tshiu,ji-chhiu,2,kautian,False
lī-tshiú,lī-chhiú,二手,li-tshiu,li-chhiu,2,kautian,False
ji̍p-bo̍k,ji̍p-bo̍k,入木,jip-bok,jip-bok,2,kautian,False
li̍p-bo̍k,li̍p-bo̍k,入木,lip-bok,lip-bok,2,kautian,False
pat-sian,pat-sian,八仙,pat-sian,pat-sian,2,kautian,False
to-á,to-á,刀仔,to-a,to-a,2,kautian,False
pat-sian-toh,pat-sian-toh,八仙桌,pat-sian-toh,pat-sian-toh,3,kautian,False
pat-sian-tshái,pat-sian-chhái,八仙綵,pat-sian-tshai,pat-sian-chhai,3,kautian,False
tiau-kóo-tóng,tiau-kó͘-tóng,刁古董,tiau-koo-tong,tiau-ko͘-tong,3,kautian,False
liáu-pún,liáu-pún,了本,liau-pun,liau-pun,2,kautian,False
jîn-bîn,jîn-bîn,人民,jin-bin,jin-bin,2,kautian,False
lîn-bîn,lîn-bîn,人民,lin-bin,lin-bin,2,kautian,False
jîn-sing,jîn-seng,人生,jin-sing,jin-seng,2,kautian,False
lîn-sing,lîn-seng,人生,lin-sing,lin-seng,2,kautian,False
to-tsio̍h,to-chio̍h,刀石,to-tsioh,to-chioh,2,kautian,False
tsa̍p-tsn̂g,cha̍p-chn̂g,十全,tsap-tsng,chap-chng,2,kautian,False
si̍p-tsuân,si̍p-choân,十全,sip-tsuan,sip-choan,2,kautian,False
peh-jī,peh-jī,八字,peh-ji,peh-ji,2,kautian,False
pueh-lī,poeh-lī,八字,pueh-li,poeh-li,2,kautian,False
tshit-jī-á,chhit-jī-á,七字仔,tshit-ji-a,chhit-ji-a,3,kautian,False
tshit-lī-á,chhit-lī-á,七字仔,tshit-li-a,chhit-li-a,3,kautian,False
si̍p-jī-kè,si̍p-jī-kè,十字架,sip-ji-ke,sip-ji-ke,3,kautian,False
si̍p-lī-kè,si̍p-lī-kè,十字架,sip-li-ke,sip-li-ke,3,kautian,False
pat-jī-kha,pat-jī-kha,八字跤,pat-ji-kha,pat-ji-kha,3,kautian,False
pat-lī-kha,pat-lī-kha,八字跤,pat-li-kha,pat-li-kha,3,kautian,False
si̍p-jī-lōo,si̍p-jī-lō͘,十字路,sip-ji-loo,sip-ji-lo͘,3,kautian,False
si̍p-lī-lōo,si̍p-lī-lō͘,十字路,sip-li-loo,sip-li-lo͘,3,kautian,False
ji̍p-ní,ji̍p-ní,入耳,jip-ni,jip-ni,2,kautian,False
li̍p-ní,li̍p-ní,入耳,lip-ni,lip-ni,2,kautian,False
to-bah,to-bah,刀肉,to-bah,to-bah,2,kautian,False
peh-kak,peh-kak,八角,peh-kak,peh-kak,2,kautian,False
pueh-kak,poeh-kak,八角,pueh-kak,poeh-kak,2,kautian,False
tsa̍p-tsiok,cha̍p-chiok,十足,tsap-tsiok,chap-chiok,2,kautian,False
kiú-kiong-á,kiú-kiong-á,九芎仔,kiu-kiong-a,kiu-kiong-a,3,kautian,False
jîn-sū,jîn-sū,人事,jin-su,jin-su,2,kautian,False
lîn-sū,lîn-sū,人事,lin-su,lin-su,2,kautian,False
pat-kuà,pat-kòa,八卦,pat-kua,pat-koa,2,kautian,False
pok-kuà,pok-kòa,卜卦,pok-kua,pok-koa,2,kautian,False
jī-pâng,jī-pâng,二房,ji-pang,ji-pang,2,kautian,False
lī-pâng,lī-pâng,二房,li-pang,li-pang,2,kautian,False
jîn-bu̍t,jîn-bu̍t,人物,jin-but,jin-but,2,kautian,False
lîn-bu̍t,lîn-bu̍t,人物,lin-but,lin-but,2,kautian,False
ji̍p-mn̂g,ji̍p-mn̂g,入門,jip-mng,jip-mng,2,kautian,False
li̍p-mn̂g,li̍p-mn̂g,入門,lip-mng,lip-mng,2,kautian,False
lâng-kheh,lâng-kheh,人客,lang-kheh,lang-kheh,2,kautian,False
liáu-āu,liáu-āu,了後,liau-au,liau-au,2,kautian,False
tshit-tshenn,chhit-chheⁿ,七星,tshit-tshenn,chhit-chheⁿ,2,kautian,False
tshit-tshinn,chhit-chhiⁿ,七星,tshit-tshinn,chhit-chhiⁿ,2,kautian,False
jī-tsáinn,jī-cháiⁿ,二指,ji-tsainn,ji-chaiⁿ,2,kautian,False
lī-tsáinn,lī-cháiⁿ,二指,li-tsainn,li-chaiⁿ,2,kautian,False
tiau-tî,tiau-tî,刁持,tiau-ti,tiau-ti,2,kautian,False
tiau-kòo-ì,tiau-kò͘-ì,刁故意,tiau-koo-i,tiau-ko͘-i,3,kautian,False
to-pènn,to-pèⁿ,刀柄,to-penn,to-peⁿ,2,kautian,False
to-pìnn,to-pìⁿ,刀柄,to-pinn,to-piⁿ,2,kautian,False
pat-tin,pat-tin,八珍,pat-tin,pat-tin,2,kautian,False
lâng-bīn,lâng-bīn,人面,lang-bin,lang-bin,2,kautian,False
jîn-lûn,jîn-lûn,人倫,jin-lun,jin-lun,2,kautian,False
lîn-lûn,lîn-lûn,人倫,lin-lun,lin-lun,2,kautian,False
jîn-uân,jîn-oân,人員,jin-uan,jin-oan,2,kautian,False
lîn-uân,lîn-oân,人員,lin-uan,lin-oan,2,kautian,False
ji̍p-tshù,ji̍p-chhù,入厝,jip-tshu,jip-chhu,2,kautian,False
li̍p-tshù,li̍p-chhù,入厝,lip-tshu,lip-chhu,2,kautian,False
tshit-niû-má,chhit-niû-má,七娘媽,tshit-niu-ma,chhit-niu-ma,3,kautian,False
jîn-ke,jîn-ke,人家,jin-ke,jin-ke,2,kautian,False
lîn-ke,lîn-ke,人家,lin-ke,lin-ke,2,kautian,False
pat-ka-tsiòng,pat-ka-chiòng,八家將,pat-ka-tsiong,pat-ka-chiong,3,kautian,False
jîn-keh,jîn-keh,人格,jin-keh,jin-keh,2,kautian,False
lîn-keh,lîn-keh,人格,lin-keh,lin-keh,2,kautian,False
jîn-khì,jîn-khì,人氣,jin-khi,jin-khi,2,kautian,False
lîn-khì,lîn-khì,人氣,lin-khi,lin-khi,2,kautian,False
to-tiam,to-tiam,刀砧,to-tiam,to-tiam,2,kautian,False
jîn-má,jîn-má,人馬,jin-ma,jin-ma,2,kautian,False
lîn-má,lîn-má,人馬,lin-ma,lin-ma,2,kautian,False
ji̍p-īnn,ji̍p-īⁿ,入院,jip-inn,jip-iⁿ,2,kautian,False
li̍p-īnn,li̍p-īⁿ,入院,lip-inn,lip-iⁿ,2,kautian,False
jîn-sim,jîn-sim,人參,jin-sim,jin-sim,2,kautian,False
lîn-sim,lîn-sim,人參,lin-sim,lin-sim,2,kautian,False
jîn-tsîng,jîn-chêng,人情,jin-tsing,jin-cheng,2,kautian,False
lîn-tsîng,lîn-chêng,人情,lin-tsing,lin-cheng,2,kautian,False
ji̍p-kàu,ji̍p-kàu,入教,jip-kau,jip-kau,2,kautian,False
li̍p-kàu,li̍p-kàu,入教,lip-kau,lip-kau,2,kautian,False
jîn-bōng,jîn-bōng,人望,jin-bong,jin-bong,2,kautian,False
lîn-bōng,lîn-bōng,人望,lin-bong,lin-bong,2,kautian,False
jîn-tsō,jîn-chō,人造,jin-tso,jin-cho,2,kautian,False
lîn-tsō,lîn-chō,人造,lin-tso,lin-cho,2,kautian,False
to-tshuì,to-chhùi,刀喙,to-tshui,to-chhui,2,kautian,False
ji̍p-tiûnn,ji̍p-tiûⁿ,入場,jip-tiunn,jip-tiuⁿ,2,kautian,False
li̍p-tiûnn,li̍p-tiûⁿ,入場,lip-tiunn,lip-tiuⁿ,2,kautian,False
liáu-jiân,liáu-jiân,了然,liau-jian,liau-jian,2,kautian,False
liáu-liân,liáu-liân,了然,liau-lian,liau-lian,2,kautian,False
li̍k-liōng,le̍k-liōng,力量,lik-liong,lek-liong,2,kautian,False
thiau-ì-kòo,thiau-ì-kò͘,刁意故,thiau-i-koo,thiau-i-ko͘,3,kautian,False
tshit-iâ,chhit-iâ,七爺,tshit-ia,chhit-ia,2,kautian,False
to-khing,to-kheng,刀銎,to-khing,to-kheng,2,kautian,False
iū-koh,iū-koh,又閣,iu-koh,iu-koh,2,kautian,False
lâng-iánn,lâng-iáⁿ,人影,lang-iann,lang-iaⁿ,2,kautian,False
káu-tsàn-thah,káu-chàn-thah,九層塔,kau-tsan-thah,kau-chan-thah,3,kautian,False
lâng-pān,lâng-pān,人範,lang-pan,lang-pan,2,kautian,False
lâng-iân,lâng-iân,人緣,lang-ian,lang-ian,2,kautian,False
ji̍p-o̍h,ji̍p-o̍h,入學,jip-oh,jip-oh,2,kautian,False
li̍p-o̍h,li̍p-o̍h,入學,lip-oh,lip-oh,2,kautian,False
ji̍p-suán,ji̍p-soán,入選,jip-suan,jip-soan,2,kautian,False
li̍p-suán,li̍p-soán,入選,lip-suan,lip-soan,2,kautian,False
liáu-tsînn,liáu-chîⁿ,了錢,liau-tsinn,liau-chiⁿ,2,kautian,False
lâng-thâu,lâng-thâu,人頭,lang-thau,lang-thau,2,kautian,False
la̍t-thâu,la̍t-thâu,力頭,lat-thau,lat-thau,2,kautian,False
ji̍p-liām,ji̍p-liām,入殮,jip-liam,jip-liam,2,kautian,False
li̍p-liām,li̍p-liām,入殮,lip-liam,lip-liam,2,kautian,False
ji̍p-siann,ji̍p-siaⁿ,入聲,jip-siann,jip-siaⁿ,2,kautian,False
li̍p-siann,li̍p-siaⁿ,入聲,lip-siann,lip-siaⁿ,2,kautian,False
thiau-lân,thiau-lân,刁難,thiau-lan,thiau-lan,2,kautian,False
jîn-khuân,jîn-khoân,人權,jin-khuan,jin-khoan,2,kautian,False
lîn-khuân,lîn-khoân,人權,lin-khuan,lin-khoan,2,kautian,False
tn̄g,tn̄g,丈,tng,tng,1,kautian,False
sam,sam,三,sam,sam,1,kautian,False
sann,saⁿ,三,sann,saⁿ,1,kautian,False
tsiūnn,chiūⁿ,上,tsiunn,chiuⁿ,1,kautian,False
tshiūnn,chhiūⁿ,上,tshiunn,chhiuⁿ,1,kautian,False
siōng,siōng,上,siong,siong,1,kautian,False
ē,ē,下,e,e,1,kautian,False
hā,hā,下,ha,ha,1,kautian,False
hē,hē,下,he,he,1,kautian,False
kē,kē,低,ke,ke,1,kautian,False
ê,ê,个,e,e,1,kautian,False
uân,oân,丸,uan,oan,1,kautian,False
kú,kú,久,ku,ku,1,kautian,False
io,io,么,io,io,1,kautian,False
khit,khit,乞,khit,khit,1,kautian,False
iā,iā,也,ia,ia,1,kautian,False
bông,bông,亡,bong,bong,1,kautian,False
huân,hoân,凡,huan,hoan,1,kautian,False
huān,hoān,凡,huan,hoan,1,kautian,False
tshian,chhian,千,tshian,chhian,1,kautian,False
tshing,chheng,千,tshing,chheng,1,kautian,False
tshe,chhe,叉,tshe,chhe,1,kautian,False
kháu,kháu,口,khau,khau,1,kautian,False
thóo,thó͘,土,thoo,tho͘,1,kautian,False
sū,sū,士,su,su,1,kautian,False
ta,ta,大,ta,ta,1,kautian,False
tāi,tāi,大,tai,tai,1,kautian,False
tuā,tōa,大,tua,toa,1,kautian,False
lí,lí,女,li,li,1,kautian,False
lú,lú,女,lu,lu,1,kautian,False
tsí,chí,子,tsi,chi,1,kautian,False
tsú,chú,子,tsu,chu,1,kautian,False
jí,jí,子,ji,ji,1,kautian,False
lí,lí,子,li,li,1,kautian,False
tshùn,chhùn,寸,tshun,chhun,1,kautian,False
siáu,siáu,小,siau,siau,1,kautian,False
sió,sió,小,sio,sio,1,kautian,False
san,san,山,san,san,1,kautian,False
suann,soaⁿ,山,suann,soaⁿ,1,kautian,False
kang,kang,工,kang,kang,1,kautian,False
kong,kong,工,kong,kong,1,kautian,False
kí,kí,己,ki,ki,1,kautian,False
tsī,chī,巳,tsi,chi,1,kautian,False
kin,kin,巾,kin,kin,1,kautian,False
kun,kun,巾,kun,kun,1,kautian,False
kan,kan,干,kan,kan,1,kautian,False
king,keng,弓,king,keng,1,kautian,False
tsâi,châi,才,tsai,chai,1,kautian,False
tsiah,chiah,才,tsiah,chiah,1,kautian,False
tshâi,chhâi,才,tshai,chhai,1,kautian,False
ē-ham,ē-ham,下𦜆,e-ham,e-ham,2,kautian,False
tiūnn-lâng,tiūⁿ-lâng,丈人,tiunn-lang,tiuⁿ-lang,2,kautian,False
sam-pat,sam-pat,三八,sam-pat,sam-pat,2,kautian,False
thóo-lâng,thó͘-lâng,土人,thoo-lang,tho͘-lang,2,kautian,False
tāi-jîn,tāi-jîn,大人,tai-jin,tai-jin,2,kautian,False
tāi-lîn,tāi-lîn,大人,tai-lin,tai-lin,2,kautian,False
tuā-lâng,tōa-lâng,大人,tua-lang,toa-lang,2,kautian,False
tuā-la̍t,tōa-la̍t,大力,tua-lat,toa-lat,2,kautian,False
siáu-jîn,siáu-jîn,小人,siau-jin,siau-jin,2,kautian,False
siáu-lîn,siáu-lîn,小人,siau-lin,siau-lin,2,kautian,False
tshuan-tshit,chhoan-chhit,川七,tshuan-tshit,chhoan-chhit,2,kautian,False
kang-lâng,kang-lâng,工人,kang-lang,kang-lang,2,kautian,False
tiūnn-lâng-kong,tiūⁿ-lâng-kong,丈人公,tiunn-lang-kong,tiuⁿ-lang-kong,3,kautian,False
sam-tshit-á,sam-chhit-á,三七仔,sam-tshit-a,sam-chhit-a,3,kautian,False
tiūnn-lâng-pâ,tiūⁿ-lâng-pâ,丈人爸,tiunn-lang-pa,tiuⁿ-lang-pa,3,kautian,False
sam-pat-khuì,sam-pat-khùi,三八氣,sam-pat-khui,sam-pat-khui,3,kautian,False
tiūnn-lâng-má,tiūⁿ-lâng-má,丈人媽,tiunn-lang-ma,tiuⁿ-lang-ma,3,kautian,False
siōng-kú,siōng-kú,上久,siong-ku,siong-ku,2,kautian,False
tsiūnn-suann,chiūⁿ-soaⁿ,上山,tsiunn-suann,chiuⁿ-soaⁿ,2,kautian,False
hā-san,hā-san,下山,ha-san,ha-san,2,kautian,False
kú-kú,kú-kú,久久,ku-ku,ku-ku,2,kautian,False
tuā-ē,tōa-ē,大下,tua-e,toa-e,2,kautian,False
sió-kháu,sió-kháu,小口,sio-khau,sio-khau,2,kautian,False
sió-kang,sió-kang,小工,sio-kang,sio-kang,2,kautian,False
tsâi-tsú,châi-chú,才子,tsai-tsu,chai-chu,2,kautian,False
tāi-tiōng-hu,tāi-tiōng-hu,大丈夫,tai-tiong-hu,tai-tiong-hu,3,kautian,False
kan-kan-á,kan-kan-á,干干仔,kan-kan-a,kan-kan-a,3,kautian,False
tsiūnn-suann-thâu,chiūⁿ-soaⁿ-thâu,上山頭,tsiunn-suann-thau,chiuⁿ-soaⁿ-thau,3,kautian,False
tiūnn-kong,tiūⁿ-kong,丈公,tiunn-kong,tiuⁿ-kong,2,kautian,False
siōng-guân,siōng-goân,上元,siong-guan,siong-goan,2,kautian,False
hā-guân,hā-goân,下元,ha-guan,ha-goan,2,kautian,False
ē-ûn,ē-ûn,下勻,e-un,e-un,2,kautian,False
tāi-put-liáu,tāi-put-liáu,大不了,tai-put-liau,tai-put-liau,3,kautian,False
thóo-kong-á,thó͘-kong-á,土公仔,thoo-kong-a,tho͘-kong-a,3,kautian,False
siáu-thiú-á,siáu-thiú-á,小丑仔,siau-thiu-a,siau-thiu-a,3,kautian,False
siōng-guân-mê,siōng-goân-mê,上元暝,siong-guan-me,siong-goan-me,3,kautian,False
siōng-guân-mî,siōng-goân-mî,上元暝,siong-guan-mi,siong-goan-mi,3,kautian,False
siōng-ngóo,siōng-ngó͘,上午,siong-ngoo,siong-ngo͘,2,kautian,False
siōng-thian,siōng-thian,上天,siong-thian,siong-thian,2,kautian,False
tsiūnn-tshiú,chiūⁿ-chhiú,上手,tsiunn-tshiu,chiuⁿ-chhiu,2,kautian,False
tshiūnn-tsuí,chhiūⁿ-chúi,上水,tshiunn-tsui,chhiuⁿ-chui,2,kautian,False
hā-ngóo,hā-ngó͘,下午,ha-ngoo,ha-ngo͘,2,kautian,False
hē-tshiú,hē-chhiú,下手,he-tshiu,he-chhiu,2,kautian,False
ē-tshiú,ē-chhiú,下手,e-tshiu,e-chhiu,2,kautian,False
hā-suí,hā-súi,下水,ha-sui,ha-sui,2,kautian,False
thóo-bo̍k,thó͘-bo̍k,土木,thoo-bok,tho͘-bok,2,kautian,False
tāi-hong,tāi-hong,大方,tai-hong,tai-hong,2,kautian,False
tuā-ji̍t,tōa-ji̍t,大日,tua-jit,toa-jit,2,kautian,False
tuā-li̍t,tōa-li̍t,大日,tua-lit,toa-lit,2,kautian,False
tuā-gue̍h,tōa-goe̍h,大月,tua-gueh,toa-goeh,2,kautian,False
tuā-ge̍h,tōa-ge̍h,大月,tua-geh,toa-geh,2,kautian,False
tshùn-tshioh,chhùn-chhioh,寸尺,tshun-tshioh,chhun-chhioh,2,kautian,False
sió-sim,sió-sim,小心,sio-sim,sio-sim,2,kautian,False
sió-gue̍h,sió-goe̍h,小月,sio-gueh,sio-goeh,2,kautian,False
sió-ge̍h,sió-ge̍h,小月,sio-geh,sio-geh,2,kautian,False
sió-ba̍k,sió-ba̍k,小木,sio-bak,sio-bak,2,kautian,False
kang-hu,kang-hu,工夫,kang-hu,kang-hu,2,kautian,False
sam-thài-tsú,sam-thài-chú,三太子,sam-thai-tsu,sam-thai-chu,3,kautian,False
siāng-tshe-kong,siāng-chhe-kong,上尺工,siang-tshe-kong,siang-chhe-kong,3,kautian,False
tuā-sim-khuì,tōa-sim-khùi,大心氣,tua-sim-khui,toa-sim-khui,3,kautian,False
tshian-kin-tshìn,chhian-kin-chhìn,千斤秤,tshian-kin-tshin,chhian-kin-chhin,3,kautian,False
tshian-kun-tshìn,chhian-kun-chhìn,千斤秤,tshian-kun-tshin,chhian-kun-chhin,3,kautian,False
sam-bûn-hî,sam-bûn-hî,三文魚,sam-bun-hi,sam-bun-hi,3,kautian,False
sam-bûn-hû,sam-bûn-hû,三文魚,sam-bun-hu,sam-bun-hu,3,kautian,False
hā-suí-thng,hā-súi-thng,下水湯,ha-sui-thng,ha-sui-thng,3,kautian,False
tuā-pîng,tōa-pêng,大爿,tua-ping,toa-peng,2,kautian,False
uân-á,oân-á,丸仔,uan-a,oan-a,2,kautian,False
tuā-hiann,tōa-hiaⁿ,大兄,tua-hiann,toa-hiaⁿ,2,kautian,False
kang-á,kang-á,工仔,kang-a,kang-a,2,kautian,False
kin-á,kin-á,巾仔,kin-a,kin-a,2,kautian,False
kun-á,kun-á,巾仔,kun-a,kun-a,2,kautian,False
king-á,keng-á,弓仔,king-a,keng-a,2,kautian,False
tuā-tāi-tsì,tōa-tāi-chì,大代誌,tua-tai-tsi,toa-tai-chi,3,kautian,False
siōng-ke,siōng-ke,上加,siong-ke,siong-ke,2,kautian,False
tsiūnn-pak,chiūⁿ-pak,上北,tsiunn-pak,chiuⁿ-pak,2,kautian,False
ē-si,ē-si,下司,e-si,e-si,2,kautian,False
thóo-pau-á,thó͘-pau-á,土包仔,thoo-pau-a,tho͘-pau-a,3,kautian,False
sió-khuá-á,sió-khóa-á,小可仔,sio-khua-a,sio-khoa-a,3,kautian,False
tuā-sì-kè,tōa-sì-kè,大四界,tua-si-ke,toa-si-ke,3,kautian,False
tuā-sì-kuè,tōa-sì-kòe,大四界,tua-si-kue,toa-si-koe,3,kautian,False
ē-puànn-mê,ē-pòaⁿ-mê,下半暝,e-puann-me,e-poaⁿ-me,3,kautian,False
ē-puànn-mî,ē-pòaⁿ-mî,下半暝,e-puann-mi,e-poaⁿ-mi,3,kautian,False
tsiūnn-tshī,chiūⁿ-chhī,上市,tsiunn-tshi,chiuⁿ-chhi,2,kautian,False
hē-pún,hē-pún,下本,he-pun,he-pun,2,kautian,False
tuā-pún,tōa-pún,大本,tua-pun,toa-pun,2,kautian,False
sió-tuànn,sió-tòaⁿ,小旦,sio-tuann,sio-toaⁿ,2,kautian,False
tsiūnn-ba̍k,chiūⁿ-ba̍k,上目,tsiunn-bak,chiuⁿ-bak,2,kautian,False
kháu-pe̍h,kháu-pe̍h,口白,khau-peh,khau-peh,2,kautian,False
tuā-ba̍k,tōa-ba̍k,大目,tua-bak,toa-bak,2,kautian,False
sió-sing,sió-seng,小生,sio-sing,sio-seng,2,kautian,False
sió-gio̍k-á,sió-gio̍k-á,小玉仔,sio-giok-a,sio-giok-a,3,kautian,False
sió-pe̍h-tshài,sió-pe̍h-chhài,小白菜,sio-peh-tshai,sio-peh-chhai,3,kautian,False
tāi-kah-tshio̍h,tāi-kah-chhio̍h,大甲蓆,tai-kah-tshioh,tai-kah-chhioh,3,kautian,False
tsiūnn-jīm,chiūⁿ-jīm,上任,tsiunn-jim,chiuⁿ-jim,2,kautian,False
tsiūnn-līm,chiūⁿ-līm,上任,tsiunn-lim,chiuⁿ-lim,2,kautian,False
kiú-gióng,kiú-gióng,久仰,kiu-giong,kiu-giong,2,kautian,False
kan-hiu,kan-hiu,干休,kan-hiu,kan-hiu,2,kautian,False
tuā-miâ,tōa-miâ,大名,tua-mia,toa-mia,2,kautian,False
tuā-kiánn,tōa-kiáⁿ,大囝,tua-kiann,toa-kiaⁿ,2,kautian,False
sió-miâ,sió-miâ,小名,sio-mia,sio-mia,2,kautian,False
sió-kiánn,sió-kiáⁿ,小囝,sio-kiann,sio-kiaⁿ,2,kautian,False
tāi-tông-á,tāi-tông-á,大同仔,tai-tong-a,tai-tong-a,3,kautian,False
siōng-hó,siōng-hó,上好,siong-ho,siong-ho,2,kautian,False
iā-hó,iā-hó,也好,ia-ho,ia-ho,2,kautian,False
thóo-tē,thó͘-tē,土地,thoo-te,tho͘-te,2,kautian,False
thóo-tuē,thó͘-tōe,土地,thoo-tue,tho͘-toe,2,kautian,False
thóo-tī-kong,thó͘-tī-kong,土地公,thoo-ti-kong,tho͘-ti-kong,3,kautian,False
e-tsái-á,e-chái-á,下早仔,e-tsai-a,e-chai-a,3,kautian,False
tuā-hīnn,tōa-hīⁿ,大耳,tua-hinn,toa-hiⁿ,2,kautian,False
tuā-hī,tōa-hī,大耳,tua-hi,toa-hi,2,kautian,False
