tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
hennh-khùn-li̍t,heⁿh-khùn-li̍t,歇睏日,hennh-khun-lit,heⁿh-khun-lit,3,kautian,False
hennh-khùn-gi̍t,heⁿh-khùn-gi̍t,歇睏日,hennh-khun-git,heⁿh-khun-git,3,kautian,False
siônn-la̍p-la̍p,siôⁿ-la̍p-la̍p,𣻸塌塌,sionn-lap-lap,sioⁿ-lap-lap,3,kautian,False
muà-phēr-á,mòa-phēr-á,幔被仔,mua-pher-a,moa-pher-a,3,kautian,False
pìnn-bôr-lián,pìⁿ-bôr-lián,變無撚,pinn-bor-lian,piⁿ-bor-lian,3,kautian,False
tsuè-nāu-jia̍t,chòe-nāu-jia̍t,做鬧熱,tsue-nau-jiat,choe-nau-jiat,3,kautian,False
tserè-nāu-jia̍t,chère-nāu-jia̍t,做鬧熱,tsere-nau-jiat,chere-nau-jiat,3,kautian,False
tsòr-nāu-jia̍t,chòr-nāu-jia̍t,做鬧熱,tsor-nau-jiat,chor-nau-jiat,3,kautian,False
tserè-nāu-lia̍t,chère-nāu-lia̍t,做鬧熱,tsere-nau-liat,chere-nau-liat,3,kautian,False
tsòr-nāu-lia̍t,chòr-nāu-lia̍t,做鬧熱,tsor-nau-liat,chor-nau-liat,3,kautian,False
tsò-nāu-lia̍t,chò-nāu-lia̍t,做鬧熱,tso-nau-liat,cho-nau-liat,3,kautian,False
tserè-bī-sī,chère-bī-sī,做唯是,tsere-bi-si,chere-bi-si,3,kautian,False
tsòr-bī-sī,chòr-bī-sī,做唯是,tsor-bi-si,chor-bi-si,3,kautian,False
tuā-bó-thiô,tōa-bó-thiô,大拇頭,tua-bo-thio,toa-bo-thio,3,kautian,False
tuā-bó-thiôr,tōa-bó-thiôr,大拇頭,tua-bo-thior,toa-bo-thior,3,kautian,False
tuā-bó-thôo,tōa-bó-thô͘,大拇頭,tua-bo-thoo,toa-bo-tho͘,3,kautian,False
ē-hng-tuìnn,ē-hng-tùiⁿ,下昏頓,e-hng-tuinn,e-hng-tuiⁿ,3,kautian,False
ē-huinn-tǹg,ē-huiⁿ-tǹg,下昏頓,e-huinn-tng,e-huiⁿ-tng,3,kautian,False
ē-huinn-tuìnn,ē-huiⁿ-tùiⁿ,下昏頓,e-huinn-tuinn,e-huiⁿ-tuiⁿ,3,kautian,False
enn-hng-tuìnn,eⁿ-hng-tùiⁿ,下昏頓,enn-hng-tuinn,eⁿ-hng-tuiⁿ,3,kautian,False
enn-huinn-tǹg,eⁿ-huiⁿ-tǹg,下昏頓,enn-huinn-tng,eⁿ-huiⁿ-tng,3,kautian,False
enn-huinn-tuìnn,eⁿ-huiⁿ-tùiⁿ,下昏頓,enn-huinn-tuinn,eⁿ-huiⁿ-tuiⁿ,3,kautian,False
hionn-uànn-toh,hioⁿ-òaⁿ-toh,香案桌,hionn-uann-toh,hioⁿ-oaⁿ-toh,3,kautian,False
hionn-uànn-torh,hioⁿ-òaⁿ-torh,香案桌,hionn-uann-torh,hioⁿ-oaⁿ-torh,3,kautian,False
hiunn-uànn-torh,hiuⁿ-òaⁿ-torh,香案桌,hiunn-uann-torh,hiuⁿ-oaⁿ-torh,3,kautian,False
bôr-án-nuá,bôr-án-nóa,無按怎,bor-an-nua,bor-an-noa,3,kautian,False
bôr-án-ná,bôr-án-ná,無按怎,bor-an-na,bor-an-na,3,kautian,False
phái-tshái-thiô,phái-chhái-thiô,歹彩頭,phai-tshai-thio,phai-chhai-thio,3,kautian,False
phái-tshái-thiôr,phái-chhái-thiôr,歹彩頭,phai-tshai-thior,phai-chhai-thior,3,kautian,False
phái-tshái-thôo,phái-chhái-thô͘,歹彩頭,phai-tshai-thoo,phai-chhai-tho͘,3,kautian,False
phái-thiô-tshái,phái-thiô-chhái,歹頭彩,phai-thio-tshai,phai-thio-chhai,3,kautian,False
phái-thiôr-tshái,phái-thiôr-chhái,歹頭彩,phai-thior-tshai,phai-thior-chhai,3,kautian,False
phái-thôo-tshái,phái-thô͘-chhái,歹頭彩,phai-thoo-tshai,phai-tho͘-chhai,3,kautian,False
siônn-le̍h-le̍h,siôⁿ-le̍h-le̍h,𣻸肭肭,sionn-leh-leh,sioⁿ-leh-leh,3,kautian,False
ji̍p-tiônn-kǹg,ji̍p-tiôⁿ-kǹg,入場券,jip-tionn-kng,jip-tioⁿ-kng,3,kautian,False
li̍p-tiônn-kǹg,li̍p-tiôⁿ-kǹg,入場券,lip-tionn-kng,lip-tioⁿ-kng,3,kautian,False
kìng-tsinn-li̍k,kèng-chiⁿ-le̍k,競爭力,king-tsinn-lik,keng-chiⁿ-lek,3,kautian,False
kìng-tsenn-li̍k,kèng-cheⁿ-le̍k,競爭力,king-tsenn-lik,keng-cheⁿ-lek,3,kautian,False
uí-guân-uē,úi-goân-ōe,委員會,ui-guan-ue,ui-goan-oe,3,kautian,False
uí-guân-ē,úi-goân-ē,委員會,ui-guan-e,ui-goan-e,3,kautian,False
uí-guân-erē,úi-goân-ēre,委員會,ui-guan-ere,ui-goan-ere,3,kautian,False
pueh-kuà-san,poeh-kòa-san,八卦山,pueh-kua-san,poeh-koa-san,3,kautian,False
peh-kuà-san,peh-kòa-san,八卦山,peh-kua-san,peh-koa-san,3,kautian,False
tāi-seh-suann,tāi-seh-soaⁿ,大雪山,tai-seh-suann,tai-seh-soaⁿ,3,kautian,False
tāi-serh-suann,tāi-serh-soaⁿ,大雪山,tai-serh-suann,tai-serh-soaⁿ,3,kautian,False
iûnn-bîng-san,iûⁿ-bêng-san,陽明山,iunn-bing-san,iuⁿ-beng-san,3,kautian,False
iônn-bîng-san,iôⁿ-bêng-san,陽明山,ionn-bing-san,ioⁿ-beng-san,3,kautian,False
tsionn-ló-liâu,chioⁿ-ló-liâu,樟腦寮,tsionn-lo-liau,chioⁿ-lo-liau,3,kautian,False
tann-khere-hionn,taⁿ-khere-hioⁿ,礁溪鄉,tann-khere-hionn,taⁿ-khere-hioⁿ,3,kautian,False
tann-khere-hiunn,taⁿ-khere-hiuⁿ,礁溪鄉,tann-khere-hiunn,taⁿ-khere-hiuⁿ,3,kautian,False
tann-khe-hionn,taⁿ-khe-hioⁿ,礁溪鄉,tann-khe-hionn,taⁿ-khe-hioⁿ,3,kautian,False
tann-khe-hiunn,taⁿ-khe-hiuⁿ,礁溪鄉,tann-khe-hiunn,taⁿ-khe-hiuⁿ,3,kautian,False
tann-khue-hionn,taⁿ-khoe-hioⁿ,礁溪鄉,tann-khue-hionn,taⁿ-khoe-hioⁿ,3,kautian,False
tann-khue-hiunn,taⁿ-khoe-hiuⁿ,礁溪鄉,tann-khue-hiunn,taⁿ-khoe-hiuⁿ,3,kautian,False
miâu-li̍k-kuāinn,miâu-le̍k-koāiⁿ,苗栗縣,miau-lik-kuainn,miau-lek-koaiⁿ,3,kautian,False
miâu-li̍k-kuīnn,miâu-le̍k-kūiⁿ,苗栗縣,miau-lik-kuinn,miau-lek-kuiⁿ,3,kautian,False
miâu-li̍k-kuǎn,miâu-le̍k-koǎn,苗栗縣,miau-lik-kuan,miau-lek-koan,3,kautian,False
lūn-puē-hionn,lūn-pōe-hioⁿ,崙背鄉,lun-pue-hionn,lun-poe-hioⁿ,3,kautian,False
lūn-puē-hiunn,lūn-pōe-hiuⁿ,崙背鄉,lun-pue-hiunn,lun-poe-hiuⁿ,3,kautian,False
bān-luân-hionn,bān-loân-hioⁿ,萬巒鄉,ban-luan-hionn,ban-loan-hioⁿ,3,kautian,False
bān-luân-hiunn,bān-loân-hiuⁿ,萬巒鄉,ban-luan-hiunn,ban-loan-hiuⁿ,3,kautian,False
liû-kiû-hionn,liû-kiû-hioⁿ,琉球鄉,liu-kiu-hionn,liu-kiu-hioⁿ,3,kautian,False
liû-kiû-hiunn,liû-kiû-hiuⁿ,琉球鄉,liu-kiu-hiunn,liu-kiu-hiuⁿ,3,kautian,False
hue-liân-kuāinn,hoe-liân-koāiⁿ,花蓮縣,hue-lian-kuainn,hoe-lian-koaiⁿ,3,kautian,False
hue-liân-kuīnn,hoe-liân-kūiⁿ,花蓮縣,hue-lian-kuinn,hoe-lian-kuiⁿ,3,kautian,False
hue-liân-kuǎn,hoe-liân-koǎn,花蓮縣,hue-lian-kuan,hoe-lian-koan,3,kautian,False
hue-liân-kuān,hoe-liân-koān,花蓮縣,hue-lian-kuan,hoe-lian-koan,3,kautian,False
hue-nâi-kuāinn,hoe-nâi-koāiⁿ,花蓮縣,hue-nai-kuainn,hoe-nai-koaiⁿ,3,kautian,False
hue-nâi-kuīnn,hoe-nâi-kūiⁿ,花蓮縣,hue-nai-kuinn,hoe-nai-kuiⁿ,3,kautian,False
hue-nâi-kuǎn,hoe-nâi-koǎn,花蓮縣,hue-nai-kuan,hoe-nai-koan,3,kautian,False
hue-nâi-kuān,hoe-nâi-koān,花蓮縣,hue-nai-kuan,hoe-nai-koan,3,kautian,False
hue-lân-kuāinn,hoe-lân-koāiⁿ,花蓮縣,hue-lan-kuainn,hoe-lan-koaiⁿ,3,kautian,False
hue-lân-kuīnn,hoe-lân-kūiⁿ,花蓮縣,hue-lan-kuinn,hoe-lan-kuiⁿ,3,kautian,False
hue-lân-kuǎn,hoe-lân-koǎn,花蓮縣,hue-lan-kuan,hoe-lan-koan,3,kautian,False
hue-lân-kuān,hoe-lân-koān,花蓮縣,hue-lan-kuan,hoe-lan-koan,3,kautian,False
hue-liân-tshī,hoe-liân-chhī,花蓮市,hue-lian-tshi,hoe-lian-chhi,3,kautian,False
hue-nâi-tshī,hoe-nâi-chhī,花蓮市,hue-nai-tshi,hoe-nai-chhi,3,kautian,False
hue-lân-tshī,hoe-lân-chhī,花蓮市,hue-lan-tshi,hoe-lan-chhi,3,kautian,False
phênn-ôo-kuāinn,phêⁿ-ô͘-koāiⁿ,澎湖縣,phenn-oo-kuainn,pheⁿ-o͘-koaiⁿ,3,kautian,False
