tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
lîn-luī,lîn-lūi,人類,lin-lui,lin-lui,2,taihoa
lîn-lûn,lîn-lûn,人倫,lin-lun,lin-lun,2,taihoa
lîn-má,lîn-má,人馬,lin-ma,lin-ma,2,taihoa
lîn-uân,lîn-oân,人員,lin-uan,lin-oan,2,taihoa
lîn-phín,lîn-phín,人品,lin-phin,lin-phin,2,taihoa
lîn-phoh,lîn-phoh,仁粕,lin-phoh,lin-phoh,2,taihoa
lîn-puî,lîn-pûi,燐肥,lin-pui,lin-pui,2,taihoa
lîn-sam,lîn-sam,人參,lin-sam,lin-sam,2,taihoa
lîn-sing,lîn-seng,人生,lin-sing,lin-seng,2,taihoa
lîn-sìng,lîn-sèng,人性,lin-sing,lin-seng,2,taihoa
lîn-sim,lîn-sim,人心,lin-sim,lin-sim,2,taihoa
lîn-sng,lîn-sng,燐酸,lin-sng,lin-sng,2,taihoa
lîn-sng,lîn-sng,磷酸,lin-sng,lin-sng,2,taihoa
lîn-suán,lîn-soán,人選,lin-suan,lin-soan,2,taihoa
lîn-suán,lîn-soán,遴選,lin-suan,lin-soan,2,taihoa
lîn-som,lîn-som,人蔘,lin-som,lin-som,2,taihoa
lîn-sòo,lîn-sò͘,人數,lin-soo,lin-so͘,2,taihoa
lîn-sū,lîn-sū,人事,lin-su,lin-su,2,taihoa
lîn-thiok,lîn-thiok,人畜,lin-thiok,lin-thiok,2,taihoa
lîn--tio̍h,lîn--tio̍h,眩著,lin--tioh,lin--tioh,2,taihoa
lîn-tiong,lîn-tiong,人中,lin-tiong,lin-tiong,2,taihoa
lîn-tiúnn,lîn-tiúⁿ,鄰長,lin-tiunn,lin-tiuⁿ,2,taihoa
lîn-tō,lîn-tō,人道,lin-to,lin-to,2,taihoa
līn-hūn,līn-hūn,認份,lin-hun,lin-hun,2,taihoa
līn-lōo,līn-lō͘,認路,lin-loo,lin-lo͘,2,taihoa
lin-tsu,lin-chu,奶珠,lin-tsu,lin-chu,2,taihoa
lin-long,lin-long,lin-long,lin-long,lin-long,2,taihoa
lin-lông-gô,lin-lông-gô,玲瓏遨,lin-long-go,lin-long-go,3,taihoa
lin-long-tsáu,lin-long-cháu,玲瓏走,lin-long-tsau,lin-long-chau,3,taihoa
lin-long-háu,lin-long-háu,玲瓏哮,lin-long-hau,lin-long-hau,3,taihoa
lin-long-kiò,lin-long-kiò,玲瓏叫,lin-long-kio,lin-long-kio,3,taihoa
lin-long-kóo,lin-long-kó͘,玲瓏鼓,lin-long-koo,lin-long-ko͘,3,taihoa
lin-long-se̍h,lin-long-se̍h,玲瓏踅,lin-long-seh,lin-long-seh,3,taihoa
lin-long-tńg,lin-long-tńg,玲瓏轉,lin-long-tng,lin-long-tng,3,taihoa
lin-pau,lin-pau,奶包,lin-pau,lin-pau,2,taihoa
lin-pôo,lin-pô͘,奶脯,lin-poo,lin-po͘,2,taihoa
lin-tāu-tsháu,lin-tāu-chháu,奶豆草,lin-tau-tshau,lin-tau-chhau,3,taihoa
lin-tîng,lin-têng,奶藤,lin-ting,lin-teng,2,taihoa
lió,lió,lió,lio,lio,1,taihoa
lió-tsi̍t-ē,lió-chi̍t-ē,瞭一下,lio-tsit-e,lio-chit-e,3,taihoa
lió-kuè,lió-kòe,瞭過,lio-kue,lio-koe,2,taihoa
lió-tio̍h,lió-tio̍h,瞭著,lio-tioh,lio-tioh,2,taihoa
liò,liò,lò,lio,lio,1,taihoa
liô,liô,liô,lio,lio,1,taihoa
liô-iû,liô-iû,撩油,lio-iu,lio-iu,2,taihoa
liô-tāu-phuê,liô-tāu-phôe,撩豆皮,lio-tau-phue,lio-tau-phoe,3,taihoa
liō,liō,尿,lio,lio,1,taihoa
liō-hia,liō-hia,尿桸,lio-hia,lio-hia,2,taihoa
liō-kho,liō-kho,尿科,lio-kho,lio-kho,2,taihoa
liō-kín,liō-kín,尿緊,lio-kin,lio-kin,2,taihoa
liō-kip,liō-kip,尿急,lio-kip,lio-kip,2,taihoa
liō-ôo,liō-ô͘,尿壺,lio-oo,lio-o͘,2,taihoa
liō-pha,liō-pha,尿脬,lio-pha,lio-pha,2,taihoa
liō-phè,liō-phè,尿帕,lio-phe,lio-phe,2,taihoa
liō-pih,liō-pih,尿鱉,lio-pih,lio-pih,2,taihoa
liō-puī,liō-pūi,尿蜚,lio-pui,lio-pui,2,taihoa
