tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshiú-tué,chhiú-tóe,手底,tshiu-tue,chhiu-toe,2,taijit
tshiú-tuê,chhiú-tôe,手蹄,tshiu-tue,chhiu-toe,2,taijit
tshiú-tong,chhiú-tong,手當,tshiu-tong,chhiu-tong,2,taijit
tshiú-tóo,chhiú-tó͘,手肚,tshiu-too,chhiu-to͘,2,taijit
tshiú-tuì,chhiú-tùi,手碓,tshiu-tui,chhiu-tui,2,taijit
tshiù,chhiù,tshiù,tshiu,chhiu,1,taijit
tshiù-tshái,chhiù-chhái,tshiù-tshái,tshiu-tshai,chhiu-chhai,2,taijit
tshiû,chhiû,愁,tshiu,chhiu,1,taijit
tshiû,chhiû,揪,tshiu,chhiu,1,taijit
tshiû-bî,chhiû-bî,愁眉,tshiu-bi,chhiu-bi,2,taijit
tshiû--tshut-lâi,chhiû--chhut-lâi,揪出來,tshiu--tshut-lai,chhiu--chhut-lai,3,taijit
tshiû-tsuí,chhiû-chúi,泅水,tshiu-tsui,chhiu-chui,2,taijit
tshiû-gân,chhiû-gân,愁顏,tshiu-gan,chhiu-gan,2,taijit
tshiû-iông,chhiû-iông,愁容,tshiu-iong,chhiu-iong,2,taijit
tshiû-khóo,chhiû-khó͘,愁苦,tshiu-khoo,chhiu-kho͘,2,taijit
tshiû-uē,chhiû-ōe,揪話,tshiu-ue,chhiu-oe,2,taijit
tshiū,chhiū,樹,tshiu,chhiu,1,taijit
tshiū-á,chhiū-á,樹仔,tshiu-a,chhiu-a,2,taijit
tshiū-ba̍k,chhiū-ba̍k,樹木,tshiu-bak,chhiu-bak,2,taijit
tshiū-ba̍k,chhiū-ba̍k,樹目,tshiu-bak,chhiu-bak,2,taijit
tshiū-bé,chhiū-bé,樹尾,tshiu-be,chhiu-be,2,taijit
tshiū-bé-hong,chhiū-bé-hong,樹尾風,tshiu-be-hong,chhiu-be-hong,3,taijit
tshiū-bo̍k,chhiū-bo̍k,樹木,tshiu-bok,chhiu-bok,2,taijit
tshiū-bú,chhiū-bú,樹母,tshiu-bu,chhiu-bu,2,taijit
tshiū-tsâng,chhiū-châng,樹叢,tshiu-tsang,chhiu-chang,2,taijit
tshiū-tsháu-liân,chhiū-chháu-liân,樹草蓮,tshiu-tshau-lian,chhiu-chhau-lian,3,taijit
tshiū-tshinn,chhiū-chhiⁿ,樹青,tshiu-tshinn,chhiu-chhiⁿ,2,taijit
tshiū-tsí,chhiū-chí,樹子,tshiu-tsi,chhiu-chi,2,taijit
tshiū-tsû,chhiū-chû,樹薯,tshiu-tsu,chhiu-chu,2,taijit
tshiū-ē,chhiū-ē,樹下,tshiu-e,chhiu-e,2,taijit
tshiū-gê,chhiū-gê,樹芽,tshiu-ge,chhiu-ge,2,taijit
tshiū-hio̍h,chhiū-hio̍h,樹葉,tshiu-hioh,chhiu-hioh,2,taijit
tshiū-iánn,chhiū-iáⁿ,樹影,tshiu-iann,chhiu-iaⁿ,2,taijit
tshiū-im,chhiū-im,樹陰,tshiu-im,chhiu-im,2,taijit
tshiū-ínn,chhiū-íⁿ,樹孽,tshiu-inn,chhiu-iⁿ,2,taijit
tshiū-iû,chhiū-iû,樹油,tshiu-iu,chhiu-iu,2,taijit
tshiū-ka,chhiū-ka,樹膠,tshiu-ka,chhiu-ka,2,taijit
tshiū-kha,chhiū-kha,樹腳,tshiu-kha,chhiu-kha,2,taijit
tshiū-khak,chhiū-khak,樹殼,tshiu-khak,chhiu-khak,2,taijit
tshiū-khî,chhiū-khî,樹蜞,tshiu-khi,chhiu-khi,2,taijit
tshiū-ki,chhiū-ki,樹枝,tshiu-ki,chhiu-ki,2,taijit
tshiū-kí,chhiū-kí,樹杞,tshiu-ki,chhiu-ki,2,taijit
tshiū-kuáinn,chhiū-koáiⁿ,樹桿,tshiu-kuainn,chhiu-koaiⁿ,2,taijit
tshiū-kun,chhiū-kun,樹根,tshiu-kun,chhiu-kun,2,taijit
tshiū-lân,chhiū-lân,樹蘭,tshiu-lan,chhiu-lan,2,taijit
tshiū-le,chhiū-le,樹絡,tshiu-le,chhiu-le,2,taijit
tshiū-lîng,chhiū-lêng,樹龍,tshiu-ling,chhiu-leng,2,taijit
tshiū-lin,chhiū-lin,樹奶,tshiu-lin,chhiu-lin,2,taijit
tshiū-lin-á,chhiū-lin-á,漿奶仔,tshiu-lin-a,chhiu-lin-a,3,taijit
tshiū-liû,chhiū-liû,樹瘤,tshiu-liu,chhiu-liu,2,taijit
