hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taigitv
匿名,li̍k-miâ,25,le̍k-miâ,lik8mia5,lek8mia5,likmia,lekmia,lm,lm,True
半勝,puànn-sìng,25,pòaⁿ-sèng,puann3sing3,poann3seng3,puannsing,poannseng,ps,ps,True
半馬,puànn-má,25,pòaⁿ-má,puann3ma2,poann3ma2,puannma,poannma,pm,pm,True
協作,hia̍p-tsok,25,hia̍p-chok,hiap8tsok,hiap8chok,hiaptsok,hiapchok,ht,hc,True
南刀,lâm-to,25,lâm-to,lam5to,lam5to,lamto,lamto,lt,lt,True
南拳,lâm-kûn,25,lâm-kûn,lam5kun5,lam5kun5,lamkun,lamkun,lk,lk,True
南棍,lâm-kùn,25,lâm-kùn,lam5kun3,lam5kun3,lamkun,lamkun,lk,lk,True
卡粉,kha̍h-hún,25,kha̍h-hún,khah8hun2,khah8hun2,khahhun,khahhun,kh,kh,True
卵塔,nn̄g-thah,25,nn̄g-thah,nng7thah,nng7thah,nngthah,nngthah,nt,nt,True
卸妝,sià-tsong,25,sià-chong,sia3tsong,sia3chong,siatsong,siachong,st,sc,True
厚妝,kāu-tsong,25,kāu-chong,kau7tsong,kau7chong,kautsong,kauchong,kt,kc,True
厝貸,tshù-tāi,25,chhù-tāi,tshu3tai7,chhu3tai7,tshutai,chhutai,tt,ct,True
口座,kháu-tsō,25,kháu-chō,khau2tso7,khau2cho7,khautso,khaucho,kt,kc,True
口碑,kháu-pi,25,kháu-pi,khau2pi,khau2pi,khaupi,khaupi,kp,kp,True
可送,khó-sòng,25,khó-sòng,kho2song3,kho2song3,khosong,khosong,ks,ks,True
司康,sir-kóng,25,sir-kóng,sirkong2,sirkong2,sirkong,sirkong,sk,sk,True
司康,su-kóng,25,su-kóng,sukong2,sukong2,sukong,sukong,sk,sk,True
合球,ha̍p-kiû,25,ha̍p-kiû,hap8kiu5,hap8kiu5,hapkiu,hapkiu,hk,hk,True
吊環,tiàu-khuân,25,tiàu-khoân,tiau3khuan5,tiau3khoan5,tiaukhuan,tiaukhoan,tk,tk,True
同步,tông-pōo,25,tông-pō͘,tong5poo7,tong5poo7,tongpoo,tongpoo,tp,tp,True
和絃,hô-hiân,25,hô-hiân,ho5hian5,ho5hian5,hohian,hohian,hh,hh,True
咖哩,ka-lí,25,ka-lí,kali2,kali2,kali,kali,kl,kl,True
品勢,phín-sè,25,phín-sè,phin2se3,phin2se3,phinse,phinse,ps,ps,True
啞鈴,à-lîng,25,à-lêng,a3ling5,a3leng5,aling,aleng,al,al,True
啟用,khé-iōng,25,khé-iōng,khe2iong7,khe2iong7,kheiong,kheiong,ki,ki,True
單巡,tuann-sûn,25,toaⁿ-sûn,tuannsun5,toannsun5,tuannsun,toannsun,ts,ts,True
單打,tan-tánn,25,tan-táⁿ,tantann2,tantann2,tantann,tantann,tt,tt,True
單槓,tan-kǹg,25,tan-kǹg,tankng3,tankng3,tankng,tankng,tk,tk,True
回合,huê-ha̍p,25,hôe-ha̍p,hue5hap8,hoe5hap8,huehap,hoehap,hh,hh,True
回合,hê-ha̍p,25,hê-ha̍p,he5hap8,he5hap8,hehap,hehap,hh,hh,True
回沖,huê-tshiong,25,hôe-chhiong,hue5tshiong,hoe5chhiong,huetshiong,hoechhiong,ht,hc,True
回沖,hê-tshiong,25,hê-chhiong,he5tshiong,he5chhiong,hetshiong,hechhiong,ht,hc,True
圍棋,uî-kî,25,ûi-kî,ui5ki5,ui5ki5,uiki,uiki,uk,uk,True
圖示,tôo-sī,25,tô͘-sī,too5si7,too5si7,toosi,toosi,ts,ts,True
團體,thuân-thé,25,thoân-thé,thuan5the2,thoan5the2,thuanthe,thoanthe,tt,tt,True
地板,tuē-pán,25,tōe-pán,tue7pan2,toe7pan2,tuepan,toepan,tp,tp,True
地板,tē-pán,25,tē-pán,te7pan2,te7pan2,tepan,tepan,tp,tp,True
坦邊,thán-pinn,25,thán-piⁿ,than2pinn,than2pinn,thanpinn,thanpinn,tp,tp,True
墜機,tuī-ki,25,tūi-ki,tui7ki,tui7ki,tuiki,tuiki,tk,tk,True
壁球,piah-kiû,25,piah-kiû,piahkiu5,piahkiu5,piahkiu,piahkiu,pk,pk,True
壓制,ap-tsè,25,ap-chè,aptse3,apche3,aptse,apche,at,ac,True
壘包,luí-pau,25,lúi-pau,lui2pau,lui2pau,luipau,luipau,lp,lp,True
壘球,luí-kiû,25,lúi-kiû,lui2kiu5,lui2kiu5,luikiu,luikiu,lk,lk,True
壯遊,tsōng-iû,25,chōng-iû,tsong7iu5,chong7iu5,tsongiu,chongiu,ti,ci,True
壺鈴,ôo-lîng,25,ô͘-lêng,oo5ling5,oo5leng5,ooling,ooleng,ol,ol,True
外遇,guā-gū,25,gōa-gū,gua7gu7,goa7gu7,guagu,goagu,gg,gg,True
外野,guā-iá,25,gōa-iá,gua7ia2,goa7ia2,guaia,goaia,gi,gi,True
大寫,tuā-siá,25,tōa-siá,tua7sia2,toa7sia2,tuasia,toasia,ts,ts,True
