佗,叼
佗,搭
你,汝
伸勼,伸糾
作田,做田
作田人,作田儂
作田人,做田人
作田人,做田儂
佗位,叨位
伸跤,伸骹
伸跤,伸腳
作弊,做弊
免數想,免賬想
克虧,喫虧
串講,闖講
作穡,做穡
作穡人,作穡儂
作穡人,做穡人
作穡人,做穡儂
含,唅
吵,訬
吼,哮
別人,別儂
吵抐,訬抐
吵抐,訬撓
吵家抐宅,訬家抐宅
吵家抐計,訬家抐計
吭跤翹,吭骹翹
吭跤翹,吭腳翹
吵鬧,訬鬧
呃,噎
呆,獃
囤,躉
坑崁,坑坎
坉塗,坉土
坉塗,填土
坉塗,填塗
坐數,坐賬
妝,粧
尪仔,翁仔
尾仔囝,尾仔子
孝呆,孝獃
尪架桌,紅架桌
宋盼的,宋盻个
尿苴仔,尿敷仔
尿桸,尿杓
尿桸,尿瓠
尾脽,尾錐
尾蝶,尾蛾
尾蝶,美蝶
扶𡳞脬,扶膦脬
序大,視大
序大人,序大儂
序大人,視大人
扴味,逆味
扶挺,扶撑
忌喙,忌嘴
弄喙花,弄嘴花
扭搦,扭搙
抓,爪
杓,桸
杙,楬
杓仔,勺仔
杜伯仔,土扒仔
批桶,批筒
改薰,戒薰
改薰,解薰
汫,𩟗
汰,汏
沃,渥
沕,密
沖,衝
沙,砂
灶,竈
沐沐泅,沒沒囚
沙挑,砂挑
沙埔,砂埔
沙茶,沙嗲
灶跤,竈跤
灶跤,灶骹
灶跤,灶腳
步輦,步輾
沃澹,沃霑
灶頭,竈頭
災,瘟
災,𣩈
牢,稠
牢,椆
牢,著
肝𦟪,肝連
育囝,育子
私奇,私家
私奇,私敧
肚綰,肚捾
豆奶,豆乳
見笑代,見笑事
走袂開跤,走𣍐開腳
走袂開跤,走袂開骹
走袂離,走𣍐離
豆乾,豆干
豆乾糋,豆干糋
言詞,言辭
走傱,走蹤
走傱,走撞
赤跤,赤骹
赤跤,赤腳
赤跤仙仔,赤骹仙仔
赤跤仙仔,赤腳仙仔
赤跤仙仔,赤骹先仔
赤跤仙仔,赤腳先仔
芋粿,芋餜
豆箍,豆麩
芋粿曲,芋餜蹺
車輪,車輾
車幫,車番
豆簽,豆籤
佮,及
佮,甲
佮,合
佮,合
佯毋知,殿不知
佯毋知,盯毋知
佯毋知,盯不知
佬仔,老仔
佯生,盯生
佯生,盯青
佳哉,嘉哉
佮喙,合嘴
佮喙,合喙
佯痟,𩏠痟
佮意,愜意
佮意,合意
佯顛佯戇,佯癲佯怣
佯戇,盯戇
佯戇,佯怣
佯戇,盯怣
侗戇,侗怣
到,甲
剁,斵
刺毛蟲,蛓毛蟲
刺波,刺藨
到站,甲站
受債,受制
受當袂起,受當𣍐起
刺繡,刺綉
坯,胚
坦直,侹直
呵咾,阿咾
呵咾,謳咾
坦徛,坦企
坦徛,挺徛
坦徛,坦豎
呼噓仔,呼㗭仔
呼噓仔,呼㗭也
呼噓仔,呼噓也
呸瀾,呸涎
姊,姐
姊,姐
姑不而將,姑不二將
姑不而將,姑不二終
姊夫,姐夫
姊妹,姐妹
姑情,姑成
底代,底事
孤囝,孤子
定銀,訂銀
忝,悿
彼一日,迄一日
怪人,怪儂
怪人,怪儂
彼爿,彼旁
彼爿,迄旁
彼爿,迄爿
戽杓,戽桸
念咒,唸咒
往往,永永
彼時,迄時
念珠,唸珠
彼站,迄暫
彼陣,彼瞬
彼陣,迄陣
彼陣,迄瞬
彼款,迄款
彼搭,迄搭
彼號,迄號
彼跡,迄跡
往過,永過
彼擺,迄擺
往擺,永擺
披,帔
抾,卻
抾,拾
抾,摭
抿,笢
抿,刡
拂,㧾
拊,撫
拍,打
拍,扑
拑,捦
拚,拼
拄才,拄則
拄才,拄即
拍手,打手
拍手,扑手
拍歹,打歹
拍歹,扑歹
拍毋見,打不見
拍毋見,拍不見
拍手銃,打手銃
拍手銃,扑手銃
披仔,批仔
抿仔,刡仔
拍尻川,打尻川
拍尻川,扑尻川
拍石,打石
拍石,扑石
拚生死,拼生死
拍石師,打石師
拍石師,扑石師
拚生理,拼生理
拈田嬰,拈田𧉅
拍生驚,打青驚
拍生驚,扑生驚
拍交落,扑交落
拍交落,打交落
抾囡仔,扱囡仔
抾囡仔,拾囝仔
招囝婿,招子婿
拄好,抵好
拍字機,打字機
拍字機,扑字機
拍呃,拍嗝
拍呃,拍噎
拍呃,打呃
拍折,打折
拍折,扑折
拖沙,拖砂
拑牢牢,捦稠稠
拚命,拼命
拍官司,打官司
拍官司,扑官司
拚性命,拼性命
拍拍,打拍
拍拍,扑拍
拍拚,打拚
拍拚,扑拼
拍拚,扑拚
拍抐涼,打納涼
拍抐涼,扑納涼
拍金仔,打金仔
拍金仔,扑金仔
拚俗,拼俗
拍咳啾,拍交嗆
拍咳啾,打咳啾
拍咳啾,扑咳啾
拍咯雞,打咯雞
拍咯雞,扑咯雞
抾客,扱客
抾恨,扱恨
抾拾,扱拾
拍某菜,打某菜
拍某菜,扑姥菜
拍某菜,拍姆菜
拍派,打派
拍派,扑派
拆食落腹,拆噍落腹
拆食落腹,拆吃落腹
拍拳,扑拳
拍拳,打拳
拍拳頭,扑拳頭
抾捔,扱桷
抾捔,拾擱
抾捔,抾掬
抾捔,抾确
抾柴,扱柴
抽疼,抽痛
拍破,打破
拍破,扑破
抾骨,扱骨
抾骨,拾骨
拔桶,跋桶
拄欲,抵欲
拄欲,拄要
拄欲,抵要
拍球,打球
拍球,扑球
拍通關,打通關
拍通關,扑通關
拍麻雀,打麻雀
拍麻雀,扑麻雀
拍喙鼓,打嘴鼓
拍喙鼓,扑喙鼓
拍喙鼓,拍嘴鼓
拍殕仔光,拍䀟仔光
拍殕仔光,打殕仔光
拍殕仔光,拍普仔光
拍無去,打無去
拍無去,扑無去
抾稅,扱稅
拍結,打結
拍結,扑結
拍結毬,拍結球
拍結毬,打結球
抾著,扱著
拄著,抵著
拚勢,拼勢
拄搪,抵搪
拍損,扑損
拍損,打損
拍損,打爽
拗裒,拗紨
拚暝工,拼暝工
拍種,扑種
拍種,打種
拍算,扑算
拍算,打算
拍算盤,打算盤
拍算盤,扑算盤
拍噗仔,打噗仔
拍噗仔,扑噗仔
拄數,抵賬
拄數,抵數
拄數,拄賬
放數,放賬
拍賣,打賣
拍賣,扑賣
拍醒,打醒
拍醒,扑醒
拚輸贏,拼輸贏
抾錢,扱錢
斧頭,釜頭
拍斷,扑斷
拍斷,打斷
拍獵,打獵
拍獵,扑獵
拍翸,打翸
拍翸,扑翸
拌蠓仔,拌蚊仔
拍觸衰,扑觸衰
拍觸衰,打觸衰
拍鐵,打鐵
拍鐵,扑鐵
拍鐵仔師,打鐵仔師
拍鐵仔師,扑鐵仔師
拍鐵仔褲,打鐵仔褲
拍鐵仔褲,扑鐵仔褲
拍鱗,打麟
拍鱗,扑麟
拗鬱,拗熨
抾襇,扱襇
昏,暈
枋,板
東爿,東邊
東爿,東旁
枋仔,板仔
明仔載,明仔再
明仔載,明仔哉
明仔載,明旦載
昏去,暈去
林投姊仔,林投姐仔
服侍,服祀
昏倒,暈倒
昏迷,暈迷
枋堵,板堵
松梧,松羅
林菝仔,林拔仔
枋模,板模
沾,呫
沾,噆
沿,椽
泏,注
泏,𤁢
泏,𤁢
治枵,治飫
油炸粿,油車粿
油炸粿,油車餜
油炸粿,油炸餜
欣羨,歆羨
油蔥粿,油蔥餜
炕,焢
爸,父
注文,註文
爸母,父母
炕肉,焢肉
爸老囝幼,父老子幼
爸老囝幼,爸老子幼
爸老囝幼,父老囝幼
炕肉飯,焢肉飯
狗岫,狗巢
狗空,狗孔
物食,物噍
炕菜頭,焢菜頭
炊粿,炊餜
炕窯,焢窰
狗蝨,狗虱
狗蟻,蚼蟻
的,个
祀,𫞼
祀,在
空,孔
空厝間,空茨間
空喙,空嘴
空喙,孔喙
空喙,孔嘴
空喙哺舌,空嘴哺舌
空喙哺舌,空嘴薄舌
空縫,孔縫
糾,勼
芟,刪
芡,焮
芳,香
芳水,香水
芳瓜,香瓜
芳味,香味
芡芳,芡香
芡芳,焮芳
花莓,花苺
芳料,香料
芳粉,香粉
花袂牢枝,花袂稠枝
花袂牢枝,花𣍐牢枝
花袂牢枝,花𣍐稠枝
糾帶,勼帶
糾筋,縮筋
糾筋,勼筋
虯,虬
虯,𧺤
虯毛,虬毛
虯毛,𧺤毛
長尻川,長尻瘡
阿里不達,阿理不達
表姊,表姐
阿姊,阿姐
青盲,青瞑
青盲牛,青瞑牛
阿舍囝,阿舍子
虯虯,虬虬
虯虯,𧺤𧺤
青恂恂,青損損
近倚,近偎
門圈,門鏲
長短跤話,長短骹話
長短跤話,長短腳話
阿媽,俺媽
阿媽,阿嬤
阿媽,俺嬤
門跤口,門骹口
門跤口,門腳口
