hanzi,tl
拋輾斗,phann-lìn-táu
抽籤,liu-tshiam
抽鬮,liu-khau
抽躼,thiu-liò
明仔日,miâ-á-ji̍t/miâ-á-li̍t
明仔早起,miâ-á-tsá-khí
明仔早起,bîn-á-tsái-khí
明仔暗,miâ-á-àm
明仔載,miâ-á-tsài
明年,mâ-nî
明年,muâ-nî
林投姊仔,Nâ-tâu-tsé--á
明星,bîng-sing
林菝仔,ná-pa̍t-á
易經,Ia̍h-king
枕頭囊,tsím-thâu-long
泔糜仔,ám-muâi-á
炒,tsháu
爸,pa
狗𩸶仔,káu-kām-á
狗母,káu-bú
狗母魚,káu-bú-hî/káu-bú-hû
肨奶,hàng-lin
芥藍仔,kè-nê-á
雨,í
虯毛,khiû-moo
虯毛,khiû-môo
門戶,bûn-hōo
阿母,a-bó
長老,tióng-ló
表姊,piáu-tsé
阿姊,a-tsé
阿爸,a-pa
阿爸,a-pâ
迎接,gîng-tsih
迎接,ngiâ-tsih
金榜,kim-póng
迎鬧熱,giâ-nāu-jia̍t/giâ-nāu-lia̍t
迎燈,giâ-ting
門簾,mn̂g-nî
長躼埽,tn̂g-liò-sò
便媒人,piān-muî-lâng
保正,pó-tsìng
冠軍,kuàn-kun
保衛,pó-uī
咧,leh
哀爸叫母,ai-pē-kiò-bó
咧欲,tih-beh/tih-bueh
契母,khè-bó
度小月,tōo-sió-gua̍t
屎桮齒,sái-pe-khí
封條,pang-tiâu
後代,hiō-tāi
後母,āu-bó
後母面,āu-bó-bīn
扁食,phián-si̍t
後悔,hōo-hué
怎樣,tsáinn-iūnn
後輩,āu-puè
扁擔,pín-tann
曷,ia̍h
曷使,ia̍h-sái
昨昏,tsa̍h-hng
按怎,án-nuá
按怎,án-ná
按脈,àn-be̍h
曷著,ia̍h-tio̍h
春節,tshun-tsiat
故障,kòo-tsiòng
挑戰,thiau-tsiàn
政權,tsìng-kuân
某乜人,móo-mí-lâng
查埔,ta-poo
查埔囡仔,ta-poo gín-á
洘旱,khò-huānn
洘頭糜,khó-thâu-muâi
流水,liû-suí
流水,lâu-suí
活動,ua̍h-tōng
炸彈,tsà-tân
活潑,ua̍t-phuat
癸,kuì
相,siang
相,siàng
相𫝛,sio-siâng
相公,siùnn-kang
相仝,sio-kâng
相見,sann-kìnn
相爭,sann-tsenn/sann-tsinn
相捌,sio-pat
珊瑚,suan-lôo
相輸,sann-su
相嚷,sio-jióng
秋凊,tshio-tshìn
科員,kho-guân
突然,thu̍t-jiân/thu̍t-liân
砒霜,phînn-sng
紅毛塗,âng-bûn-thôo
耐用,nāi-īng
胃潰瘍,uī-huì-iông
胃潰瘍,uī-huī-iông
茂,ām
若親像,ná-tshan-tshiūnn
計程車,kè-tîng-tshia
計程車,khè-thîng-tshia
計謀,kè-biô
食奶,tsia̍h-lin
飛行機,hui-lîng-ki
飛行機,pue-lîng-ki
食物,tsia̍h-mi̍h/tsia̍h-mn̍gh
風雨,hong-hōo
食家己,tsia̍h-ka-tī
飛鳥,hui-niáu
香菇肉糜,hiunn-koo-bah-muâi
借用,tsioh-īng
候脈,hāu-be̍h
候選人,hiō-suán-jîn/hiō-suán-lîn
凊糜,tshìn-muâi
員,guân
哼,--hmh
哪未,nà buē/nà bē
哭爸哭母,khàu-pē-khàu-bó
哥哥,ko-ko
家己,ka-tī
家己人,ka-tī-lâng
師兄,sai-hiann
師母,su-bó
差教,tshe-kah
展開,tián-khui
宮廟,kiong-biō
挐,jî
恩情,in-tsîng
恩愛,in-ài
挐氅氅,jî-tsháng-tsháng
拳頭拇,kûn-thâu-bó
捌,pat
捗,pô
揤,ji̍h
捌字,pat-jī/pat-lī
挽脈,bán-be̍h
捌貨,pat-huè/pat-hè
捌想,pat-siūnn
揤電鈴,ji̍h tiān-lîng
