hanzi,tl
苧,thí
苧,tē
苧,tuē
茅,mâu
茅,hm̂
虐,gio̍k
虐,gia̍k
虐,gi̍k
香,hiong
香,hiang
香,hiunn
香,hionn
倉,tshong
倉,tshng
倚,í
倚,uá
借,tsià
借,tsioh
凊,tshìng
凊,tshìn
剔,thik
剔,thak
剝,pok
剝,pak
哨,siàu
哨,sàu
唐,tông
唐,tn̂g
娘,liông
娘,liâng
娘,niû
娘,niôo
庭,tîng
庭,tiânn
息,sik
息,sit
悔,hué
悔,huí
扇,siàn
扇,sìnn
拳,kuân
拳,kûn
挨,ai
挨,e
挨,ue
振,tsín
振,tsin
振,tsìn
振,tín
挺,thíng
挺,thánn
旅,lú
旅,lí
晏,àn
晏,uànn
朗,lóng
朗,láng
栗,li̍k
栗,la̍t
株,tsu
株,tu
核,hi̍k
核,hu̍t
格,kik
格,keh
桐,tông
桐,tâng
桐,thâng
桑,song
桑,sng
殷,un
殷,in
浮,hû
浮,phû
浴,io̍k
浴,i̍k
涂,tôo
涂,thôo
烘,hong
烘,hang
狹,hia̍p
狹,e̍h
狹,ue̍h
畜,thiok
畜,thik
病,pīng
病,pēnn
病,pīnn
益,ik
益,iah
眠,biân
眠,bîn
秧,ng
秧,iang
秧,iong
笑,tshiàu
笑,siàu
笑,tshiò
紗,sa
紗,se
紡,hóng
紡,pháng
索,sik
索,soh
翁,ong
翁,ang
胸,hiong
胸,hing
脆,tshuì
脆,tshè
脈,bi̍k
脈,me̍h
脊,tsik
脊,tsiah
脊,tsit
般,pan
般,puann
荒,hong
荒,hng
荒,huinn
荖,ló
荖,lóo
荖,láu
軒,hian
軒,ian
送,sàng
送,sòng
隻,tsik
隻,tsiah
鬥,tòo
鬥,tiò
鬥,tàu
健,kiān
健,kiānn
問,būn
問,mn̄g
問,muī
啞,á
啞,é
域,hi̍k
基,ki
宿,siù
宿,siok
寄,kì
寄,kià
密,bi̍t
密,ba̍t
崗,kong
崗,kang
崩,phing
崩,ping
崩,pang
帳,tiòng
帳,tiàng
帳,tiùnn
帳,tiònn
康,khong
康,khng
張,tiong
張,tiang
張,tiunn
張,tionn
惜,sik
惜,sioh
掃,sò
掃,sòo
掃,sàu
掠,lio̍k
掠,lia̍h
斜,siâ
斜,tshiâ
斬,tsám
斬,tsánn
晚,buán
晚,mńg
晚,muí
晝,tiù
晝,tàu
梅,muî
梅,muê
梅,m̂
梅,buê
梅,muâi
梗,kíng
梗,kénn
梗,kínn
梨,lê
梨,lâi
梯,the
梯,thui
涵,hâm
涵,âm
淋,lîm
淋,lâm
淡,tām
淡,tānn
牽,khian
牽,khan
率,sut
率,lu̍t
眾,tsiòng
眾,tsìng
票,phiàu
票,phiò
笛,ti̍k
笛,ta̍t
笠,li̍p
笠,le̍h
笠,lue̍h
粕,phok
粕,phoh
絆,puàn
絆,puànn
缽,puat
缽,puah
舵,tāi
舵,tō
舵,tuā
莊,tsong
莊,tsng
蛀,tsù
蛀,tsiù
蛇,siâ
蛇,tsuâ
袋,tāi
袋,tē
許,hí
許,hú
許,khóo
貨,hònn
貨,huè
貨,hè
貫,kuàn
貫,kǹg
貫,kuìnn
軟,luán
軟,nńg
軟,nuí
透,thòo
透,thiò
透,thàu
逐,tio̍k
逐,ta̍k
郭,kok
郭,kueh
郭,keh
都,too
都,to
釣,tiàu
釣,tiò
釵,tshai
釵,the
釵,thue
陳,tîn
陳,tân
陸,lio̍k
陸,la̍k
雀,tshiok
雀,tshik
魚,gû
魚,gî
魚,hî
魚,hû
鳥,niáu
鳥,tsiáu
麻,mâ
麻,bâ
麻,muâ
傅,hù
傅,pòo
傍,pōng
傍,pn̄g
傘,sàn
傘,suànn
剩,sīng
剩,sīn
割,kat
割,kuah
喝,hat
喝,huah
喪,song
喪,sòng
喪,sng
單,tan
單,tuann
場,tiông
場,tshiâng
場,tiûnn
場,tiônn
婿,sè
婿,sài
媒,muî
媒,muê
媒,hm̂
媒,m̂
媒,muâi
富,hù
富,pù
寒,hân
寒,kuânn
尋,sîm
尋,siâm
幅,hok
幅,pak
幾,kí
幾,kuí
彭,phîng
彭,phênn
彭,phînn
惰,tō
惰,tōo
惰,tuānn
揀,kán
揀,kíng
描,biâu
描,biô
握,ok
握,ak
晴,tsîng
晴,tsênn
晴,tsînn
晶,tsing
晶,tsinn
曾,tsing
曾,tsîng
曾,tsan
棉,mî
棉,biân
棚,pîng
棚,pênn
棚,pînn
棚,phiânn
棺,kuan
棺,kuann
椒,tsiau
椒,tsio
殘,tsân
殘,tsuânn
殘,tshân
殼,khok
殼,khak
渴,khat
渴,khuah
湧,ióng
湧,íng
湯,thong
湯,thng
犀,se
犀,sai
琶,pâ
琶,pê
痘,tōo
痘,tiō
痘,tāu
痛,thòng
痛,thàng
硬,gīng
硬,ngē
硬,ngī
程,thîng
程,tîng
程,thiânn
筐,khong
筐,khing
答,tap
答,tah
粟,siok
粟,tshik
粧,tsong
粧,tsng
絞,káu
絞,ká
腔,khiong
腔,khiang
腔,khiunn
腔,khionn
腕,uán
腕,uánn
舒,su
舒,si
菠,po
菠,poo
菠,pue
菠,pe
著,tio̍k
著,tù
著,tio̍h
著,to̍h
虛,hu
虛,hi
裂,lia̍t
裂,li̍h
象,siōng
象,siāng
象,tshiūnn
象,tshiōnn
貯,thú
貯,thí
貯,té
貯,tué
超,tshiau
超,thiau
鄉,hiong
鄉,hiang
鄉,hiunn
鄉,hionn
閒,hân
閒,îng
閒,âinn
雅,ngá
雅,ngé
飯,huān
飯,pn̄g
飯,puīnn
黃,hông
黃,n̂g
黃,uînn
園,uân
園,hn̂g
園,huînn
圓,înn
圓,uân
塗,tôo
塗,thôo
塘,tông
塘,tn̂g
嫁,kà
嫁,kè
搖,iâu
搖,iô
搬,puan
搬,puann
