tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taijit,is_variant
sîng-ke,成家,25,sêng-ke,sing5ke1,seng5ke1,ㄒㄧㄥˊㄍㆤ,,singke,sengke,ㄒㄧㄥㄍㆤ,,sk,sk,ㄒㄍ,,True,False
sîng-tuì,成對,25,sêng-tùi,sing5tui3,seng5tui3,ㄒㄧㄥˊㄉㄨㄧ˪,,singtui,sengtui,ㄒㄧㄥㄉㄨㄧ,,st,st,ㄒㄉ,,True,False
tshiânn-bé,成尾,25,chhiâⁿ-bé,tshiann5be2,chhiann5be2,ㄑㄧㆩˊㆠㆤˋ,,tshiannbe,chhiannbe,ㄑㄧㆩㆠㆤ,,tb,cb,ㄑㆠ,,True,False
tsiânn-bé,成尾,25,chiâⁿ-bé,tsiann5be2,chiann5be2,ㄐㄧㆩˊㆠㆤˋ,,tsiannbe,chiannbe,ㄐㄧㆩㆠㆤ,,tb,cb,ㄐㆠ,,True,False
sîng-liân,成年,25,sêng-liân,sing5lian5,seng5lian5,ㄒㄧㄥˊㄌㄧㄢˊ,,singlian,senglian,ㄒㄧㄥㄌㄧㄢ,,sl,sl,ㄒㄌ,,True,False
tsiânn-nî,成年,25,chiâⁿ-nî,tsiann5ni5,chiann5ni5,ㄐㄧㆩˊㄋㄧˊ,,tsiannni,chiannni,ㄐㄧㆩㄋㄧ,,tn,cn,ㄐㄋ,,True,False
tshiânn-tshiânn,成成,25,chhiâⁿ-chhiâⁿ,tshiann5tshiann5,chhiann5chhiann5,ㄑㄧㆩˊㄑㄧㆩˊ,,tshianntshiann,chhiannchhiann,ㄑㄧㆩㄑㄧㆩ,,tt,cc,ㄑㄑ,,True,False
tshiânn-tî,成持,25,chhiâⁿ-tî,tshiann5ti5,chhiann5ti5,ㄑㄧㆩˊㄉㄧˊ,,tshiannti,chhiannti,ㄑㄧㆩㄉㄧ,,tt,ct,ㄑㄉ,,True,False
tsiânn-ji̍t,成日,25,chiâⁿ-ji̍t,tsiann5jit8,chiann5jit8,ㄐㄧㆩˊㆢㄧㆵ̇,,tsiannjit,chiannjit,ㄐㄧㆩㆢㄧㆵ,,tj,cj,ㄐㆢ,,True,False
tsiânn-mî,成暝,25,chiâⁿ-mî,tsiann5mi5,chiann5mi5,ㄐㄧㆩˊㄇㄧˊ,,tsiannmi,chiannmi,ㄐㄧㆩㄇㄧ,,tm,cm,ㄐㄇ,,True,False
