tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taijit,is_variant
lîng-hû,靈符,25,lêng-hû,ling5hu5,leng5hu5,ㄌㄧㄥˊㄏㄨˊ,,linghu,lenghu,ㄌㄧㄥㄏㄨ,,lh,lh,ㄌㄏ,,True,False
lîng-siànn,靈聖,25,lêng-siàⁿ,ling5siann3,leng5siann3,ㄌㄧㄥˊㄒㄧㆩ˪,,lingsiann,lengsiann,ㄌㄧㄥㄒㄧㆩ,,ls,ls,ㄌㄒ,,True,False
lîng-io̍h,靈藥,25,lêng-io̍h,ling5ioh8,leng5ioh8,ㄌㄧㄥˊㄧㄛㆷ̇,,lingioh,lengioh,ㄌㄧㄥㄧㄛㆷ,,li,li,ㄌㄧ,,True,False
lîng-thong,靈通,25,lêng-thong,ling5thong1,leng5thong1,ㄌㄧㄥˊㄊㆲ,,lingthong,lengthong,ㄌㄧㄥㄊㆲ,,lt,lt,ㄌㄊ,,True,False
lîng-hián,靈顯,25,lêng-hián,ling5hian2,leng5hian2,ㄌㄧㄥˊㄏㄧㄢˋ,,linghian,lenghian,ㄌㄧㄥㄏㄧㄢ,,lh,lh,ㄌㄏ,,True,False
lîng-giām,靈驗,25,lêng-giām,ling5giam7,leng5giam7,ㄌㄧㄥˊㆣㄧㆰ˫,,linggiam,lenggiam,ㄌㄧㄥㆣㄧㆰ,,lg,lg,ㄌㆣ,,True,False
ài-tāi,靉靆,25,ài-tāi,ai3tai7,ai3tai7,ㄞ˪ㄉㄞ˫,,aitai,aitai,ㄞㄉㄞ,,at,at,ㄞㄉ,,True,False
tshinn-liāng,青亮,25,chhiⁿ-liāng,tshinn1liang7,chhinn1liang7,ㄑㆪㄌㄧㄤ˫,,tshinnliang,chhinnliang,ㄑㆪㄌㄧㄤ,,tl,cl,ㄑㄌ,,True,True
tshinn-lai,青內,25,chhiⁿ-lai,tshinn1lai1,chhinn1lai1,ㄑㆪㄌㄞ,,tshinnlai,chhinnlai,ㄑㆪㄌㄞ,,tl,cl,ㄑㄌ,,True,True
tshinn-phàu,青包,25,chhiⁿ-phàu,tshinn1phau3,chhinn1phau3,ㄑㆪㄆㄠ˪,,tshinnphau,chhinnphau,ㄑㆪㄆㄠ,,tp,cp,ㄑㄆ,,True,True
tshinn-tsut,青卒,25,chhiⁿ-chut,tshinn1tsut4,chhinn1chut4,ㄑㆪㄗㄨㆵ,,tshinntsut,chhinnchut,ㄑㆪㄗㄨㆵ,,tt,cc,ㄑㄗ,,True,True
tshing-sú,青史,25,chheng-sú,tshing1su2,chheng1su2,ㄑㄧㄥㄙㄨˋ,,tshingsu,chhengsu,ㄑㄧㄥㄙㄨ,,ts,cs,ㄑㄙ,,True,False
tshinn-tshuì,青嘴,25,chhiⁿ-chhùi,tshinn1tshui3,chhinn1chhui3,ㄑㆪㄘㄨㄧ˪,,tshinntshui,chhinnchhui,ㄑㆪㄘㄨㄧ,,tt,cc,ㄑㄘ,,True,True
tshinn-poo,青埔,25,chhiⁿ-po͘,tshinn1poo1,chhinn1poo1,ㄑㆪㄅㆦ,,tshinnpoo,chhinnpoo,ㄑㆪㄅㆦ,,tp,cp,ㄑㄅ,,True,True
tshinn-sū,青士,25,chhiⁿ-sū,tshinn1su7,chhinn1su7,ㄑㆪㄙㄨ˫,,tshinnsu,chhinnsu,ㄑㆪㄙㄨ,,ts,cs,ㄑㄙ,,True,True
tshing-thian,青天,25,chheng-thian,tshing1thian1,chheng1thian1,ㄑㄧㄥㄊㄧㄢ,,tshingthian,chhengthian,ㄑㄧㄥㄊㄧㄢ,,tt,ct,ㄑㄊ,,True,False
tshing-lú,青女,25,chheng-lú,tshing1lu2,chheng1lu2,ㄑㄧㄥㄌㄨˋ,,tshinglu,chhenglu,ㄑㄧㄥㄌㄨ,,tl,cl,ㄑㄌ,,True,False
tshinn-tsí,青子,25,chhiⁿ-chí,tshinn1tsi2,chhinn1chi2,ㄑㆪㄐㄧˋ,,tshinntsi,chhinnchi,ㄑㆪㄐㄧ,,tt,cc,ㄑㄐ,,True,True
tshinn-io,青將,25,chhiⁿ-io,tshinn1io1,chhinn1io1,ㄑㆪㄧㄛ,,tshinnio,chhinnio,ㄑㆪㄧㄛ,,ti,ci,ㄑㄧ,,True,True
tshinn-kun,青將,25,chhiⁿ-kun,tshinn1kun1,chhinn1kun1,ㄑㆪㄍㄨㄣ,,tshinnkun,chhinnkun,ㄑㆪㄍㄨㄣ,,tk,ck,ㄑㄍ,,True,True
tshinn-tsiòng,青將,25,chhiⁿ-chiòng,tshinn1tsiong3,chhinn1chiong3,ㄑㆪㄐㄧㆲ˪,,tshinntsiong,chhinnchiong,ㄑㆪㄐㄧㆲ,,tt,cc,ㄑㄐ,,True,True
tshinn-ông,青將,25,chhiⁿ-ông,tshinn1ong5,chhinn1ong5,ㄑㆪㆲˊ,,tshinnong,chhinnong,ㄑㆪㆲ,,to,co,ㄑㆲ,,True,True
tshing-tè,青帝,25,chheng-tè,tshing1te3,chheng1te3,ㄑㄧㄥㄉㆤ˪,,tshingte,chhengte,ㄑㄧㄥㄉㆤ,,tt,ct,ㄑㄉ,,True,False
tshinn-bō,青帽,25,chhiⁿ-bō,tshinn1bo7,chhinn1bo7,ㄑㆪㆠㄛ˫,,tshinnbo,chhinnbo,ㄑㆪㆠㄛ,,tb,cb,ㄑㆠ,,True,True
tshing-sim,青心,25,chheng-sim,tshing1sim1,chheng1sim1,ㄑㄧㄥㄒㄧㆬ,,tshingsim,chhengsim,ㄑㄧㄥㄒㄧㆬ,,ts,cs,ㄑㄒ,,True,False
tshinn-tông,青桐,25,chhiⁿ-tông,tshinn1tong5,chhinn1tong5,ㄑㆪㄉㆲˊ,,tshinntong,chhinntong,ㄑㆪㄉㆲ,,tt,ct,ㄑㄉ,,True,True
tshinn-m̂,青梅,25,chhiⁿ-m̂,tshinn1m5,chhinn1m5,ㄑㆪㆬˊ,,tshinnm,chhinnm,ㄑㆪㆬ,,tm,cm,ㄑㆬ,,True,True
tshinn-png,青楓,25,chhiⁿ-png,tshinn1png1,chhinn1png1,ㄑㆪㄅㆭ,,tshinnpng,chhinnpng,ㄑㆪㄅㆭ,,tp,cp,ㄑㄅ,,True,True
tshing-lâu,青樓,25,chheng-lâu,tshing1lau5,chheng1lau5,ㄑㄧㄥㄌㄠˊ,,tshinglau,chhenglau,ㄑㄧㄥㄌㄠ,,tl,cl,ㄑㄌ,,True,False
tshinn-luā,青瀨,25,chhiⁿ-lōa,tshinn1lua7,chhinn1loa7,ㄑㆪㄌㄨㄚ˫,,tshinnlua,chhinnloa,ㄑㆪㄌㄨㄚ,,tl,cl,ㄑㄌ,,True,True
tshinn-hé,青火,25,chhiⁿ-hé,tshinn1he2,chhinn1he2,ㄑㆪㄏㆤˋ,,tshinnhe,chhinnhe,ㄑㆪㄏㆤ,,th,ch,ㄑㄏ,,True,True
tshing-oo,青烏,25,chheng-o͘,tshing1oo1,chheng1oo1,ㄑㄧㄥㆦ,,tshingoo,chhengoo,ㄑㄧㄥㆦ,,to,co,ㄑㆦ,,True,False
tshinn-tsik,青燭,25,chhiⁿ-chek,tshinn1tsik4,chhinn1chek4,ㄑㆪㄐㄧㆻ,,tshinntsik,chhinnchek,ㄑㆪㄐㄧㆻ,,tt,cc,ㄑㄐ,,True,True
tshing-giû,青牛,25,chheng-giû,tshing1giu5,chheng1giu5,ㄑㄧㄥㆣㄧㄨˊ,,tshinggiu,chhenggiu,ㄑㄧㄥㆣㄧㄨ,,tg,cg,ㄑㆣ,,True,False
tshinn-sai,青獅,25,chhiⁿ-sai,tshinn1sai1,chhinn1sai1,ㄑㆪㄙㄞ,,tshinnsai,chhinnsai,ㄑㆪㄙㄞ,,ts,cs,ㄑㄙ,,True,True
tshinn-gi̍k,青玉,25,chhiⁿ-ge̍k,tshinn1gik8,chhinn1gek8,ㄑㆪㆣㄧㆻ̇,,tshinngik,chhinngek,ㄑㆪㆣㄧㆻ,,tg,cg,ㄑㆣ,,True,True
tshing-tiân,青田,25,chheng-tiân,tshing1tian5,chheng1tian5,ㄑㄧㄥㄉㄧㄢˊ,,tshingtian,chhengtian,ㄑㄧㄥㄉㄧㄢ,,tt,ct,ㄑㄉ,,True,False
tshinn-pe̍h,青白,25,chhiⁿ-pe̍h,tshinn1peh8,chhinn1peh8,ㄑㆪㄅㆤㆷ̇,,tshinnpeh,chhinnpeh,ㄑㆪㄅㆤㆷ,,tp,cp,ㄑㄅ,,True,True
tshing-phî,青皮,25,chheng-phî,tshing1phi5,chheng1phi5,ㄑㄧㄥㄆㄧˊ,,tshingphi,chhengphi,ㄑㄧㄥㄆㄧ,,tp,cp,ㄑㄆ,,True,False
tshinn-mî,青瞑,25,chhiⁿ-mî,tshinn1mi5,chhinn1mi5,ㄑㆪㄇㄧˊ,,tshinnmi,chhinnmi,ㄑㆪㄇㄧ,,tm,cm,ㄑㄇ,,True,True
tshinn-tsio̍h,青石,25,chhiⁿ-chio̍h,tshinn1tsioh8,chhinn1chioh8,ㄑㆪㄐㄧㄛㆷ̇,,tshinntsioh,chhinnchioh,ㄑㆪㄐㄧㄛㆷ,,tt,cc,ㄑㄐ,,True,True
tshinn-huî,青磁,25,chhiⁿ-hûi,tshinn1hui5,chhinn1hui5,ㄑㆪㄏㄨㄧˊ,,tshinnhui,chhinnhui,ㄑㆪㄏㄨㄧ,,th,ch,ㄑㄏ,,True,True
tshinn-kó,青稿,25,chhiⁿ-kó,tshinn1ko2,chhinn1ko2,ㄑㆪㄍㄛˋ,,tshinnko,chhinnko,ㄑㆪㄍㄛ,,tk,ck,ㄑㄍ,,True,True
tshinn-tik,青竹,25,chhiⁿ-tek,tshinn1tik4,chhinn1tek4,ㄑㆪㄉㄧㆻ,,tshinntik,chhinntek,ㄑㆪㄉㄧㆻ,,tt,ct,ㄑㄉ,,True,True
tshing-hû,青符,25,chheng-hû,tshing1hu5,chheng1hu5,ㄑㄧㄥㄏㄨˊ,,tshinghu,chhenghu,ㄑㄧㄥㄏㄨ,,th,ch,ㄑㄏ,,True,False
tshinn-siunn,青箱,25,chhiⁿ-siuⁿ,tshinn1siunn1,chhinn1siunn1,ㄑㆪㄒㄧㆫ,,tshinnsiunn,chhinnsiunn,ㄑㆪㄒㄧㆫ,,ts,cs,ㄑㄒ,,True,True
tshinn-lia̍p,青粒,25,chhiⁿ-lia̍p,tshinn1liap8,chhinn1liap8,ㄑㆪㄌㄧㄚㆴ̇,,tshinnliap,chhinnliap,ㄑㆪㄌㄧㄚㆴ,,tl,cl,ㄑㄌ,,True,True
tshinn-kng,青缸,25,chhiⁿ-kng,tshinn1kng1,chhinn1kng1,ㄑㆪㄍㆭ,,tshinnkng,chhinnkng,ㄑㆪㄍㆭ,,tk,ck,ㄑㄍ,,True,True
tshinn-tshuì,青翠,25,chhiⁿ-chhùi,tshinn1tshui3,chhinn1chhui3,ㄑㆪㄘㄨㄧ˪,,tshinntshui,chhinnchhui,ㄑㆪㄘㄨㄧ,,tt,cc,ㄑㄘ,,True,True
tshinn-ko,青膏,25,chhiⁿ-ko,tshinn1ko1,chhinn1ko1,ㄑㆪㄍㄛ,,tshinnko,chhinnko,ㄑㆪㄍㄛ,,tk,ck,ㄑㄍ,,True,True
tshinn-sik,青色,25,chhiⁿ-sek,tshinn1sik4,chhinn1sek4,ㄑㆪㄒㄧㆻ,,tshinnsik,chhinnsek,ㄑㆪㄒㄧㆻ,,ts,cs,ㄑㄒ,,True,True
tshing-thai,青苔,25,chheng-thai,tshing1thai1,chheng1thai1,ㄑㄧㄥㄊㄞ,,tshingthai,chhengthai,ㄑㄧㄥㄊㄞ,,tt,ct,ㄑㄊ,,True,False
tshinn-thî,青苔,25,chhiⁿ-thî,tshinn1thi5,chhinn1thi5,ㄑㆪㄊㄧˊ,,tshinnthi,chhinnthi,ㄑㆪㄊㄧ,,tt,ct,ㄑㄊ,,True,True
tshinn-tsháu,青草,25,chhiⁿ-chháu,tshinn1tshau2,chhinn1chhau2,ㄑㆪㄘㄠˋ,,tshinntshau,chhinnchhau,ㄑㆪㄘㄠ,,tt,cc,ㄑㄘ,,True,True
tshinn-o,青荷,25,chhiⁿ-o,tshinn1o1,chhinn1o1,ㄑㆪㄛ,,tshinno,chhinno,ㄑㆪㄛ,,to,co,ㄑㄛ,,True,True
tshinn-phiô,青萍,25,chhiⁿ-phiô,tshinn1phio5,chhinn1phio5,ㄑㆪㄆㄧㄛˊ,,tshinnphio,chhinnphio,ㄑㆪㄆㄧㄛ,,tp,cp,ㄑㄆ,,True,True
tshinn-lân,青蘭,25,chhiⁿ-lân,tshinn1lan5,chhinn1lan5,ㄑㆪㄌㄢˊ,,tshinnlan,chhinnlan,ㄑㆪㄌㄢ,,tl,cl,ㄑㄌ,,True,True
tshinn-ioh,青虳,25,chhiⁿ-ioh,tshinn1ioh4,chhinn1ioh4,ㄑㆪㄧㄛㆷ,,tshinnioh,chhinnioh,ㄑㆪㄧㄛㆷ,,ti,ci,ㄑㄧ,,True,True
tshinn-kue,青蛙,25,chhiⁿ-koe,tshinn1kue1,chhinn1koe1,ㄑㆪㄍㄨㆤ,,tshinnkue,chhinnkoe,ㄑㆪㄍㄨㆤ,,tk,ck,ㄑㄍ,,True,True
tshinn-lê,青螺,25,chhiⁿ-lê,tshinn1le5,chhinn1le5,ㄑㆪㄌㆤˊ,,tshinnle,chhinnle,ㄑㆪㄌㆤ,,tl,cl,ㄑㄌ,,True,True
tshinn-siân,青蟬,25,chhiⁿ-siân,tshinn1sian5,chhinn1sian5,ㄑㆪㄒㄧㄢˊ,,tshinnsian,chhinnsian,ㄑㆪㄒㄧㄢ,,ts,cs,ㄑㄒ,,True,True
tshing-i,青衣,25,chheng-i,tshing1i1,chheng1i1,ㄑㄧㄥㄧ,,tshingi,chhengi,ㄑㄧㄥㄧ,,ti,ci,ㄑㄧ,,True,False
tshing-khim,青衾,25,chheng-khim,tshing1khim1,chheng1khim1,ㄑㄧㄥㄎㄧㆬ,,tshingkhim,chhengkhim,ㄑㄧㄥㄎㄧㆬ,,tk,ck,ㄑㄎ,,True,False
tshing-siông,青裳,25,chheng-siông,tshing1siong5,chheng1siong5,ㄑㄧㄥㄒㄧㆲˊ,,tshingsiong,chhengsiong,ㄑㄧㄥㄒㄧㆲ,,ts,cs,ㄑㄒ,,True,False
tshinn-tāu,青豆,25,chhiⁿ-tāu,tshinn1tau7,chhinn1tau7,ㄑㆪㄉㄠ˫,,tshinntau,chhinntau,ㄑㆪㄉㄠ,,tt,ct,ㄑㄉ,,True,True
tshinn-tshiūnn,青象,25,chhiⁿ-chhiūⁿ,tshinn1tshiunn7,chhinn1chhiunn7,ㄑㆪㄑㄧㆫ˫,,tshinntshiunn,chhinnchhiunn,ㄑㆪㄑㄧㆫ,,tt,cc,ㄑㄑ,,True,True
tshinn-ku,青車,25,chhiⁿ-ku,tshinn1ku1,chhinn1ku1,ㄑㆪㄍㄨ,,tshinnku,chhinnku,ㄑㆪㄍㄨ,,tk,ck,ㄑㄍ,,True,True
tshinn-kim,青金,25,chhiⁿ-kim,tshinn1kim1,chhinn1kim1,ㄑㆪㄍㄧㆬ,,tshinnkim,chhinnkim,ㄑㆪㄍㄧㆬ,,tk,ck,ㄑㄍ,,True,True
tshinn-tâng,青銅,25,chhiⁿ-tâng,tshinn1tang5,chhinn1tang5,ㄑㆪㄉㄤˊ,,tshinntang,chhinntang,ㄑㆪㄉㄤ,,tt,ct,ㄑㄉ,,True,True
tshing-tsînn,青錢,25,chheng-chîⁿ,tshing1tsinn5,chheng1chinn5,ㄑㄧㄥㄐㆪˊ,,tshingtsinn,chhengchinn,ㄑㄧㄥㄐㆪ,,tt,cc,ㄑㄐ,,True,False
tshinn-pio,青鏢,25,chhiⁿ-pio,tshinn1pio1,chhinn1pio1,ㄑㆪㄅㄧㄛ,,tshinnpio,chhinnpio,ㄑㆪㄅㄧㄛ,,tp,cp,ㄑㄅ,,True,True
tshing-iông,青陽,25,chheng-iông,tshing1iong5,chheng1iong5,ㄑㄧㄥㄧㆲˊ,,tshingiong,chhengiong,ㄑㄧㄥㄧㆲ,,ti,ci,ㄑㄧ,,True,False
tshing-hûn,青雲,25,chheng-hûn,tshing1hun5,chheng1hun5,ㄑㄧㄥㄏㄨㄣˊ,,tshinghun,chhenghun,ㄑㄧㄥㄏㄨㄣ,,th,ch,ㄑㄏ,,True,False
tshinn-tshinn,青青,25,chhiⁿ-chhiⁿ,tshinn1tshinn1,chhinn1chhinn1,ㄑㆪㄑㆪ,,tshinntshinn,chhinnchhinn,ㄑㆪㄑㆪ,,tt,cc,ㄑㄑ,,True,True
tshinn-tiān,青靛,25,chhiⁿ-tiān,tshinn1tian7,chhinn1tian7,ㄑㆪㄉㄧㄢ˫,,tshinntian,chhinntian,ㄑㆪㄉㄧㄢ,,tt,ct,ㄑㄉ,,True,True
tshinn-bīn,青面,25,chhiⁿ-bīn,tshinn1bin7,chhinn1bin7,ㄑㆪㆠㄧㄣ˫,,tshinnbin,chhinnbin,ㄑㆪㆠㄧㄣ,,tb,cb,ㄑㆠ,,True,True
tshinn-tíng,青頂,25,chhiⁿ-téng,tshinn1ting2,chhinn1teng2,ㄑㆪㄉㄧㄥˋ,,tshinnting,chhinnteng,ㄑㆪㄉㄧㄥ,,tt,ct,ㄑㄉ,,True,True
tshinn-bé,青馬,25,chhiⁿ-bé,tshinn1be2,chhinn1be2,ㄑㆪㆠㆤˋ,,tshinnbe,chhinnbe,ㄑㆪㆠㆤ,,tb,cb,ㄑㆠ,,True,True
tshinn-muâ,青鰻,25,chhiⁿ-môa,tshinn1mua5,chhinn1moa5,ㄑㆪㄇㄨㄚˊ,,tshinnmua,chhinnmoa,ㄑㆪㄇㄨㄚ,,tm,cm,ㄑㄇ,,True,True
tshinn-lân,青鱗,25,chhiⁿ-lân,tshinn1lan5,chhinn1lan5,ㄑㆪㄌㄢˊ,,tshinnlan,chhinnlan,ㄑㆪㄌㄢ,,tl,cl,ㄑㄌ,,True,True
tshinn-n̂g,青黃,25,chhiⁿ-n̂g,tshinn1ng5,chhinn1ng5,ㄑㆪㆭˊ,,tshinnng,chhinnng,ㄑㆪㆭ,,tn,cn,ㄑㆭ,,True,True
tshing-tāi,青黛,25,chheng-tāi,tshing1tai7,chheng1tai7,ㄑㄧㄥㄉㄞ˫,,tshingtai,chhengtai,ㄑㄧㄥㄉㄞ,,tt,ct,ㄑㄉ,,True,False
tshing-liông,青龍,25,chheng-liông,tshing1liong5,chheng1liong5,ㄑㄧㄥㄌㄧㆲˊ,,tshingliong,chhengliong,ㄑㄧㄥㄌㄧㆲ,,tl,cl,ㄑㄌ,,True,False
tshinn-lîng,青龍,25,chhiⁿ-lêng,tshinn1ling5,chhinn1leng5,ㄑㆪㄌㄧㄥˊ,,tshinnling,chhinnleng,ㄑㆪㄌㄧㄥ,,tl,cl,ㄑㄌ,,True,True
tsīng-tsē,靜坐,25,chēng-chē,tsing7tse7,cheng7che7,ㄐㄧㄥ˫ㄗㆤ˫,,tsingtse,chengche,ㄐㄧㄥㄗㆤ,,tt,cc,ㄐㄗ,,True,False
tsīng-sim,靜心,25,chēng-sim,tsing7sim1,cheng7sim1,ㄐㄧㄥ˫ㄒㄧㆬ,,tsingsim,chengsim,ㄐㄧㄥㄒㄧㆬ,,ts,cs,ㄐㄒ,,True,False
tsīng-siok,靜肅,25,chēng-siok,tsing7siok4,cheng7siok4,ㄐㄧㄥ˫ㄒㄧㆦㆻ,,tsingsiok,chengsiok,ㄐㄧㄥㄒㄧㆦㆻ,,ts,cs,ㄐㄒ,,True,False
tsīng-me̍h,靜脈,25,chēng-me̍h,tsing7meh8,cheng7meh8,ㄐㄧㄥ˫ㄇㆤㆷ̇,,tsingmeh,chengmeh,ㄐㄧㄥㄇㆤㆷ,,tm,cm,ㄐㄇ,,True,False
tsīng-kuan,靜觀,25,chēng-koan,tsing7kuan1,cheng7koan1,ㄐㄧㄥ˫ㄍㄨㄢ,,tsingkuan,chengkoan,ㄐㄧㄥㄍㄨㄢ,,tk,ck,ㄐㄍ,,True,False
tsīng-tsīng,靜靜,25,chēng-chēng,tsing7tsing7,cheng7cheng7,ㄐㄧㄥ˫ㄐㄧㄥ˫,,tsingtsing,chengcheng,ㄐㄧㄥㄐㄧㄥ,,tt,cc,ㄐㄐ,,True,False
tsīnn-tsīnn,靜靜,25,chīⁿ-chīⁿ,tsinn7tsinn7,chinn7chinn7,ㄐㆪ˫ㄐㆪ˫,,tsinntsinn,chinnchinn,ㄐㆪㄐㆪ,,tt,cc,ㄐㄐ,,True,False
tsīnn-hong,靜風,25,chīⁿ-hong,tsinn7hong1,chinn7hong1,ㄐㆪ˫ㄏㆲ,,tsinnhong,chinnhong,ㄐㆪㄏㆲ,,th,ch,ㄐㄏ,,True,False
tsīng-ióng,靜養,25,chēng-ióng,tsing7iong2,cheng7iong2,ㄐㄧㄥ˫ㄧㆲˋ,,tsingiong,chengiong,ㄐㄧㄥㄧㆲ,,ti,ci,ㄐㄧ,,True,False
hui-huân,非凡,25,hui-hoân,hui1huan5,hui1hoan5,ㄏㄨㄧㄏㄨㄢˊ,,huihuan,huihoan,ㄏㄨㄧㄏㄨㄢ,,hh,hh,ㄏㄏ,,True,False
hui-bīng,非命,25,hui-bēng,hui1bing7,hui1beng7,ㄏㄨㄧㆠㄧㄥ˫,,huibing,huibeng,ㄏㄨㄧㆠㄧㄥ,,hb,hb,ㄏㆠ,,True,False
hui-uî,非為,25,hui-ûi,hui1ui5,hui1ui5,ㄏㄨㄧㄨㄧˊ,,huiui,huiui,ㄏㄨㄧㄨㄧ,,hu,hu,ㄏㄨ,,True,False
hui-huan,非番,25,hui-hoan,hui1huan1,hui1hoan1,ㄏㄨㄧㄏㄨㄢ,,huihuan,huihoan,ㄏㄨㄧㄏㄨㄢ,,hh,hh,ㄏㄏ,,True,False
hui-tsit,非職,25,hui-chit,hui1tsit4,hui1chit4,ㄏㄨㄧㄐㄧㆵ,,huitsit,huichit,ㄏㄨㄧㄐㄧㆵ,,ht,hc,ㄏㄐ,,True,False
hui-tō,非道,25,hui-tō,hui1to7,hui1to7,ㄏㄨㄧㄉㄛ˫,,huito,huito,ㄏㄨㄧㄉㄛ,,ht,ht,ㄏㄉ,,True,False
khuà-hē,靠下,25,khòa-hē,khua3he7,khoa3he7,ㄎㄨㄚ˪ㄏㆤ˫,,khuahe,khoahe,ㄎㄨㄚㄏㆤ,,kh,kh,ㄎㄏ,,True,False
khuà-tiâu,靠住,25,khòa-tiâu,khua3tiau5,khoa3tiau5,ㄎㄨㄚ˪ㄉㄧㄠˊ,,khuatiau,khoatiau,ㄎㄨㄚㄉㄧㄠ,,kt,kt,ㄎㄉ,,True,False
khò-sio̍k,靠俗,25,khò-sio̍k,kho3siok8,kho3siok8,ㄎㄛ˪ㄒㄧㆦㆻ̇,,khosiok,khosiok,ㄎㄛㄒㄧㆦㆻ,,ks,ks,ㄎㄒ,,True,False
khò-la̍t,靠力,25,khò-la̍t,kho3lat8,kho3lat8,ㄎㄛ˪ㄌㄚㆵ̇,,kholat,kholat,ㄎㄛㄌㄚㆵ,,kl,kl,ㄎㄌ,,True,False
khò-thinn,靠天,25,khò-thiⁿ,kho3thinn1,kho3thinn1,ㄎㄛ˪ㄊㆪ,,khothinn,khothinn,ㄎㄛㄊㆪ,,kt,kt,ㄎㄊ,,True,False
khò-pán,靠板,25,khò-pán,kho3pan2,kho3pan2,ㄎㄛ˪ㄅㄢˋ,,khopan,khopan,ㄎㄛㄅㄢ,,kp,kp,ㄎㄅ,,True,False
khò-tsím,靠枕,25,khò-chím,kho3tsim2,kho3chim2,ㄎㄛ˪ㄐㄧㆬˋ,,khotsim,khochim,ㄎㄛㄐㄧㆬ,,kt,kc,ㄎㄐ,,True,False
khuà-tshián,靠淺,25,khòa-chhián,khua3tshian2,khoa3chhian2,ㄎㄨㄚ˪ㄑㄧㄢˋ,,khuatshian,khoachhian,ㄎㄨㄚㄑㄧㄢ,,kt,kc,ㄎㄑ,,True,False
khò-ngī,靠硬,25,khò-ngī,kho3ngi7,kho3ngi7,ㄎㄛ˪ㄫㄧ˫,,khongi,khongi,ㄎㄛㄫㄧ,,kn,kn,ㄎㄫ,,True,False
khuà-suànn,靠線,25,khòa-sòaⁿ,khua3suann3,khoa3soann3,ㄎㄨㄚ˪ㄙㄨㆩ˪,,khuasuann,khoasoann,ㄎㄨㄚㄙㄨㆩ,,ks,ks,ㄎㄙ,,True,False
khuà-kha,靠腳,25,khòa-kha,khua3kha1,khoa3kha1,ㄎㄨㄚ˪ㄎㄚ,,khuakha,khoakha,ㄎㄨㄚㄎㄚ,,kk,kk,ㄎㄎ,,True,True
bīn-tsiūnn,面上,25,bīn-chiūⁿ,bin7tsiunn7,bin7chiunn7,ㆠㄧㄣ˫ㄐㄧㆫ˫,,bintsiunn,binchiunn,ㆠㄧㄣㄐㄧㆫ,,bt,bc,ㆠㄐ,,True,False
bīn-tshiunn,面像,25,bīn-chhiuⁿ,bin7tshiunn1,bin7chhiunn1,ㆠㄧㄣ˫ㄑㄧㆫ,,bintshiunn,binchhiunn,ㆠㄧㄣㄑㄧㆫ,,bt,bc,ㆠㄑ,,True,False
bīn-to,面刀,25,bīn-to,bin7to1,bin7to1,ㆠㄧㄣ˫ㄉㄛ,,binto,binto,ㆠㄧㄣㄉㄛ,,bt,bt,ㆠㄉ,,True,False
biān-kun,面君,25,biān-kun,bian7kun1,bian7kun1,ㆠㄧㄢ˫ㄍㄨㄣ,,biankun,biankun,ㆠㄧㄢㄍㄨㄣ,,bk,bk,ㆠㄍ,,True,False
bīn-tē,面地,25,bīn-tē,bin7te7,bin7te7,ㆠㄧㄣ˫ㄉㆤ˫,,binte,binte,ㆠㄧㄣㄉㆤ,,bt,bt,ㆠㄉ,,True,False
bīn-kháng,面孔,25,bīn-kháng,bin7khang2,bin7khang2,ㆠㄧㄣ˫ㄎㄤˋ,,binkhang,binkhang,ㆠㄧㄣㄎㄤ,,bk,bk,ㆠㄎ,,True,False
bīn-iông,面容,25,bīn-iông,bin7iong5,bin7iong5,ㆠㄧㄣ˫ㄧㆲˊ,,biniong,biniong,ㆠㄧㄣㄧㆲ,,bi,bi,ㆠㄧ,,True,False
bīn-pòo,面布,25,bīn-pò͘,bin7poo3,bin7poo3,ㆠㄧㄣ˫ㄅㆦ˪,,binpoo,binpoo,ㆠㄧㄣㄅㆦ,,bp,bp,ㆠㄅ,,True,True
bīn-hîng,面形,25,bīn-hêng,bin7hing5,bin7heng5,ㆠㄧㄣ˫ㄏㄧㄥˊ,,binhing,binheng,ㆠㄧㄣㄏㄧㄥ,,bh,bh,ㆠㄏ,,True,False
biān-huē,面會,25,biān-hōe,bian7hue7,bian7hoe7,ㆠㄧㄢ˫ㄏㄨㆤ˫,,bianhue,bianhoe,ㆠㄧㄢㄏㄨㆤ,,bh,bh,ㆠㄏ,,True,False
biān-hē,面會,25,biān-hē,bian7he7,bian7he7,ㆠㄧㄢ˫ㄏㆤ˫,,bianhe,bianhe,ㆠㄧㄢㄏㆤ,,bh,bh,ㆠㄏ,,True,False
bīn-khing,面框,25,bīn-kheng,bin7khing1,bin7kheng1,ㆠㄧㄣ˫ㄎㄧㄥ,,binkhing,binkheng,ㆠㄧㄣㄎㄧㄥ,,bk,bk,ㆠㄎ,,True,False
bīn-bôo,面模,25,bīn-bô͘,bin7boo5,bin7boo5,ㆠㄧㄣ˫ㆠㆦˊ,,binboo,binboo,ㆠㄧㄣㆠㆦ,,bb,bb,ㆠㆠ,,True,False
